CONCEPTICON_ID	WORDNET_SYNSET	OPEN_WORDNET_ID	WORDNET_GLOSS	WORDNET_POS	WORDNET_DEFINITION
628	n13131883	13131883-n	blade//leaf blade	n	especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
629	n14759722	14759722-n	leather	n	an animal skin made smooth and flexible by removing the hair and then tanning
630	n05018103	05018103-n	luminosity//brightness//brightness level//luminance//luminousness//light	n	the quality of being luminous; emitting or reflecting light; "its luminosity is measured relative to that of our sun"
631	n01887474	01887474-n	livestock//stock//farm animal	n	any animals kept for use or profit
632	n01674464	01674464-n	lizard	n	relatively long-bodied reptile with usually two pairs of legs and a tapering tail
633	n03722288	03722288-n	marketplace//market place//mart//market	n	an area in a town where a public mercantile establishment is set up
634	n07649854	07649854-n	meat	n	the flesh of animals (including fishes and birds and snails) used as food
635	n07844042	07844042-n	milk	n	a white nutritious liquid secreted by mammals and used as food by human beings
636	n03765561	03765561-n	mill//grinder//milling machinery	n	machinery that processes materials by grinding or crushing
638	n03790512	03790512-n	motorcycle//bike	n	a motor vehicle with two wheels and a strong frame
640	n14956325	14956325-n	mud//clay	n	water soaked soil; soft wet earth
641	n13000891	13000891-n	mushroom	n	mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
642	n05718935	05718935-n	music	n	(music) the sounds produced by singers or musical instruments (or reproductions of such sounds)
643	n14450691	14450691-n	necessity	n	the condition of being essential or indispensable
644	n12268246	12268246-n	oak//oak tree	n	a deciduous tree of the genus Quercus; has acorns and lobed leaves; "great oaks grow from little acorns"
645	n09376198	09376198-n	ocean	n	a large body of water constituting a principal part of the hydrosphere
646	n14769160	14769160-n	ash	n	the residue that remains when something is burned
647	n03875218	03875218-n	paint//pigment	n	a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating; "artists use `paint' and `pigment' interchangeably"
648	n14974264	14974264-n	paper	n	a material made of cellulose pulp derived mainly from wood or rags or certain grasses
649	n08616050	08616050-n	pasture//pastureland//grazing land//lea//ley	n	a field covered with grass or herbage and suitable for grazing by livestock
650	n14980579	14980579-n	petroleum//crude oil//crude//rock oil//fossil oil//oil	n	a dark oil consisting mainly of hydrocarbons
652	n09393605	09393605-n	plain//field//champaign	n	extensive tract of level open land; "they emerged from the woods onto a vast open plain"; "he longed for the fields of his youth"
653	n00017222	00017222-n	plant//flora//plant life	n	(botany) a living organism lacking the power of locomotion
654	n14592610	14592610-n	plastic	n	generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
655	n15032376	15032376-n	poison//toxicant//poisonous substance	n	any substance that causes injury or illness or death of a living organism
656	n08209687	08209687-n	police//police force//constabulary//law	n	the force of policemen and officers; "the law came looking for him"
657	n13303315	13303315-n	price//terms//damage	n	the amount of money needed to purchase something; "the price of gasoline"; "he got his new car on excellent terms"; "how much is the damage?"
658	n11501381	11501381-n	rain//rainfall	n	water falling in drops from vapor condensed in the atmosphere
660	n09406793	09406793-n	reef	n	a submerged ridge of rock or coral near the surface of the water
661	n08081668	08081668-n	religion//faith//organized religion	n	an institution to express belief in a divine power; "he was raised in the Baptist religion"; "a member of his own faith contradicted him"
662	n02810471	02810471-n	battery//electric battery	n	a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
663	n09215664	09215664-n	bay//embayment	n	an indentation of a shoreline larger than a cove but smaller than a gulf
665	n02206856	02206856-n	bee	n	any of numerous hairy-bodied insects including social and solitary species
666	n09448361	09448361-n	stream//watercourse	n	a natural body of running water flowing on or under the earth
667	n04096066	04096066-n	road//route	n	an open way (generally public) for travel or transportation
670	n13125117	13125117-n	root	n	(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
671	n15019030	15019030-n	sand	n	a loose material consisting of grains of rock or coral
672	r00100592	00100592-r	early//betimes	r	in good time; "he awoke betimes that morning"
673	n04146050	04146050-n	school//schoolhouse	n	a building where young people receive education; "the school was built in 1932"; "he walked to school every morning"
674	n05302499	05302499-n	mouth//oral cavity//oral fissure//rima oris	n	the opening through which food is taken in and vocalizations emerge; "he stuffed his mouth with candy"
676	v00074038	00074038-v	stool//defecate//shit//take a shit//take a crap//ca-ca//crap//make	v	have a bowel movement; "The dog had made in the flower beds"
677	n02764044	02764044-n	ax//axe	n	an edge tool with a heavy bladed head mounted across a handle
678	n05261566	05261566-n	beard//face fungus//whiskers	n	the hair growing on the lower part of a man's face
679	a00278551	00278551-a	bright	a	emitting or reflecting light readily or in large amounts; "the sun was bright and hot"; "a bright sunlit room"
680	v00334996	00334996-v	break	v	destroy the integrity of; usually by force; cause to separate into pieces or fragments; "He broke the glass plate"; "She broke the match"
681	v01564144	01564144-v	destroy//ruin	v	destroy completely; damage irreparably; "You have ruined my car by pouring sugar in the tank!"; "The tears ruined her make-up"
682	n08649345	08649345-n	side	n	a place within a region identified relative to a center or reference location; "they always sat on the right side of the church"; "he never left my side"
683	n00007846	00007846-n	person//individual//someone//somebody//mortal//soul	n	a human being; "there was too much for one person to do"
684	v02204692	02204692-v	own//have//possess	v	have ownership or possession of; "He owns three houses in Florida"; "How many cars does she have?"
686	a00750296	00750296-a	elementary//simple//uncomplicated//unproblematic	a	easy and not involved or complicated; "an elementary problem in statistics"; "elementary, my dear Watson"; "a simple game"; "found an uncomplicated solution to the problem"
688	n05387544	05387544-n	lung	n	either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
690	n08511970	08511970-n	bottom	n	the lowest part of anything; "they started at the bottom of the hill"
691	n15236475	15236475-n	season//time of year	n	one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions; "the regular sequence of the seasons"
692	v02077656	02077656-v	bring//convey//take	v	take something or somebody with oneself somewhere; "Bring me the box from the other room"; "Take these letters to the boss"; "This brings me to the main point"
694	v02210855	02210855-v	get//acquire	v	come into the possession of something concrete or abstract; "She got a lot of paintings from her uncle"; "They acquired a new pet"; "Get your results the next day"; "Get permission to take a few days off from work"
695	v01835496	01835496-v	travel//go//move//locomote	v	change location; move, travel, or proceed, also metaphorically; "How fast does your new car go?"; "We travelled from Rome to Naples by bus"; "The policemen went from door to door looking for the suspect"; "The soldiers moved towards the city in an attempt to take it before night fell"; "news travelled fast"
698	a02569130	02569130-a	wise	a	having or prompted by wisdom or discernment; "a wise leader"; "a wise and perceptive comment"
700	v01449974	01449974-v	transport//carry	v	move while supporting, either in a vehicle or in one's hands or on one's body; "You must carry your camping gear"; "carry the suitcases to the car"; "This train is carrying nuclear waste"; "These pipes carry waste water into the river"
701	r00161630	00161630-r	slowly//slow//easy//tardily	r	without speed (`slow' is sometimes used informally for `slowly'); "he spoke slowly"; "go easy here--the road is slippery"; "glaciers move tardily"; "please go slow so I can see the sights"
702	v01439190	01439190-v	catch//grab//take hold of	v	take hold of so as to seize or restrain or stop the motion of; "Catch the ball!"; "Grab the elevator door!"
703	r00033922	00033922-r	soon//shortly//presently//before long	r	in the near future; "the doctor will soon be here"; "the book will appear shortly"; "she will arrive presently"; "we should have news before long"
704	a00417413	00417413-a	clean	a	free from dirt or impurities; or having clean habits; "children with clean shining faces"; "clean white shirts"; "clean dishes"; "a spotlessly clean house"; "cats are clean animals"
705	v01969216	01969216-v	ascend//go up	v	travel up, "We ascended the mountain"; "go up a ladder"; "The mountaineers slowly ascended the steep slope"
706	a00409440	00409440-a	dark	a	(used of color) having a dark hue; "dark green"; "dark glasses"; "dark colors like wine red or navy blue"
707	v00607780	00607780-v	remember//retrieve//recall//call back//call up//recollect//think	v	recall knowledge from memory; have a recollection; "I can't remember saying any such thing"; "I can't think what her last name was"; "can you remember her phone number?"; "Do you remember that he once loved you?"; "call up memories"
708	v02763740	02763740-v	shine//beam	v	emit light; be bright, as of the sun or a light; "The sun shone bright that day"; "The fire beamed on their faces"
709	v00829107	00829107-v	teach//learn//instruct	v	impart skills or knowledge to; "I taught them French"; "He instructed me in building a boat"
710	n04574999	04574999-n	wheel	n	a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
711	a02385102	02385102-a	tall	a	great in vertical dimension; high in stature; "tall people"; "tall buildings"; "tall trees"; "tall ships"
712	a02021905	02021905-a	rich	a	possessing material wealth; "her father is extremely rich"; "many fond hopes are pinned on rich uncles"
713	v02321757	02321757-v	steal	v	take without the owner's consent; "Someone stole my wallet on the train"; "This author stole entire paragraphs from my dissertation"
714	n11683989	11683989-n	seed	n	a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa
715	v00912048	00912048-v	exclaim//cry//cry out//outcry//call out//shout	v	utter aloud; often with surprise, horror, or joy; "`I won!' he exclaimed"; "`Help!' she cried"; "`I'm here,' the mother shouted when she saw her child looking lost"
716	v01045419	01045419-v	groan//moan	v	indicate pain, discomfort, or displeasure; "The students groaned when the professor got out the exam booklets"; "The ancient door soughed when opened"
717	a02368336	02368336-a	sweet	a	having or denoting the characteristic taste of sugar
718	v02251743	02251743-v	pay	v	give money, usually in exchange for goods or services; "I paid four dollars for this sandwich"; "Pay the waitress, please"
719	v02285629	02285629-v	find//regain	v	come upon after searching; find the location of something that was missed or lost; "Did you find your glasses?"; "I cannot find my gloves!"
720	n14473655	14473655-n	good fortune//luckiness//good luck	n	an auspicious state resulting from favorable outcomes
721	r00393149	00393149-r	low	r	in a low position; near the ground; "the branches hung low"
722	n00773814	00773814-n	attack//attempt	n	the act of attacking; "attacks on women increased last year"; "they made an attempt on his life"
723	n08621598	08621598-n	position//place	n	the particular portion of space occupied by something; "he put the lamp back in its place"
724	v00625119	00625119-v	read	v	interpret something that is written or printed; "read the advertisement"; "Have you read Salman Rushdie?"
728	a01010862	01010862-a	first	a	preceding all others in time or space or degree; "the first house on the right"; "the first day of spring"; "his first political race"; "her first baby"; "the first time"; "the first meetings of the new party"; "the first phase of his training"
729	n15168790	15168790-n	dawn//dawning//morning//aurora//first light//daybreak//break of day//break of the day//dayspring//sunrise//sunup//cockcrow	n	the first light of day; "we got up before dawn"; "they talked until morning"
730	n01726692	01726692-n	snake//serpent//ophidian	n	limbless scaly elongate reptile; some are venomous
731	n07881800	07881800-n	beverage//drink//drinkable//potable	n	any liquid suitable for drinking; "may I take your beverage order?"
733	v02289295	02289295-v	gain//take in//clear//make//earn//realize//realise//pull in//bring in	v	earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"
734	v01621555	01621555-v	produce//make//create	v	create or manufacture a man-made product; "We produce more cars than we can sell"; "The company has been making toys for two centuries"
735	n01621127	01621127-n	owl//bird of Minerva//bird of night//hooter	n	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
736	n03120198	03120198-n	court//courtyard	n	an area wholly or partly surrounded by walls or buildings; "the house was built around an inner court"
737	v02759614	02759614-v	ignite//light	v	cause to start burning; subject to fire or great heat; "Great heat can ignite almost any dry matter"; "Light a cigarette"
738	n00002452	00002452-n	thing	n	a separate and self-contained entity
740	n04194289	04194289-n	ship	n	a vessel that carries passengers or freight
741	v01930874	01930874-v	drive	v	operate or control a vehicle; "drive a car or bus"; "Can you drive this four-wheel truck?"
742	n08565894	08565894-n	end	n	a boundary marking the extremities of something; "the end of town"
743	n07291794	07291794-n	end//last//final stage	n	the concluding parts of an event or occurrence; "the end was exciting"; "I had to miss the last of the movie"
744	n07840804	07840804-n	egg//eggs	n	oval reproductive body of a fowl (especially a hen) used as food
745	n04190052	04190052-n	shelf	n	a support that consists of a horizontal surface for holding objects
747	n02834778	02834778-n	bicycle//bike//wheel//cycle	n	a wheeled vehicle that has two wheels and is moved by foot pedals
748	v01500873	01500873-v	sow//seed	v	place (seeds) in or on the ground for future growth; "She sowed sunflower seeds"
749	v02016523	02016523-v	enter//come in//get into//get in//go into//go in//move into	v	to come or go into; "the boat entered an area of shallow marshes"
752	n04202417	04202417-n	shop//store	n	a mercantile establishment for the retail sale of goods or services; "he bought it at a shop on Cape Cod"
753	n10665698	10665698-n	student//pupil//educatee	n	a learner who is enrolled in an educational institution
754	v00459498	00459498-v	rush//hasten//hurry//look sharp//festinate	v	act or move at high speed; "We have to rush!"; "hurry--it's late!"
755	v02212825	02212825-v	deny//refuse	v	refuse to let have; "She denies me every pleasure"; "he denies her her weekly allowance"
757	n02928608	02928608-n	button	n	a round fastener sewn to shirts and coats etc to fit through buttonholes
758	n02008041	02008041-n	heron	n	grey or white wading bird with long neck and long legs and (usually) long bill
759	n14654954	14654954-n	silver//Ag//atomic number 47	n	a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
760	n03627232	03627232-n	knot	n	any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object
761	v01332730	01332730-v	cover	v	provide with a covering or cause to be covered; "cover her face with a handkerchief"; "cover the child with a blanket"; "cover the grave with flowers"
763	n01895735	01895735-n	hide//pelt//skin	n	body covering of a living animal
765	v01850315	01850315-v	move//displace	v	cause to move or shift into a new position or place, both in a concrete and in an abstract sense; "Move those boxes into the corner, please"; "I'm moving my money to another bank"; "The director moved more responsibilities onto his new assistant"
767	n05218119	05218119-n	cadaver//corpse//stiff//clay//remains	n	the dead body of a human being; "the cadaver was intended for dissection"; "the end of the police search was the discovery of a corpse"; "the murderer confessed that he threw the stiff in the river"; "honor comes to bless the turf that wraps their clay"
768	n07575076	07575076-n	lunch//luncheon//tiffin//dejeuner	n	a midday meal
769	n04105068	04105068-n	roof	n	a protective covering that covers or forms the top of a building
770	n03262349	03262349-n	earring	n	jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
772	n02827606	02827606-n	belt	n	a band to tie or buckle around the body (usually at the waist)
773	v02203362	02203362-v	have//have got//hold	v	have or possess, either in a concrete or an abstract sense; "She has $1,000 in the bank"; "He has got two beautiful daughters"; "She holds a Master's degree from Harvard"
777	n03372029	03372029-n	flute//transverse flute	n	a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
778	n13556893	13556893-n	smoke//smoking	n	a hot vapor containing fine particles of carbon being produced by combustion; "the fire produced a tower of black smoke that could be seen for miles"
779	n03892891	03892891-n	part//portion	n	something less than the whole of a human artifact; "the rear part of the house"; "glue the two parts together"
781	n07519253	07519253-n	fear//fearfulness//fright	n	an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
782	n07475364	07475364-n	defeat//licking	n	an unsuccessful ending to a struggle or contest; "it was a narrow defeat"; "the army's only defeat"; "they suffered a convincing licking"
783	n07473441	07473441-n	victory//triumph	n	a successful ending of a struggle or contest; "a narrow victory"; "the general always gets credit for his army's victory"; "clinched a victory"; "convincing victory"; "the agreement was a triumph for common sense"
784	n11508382	11508382-n	snow//snowfall	n	precipitation falling from clouds in the form of ice crystals
785	a02321009	02321009-a	strong	a	having strength or power greater than average or expected; "a strong radio signal"; "strong medicine"; "a strong man"
786	n04127904	04127904-n	sail//canvas//canvass//sheet	n	a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
787	v01945516	01945516-v	sail	v	travel on water propelled by wind; "I love sailing, especially on the open sea"; "the ship sails on"
788	n04253437	04253437-n	soap	n	a cleansing agent made from the salts of vegetable or animal fats
789	n08160276	08160276-n	citizenry//people	n	the body of citizens of a state or country; "the Spanish people"
790	a01930512	01930512-a	ready	a	completely prepared or in condition for immediate action or use or progress; "get ready"; "she is ready to resign"; "the bridge is ready to collapse"; "I am ready to work"; "ready for action"; "ready for use"; "the soup will be ready in a minute"; "ready to learn to read"
791	n10661216	10661216-n	stranger	n	an individual that one is not acquainted with
792	v00375021	00375021-v	boil	v	come to the boiling point and change from a liquid to vapor; "Water boils at 100 degrees Celsius"
793	n14183210	14183210-n	boil//furuncle	n	a painful sore with a hard core filled with pus
794	n03906997	03906997-n	pen	n	a writing implement with a point from which ink flows
796	n05554653	05554653-n	nipple//mammilla//mamilla//pap//teat//tit	n	the small projection of a mammary gland
797	n05524615	05524615-n	testis//testicle//orchis//ball//ballock//bollock//nut//egg	n	one of the two male reproductive glands that produce spermatozoa and secrete androgens; "she kicked him in the balls and got away"
798	n05546040	05546040-n	jaw	n	the part of the skull of a vertebrate that frames the mouth and holds the teeth
799	n05584928	05584928-n	wrist//carpus//wrist joint//radiocarpal joint//articulatio radiocarpea	n	a joint between the distal end of the radius and the proximal row of carpal bones
800	n05562249	05562249-n	thigh	n	the part of the leg between the hip and the knee
801	n05279026	05279026-n	rib//costa	n	any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
803	n05578442	05578442-n	ankle//ankle joint//mortise joint//articulatio talocruralis	n	a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
804	n05519085	05519085-n	uterus//womb	n	a hollow muscular organ in the pelvic cavity of females; contains the developing fetus
805	n05588174	05588174-n	spinal column//vertebral column//spine//backbone//back//rachis	n	the series of vertebrae forming the axis of the skeleton and protecting the spinal cord; "the fall broke his back"
806	n02849154	02849154-n	blanket//cover	n	bedding that keeps a person warm in bed; "he pulled the covers over his head and went to sleep"
808	v01977701	01977701-v	drop	v	let fall to the ground; "Don't drop the dishes"
809	n04489008	04489008-n	trouser//pant	n	(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately; "he had a sharp crease in his trousers"
812	n10609325	10609325-n	slave	n	a person who is owned by someone
813	v00010435	00010435-v	act//behave//do	v	behave in a certain manner; show a certain behavior; conduct or comport oneself; "You should act like an adult"; "Don't behave like a fool"; "What makes her do this way?"; "The dog acts ferocious, but he is really afraid of people"
815	n08050678	08050678-n	government//authorities//regime	n	the organization that is the governing authority of a political unit; "the government reduced taxes"; "the matter was referred to higher authorities"
816	n13736799	13736799-n	one-half//half	n	one of two equal parts of a divisible whole; "half a loaf"; "half an hour"; "a century and one half"
819	n05395690	05395690-n	stomach//tummy//tum//breadbasket	n	an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
820	n02412440	02412440-n	lamb	n	young sheep
827	v01866610	01866610-v	roll//revolve	v	cause to move by turning over or in a circular manner of as if on an axis; "She rolled the ball"; "They rolled their eyes at his words"
828	n02508021	02508021-n	raccoon//racoon	n	an omnivorous nocturnal mammal native to North America and Central America
829	n04045644	04045644-n	rafter//balk//baulk	n	one of several parallel sloping beams that support a roof
832	n07724943	07724943-n	bean//edible bean	n	any of various edible seeds of plants of the family Leguminosae used for food
834	n05559256	05559256-n	buttocks//nates//arse//butt//backside//bum//buns//can//fundament//hindquarters//hind end//keister//posterior//prat//rear//rear end//rump//stern//seat//tail//tail end//tooshie//tush//bottom//behind//derriere//fanny//ass	n	the fleshy part of the human body that you sit on; "he deserves a good kick in the butt"; "are you going to sit on your fanny and do nothing?"
836	n04154565	04154565-n	screwdriver	n	a hand tool for driving screws; has a tip that fits into the head of a screw
837	a00370869	00370869-a	blue//bluish//blueish	a	of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky; "October's bright blue weather"- Helen Hunt Jackson; "a blue flame"; "blue haze of tobacco smoke"
838	n13810818	13810818-n	remainder//balance//residual//residue//residuum//rest	n	something left after other parts have been taken away; "there was no remainder"; "he threw away the rest"; "he took what he wanted and I got the balance"
840	n02054036	02054036-n	cormorant//Phalacrocorax carbo	n	large voracious dark-colored long-necked seabird with a distensible pouch for holding fish; used in Asia to catch fish
843	n01772222	01772222-n	spider	n	predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey
845	n00220522	00220522-n	murder//slaying//execution	n	unlawful premeditated killing of a human being by a human being
850	n13878951	13878951-n	square	n	something approximating the shape of a square
851	n04299370	04299370-n	stall	n	a compartment in a stable where a single animal is confined and fed
852	n10471250	10471250-n	priest//non-Christian priest	n	a person who performs religious duties and ceremonies in a non-Christian religion
853	n02699494	02699494-n	altar	n	a raised structure on which gifts or sacrifices to a god are made
854	n03612814	03612814-n	kettle//boiler	n	a metal pot for stewing or boiling; usually has a lid
856	v02409412	02409412-v	hire//engage//employ	v	engage or hire for work; "They hired two new secretaries in the department"; "How many people has she employed?"
858	n11462526	11462526-n	storm//violent storm	n	a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
859	n04330340	04330340-n	stove//kitchen stove//range//kitchen range//cooking stove	n	a kitchen appliance used for cooking food; "dinner was already on the stove"
860	n07326557	07326557-n	cause	n	events that provide the generative force that is the origin of something; "they are trying to determine the cause of the crash"
861	n10225219	10225219-n	judge//justice//jurist	n	a public official authorized to decide questions brought before a court of justice
862	n07859284	07859284-n	sugar//refined sugar	n	a white crystalline carbohydrate used as a sweetener and preservative
863	n03264542	03264542-n	edge	n	the outside limit of an object or area or surface; a place farthest away from the center of something; "the edge of the leaf is wavy"; "she sat on the edge of the bed"; "the water's edge"
864	n07715561	07715561-n	squash	n	edible fruit of a squash plant; eaten as a vegetable
867	n03441112	03441112-n	glove	n	handwear: covers the hand and wrist
868	n07753592	07753592-n	banana	n	elongated crescent-shaped yellow fruit with soft sweet flesh
873	n13308999	13308999-n	tax//taxation//revenue enhancement	n	charge against a citizen's person or property or activity for the support of government
874	n07596684	07596684-n	sweet//confection	n	a food rich in sugar
875	n09933098	09933098-n	cobbler//shoemaker	n	a person who makes or repairs shoes
876	n02733524	02733524-n	arch	n	(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it
877	n10297531	10297531-n	mason//stonemason	n	a craftsman who works with stone or brick
878	n05629682	05629682-n	Hell//perdition//Inferno//infernal region//nether region//pit	n	(Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment; "Hurl'd headlong...To bottomless perdition, there to dwell"- John Milton; "a demon from the depths of the pit"; "Hell is paved with good intentions"-Dr. Johnson
879	v00005815	00005815-v	cough	v	exhale abruptly, as when one has a chest cold or congestion; "The smoker coughs all day"
881	n10689564	10689564-n	tailor//seamster//sartor	n	a person whose occupation is making and altering garments
882	n01816887	01816887-n	parrot	n	usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
883	n02223266	02223266-n	termite//white ant	n	whitish soft-bodied ant-like social insect that feeds on wood
884	v02295208	02295208-v	partake//share//partake in	v	have, give, or receive a share of; "We shared the cake"
887	a02396098	02396098-a	bitter	a	causing a sharp and acrid taste experience;"quinine is bitter"
889	n13480848	13480848-n	fire//flame//flaming	n	the process of combustion of inflammable materials producing heat and light and (often) smoke; "fire was one of our ancestors' first discoveries"
890	n02390101	02390101-n	mule	n	hybrid offspring of a male donkey and a female horse; usually sterile
891	n07402519	07402519-n	tide	n	the periodic rise and fall of the sea level under the gravitational pull of the moon
892	n00028270	00028270-n	time	n	the continuum of experience in which events pass from the future through the present to the past
897	v01201856	01201856-v	swallow//get down	v	pass through the esophagus as part of eating or drinking; "Swallow the raw fish--it won't kill you!"
899	n10467179	10467179-n	president	n	the chief executive of a republic
900	n04468005	04468005-n	train//railroad train	n	public transport provided by a line of railway cars coupled together and drawn by a locomotive; "express trains don't stop at Princeton Junction"
901	n02681392	02681392-n	adobe//adobe brick	n	sun-dried brick; used in hot dry climates
902	n00848466	00848466-n	adultery//criminal conversation//fornication	n	extramarital sex that willfully and maliciously interferes with marriage relations; "adultery is often cited as grounds for divorce"
906	n13104059	13104059-n	tree	n	a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
907	n10377021	10377021-n	old woman	n	a woman who is old
908	n03249569	03249569-n	drum//membranophone//tympan	n	a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
911	n04407435	04407435-n	temple	n	place of worship consisting of an edifice for the worship of a deity
912	n02114855	02114855-n	coyote//prairie wolf//brush wolf//Canis latrans	n	small wolf native to western North America
913	n01579028	01579028-n	crow	n	black birds having a raucous call
914	n10566072	10566072-n	sculptor//sculpturer//carver//statue maker	n	an artist who creates sculptures
915	n04223580	04223580-n	sink	n	plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
916	n03672521	03672521-n	linen	n	a fabric woven with fibers from the flax plant
917	n02681518	02681518-n	adornment	n	a decoration of color or interest that is added to relieve plainness
919	n07721456	07721456-n	chili//chili pepper//chilli//chilly//chile	n	very hot and finely tapering pepper of special pungency
920	n07758680	07758680-n	grape	n	any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
921	n09468604	09468604-n	valley//vale	n	a long depression in the surface of the land that usually contains a river
923	v01775535	01775535-v	love	v	be enamored or in love with; "She loves her husband deeply"
924	n07707451	07707451-n	vegetable//veggie//veg	n	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
925	n12927013	12927013-n	cassava//manioc	n	cassava root eaten as a staple food after drying and leaching; source of tapioca
926	n12125890	12125890-n	rice	n	annual or perennial rhizomatous marsh grasses; seed used for food; straw used for paper
928	v01424456	01424456-v	embrace//hug//bosom//squeeze	v	squeeze (someone) tightly in your arms, usually with fondness; "Hug me, please"; "They embraced"; "He hugged her close to him"
930	n08672738	08672738-n	village//hamlet	n	a settlement smaller than a town
931	n12137120	12137120-n	sorghum	n	economically important Old World tropical cereal grass
932	n12123244	12123244-n	barley	n	cultivated since prehistoric times; grown for forage and grain
933	n04546855	04546855-n	wall	n	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure; "the south wall had a small window"; "the walls were covered with pictures"
934	n02407959	02407959-n	Old World buffalo//buffalo	n	any of several Old World animals resembling oxen including, e.g., water buffalo; Cape buffalo
936	n02377181	02377181-n	stallion//entire	n	uncastrated adult male horse
937	n01503061	01503061-n	bird	n	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
938	n02377480	02377480-n	mare//female horse	n	female equine animal
941	n07890750	07890750-n	mead	n	made of fermented honey and water
942	n07858978	07858978-n	honey	n	a sweet yellow liquid produced by bees
943	n09475292	09475292-n	waterfall//falls	n	a steep descent of the water of a river
945	n04270891	04270891-n	spear//lance//shaft	n	a long pointed rod used as a tool or weapon
946	n05399847	05399847-n	blood	n	the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets; "blood carries oxygen and nutrients to the tissues and carries away waste products"; "the ancients believed that blood was the seat of the emotions"
948	n07935504	07935504-n	water	n	a liquid necessary for the life of most animals and plants; "he asked for a drink of water"
950	n02041246	02041246-n	gull//seagull//sea gull	n	mostly white aquatic bird having long pointed wings and short legs
951	n04565375	04565375-n	weapon//arm//weapon system	n	any instrument or instrumentality used in fighting or hunting; "he was licensed to carry a weapon"
952	n11524662	11524662-n	weather//weather condition//conditions//atmospheric condition	n	the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation; "they were hoping for good weather"; "every day we have weather conditions and yesterday was no exception"; "the conditions were too rainy for playing in the snow"
953	n00773402	00773402-n	rape//violation//assault//ravishment	n	the crime of forcing a woman to submit to sexual intercourse against her will
956	v02075462	02075462-v	flee//fly//take flight	v	run away quickly; "He threw down his gun and fled"
957	n02062744	02062744-n	whale	n	any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
960	n11525955	11525955-n	wind//air current//current of air	n	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure; "trees bent under the fierce winds"; "when there is no wind, row"; "the radioactivity was being swept upwards by the air current and out into the atmosphere"
962	n10787470	10787470-n	woman//adult female	n	an adult female person (as opposed to a man); "the woman kept house while the man hunted"
963	n06410904	06410904-n	book	n	a written work or composition that has been published (printed on pages bound together); "I am reading a good book on economics"
964	n15104217	15104217-n	wool	n	fiber sheared from animals (such as sheep) and twisted into yarn for weaving
