SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
353	STRIKE	broader	2133	STRIKE OR BEAT
2463	MOON OR MONTH	narrower	1370	MONTH
2120	FINGER OR TOE	narrower	1389	TOE
1811	SOUND OR NOISE	narrower	1182	NOISE
2128	CLAW OR NAIL	narrower	1896	FINGERNAIL OR TOENAIL
781	FEAR (FRIGHT)	broader	2109	FEAR OR FRIGHTEN
262	HE OR SHE OR IT	broader	1218	ROPE
2551	ORGANIC FAT OR OIL	narrower	1484	OIL (ORGANIC SUBSTANCE)
2551	ORGANIC FAT OR OIL	narrower	323	FAT (ORGANIC SUBSTANCE)
2100	THATCH OR ROOF	narrower	279	THATCH
2347	YELLOW CROAKER	instanceof	227	FISH
907	OLD WOMAN	broader	962	WOMAN
2065	STEP (VERB)	similar	575	TREAD
305	GRANDPARENTS	sameas	2399	GRANDPARENT
1415	THINK (REFLECT)	broader	2271	THINK
1415	THINK (REFLECT)	similar	1513	THINK (BELIEVE)
1588	TURN	narrower	1444	TURN AROUND
1588	TURN	narrower	1445	TURN (SOMETHING)
1094	FASTEN	narrower	1917	TIE
2382	BLUE OR GREEN	narrower	1425	GREEN
501	LIFT	sameas	1317	RAISE
1200	HUSBAND	broader	2514	SPOUSE
76	YOUNG MAN	broader	1554	MAN
1906	SOUR	resultsin	2229	BECOME SOUR
1985	FATHER'S BROTHER	narrower	2174	PATERNAL UNCLE (FATHERS YOUNGER BROTHER)
995	QUIVER	sameas	52	SHIVER
636	MILL	requires	1033	GRIND
1040	HAIR	broader	2107	HAIR OR FOREHEAD
2543	RAVEN	broader	913	CROW
406	OLD MAN	broader	1554	MAN
984	WORK (LABOUR)	broader	2281	WORKING OR WORK
1766	FINISH	broader	2115	CEASE OR FINISH
356	SHEARS	sameas	1328	SCISSORS
1072	PRISONER	sameas	1073	CAPTIVE
2114	BELLY OR STOMACH	narrower	1251	BELLY
2114	BELLY OR STOMACH	narrower	819	STOMACH
1513	THINK (BELIEVE)	broader	2271	THINK
1519	RUN	broader	2220	MOVE QUICKLY
1495	HAPPY	resultsin	2192	REJOICE
701	SLOW	sameas	2165	SLOWLY
1099	RESIDE	sameas	363	DWELL (LIVE, RESIDE)
1422	BE ALIVE	sameas	2309	LIVE
2549	VEHICLE	narrower	122	CART
2209	BECOME EXTINGUISHED	resultsin	127	EXTINGUISH
562	SISTER (OF WOMAN)	narrower	2421	YOUNGER SISTER (OF WOMAN)
562	SISTER (OF WOMAN)	narrower	2419	OLDER SISTER (OF WOMAN)
2147	WHO OR WHAT	narrower	1236	WHAT
1213	YOU	narrower	2111	YOU TWO
354	POUND	narrower	1665	BEAT
2474	HER (GENITIVE OF SHE)	broader	2092	HIS OR HER
1819	LOOK	broader	1409	SEE
1581	ALLIGATOR	broader	1857	CROCODILE
1086	WORK (ACTIVITY)	broader	2281	WORKING OR WORK
1665	BEAT	broader	2133	STRIKE OR BEAT
2017	MIX	similar	696	STIR
2016	JEALOUSY	broader	40	ENVY
1212	WE	narrower	1130	WE (EXCLUSIVE)
330	HEADBAND	broader	331	HEADDRESS
2269	BREATH OR LIFE	narrower	870	BREATH
1101	SUFFER	narrower	2561	HURT (SENSE PAIN)
1215	THOU	narrower	2304	THEE (OBLIQUE CASE OF YOU)
29	GELD	sameas	2563	CASTRATE
2471	LADY	broader	962	WOMAN
2205	PEAK	narrower	1614	SUMMIT
949	WATER LEECH	broader	2273	LEECH
2279	NO OR NOT	narrower	1240	NOT
1100	COOK (SOMETHING)	narrower	2146	ROAST OR FRY
813	DO	broader	2575	DO OR MAKE
1262	BROTHER	narrower	560	BROTHER (OF WOMAN)
1262	BROTHER	narrower	559	BROTHER (OF MAN)
2175	PATERNAL AUNT	narrower	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)
2175	PATERNAL AUNT	narrower	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)
1411	LIE (REST)	broader	2116	REST OR SLEEP
1411	LIE (REST)	resultsin	215	LIE DOWN
931	MILLET	narrower	347	SORGHUM
2374	DREAM	produces	1920	DREAM (SOMETHING)
2118	MOUNTAIN OR HILL	narrower	639	MOUNTAIN
2118	MOUNTAIN OR HILL	narrower	614	HILL
1585	SLEEP	broader	2116	REST OR SLEEP
