ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
222	LAVISH	Modern world	Very generous; giving (money, praise, etc.) in abundance.	Property	
223	THRESHING-FLOOR	Agriculture and vegetation	Dry flat area where the grain is separated from the straw or husks by beating.	Person/Thing	
224	MORTAR CRUSHER	Food and drink	A bowl used to crush and grind ingredients with a pestle.	Person/Thing	
225	PESTLE	Food and drink	A heavy cylindrical object with a rounded end used for crushing and grinding.	Person/Thing	
226	TELL FORTUNES	Religion and belief	To predict information about a person's future.	Action/Process	
227	FISH	Animals	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).	Person/Thing	
228	CARVE	Basic actions and technology	To cut or to chip in order to form something.	Action/Process	
229	MOVE AWAY	Basic actions and technology	To change one's domicile or place of business.	Action/Process	
230	SWEEP	Basic actions and technology	To clean a surface with a broom.	Action/Process	
231	SHAVE	Clothing and grooming	To cut the hair close to the skin with a razor.	Action/Process	
232	FLEA	Animals	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH)	Person/Thing	
233	SNOWSHOE	Clothing and grooming	Footwear for walking over the snow.	Person/Thing	
234	PADDLE	Motion	A tool used for pushing against liquid, generally for the propulsion of a boat.	Person/Thing	
235	FLYING FOX	Animals	A large bat of the genus Pteropus of the family Pteropodidae.	Person/Thing	
236	STEPMOTHER	Kinship	The wife of one's biological father, other than one's biological mother.	Person/Thing	
237	STEPFATHER	Kinship	The husband of one's biological mother, other than one's biological father.	Person/Thing	
238	PRAWNS	Animals	A decapod crustacean of the suborder Dendrobranchiata.	Person/Thing	
239	FLOWER	Agriculture and vegetation	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.	Person/Thing	
240	ELECTION	Modern world	A process by which members of a population vote to choose a person to hold public office.	Person/Thing	
241	TREE STUMP	Agriculture and vegetation	A small remaining portion of the trunk of a tree with the roots still in the ground.	Person/Thing	
242	COST	Possession	To be priced at.	Action/Process	
243	FRESH	The physical world	Recently made, produced, or harvested (e.g. bread, scent, etc.).	Property	
244	LEFT	Spatial relations	Something that is on the left side relative to another object.	Property	
245	BROOM	Basic actions and technology	A tool used to sweep and clean the floor, made of a bundle of straws or twigs attached to a long handle.	Person/Thing	
246	THRUST	Motion	To push forcefully.	Action/Process	
247	TAN	The house	To treat skins and hides with tannic acid so as to convert them into leather.	Action/Process	
248	HAPPEN	Basic actions and technology	To come to pass.	Action/Process	
249	FOG	The physical world	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.	Person/Thing	
250	LIGHT (COLOR)	Sense perception	(Of color) having a relatively small amount of color components.	Property	
251	SHARPEN (SOMETHING)	Basic actions and technology	To make sharp or sharper.	Action/Process	
252	FRIGHTEN	Sense perception	To make someone afraid or anxious.	Action/Process	
