ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
1855	BIRCH	Agriculture and vegetation	A tree of the genus Betula, with small leaves and a trunk that is white with darker blotches.	Person/Thing	
1856	SOFT	Sense perception	A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).	Property	
1857	CROCODILE	Animals	Any large tropical reptile of the family Crocodylidae: order Crocodylia. They have a broad head, tapering snout, massive jaws, and a thick outer covering of bony plates. (Source: CED)	Person/Thing	
1858	FISHERMAN	Warfare and hunting	A person whose profession is catching fish.	Person/Thing	
1859	THIRD	Quantity	The ordinal form of the cardinal number three.	Other	
1860	BEAD	Clothing and grooming	A hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.	Person/Thing	
1861	ACTIVE	The physical world	Characterized by energetic activity.	Property	
1862	DONKEY	Animals	A domesticated animal, Equus asinus.	Person/Thing	
1863	AMAZING	Emotions and values	Causing great surprise or sudden wonder.	Property	
1864	HUNGER	Food and drink	A need of food.	Person/Thing	
1865	BUZZARD	Animals	Diurnal bird of prey belonging to the Accipitridae family.	Person/Thing	
1866	STUTTER	Speech and language	To have problems articulating the words, repeting sometimes some syllables.	Action/Process	
1867	COIN	Possession	A piece of currency, usually metallic and in the shape of a disc, but sometimes polygonal, or with a hole in the middle.	Person/Thing	
1868	VISIBLE	Sense perception	That one can see.	Property	
1869	BUY	Possession	To obtain in exchange for money or goods.	Action/Process	
1870	ANCHOR	Motion	Something, usually a heavy piece of metal with points which dig into the sea-bed, used to hold a boat in one position.	Person/Thing	
1871	CAMEL	Animals	A beast of burden, much used in desert areas, of the genus Camelus.	Person/Thing	
1872	DUIKER	Animals	Any of several ruminants of the family Bovidae, chiefly of Africa and Asia, having permanent, hollow, unbranched horns.	Person/Thing	
1873	ANTHILL	Animals	A mound of earth made by ants as they dig their nest.	Person/Thing	
1874	SAUSAGE	Food and drink	A length of intestine, stuffed with ground (organ) meat, and other ingredients. Instead of intestines, a different kind of wrapper can be used.	Person/Thing	
1875	REGRET	Emotions and values	To wish that a past event had not happened.	Action/Process	
1876	REINDEER	Animals	An Arctic and Subarctic-dwelling deer (Rangifer tarandus), a number of subspecies exist.	Person/Thing	
1877	EAST	Spatial relations	One of the four principal compass points, specifically 90°, conventionally directed to the right on maps. The direction of the rising sun.	Person/Thing	
1878	COCK	Warfare and hunting	The part of a firearm that hits the back of the bullet and sets it off, firing the gun.	Person/Thing	
1879	DANCE	Motion	To move with rhythmic steps or movements, especially in time to music.	Action/Process	
1880	PASSIONATE	Emotions and values	Characterized by intense emotion.	Property	
1881	ENOUGH	Quantity	All that is required, needed, or appropriate.	Other	
1882	BEFORE	Time	At a time before that.	Other	
1883	IN FRONT OF	Spatial relations	In front of in space	Other	
1884	HARD	Sense perception	Resistant to pressure.	Property	
1885	ARMADILLO	Animals	(family Dasypodidae) Burrowing chiefly nocturnal mammal with body covered with strong horny plates.	Person/Thing	
1886	ARMPIT	The body	The hollow under the upper part of the arm at the shoulder.	Person/Thing	
1887	CHEAP	Possession	Low in price.	Property	
1888	PAIR	Quantity	Two similar or identical things taken together.	Person/Thing	
1889	ARSON	Law	The crime of setting fire to a building or a property on purpose.	Person/Thing	
1890	BELIEVE	Cognition	To be confident about something.	Action/Process	
1891	PUMA	Animals	Species of feline (Puma concolor) tawny-colored with black-tipped ears and tail.	Person/Thing	
1892	TOUCH	Sense perception	To be in physical contact with.	Action/Process	
1893	QUAIL	Animals	(Coturnix coturnix) Small (17 cm) rotund bird from the pheasant family (Phasianidae)	Person/Thing	
1894	ASHAMED	Emotions and values	Feeling shame or guilt.	Property	
1895	CLOTHES	Clothing and grooming	All coverings designed to be worn on a person's body.	Person/Thing	
1896	FINGERNAIL OR TOENAIL	The body	Hard keratin part growing at the end of a human's finger or toe.	Person/Thing	
1897	HELP	Social and political relations	To give assistance or aid to.	Action/Process	
1898	SPECTACLES	Modern world	A pair of lenses in a frame that are worn in front of the eyes and are used to correct faulty vision or protect the eyes.	Person/Thing	
1899	MAD	Cognition	Mentally ill.	Property	
1900	ASTONISHED	Emotions and values	Filled with the emotional impact of overwhelming surprise or shock.	Property	1572
1901	SHOVEL	Agriculture and vegetation	A tool consisting of a stick (usually out of wood) and a bigger, slightly humped surface (usually out of metal), which is used to move material such as earth, snow, grain, etc. from one place to another.	Person/Thing	
1902	BETRAY	Cognition	To cause someone to believe an untruth; to practice trickery or fraud.	Action/Process	
1903	SWELLING	The body	Abnormal protuberance or localized enlargement.	Person/Thing	
1904	DROWN	The body	To be suffocated in water or other fluid; to perish by suffocation in water.	Action/Process	
1905	EAGLE	Animals	Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.	Person/Thing	
1906	SOUR	Sense perception	Having an acid, sharp or tangy taste.	Property	
1907	MOLE	Animals	Small insectivorous mammal, especially of the family Talpidae, living chiefly underground, and having velvety fur, very small eyes, and strong forefeet.	Person/Thing	
1908	ATTENTIVE	Cognition	Giving attention.	Property	
1909	SHAKE	Motion	To cause (something) to move rapidly from side to side.	Action/Process	
1910	STINGRAY	Animals	Any of various large, venomous rays, of the orders Rajiformes and Myliobatiformes, having a barbed, whiplike tail.	Person/Thing	
1911	DRAW (WATER)	Basic actions and technology	To draw by a physical force causing or tending to cause to approach, adhere, or unite	Action/Process	
1912	RESPECT (NOUN)	Emotions and values	An attitude of admiration or esteem.	Person/Thing	
1913	PRESS	Basic actions and technology	To apply pressure to an item.	Action/Process	
1914	DEBT	Possession	Something owed to someone else.	Person/Thing	
1915	FIR	Agriculture and vegetation	An evergreen coniferous tree of the genus Abies.	Person/Thing	
1916	GILL	Animals	The breathing organ of fish and other aquatic animals.	Person/Thing	
1917	TIE	Basic actions and technology	To establish connection between two or more things.	Action/Process	
1918	MANE	The body	The long hair in the neck of horses and lions.	Person/Thing	
1919	TORCH	The house	A stick with a flame on one end used as a light source.	Person/Thing	
1920	DREAM (SOMETHING)	The body	To experience while sleeping.	Action/Process	
1921	PLOUGH	Agriculture and vegetation	To use a plough on to prepare for planting.	Action/Process	
1922	LAND (DESCEND)	Motion	To descend to a surface, especially from the air.	Action/Process	
1923	ROUGH	Sense perception	Having a texture that has much friction. Not smooth.	Property	
1924	VEIN	The body	A blood vessel that transports blood from the capillaries back to the heart.	Person/Thing	
1925	ARTERY	The body	A blood vessel transporting blood away from the heart.	Person/Thing	
1926	OINTMENT	Clothing and grooming	A semisolid preparation intended for external application to the skin or mucous membranes. (source: UMLS)	Person/Thing	
1927	BAMBOO	Agriculture and vegetation	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.	Person/Thing	
1928	CEASE	Time	To have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical.	Action/Process	
1929	STUDY	Cognition	To follow a course of study; to be enrolled at an institute of learning.	Action/Process	
1930	RAVINE	The physical world	A deep narrow valley or gorge in the earth's surface worn by running water.	Person/Thing	
1931	BEESWAX	Animals	a yellowish or dark brown wax secreted by honeybees for constructing honeycombs.	Person/Thing	
1932	GUESS	Cognition	To suppose, to estimate or to make a surmise.	Action/Process	
1933	LOOSEN	Basic actions and technology	To make undone or untied ; to free from any fastening.	Action/Process	
1934	BEGGAR	Possession	A person who begs.	Person/Thing	
1935	ANUS	The body	The lower opening of the digestive tract, through which faeces pass.	Person/Thing	
1936	DEER	Animals	The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.	Person/Thing	
1937	THERE	Miscellaneous function words	In a not completely determined place which is not here.	Other	
1938	FORTRESS	Warfare and hunting	A fortified place; a large and permanent fortification, sometimes including a town.	Person/Thing	
1939	SWEAR	Law	To declare or affirm solemnly and formally as true.	Action/Process	
1940	GUARD	Warfare and hunting	A person who protects or watches over something.	Person/Thing	
1941	SOLDIER	Warfare and hunting	A person who is actively engaged in battle, conflict or warfare.	Person/Thing	
1942	NEAR	Spatial relations	Not far distant in time or space or degree or circumstances.	Property	
1943	CROWN (OF HEAD)	The body	A royal, imperial or princely headdress; a diadem.	Person/Thing	
1944	GOD	Religion and belief	The deity of a monotheistic religion.	Person/Thing	
1945	IDOL	Religion and belief	A representation of a deity, notably a statue or a statuette.	Person/Thing	
1946	INITIATION CEREMONY	Religion and belief	A formal entry into an organization or position or office.	Person/Thing	
1947	BASTARD	Kinship	A child born of parents not married to each other.	Person/Thing	
1948	SAW	Basic actions and technology	A tool with a toothed blade used for cutting hard substances, in particular wood or metal.	Person/Thing	
1949	BEDBUG	Animals	A small blood-sucking insect that lives in houses, especially beds.	Person/Thing	
1950	BEECH	Agriculture and vegetation	Any tree of the genus Fagus, of temperate regions, having a smooth gray bark and bearing small, edible, triangular nuts.	Person/Thing	
1951	PASS	Time	Of time, to elapse, to be spent.	Action/Process	
1952	TORTURE	Warfare and hunting	To intentionally inflict physical or mental suffering upon a person or an animal in order to punish, to coerce or for sheer cruelty.	Action/Process	
1953	ABUSE	Law	Improper or excessive treatment or usage (e.g. alchool); application to a wrong or bad purpose (e.g. public funds).	Person/Thing	
1954	GENTLE	Emotions and values	Tender and amiable; of a considerate or kindly disposition.	Property	
1955	GRIEVE	Emotions and values	To express deep sorrow for.	Action/Process	
1956	SUNFLOWER	Agriculture and vegetation	Annual plant with a large yellow flowering head of the genus Helianthus and the family of the Asteraceae.	Person/Thing	
1957	GOITER	The body	Enlargement of the thyroid gland.	Person/Thing	
1958	UNRIPE	Food and drink	That is not yet ripe (edible fruit), usually hard and sour.	Property	
1959	RAW	Food and drink	That has not been cooked (food).	Property	
1960	CORNFLOWER	Agriculture and vegetation	A composite plant, Centaurea cyanus, having narrow leaves and blue flower heads.	Person/Thing	
1961	NECKLACE	Clothing and grooming	An article of jewelry that is worn around the neck.	Person/Thing	
1962	ROAST (SOMETHING)	Food and drink	To expose to heat without adding fat or water until it is cooked, has a brown crust and becomes crispy.	Action/Process	
1963	IMMEDIATELY	Time	In an immediate manner; instantly or without delay.	Other	
1964	ALONE	Quantity	Without any others being included or involved.	Property	
1965	LOINCLOTH	Clothing and grooming	A cloth worn to cover the loins.	Person/Thing	
1966	BUNCH	Food and drink	A group of things fastened or growing together.	Person/Thing	
1967	CALENDAR	Modern world	A table showing the months and days of the year.	Person/Thing	
1968	SOYA SAUCE	Food and drink	Sauce made from soybeans (soya beans), roasted grain, water and salt and is used as flavoring mainly in Asian cuisine.	Person/Thing	
1969	MANTOU	Food and drink	Steamed bun made of flour, water and yeast originating from Chinese cuisine.	Person/Thing	
1970	CANOE	Motion	A light narrow boat driven by a paddle.	Person/Thing	
1971	FAN (OBJECT)	Basic actions and technology	A device for creating a current of air by movement of a surface or surfaces. (WN:360)	Person/Thing	
1972	KID	Animals	A young goat.	Person/Thing	
1973	DEMON	Religion and belief	Evil spirit or person that is wicked or cruel in their actions.	Person/Thing	
1974	CENTIPEDE	Animals	Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.	Person/Thing	
1975	CHECK	Cognition	To see if something is correct.	Action/Process	
1976	MERRY	Emotions and values	In good spirits.	Property	
1977	DEW	The physical world	Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.	Person/Thing	
1978	RECOVER	The body	To return to health and strength after illness.	Action/Process	
1979	CHISEL	Basic actions and technology	A tool with a cutting edge at the end.	Person/Thing	
1980	WANTON	Food and drink	Stuffed dough wrap found in Chinese cuisine.	Person/Thing	
1981	WIDOWER	Kinship	A man whose spouse has died.	Person/Thing	
1982	WHIRLPOOL	The physical world	A rapidly rotating body of water.	Person/Thing	
1983	SNORE	The body	To make a noise during sleep by vibration of soft respiratory tissues (soft palate, base of the tongue and pharyngeal walls), particularly during inhalation.	Action/Process	
1984	MOTHER'S BROTHER	Kinship	The brother of someone’s mother.	Person/Thing	
1985	FATHER'S BROTHER	Kinship	The brother of someone’s father.	Person/Thing	
1986	DISEASE	The body	A definite pathological process having a characteristic set of signs and symptoms which are detrimental to the well-being of the individual.	Person/Thing	
1987	CHOPSTICKS	Food and drink	A pair of small equal-length tapered sticks, which are generally believed to have originated in ancient China, and are the traditional eating utensils of China, Japan, Korea, Taiwan, and Vietnam.	Person/Thing	
1988	RIBES	Agriculture and vegetation	A member of the genus Ribes in the gooseberry family Grossulariaceae, native to parts of western Europe (France, Belgium, Netherlands, Germany, and northern Italy). It is a deciduous shrub normally growing to 1-1.5 m tall, occasionally 2 m, with five-lobed leaves arranged spirally on the stems.	Person/Thing	
1989	CALF	Animals	Young cattle.	Person/Thing	
1990	BECOME	Miscellaneous function words	To begin to be; to come to be; to turn into.	Action/Process	
1991	INTESTINES	The body	The alimentary canal of an animal through which food passes after having passed all stomachs.	Person/Thing	
1992	MORE	Quantity	[Used in forming the comparative form of many adjectives and almost all comparable adverbs.]	Other	
1993	SELF	Kinship	The essential qualities that make a person or a thing distinct from all others.	Other	
1994	COLLARBONE	The body	Bone linking the scapula and sternum.	Person/Thing	
1995	DEFECT	Modern world	A fault or malfunction.	Person/Thing	
1996	GET TIRED	The body	To become tired through overuse or great strain or stress.	Action/Process	
1997	PRESERVE	Possession	To protect; to keep; to maintain the condition of.	Action/Process	
1998	COMMAND	Social and political relations	That which is enjoined or ordered to one or several persons by a superior authority.	Action/Process	
1999	OVERCOME	Motion	To surmount a physical or an abstract obstacle.	Action/Process	
2000	CLOVE	Agriculture and vegetation	The aromatic flower bud of a clove tree, used as a spice.	Person/Thing	
2001	PAINTING	Basic actions and technology	To make a painting or drawing.	Action/Process	
2002	DITCH	Agriculture and vegetation	A long, narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway, channel, or trench for conveying water for drainage or irrigation, and usually smaller than a canal. Some ditches may be natural watercourses.	Person/Thing	
2003	FLOW	Motion	To move as a fluid from one position to another (e.g. of water or of people).	Action/Process	
2004	BEND	Basic actions and technology	Movement that causes the formation of a curve.	Action/Process	
2005	MASK	Clothing and grooming	A cover, or partial cover, for the face, used for disguise or protection.	Person/Thing	
2006	FILL	Quantity	To make full.	Action/Process	
2007	BOLT (OF LIGHTNING)	The physical world	A sudden, short, temporary burst of light.	Person/Thing	
2008	RESCUE	Possession	To free from harm or evil.	Action/Process	
2009	DOG	Animals	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.	Person/Thing	
2010	INVESTIGATE	Cognition	To look into carefully in order to uncover (find) facts or information.	Action/Process	
2011	COFFIN	The body	The box in which the body of a dead person is placed for burial.	Person/Thing	
2012	COLLAR	Clothing and grooming	The part of a garment that encircles the neck.	Person/Thing	
2013	BAIT	Warfare and hunting	Anything that serves as an enticement.	Person/Thing	
2014	GO DOWN (DESCEND)	Motion	To go from a higher to a lower place.	Action/Process	
2015	MAKE DRY	Basic actions and technology	To remove the moisture and make dry.	Action/Process	
2016	JEALOUSY	Emotions and values	A jealous feeling, disposition, state, or mood.	Person/Thing	
2017	MIX	Food and drink	To mix together different elements.	Action/Process	
2018	GREEDY	Emotions and values	Excessively desirous of money, wealth or possessions.	Property	
2019	HAMMOCK	The house	A swinging couch or bed, usually made of netting or canvas about six feet (1.8 m) wide, suspended by clews or cords at the ends.	Person/Thing	
2020	PLAINTIFF	Law	One who commences a legal process by a complaint.	Person/Thing	
2021	GRASP	Possession	Get the meaning of something.	Action/Process	
2022	ADMIT	Speech and language	To admit to be true.	Action/Process	
2023	CROWD	Quantity	A large group of people.	Person/Thing	
2024	PLOT	Social and political relations	Agreement on a secret plot.	Person/Thing	
2025	PEA	Food and drink	An annual plant originally from the Mediterranean basin and the Near East.	Person/Thing	
2026	RICE PLANT	Agriculture and vegetation	An erect grass, Oryza sativa, that grows in East Asia on wet ground and has drooping flower spikes and yellow oblong edible grains that become white when polished.	Person/Thing	
2027	SOYA	Agriculture and vegetation	An annual plant native to East Asia that is widely cultivated for its fruit.	Person/Thing	
2028	SOYA BEAN	Food and drink	The edible seed of the soybean plant which contains a lot of protein.	Person/Thing	
2029	TUG	Basic actions and technology	A great force, applied in order that an object will move towards the origin of the force that was applied to it.	Action/Process	
2030	DRAG	Basic actions and technology	To draw slowly or heavily.	Action/Process	
2031	PUT OUT TO PASTURE	Agriculture and vegetation	To put livestock into a field or pasture or meadow to graze.	Action/Process	
2032	WARM UP	Basic actions and technology	To make warm or warmer.	Action/Process	
2033	DELIVER	Basic actions and technology	To bring or transport something to its destination.	Action/Process	
2034	FROST	Sense perception	A deposit of interlocking ice crystals formed by direct sublimation on objects. (Source: MGH)	Person/Thing	
2035	POND	The physical world	A natural body of standing fresh water occupying a small surface depression, usually smaller than a lake and larger than a pool.	Person/Thing	
2036	JANUARY	Time	The first month of the Gregorian calendar, having 31 days.	Person/Thing	
2037	FEBRUARY	Time	The second month of the Gregorian calendar, having 29 days in a leap year and 28 in other years.	Person/Thing	
2038	DRAGON	Animals	A mythical creature typically depicted as a large horned serpent (Asia) or a winged, fire-breathing reptile (Europe), with magical or spiritual qualities.	Person/Thing	
2039	MAGPIE	Animals	One of several kinds of bird in the family Corvidae, especially Pica pica.	Person/Thing	
2040	BUCKWHEAT	Agriculture and vegetation	(Fagopyrum esculentum) An annual plant with clusters of small pinkish white flowers and small edible triangular seeds which are used whole or ground into flour.	Person/Thing	
2041	HEMP	Agriculture and vegetation	A tall annual herb, Cannabis sativa, native to Asia.	Person/Thing	
2042	WALNUT	Agriculture and vegetation	Large deciduous tree (Juglans regia) in the Walnut Family (Juglandaceae) which produces an edible fruit with a hard shell and oil-rich seed.	Person/Thing	
2043	PEACH	Agriculture and vegetation	The soft, sweet, juicy fruit of the peach tree, usually with a red or orange skin, yellow flesh and a large stone inside.	Person/Thing	
2044	PERSIMMON	Agriculture and vegetation	Edible fruit of a number of species of trees of the genus Diospyros in the ebony wood family.	Person/Thing	
2045	COLUMN	The house	An upright supporting beam.	Person/Thing	
2046	APRON	Clothing and grooming	A piece of cloth or plastic, worn over the front of the clothes for protection against dirt.	Person/Thing	
2047	STRAW SANDAL	Clothing and grooming	An open type of outdoor footwear leaving most of the upper part of the foot exposed, particularly the toes.	Person/Thing	
2048	QUILT	Clothing and grooming	To stitch or sew together.	Person/Thing	
2049	CONGEE	Food and drink	A type of rice porridge or gruel popular in many Asian countries	Person/Thing	
2050	ALCOHOL (DRINK)	Food and drink	A drink (a liquor or brew) containing ethanol, commonly known as alcohol.	Person/Thing	404
2051	DUSTPAN	Basic actions and technology	A cleaning utensil, commonly used in combination with a broom or brush.	Person/Thing	
2052	BUCKET	Basic actions and technology	Typically a watertight, vertical cylinder or truncated cone, with an open top and a flat bottom, attached to a semicircular carrying handle called the bail.	Person/Thing	
2053	SMALL BOWL	Food and drink	A small utensil for eating fluid food.	Person/Thing	
2054	CHOPSTICK	Food and drink	A utensil in the form of a narrow stick used in pairs in China, Japan, Korea, and Vietnam to eat food.	Person/Thing	1987
2055	CLAY POT	Food and drink	A container for food and other things made from clay.	Person/Thing	
2056	WOK	Food and drink	A versatile round-bottomed cooking vessel, originated from China.	Person/Thing	
2057	DUNG (ANIMAL FAECES)	Animals	Animal faeces.	Person/Thing	
2058	STOOL	The house	A chair without back and arm rests.	Person/Thing	
2059	FOLK SONG	Speech and language	A traditional piece of music with words to sing.	Person/Thing	
2060	STORY	Speech and language	A retelling of real or fictive events.	Person/Thing	
2061	BUDDHA	Religion and belief	One who has purified obscurations (སངས) and developed pristine cognition (རྒྱས).	Person/Thing	
2062	INTEREST	Possession	A sum paid or charged for the use of money or for borrowing money over a given time period.	Person/Thing	
2063	CLOSE (EYES)	Basic actions and technology	Move ones eyelids in such a way that the eyes are no longer visible.	Action/Process	
2064	SCATTER (SEEDS)	Basic actions and technology	To distribute seeds over a field.	Action/Process	
2065	STEP (VERB)	Basic actions and technology	To move the foot in walking; to advance or recede by raising and moving one of the feet to another resting place, or by moving both feet in succession.	Action/Process	
2066	PULL UP (RICE SEEDLINGS)	Basic actions and technology		Action/Process	
2067	STEAM (VERB)	Food and drink	A method of cooking using steam.	Action/Process	
2068	BRAISE (VERB)	Food and drink	A method of cooking using steam that avoids overcooking or burning food.	Action/Process	
2069	SOAK (VERB)	Food and drink	To put into water in order to soften something, e.g. seeds.	Action/Process	
2070	COMB (VERB)	Clothing and grooming	To groom the hair with a comb or a similar object.	Action/Process	
2071	LAY (VERB)	Basic actions and technology	To place down in a position of rest, or in a horizontal position.	Action/Process	
2072	USE (VERB)	Basic actions and technology	To employ an object, often to reach a certain goal; to put into service.	Action/Process	
2073	ROB (VERB)	Basic actions and technology	To illegally take something from, especially using force or violence.	Action/Process	
2074	CROW (VERB)	Basic actions and technology	To utter the characteristic cry of a rooster.	Action/Process	
2075	BROOD (VERB)	Animals	To keep an egg warm to make it hatch.	Action/Process	
2076	SPROUT (VERB)	Basic actions and technology	The process by which a plant grows from a seed.	Action/Process	
2077	DILIGENT	Emotions and values	Being busy-working.	Property	
2078	TEN THOUSAND	Quantity	The natural number ten thousand (10000).	Number	
2079	CUNNING PERSON	Emotions and values	A smart and witty person.	Person/Thing	
2080	BOWL (CLASSIFIER)	Quantity	classifier for bowl-like objects	Classifier	
2081	CHICKEN (CLASSIFIER)	Quantity	classifier for bird-like animals	Classifier	
2082	KNIFE (CLASSIFIER)	Quantity	classifier for knife-like objects	Classifier	
2083	AXE (CLASSIFIER)	Quantity	classifier for axe-like objects	Classifier	
2084	ROPE (CLASSIFIER)	Quantity	classifier for rope-like objects	Classifier	
2085	STICK (CLASSIFIER)	Quantity	classifier for stick-like objects	Classifier	
2086	GRAIN (CLASSIFIER)	Quantity	classifier for tiny objects, like rice	Classifier	
2087	DROP (CLASSIFIER)	Quantity	classifier for small units of liquid, like water	Classifier	
2088	CLOTHING (CLASSIFIER)	Quantity	classifier for things that one wears	Classifier	
2089	PAIR (CLASSIFIER)	Quantity	classifier for objects that occur in pairs	Classifier	
2090	MY	Possession	Belonging to me.	Other	
2091	YOUR	Possession	belonging to the second person that is addressed by the first person	Other	732
2092	HIS OR HER	Possession	belonging to the third person that is addressed	Other	
2093	AFTERWARDS	Time	Later or after something else has happened or happens.	Other	
2094	DOWN OR BELOW	Spatial relations	Moving from a higher position to a lower one, or being at a lower position.	Other	
2095	FAT (FOR NOURISHMENT)	Food and drink	Soft liquid retrieved from animals or plant and used for cooking.	Person/Thing	
2096	ANIMAL OR MEAT	Food and drink	Any living organism that is characterized by voluntary movement, be it alive or ready prepared to be eaten.	Person/Thing	
2097	NOW OR TODAY	Time	On the current day or in the current moment.	Other	
2098	FOOT OR LEG	The body	Lower part of the human body which is used for walking.	Person/Thing	
2099	CHILD	Kinship	A young human or the descendant of a human.	Person/Thing	
2100	THATCH OR ROOF	The house	The cover of a house or a hut.	Person/Thing	
2101	BE DEAD OR DIE	Time	To cease or have ceased to live.	Action/Process	
2102	BURN	Basic actions and technology	To put fire on something or to be on fire.	Action/Process	
2103	PAINFUL OR SICK	Emotions and values	To cause pain or to be ill.	Other	
2104	HOLD OR TAKE	Basic actions and technology	To grasp something or to carry something in ones hands.	Action/Process	
2105	FEMALE PERSON	Kinship	A human belonging to the female sex.	Person/Thing	
2106	MALE PERSON	Kinship	A human belonging to the male sex.	Person/Thing	
2107	HAIR OR FOREHEAD	The body	The head hear or the forehead of a person.	Person/Thing	
2108	RAINING OR RAIN	The physical world	The process by which water falls from the clouds or the water that falls from the clouds.	Person/Thing	
2109	FEAR OR FRIGHTEN	Emotions and values	To be scared or to scare someone.	Action/Process	
2110	WARM (OF WEATHER)	The physical world	Having a pleasant temparture (of weather).	Property	
2111	YOU TWO	Kinship	Addressing two persons (second person dual).	Other	
2112	OLD (AGED)	Time	To be old (of persons).	Other	
2113	OLD (USED)	Time	To be old (of things).	Other	
2114	BELLY OR STOMACH	The body	The lower part of the front of the torso, including the interior part below.	Person/Thing	
2115	CEASE OR FINISH	Basic actions and technology	To stop doing something, voluntarily or involuntarily.	Action/Process	
2116	REST OR SLEEP	Basic actions and technology	Lie down or sleep.	Action/Process	
2117	DESIRE	Emotions and values	To want to do something, to wish for something to happen, or to have affection for someone.	Action/Process	
2118	MOUNTAIN OR HILL	The physical world	A small or big rise in the surface of the earth.	Person/Thing	
2119	BOW STRING	Basic actions and technology	The string of a bow used to hunt.	Person/Thing	
2120	FINGER OR TOE	The body	Limb of the human body found in the hands and foots of humans and primates.	Person/Thing	
2121	ARM OR HAND	The body	Extremities emerging from the upper part of the human body.	Person/Thing	
2122	MOUNTAIN FOOT	The physical world	Lower part in front of a mountain, before the mountain begins.	Person/Thing	
2123	MOUNTAIN RIDGE	The physical world	A geological feature consisting of a chain of mountains or hills that form a continuous elevated crest for some distance	Person/Thing	
2124	SMELL	Sense perception	Perceive or emit odour.	Action/Process	
2125	STONE OR ROCK	The physical world	A naturally occurring solid aggregate of one or more minerals or mineraloids.	Person/Thing	
2126	EAR OR HEAR	The body	Either the organ with which one perceives noise, or the action of perceiving noise.	Person/Thing	
2127	BARK OR SKIN	The body	Cover of the bodies of animals and plants.	Person/Thing	
2128	CLAW OR NAIL	The body	The hard, keratin part growing at the feet of animals or the hands and legs of humans.	Person/Thing	
2129	BREAST OR MILK	The body	Either the organ of females which gives nourishing substance for newborns, or the substance itself.	Person/Thing	
2130	HEADGEAR	Clothing and grooming	Any element of clothing which is worn on one's head.	Person/Thing	
2131	TORCH OR LAMP	Basic actions and technology	Any portable device that produces light.	Person/Thing	
2132	SICKLE OR SCYTHE	Basic actions and technology	Any portable tool that is used to cut grass or cereal crops in agriculture.	Person/Thing	
2133	STRIKE OR BEAT	Basic actions and technology	To hit or strike, either repeatedly or a single time.	Action/Process	
2134	RAISE (A CHILD)	Basic actions and technology	To take care of an infant or some other living creature, usually until it can live indepentendly.	Action/Process	
2135	TRADE OR BARTER	Possession	To exchange goods with or without exchanging money.	Action/Process	
2136	BRASS INSTRUMENT (HORN OR TRUMPET)	Speech and language	Any musical instrument that is a member of the brass family of musical instruments, usually a horn or a trumpet.	Person/Thing	
2137	MAGICIAN	Religion and belief	A perspon who practices magic.	Person/Thing	
2138	LEGENDARY CREATURE	Religion and belief	A human or an animal described in non-historical or yet to be verified stories that sometimes involve the supernatural.	Person/Thing	2641
2139	MUROID (MOUSE OR RAT)	Animals	A large superfamily of rodents, including hamsters, gerbils, true mice and rats, and many other relatives.	Person/Thing	
2140	DAY OR SUN	The physical world	Either the bright object at the sky that illuminates the earth completely, or the time when the object illuminates the earth.	Person/Thing	
2141	TREE OR WOOD	Agriculture and vegetation	Either any  perennial plant with an elongated stem, or trunk, supporting branches and leaves, or the porous and vibrous structural tissue of which the stems of these plants consist.	Person/Thing	
2142	RUN AWAY	Basic actions and technology	Leave a dangerous situation by moving one's body away from it.	Action/Process	
2143	LONG OR TALL	Spatial relations	Having a vertical or a horizontal extent greater than the average.	Other	
2144	SPRING OR WELL	The physical world	A natural or human-made source of fresh water.	Person/Thing	
2145	ROAST (DEVICE)	Food and drink	A device that is used to roast meat or vegetables.	Person/Thing	
2146	ROAST OR FRY	Food and drink	Preparing food by exposing it to open fire or to hot fat.	Action/Process	
2147	WHO OR WHAT	Cognition	What person or which thing.	Other	
2148	PICK	Basic actions and technology	To take off the fruits or other useful parts of a plant.	Action/Process	
2149	CHOP (INTO PIECES)	Basic actions and technology	To chop meat, vegetables etc. into small pieces.	Action/Process	
2150	MATTER	Possession	That which is considered to exist as a separate physical entity.	Person/Thing	
2151	COARSE	Spatial relations	Unrefined with reference to material.	Property	
2152	THERE IS OR THERE ARE	Miscellaneous function words	Existing from the perspective of the speaker.	Action/Process	
2153	CARRY PERSON ON BACK	Motion	To hold or take some person fron one place to another on the back.	Action/Process	
2154	PLOUGH (INSTRUMENT)	Agriculture and vegetation	An agricultural device pulled through the ground in order to break it open into furrows for planting.	Person/Thing	
