ID	GLOSS	FREQUENCY
1693	THURSDAY	5
1692	FRIDAY	5
1690	FENCE	5
1687	PRAISE	5
1686	BEHIND	5
1681	WAIST	5
1671	TOWER	5
1666	MUTE	5
1664	RAFT	5
1648	ANVIL	5
1647	FOAL	5
1643	COUSIN	5
1642	NIECE	5
1640	SIBLING	5
1628	SQUIRREL	5
1626	EXPLAIN	5
1619	GRANDDAUGHTER	5
1612	LETTER	5
161	MISS (A TARGET)	5
158	PUT ON	5
1576	PILE UP	5
1565	HEAVEN	5
1556	YOLK	5
1550	PREVENT	5
1545	HOST	5
1544	SOMETIMES	5
1534	FEVER	5
1526	MEAL	5
151	RAZOR	5
1501	BORE	5
1465	BOX	5
1444	TURN AROUND	5
1384	SECOND	5
1367	CROSS	5
1362	STREET	5
1359	SEPARATE	5
1345	EWE	5
134	FAULT	5
1338	PEACE	5
1332	NEIGHBOUR	5
1324	SLIP	5
1311	VERY	5
1310	CLEVER	5
1302	FORK	5
1294	ZERO	5
129	CHOKE	5
1260	DAY (24 HOURS)	5
1193	STEAM	5
1192	THREATEN	5
1180	DAY BEFORE YESTERDAY	5
1179	DAY AFTER TOMORROW	5
117	IMITATE	5
1162	INTENTION	5
1154	OLIVE	5
1152	BEGET	5
1151	VEIL	5
1144	WITNESS	5
1128	ORDER	5
1122	WAGES	5
1121	SECRET	5
1117	LIKE	5
1113	WRAP	5
1109	WOUND	5
1098	WEIGH	5
1087	CONCEIVE	5
1082	MERCHANT	5
1081	BILL	5
1076	EMERGE, APPEAR	5
1072	PRISONER	5
1067	JUDGMENT	5
1063	NEPHEW	5
1061	ARMOUR	5
1059	STEPSON	5
1058	STEPDAUGHTER	5
1047	PURSUE	5
1045	POET	5
1042	CARPENTER	5
1034	DEFENDANT	5
1032	CITIZEN	5
1022	BOOTY	5
1021	TOWEL	5
102	COMMON COLD (DISEASE)	5
1012	LATCH	5
1002	STATUE	5
1000	ANXIETY	5
100	FAITHFUL	5
954	WELL	4
950	SEAGULL	4
95	SANDFLY	4
949	WATER LEECH	4
928	EMBRACE	4
911	TEMPLE	4
901	ADOBE	4
900	TRAIN	4
894	TOAD	4
891	TIDE	4
884	SHARE	4
88	BEEHIVE	4
853	ALTAR	4
852	PRIEST	4
849	SPRING (OF WATER)	4
829	RAFTER	4
81	FATHOM	4
808	DRIP (FALL IN GLOBULES)	4
80	DOORPOST	4
793	BOIL (OF SKIN)	4
777	FLUTE	4
771	HAT	4
77	YOUNG WOMAN	4
70	BRACKISH	4
699	SAD	4
68	TATTOO	4
661	RELIGION	4
643	NEED (NOUN)	4
642	MUSIC	4
616	HOSPITAL	4
612	HEAT	4
576	DANDRUFF	4
55	WHISPER	4
526	HOWL	4
486	MINISTER	4
46	HOLLOW OUT	4
426	MARRIED WOMAN	4
425	BE LATE	4
424	MARRIED MAN	4
416	OUTRIGGER	4
415	CARRY UNDER ARM	4
413	CARRY ON SHOULDER	4
412	CARRY IN HAND	4
394	SHAMAN, FOLK HEALER	4
392	MAGIC	4
391	BLESS	4
389	FISH TRAP	4
380	WRINKLED	4
378	PINCH	4
366	LIMP	4
365	SPLASH	4
362	STRING	4
360	FAN ACTION	4
36	PUBIC HAIR	4
355	CUT DOWN	4
335	MEETING HOUSE	4
334	COOKHOUSE	4
330	HEADBAND	4
327	PONCHO	4
32	EARWAX	4
316	PACA	4
313	AGOUTI	4
305	GRANDPARENTS	4
304	PREACH	4
303	ABSTAIN FROM FOOD	4
299	SCOLD	4
298	SHRIEK	4
296	CROUCH	4
292	RUG	4
290	ADZE	4
280	RIDGEPOLE	4
268	DRIBBLE	4
266	SCALE	4
259	ROUGH (OF SEA)	4
257	WORSHIP	4
2504	DIFFERENT	4
2499	KAPOK TREE	4
2398	MANGO	4
2377	FLASH (VERB)	4
2364	PEANUT	4
2310	US (OBLIQUE CASE OF WE)	4
2223	BE ANGRY	4
2191	LOW (HEIGHT)	4
219	TOILET	4
2183	RIGHT HAND	4
2182	LEFT HAND	4
2164	MARRY (AS MAN)	4
2156	CUT (WITH KNIFE)	4
2155	CUT (WITH SCISSORS)	4
2152	THERE IS OR THERE ARE	4
2142	RUN AWAY	4
2138	LEGENDARY CREATURE	4
2137	MAGICIAN	4
2136	BRASS INSTRUMENT (HORN OR TRUMPET)	4
2114	BELLY OR STOMACH	4
206	FIREFLY	4
205	TROUGH	4
2019	HAMMOCK	4
2013	BAIT	4
2006	FILL	4
2002	DITCH	4
1993	SELF	4
1990	BECOME	4
199	FAMINE	4
1985	FATHER'S BROTHER	4
1981	WIDOWER	4
1966	BUNCH	4
1962	ROAST (SOMETHING)	4
1957	GOITER	4
1945	IDOL	4
1922	LAND (DESCEND)	4
1916	GILL	4
1904	DROWN	4
1903	SWELLING	4
19	FISHING LINE	4
1888	PAIR	4
1883	IN FRONT OF	4
1860	BEAD	4
1858	FISHERMAN	4
1854	SPARROW	4
181	ANTEATER	4
1809	PIMPLE	4
18	EARLOBE	4
1786	DRY UP	4
1767	SCRAPE	4
1762	STONE (OF FRUIT)	4
1744	SPLEEN	4
1715	THIRTY	4
1679	LOAD	4
162	HICCOUGH	4
1604	TEMPLES	4
1589	HUMMINGBIRD	4
1584	BLISTER	4
1557	BEGINNING	4
1555	CHAMELEON	4
1551	FEMALE	4
1546	TWICE	4
1527	TICK	4
1479	DOLPHIN	4
1373	TEA	4
1349	CHURCH	4
1321	BOTTLE	4
1284	BANK	4
128	MUMBLE	4
1206	BARKING	4
119	DIVE	4
1182	NOISE	4
1170	TRAP (CATCH)	4
1148	BRUISE	4
1146	AUBERGINE	4
1137	TENDON	4
1134	DIVORCE	4
1126	CITRUS FRUIT	4
1075	TRAP (PITFALL)	4
107	OMEN	4
1069	GLUE	4
1049	MOLAR TOOTH	4
1026	LOW TIDE	4
991	FRY	3
990	CREEK (TIDAL)	3
966	BRAKE	3
947	STREAM	3
94	GRADUALLY	3
922	PEAR	3
915	SINK (BASIN)	3
912	COYOTE	3
874	CANDY	3
871	RATTLESNAKE	3
84	JUST	3
815	GOVERNMENT	3
811	SOUL	3
750	DROP	3
739	FEED	3
693	FROM	3
687	NOTHING	3
594	PIECE	3
59	ELECTRICITY	3
562	SISTER (OF WOMAN)	3
559	BROTHER (OF MAN)	3
521	TULE	3
518	SPARK	3
514	LAST YEAR	3
496	CUCUMBER	3
469	PANDANUS	3
466	CASSOWARY	3
434	SPIDER MONKEY	3
431	UPPER ARM	3
423	GET LOST	3
414	CARRY ON HEAD	3
409	FORKED BRANCH	3
408	MEN'S HOUSE	3
403	GARDEN-HOUSE	3
395	PILL	3
348	FISH POISON	3
317	PIRANHA	3
314	CAPYBARA	3
295	WHETSTONE	3
2632	AREA UNDER HOUSE	3
260	SAVANNA	3
2552	HARNESS (ARMOUR)	3
2528	SIZE (OF PERSON)	3
2526	POWER	3
2519	SEEING (VISUAL SENSE)	3
2518	HEARING (AURAL SENSE)	3
2511	GIBBON	3
2510	PORCUPINE	3
2509	EXCHANGE	3
2508	PANGOLIN	3
2506	LOOSE	3
2500	GINGER	3
25	DIRT	3
2498	OPIUM	3
2494	BAMBOO SHOOT	3
2489	ABACUS	3
248	HAPPEN	3
247	TAN	3
2461	WOLF-LIKE ANIMAL	3
2456	LARGE WILD HERBIVORE	3
2455	DREAMING OR DREAM	3
2432	MARRIAGE	3
242	COST	3
2414	OLDER BROTHER (OF MAN)	3
2408	CAKE	3
2406	HOME	3
2400	THEIR	3
2392	DAUGHTER OR GIRL	3
2381	FEATHER OR FUR OR HAIR	3
2378	THUNDER (VERB)	3
2368	GARLIC	3
2314	BROTHER-IN-LAW	3
2301	ME	3
2281	WORKING OR WORK	3
2277	WHOLE	3
2268	POTION	3
2267	SON-IN-LAW (OF MAN)	3
2266	SON-IN-LAW (OF WOMAN)	3
2265	DAUGHTER-IN-LAW (OF MAN)	3
2264	DAUGHTER-IN-LAW (OF WOMAN)	3
2257	MOTHER-IN-LAW (OF MAN)	3
2256	MOTHER-IN-LAW (OF WOMAN)	3
2255	FATHER-IN-LAW (OF MAN)	3
2254	FATHER-IN-LAW (OF WOMAN)	3
2246	BELL	3
2243	REPAIR	3
2241	WILD CAT	3
2234	FALL (OF SNOW AND RAIN)	3
2190	TASTE	3
2151	COARSE	3
2148	PICK	3
2147	WHO OR WHAT	3
2140	DAY OR SUN	3
2127	BARK OR SKIN	3
2120	FINGER OR TOE	3
2117	DESIRE	3
2101	DIE OR BE DEAD	3
2078	TEN THOUSAND	3
2072	USE (VERB)	3
2057	DUNG (ANIMAL FAECES)	3
2053	SMALL BOWL	3
2025	PEA	3
201	FARM	3
2005	MASK	3
1956	SUNFLOWER	3
1911	DRAW (WATER)	3
1865	BUZZARD	3
1816	BESIDE	3
1804	BOMB	3
1802	SCREW	3
1799	HYENA	3
1796	SLAUGHTER	3
1780	BILE	3
1777	RESEMBLE	3
1772	ELK	3
1755	UNDRESS	3
1720	SIGN	3
1716	FORTY	3
171	MOTHER'S SISTER	3
170	FATHER'S SISTER	3
169	IT	3
1684	BUD	3
1658	PUPIL	3
1650	WATCH	3
165	WALLABY	3
1638	TRUTH	3
1630	MACAW	3
1597	AIRPLANE	3
1478	WITHOUT	3
1379	TELEPHONE	3
1299	COFFEE	3
1194	BEAVER	3
1167	GRUEL	3
1129	PAINFUL	3
1116	DAMAGE	3
1104	NURSE	3
1097	ABANDON	3
1066	CRIME	3
1055	FATHER-IN-LAW	3
1023	STUMP OF TREE	3
1004	MUSCLE	3
993	RIVER BED	2
985	VINEGAR	2
97	THROUGH	2
969	CIGARETTE	2
899	PRESIDENT	2
898	TRADE	2
896	ANACONDA (WATER BOA)	2
869	BLADE	2
855	SEIZE	2
844	KIND (THING)	2
841	FISHING SPEAR	2
840	CORMORANT	2
836	SCREWDRIVER	2
828	RACCOON	2
823	SORCERER	2
818	WILLOW	2
814	DRESS UP	2
802	ADAM'S APPLE	2
747	BICYCLE	2
74	PUPPY	2
726	WHILE	2
725	OLD PERSON	2
696	STIR	2
689	BETWEEN	2
685	DECIDE	2
664	RESIN	2
662	BATTERY	2
656	POLICE	2
654	PLASTIC	2
651	SEAL	2
650	PETROLEUM	2
638	MOTORCYCLE	2
599	DRIVER'S LICENSE	2
596	POSTAGE STAMP	2
591	ADDRESS	2
58	LIQUID	2
564	YOUNG (OF MAN)	2
552	GROW UP	2
549	COPULATE	2
538	MULTITUDE	2
520	MANZANITA	2
519	SPOT	2
516	PERSON (CLASSIFIER)	2
513	THIS YEAR	2
491	CENTER	2
473	SPEAR (SOMEBODY)	2
472	PELICAN	2
458	DEAF PERSON	2
457	BLIND PERSON	2
448	STORM CLOUDS	2
446	LOWER ARM	2
439	CEBUS MONKEY	2
437	GUAN	2
436	WHITE-LIPPED PECCARY	2
435	COLLARED PECCARY	2
433	HOWLER MONKEY	2
402	SURPASS	2
397	BIRTH CERTIFICATE	2
393	CIRCUMCISION	2
373	LONG AGO	2
37	LIBERATE	2
361	PEG	2
349	ACHIOTE	2
341	SICKLE	2
340	LASSO	2
34	STAIRS	2
336	PADLOCK	2
315	CURASSOW	2
311	BODY LOUSE	2
294	TUMPLINE	2
29	GELD	2
287	CONE	2
286	NEEDLE TREE	2
283	PADDY	2
28	MOISTEN	2
2614	SKIN (ANIMAL)	2
261	ARCTIC LIGHTS	2
2608	SCROLL	2
2606	COMPASS	2
2603	ACCORDION	2
2596	ESCALATOR	2
2593	STILTS	2
2591	RHINOCEROS	2
2589	WREATH	2
2585	RACQUET	2
2578	PENCIL	2
2577	YET	2
2576	ALREADY	2
2560	PATERNAL GRANDFATHER	2
2554	PRINCE (RULER)	2
2553	MISERY	2
2550	VIANDS (PROVISIONS)	2
2549	VEHICLE	2
2547	CITY	2
2546	BORDER	2
2545	HARROW (TOOL)	2
2542	HERB	2
2541	MIRACLE	2
2540	LIME (MATERIAL)	2
254	STICKING	2
2539	PIT (POTHOLE)	2
2538	TRENCH (FOSSE)	2
2537	LENGTH	2
2536	BREADTH	2
2535	ALTITUDE	2
2534	DEPTH	2
2533	WATERSIDE	2
2532	TORNADO	2
253	CARE FOR	2
2529	BLESSED	2
2524	JOY	2
2523	HOWLING	2
2522	SCREAMING	2
2521	FEELING (HAPTIC SENSE)	2
2520	SMELLING (OLFACTORY SENSE)	2
251	SHARPEN (SOMETHING)	2
2507	DISGUSTING	2
2505	BEDROOM	2
2501	RICE HUSK	2
2496	ADORNED	2
2492	BOIL (SOMETHING)	2
2482	TOGETHER	2
2470	DEAR	2
2469	AGAINST	2
2468	BAG	2
2467	GAME	2
2447	WOODPECKER	2
2436	GUTS OR HEART	2
2430	OFFICE	2
2428	LIBRARY	2
2427	FUTURE	2
2421	YOUNGER SISTER (OF WOMAN)	2
2420	YOUNGER SISTER (OF MAN)	2
2419	OLDER SISTER (OF WOMAN)	2
2418	OLDER SISTER (OF MAN)	2
2417	YOUNGER BROTHER (OF WOMAN)	2
2416	YOUNGER BROTHER (OF MAN)	2
2415	OLDER BROTHER (OF WOMAN)	2
2409	BROWN	2
2401	PICTURE	2
240	ELECTION	2
2396	KNOCK	2
2395	CONGEAL (BLOOD)	2
2393	JOURNEY	2
2390	PECCARY	2
2389	COATI (COATIMUNDI)	2
2388	LIANA	2
2385	GUAN OR TURKEY	2
2383	AUNT OR MOTHER-IN-LAW	2
238	PRAWNS	2
2379	UP OR ABOVE	2
2374	DREAM	2
2372	SAGO PALM	2
2371	BREADFRUIT	2
2370	CUT NUT	2
2366	ONION	2
2354	CRICKET	2
2348	CRAB	2
233	SNOWSHOE	2
2317	SISTER-IN-LAW	2
2311	WOODS	2
2309	LIVE	2
2307	THIN (OF HAIR AND LEAF)	2
2305	THIN (OF HAIR AND THREAD)	2
2304	THEE (OBLIQUE CASE OF YOU)	2
2291	VOLCANO	2
2280	LOUSE OR NIT	2
2270	SAGO	2
2269	BREATH OR LIFE	2
2263	MALE (OF ANIMAL)	2
2260	FEMALE (OF PERSON)	2
2250	LEAF (LEAFLIKE OBJECT)	2
2248	KNOW (SOMEBODY)	2
2242	BEETLE	2
2230	UNTAMED OR WILD	2
2194	FRONT (PART)	2
216	MOVIE	2
2158	EARTH (WET SUBSTANCE)	2
2157	FINE OR THIN	2
2141	TREE OR WOOD	2
2134	RAISE (A CHILD)	2
2116	REST OR SLEEP	2
2111	YOU TWO	2
2097	NOW OR TODAY	2
2093	AFTERWARDS	2
2089	PAIR (CLASSIFIER)	2
2073	ROB (VERB)	2
2067	STEAM (VERB)	2
2065	STEP (VERB)	2
2063	CLOSE (EYES)	2
2062	INTEREST	2
2052	BUCKET	2
2046	APRON	2
2043	PEACH	2
2038	DRAGON	2
1987	CHOPSTICKS	2
1967	CALENDAR	2
1964	ALONE	2
1949	BEDBUG	2
1935	ANUS	2
1898	SPECTACLES	2
1893	QUAIL	2
1891	PUMA	2
1876	REINDEER	2
1873	ANTHILL	2
1830	CRANE	2
1805	INJECTION	2
1790	LICENSE PLATE	2
179	RIPEN	2
1788	TELEVISION	2
1770	CARCASS	2
1746	BLADDER	2
1734	TWENTY ONE	2
1731	MORTAR BINDER	2
1724	NINETY	2
1722	EIGHTY	2
1721	SEVENTY	2
1718	SIXTY	2
1714	NINETEEN	2
1713	EIGHTEEN	2
1708	THIRTEEN	2
1677	WORKSHOP	2
167	MAIL	2
1659	DOLL	2
1649	SIT DOWN	2
164	KANGAROO	2
1615	ESCAPE	2
1611	INVITE	2
1603	MOSQUE	2
16	SLED	2
1581	ALLIGATOR	2
1570	EQUAL	2
1568	ARRANGE	2
153	GREY	2
1525	COAST	2
1522	SOCK	2
152	HOOF	2
1497	POSTCARD	2
1488	FAUCET	2
1473	FIST	2
144	MACHINE	2
142	RETURN HOME	2
1377	VISIT	2
1365	KITCHEN	2
1354	NEXT	2
1315	RADIO	2
1298	NEWSPAPER	2
1271	DELIGHT	2
1165	MOUSTACHE	2
116	LARCH	2
114	PORPOISE	2
1105	CAMP	2
110	MOTOR	2
1070	BUS	2
106	SATIATED	2
1057	DAUGHTER-IN-LAW	2
1051	CAN	2
1050	MOTHER-IN-LAW	2
105	MATTRESS	2
1041	INCREASE	2
1024	CHARACTER	2
1017	APPEARANCE	2
1	CONTEMPTIBLE	2
997	BAOBAB TREE	1
995	QUIVER	1
99	HUNCHBACK	1
986	TOMATO	1
98	YOU	1
975	SPINACH	1
973	NOODLE	1
967	YEAST	1
961	PEBBLES	1
955	GREASY	1
944	SALMON	1
940	STRAIN	1
939	HORN (INSTRUMENT)	1
927	MANIOC	1
92	SPOIL (SOMEBODY OR SOMETHING)	1
918	INCLINATION	1
91	INSOLENT	1
909	GARBAGE	1
905	BORING	1
903	ASPEN	1
893	TIN (METAL)	1
888	POISONOUS	1
886	PARAKEET	1
885	OPPOSITE	1
880	REPEAT	1
87	SQUINT-EYED	1
866	WIN	1
865	FAME	1
839	ERR	1
835	CHAPTER	1
833	ENDURE	1
831	BASE	1
830	SOOT	1
826	BRANCH (BIFURCATION)	1
821	POPLAR	1
807	SKILLED	1
795	TROUT	1
79	WASTE	1
774	CABBAGE	1
766	MENSTRUATION	1
764	SUIT	1
756	DEPEND	1
751	SHRUB	1
75	DISGRACE	1
71	BY HEART	1
697	CONTAIN	1
69	SOBER	1
668	ROCK	1
659	REED	1
637	MOSS	1
63	RUMOUR	1
62	BE SITUATED	1
61	INDUCE	1
608	GULF	1
600	STRANGE	1
595	GROUNDNUTS	1
589	CLOSED	1
583	KIND OR POLITE	1
577	FOREFINGER	1
575	TREAD	1
574	TRANSIT	1
573	SWAY	1
572	STREW	1
571	STING	1
57	ATOP	1
569	SPOIL (BECOME SPOILED)	1
567	REBEL	1
566	OLD (OF WOMAN)	1
565	OLD (OF MAN)	1
563	YOUNG (OF WOMAN)	1
561	SISTER (OF MAN)	1
560	BROTHER (OF WOMAN)	1
558	PASS BY	1
557	OFFEND	1
556	MARRY OFF	1
555	INFRINGE	1
554	HINDER	1
553	HEW	1
551	DISLOCATE	1
550	DILUTE	1
548	INFECTED	1
547	SURFACE	1
546	SUCKER	1
545	SPRUCE	1
543	SHUTTLE	1
542	SCANTY	1
541	POETRY	1
540	PALATE	1
54	SHRINK	1
537	TURBID	1
536	LOW VOICE	1
535	INFLATED	1
534	HUMP	1
533	GLUTTON	1
532	GIPSY	1
530	FRECKLE	1
529	FLANK	1
528	DREADFUL	1
527	DOG-ROSE	1
524	BARBEL	1
523	BACK OF HEAD	1
517	FIREDRILL	1
515	NEXT YEAR	1
512	SEE A DOCTOR	1
511	BAOZI	1
510	STRONG EFFECT	1
508	PERIOD	1
507	MELON	1
500	CRUEL	1
50	JACK	1
5	GAZELLE	1
495	REVENGE	1
494	FLIRT	1
483	COMPOUND	1
475	UNTRUTH	1
471	UPPER LEG	1
47	EXCRETA	1
468	G-STRING	1
467	CRAYFISH	1
464	ALANG-ALANG GRASS	1
463	FELL (A TREE)	1
462	WRAPPER	1
461	BOUBOU	1
460	BREAK (OF ROPE)	1
459	SNAPP (OF STICK)	1
456	GUINEA FOWL	1
455	MAHOGANY TREE	1
454	SHEA NUT TREE	1
453	RAINY SEASON	1
452	DRY SEASON	1
451	HARMATTAN	1
450	CUSHMA	1
449	CORN FIELD	1
447	LOWER LEG	1
445	UPPER BACK	1
444	LONG HAIR	1
443	TIP (OF TONGUE)	1
442	FRONT TOOTH (INCISOR)	1
441	CHICHA	1
440	CHONTA PALM	1
438	CHIGGOE (JIGGER FLEA)	1
432	BLOWGUN	1
419	SEVERE	1
41	IGNORE	1
407	MANIOC BREAD	1
401	OPPRESS	1
400	MUSH	1
4	COURTYARD	1
39	KEEN	1
385	RESPECT (SOMEBODY)	1
374	ONE TIME	1
364	SMEAR	1
350	MANGROVE	1
35	TAMARIND	1
347	SORGHUM	1
331	HEADDRESS	1
324	MANIOC FLOUR	1
306	PARENTS-IN-LAW	1
30	DISPEL	1
276	BANISTERIUM	1
2643	INK	1
2643	HE OR SHE	1
2641	MYTHICAL BEING	1
2640	LARVA	1
2639	FISHING (WITH A NET)	1
2631	WIRE	1
2630	WHIP	1
2629	TRAY	1
2628	PLANT STEM	1
2627	ORANGE (FRUIT)	1
2626	NERVE	1
2625	MAP	1
2624	FRAME	1
2623	FLAG	1
2622	ENGINE	1
2621	CURTAIN	1
2620	CARRIAGE	1
2619	CARD	1
2618	CAMERA	1
2617	BULB	1
2616	SAGO THATCH	1
2612	PROTRACTOR	1
2611	PALETTE (PAINTING)	1
2610	TRELLIS (ARCHITECTURE)	1
2609	SPHINX	1
2607	TRIPOD	1
2605	ASPARAGUS	1
2604	NOOSE	1
2602	FUNNEL	1
2601	UNICORN	1
2600	PYRAMID	1
26	UNPLEASANT	1
2599	STETHOSCOPE	1
2598	DOOR KNOCKER	1
2597	HARP	1
2595	CACTUS	1
2594	DOMINOES	1
2592	IGLOO	1
2590	HARMONICA	1
2588	GLOBE	1
2587	DARTS	1
2586	SEAHORSE	1
2584	BENCH	1
2583	PRETZEL	1
2582	WHEELCHAIR	1
2581	OCTOPUS	1
2580	HELICOPTER	1
2579	TOOTHBRUSH	1
2573	FEELING (EMOTION)	1
2572	SENSE (PERCEIVE BY SENSES)	1
2571	TRY (TEST)	1
2570	BEEF	1
2569	BUTCHER	1
2568	BAKER	1
2567	CAPON	1
2566	GELDING	1
2565	CASTRATED BOAR	1
2564	PIGLET	1
2562	SEX (GENDER)	1
2559	FEEL (TACTUALLY)	1
2557	PIG FAT	1
2555	OIL (FROM PLANTS)	1
2548	BARREL	1
2544	SHEPHERD	1
2543	RAVEN	1
2531	BROAD	1
2530	SMART	1
2527	ABILITY	1
2525	LABOUR (EFFORT)	1
2517	CROWDED	1
2515	CARABAO	1
2514	SPOUSE	1
2512	CHICK	1
2491	POULTRY MEAT	1
2490	NOON	1
2487	MALE PIG	1
2485	HIDE (ONESELF)	1
2480	MALE DOG	1
2479	FEMALE YAK	1
2478	MALE YAK	1
2477	YAK	1
2475	MALE GOAT	1
2474	HER (GENITIVE OF SHE)	1
2473	HIS (GENITIVE OF HE)	1
2472	SUCKLE (BREASTFEED, NURSE)	1
2471	LADY	1
2466	WEIGHT	1
2465	DISGUST	1
2464	LAY EGGS	1
2463	MOON OR MONTH	1
246	THRUST	1
2454	SIXTEEN	1
2453	SEVENTEEN	1
2452	PURPLE	1
2451	FORTEEN	1
2450	FOOT OR WALK	1
2448	WILD DOG	1
2446	SLOTH	1
2444	KINGFISHER	1
2442	COCOA BEAN	1
2441	CASHEW	1
2438	CAIMAN	1
2437	ACAI PALM	1
2435	UNIVERSITY	1
2434	TRAGEDY	1
2433	THEORY	1
2431	REVOLUTION	1
243	FRESH	1
2429	LOGIC	1
2426	CLIMATE	1
2425	PROBLEM	1
2424	MEMBER	1
2423	CHANNEL	1
2422	SOMEONE	1
2412	THANK (SOMBEODY)	1
2410	GOOD-LOOKING	1
2407	BIRTHDAY	1
2405	CHRISTMAS	1
2404	SANTA CLAUS	1
2403	TOY	1
2402	ROBIN	1
2397	LOBSTER	1
2387	UNCLE OR FATHER-IN-LAW	1
2384	COUSIN OR SISTER-IN-LAW	1
2382	BLUE OR GREEN	1
2376	HORIZONTAL	1
2358	PEACH TREE	1
2355	GECKO	1
2353	CICADA	1
2351	SILKWORM	1
2323	BACK (PART)	1
2316	FREE	1
2313	BRONZE	1
2312	YOU (OBLIQUE CASE OF YOU)	1
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	1
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	1
2300	GREEN OR UNRIPE	1
2298	VIRGIN	1
2297	DUSK	1
2296	SUNRISE	1
2295	SUNSET	1
2294	WRINKLE	1
2293	UVULA	1
2292	GLASSES	1
2290	PUDDLE	1
229	MOVE AWAY	1
2289	MILKY WAY	1
2288	METEROID (SHOOTING OR SHINING STAR)	1
2287	HORIZON	1
2286	ESTUARY	1
2285	ECLIPSE	1
2284	CLEARING	1
2283	SEMEN	1
2282	SEA OR OCEAN	1
2278	PERHAPS	1
2276	IDENTICAL	1
2274	YOUR (PLURAL)	1
226	TELL FORTUNES	1
2251	BEER BANANA	1
2249	THIN	1
2247	CATERPILLAR	1
2245	BELCH	1
2244	METAL	1
2240	CORAL SNAKE	1
2239	DENSE	1
2238	KNOW OR BE ABLE	1
2237	FIND OUT	1
2236	SHINE (EMITTED LIGHT)	1
2235	CLEAN (SOMETHING)	1
2233	LOVELY	1
2232	KEEN OR SUBTLE	1
2231	CORRECT (SOMETHING OR SOMEBODY)	1
2229	BECOME SOUR	1
2228	GLARING	1
2227	SPAWN (VERB)	1
2226	BRAVE PERSON	1
2225	RECEIVE VISITORS	1
2224	BEND (SOMETHING)	1
2222	CONJURE	1
2221	NOMADIZE	1
2220	MOVE QUICKLY	1
222	LAVISH	1
2219	MEAGRE OR LEAN	1
2218	EXPERIENCED	1
2217	YOKE (VERB)	1
2216	BECOME NUMB	1
2215	BECOME ANGRY	1
2214	AFFAIR	1
2213	BODY PART	1
2212	ARRIVE (OF AN EVENT)	1
2210	BECOME PREPARED (OF FOOD)	1
2209	BECOME EXTINGUISHED	1
2208	BE AT WAR	1
2207	CHATTERER	1
2205	PEAK	1
2204	LEDGE	1
2203	RABID	1
2202	HIGH-RANKING	1
2201	LIGHT (SMELL OR TASTE)	1
2200	SNOUT	1
220	INTACT	1
22	INTEND	1
2199	LOWER PART	1
2198	LOCATION OF EMOTIONS	1
2197	BAD PERSON	1
2196	HORSETAIL	1
2195	FRESH (OF WATER)	1
2192	REJOICE	1
2189	DUGOUT	1
2188	NEW YEAR'S EVE	1
2187	MID-AUTUMN FESTIVAL	1
2186	DRAGON BOAT FESTIVAL	1
2185	DOORSILLS	1
2184	CATCH A COLD	1
2181	LIGHT (IN TASTE)	1
2180	TWO OUNCES	1
2179	TWO MILES	1
2178	MATERNAL GRANDFATHER	1
2177	MATERNAL GRANDMOTHER	1
2175	PATERNAL AUNT	1
2174	PATERNAL UNCLE (FATHERS YOUNGER BROTHER)	1
2173	PATERNAL UNCLE (FATHERS OLDER BROTHER)	1
2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	1
2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	1
2169	PIG (CLASSIFIER)	1
2168	COW (CLASSIFIER)	1
2167	VEHICLE (CLASSIFIER)	1
2166	PILLOW (CLASSIFIER)	1
2163	MARRY (AS WOMAN)	1
2162	STIR FRY	1
2161	HEMP CLOTH	1
2160	BAMBOO HAT	1
2153	CARRY PERSON ON BACK	1
2150	MATTER	1
2149	CHOP (INTO PIECES)	1
2143	LONG OR TALL	1
2126	EAR OR HEAR	1
2123	MOUNTAIN RIDGE	1
2122	MOUNTAIN FOOT	1
2119	BOW STRING	1
2115	CEASE OR FINISH	1
2109	FEAR OR FRIGHTEN	1
209	RARE	1
2088	CLOTHING (CLASSIFIER)	1
2087	DROP (CLASSIFIER)	1
2086	GRAIN (CLASSIFIER)	1
2085	STICK (CLASSIFIER)	1
2084	ROPE (CLASSIFIER)	1
2083	AXE (CLASSIFIER)	1
2082	KNIFE (CLASSIFIER)	1
2081	CHICKEN (CLASSIFIER)	1
2080	BOWL (CLASSIFIER)	1
2079	CUNNING PERSON	1
2077	DILIGENT	1
2076	SPROUT (VERB)	1
2075	BROOD (VERB)	1
2074	CROW (VERB)	1
2071	LAY (VERB)	1
2070	COMB (VERB)	1
207	SPARSE	1
2069	SOAK (VERB)	1
2068	BRAISE (VERB)	1
2066	PULL UP (RICE SEEDLINGS)	1
2064	SCATTER (SEEDS)	1
2061	BUDDHA	1
2060	STORY	1
2059	FOLK SONG	1
2056	WOK	1
2055	CLAY POT	1
2051	DUSTPAN	1
2049	CONGEE	1
2048	QUILT	1
2047	STRAW SANDAL	1
2045	COLUMN	1
2044	PERSIMMON	1
2042	WALNUT	1
2041	HEMP	1
2040	BUCKWHEAT	1
