ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	CHINESE
Allen-2007-500-464	2080	BOWL (CLASSIFIER)	464	CLS for bowl	个（碗）
Allen-2007-500-465	2081	CHICKEN (CLASSIFIER)	465	CLS for chicken	只（鸡）
Allen-2007-500-466	2082	KNIFE (CLASSIFIER)	466	CLS for knife	把（刀）
Allen-2007-500-467	2083	AXE (CLASSIFIER)	467	CLS for axe	把（斧头）
Allen-2007-500-468	2084	ROPE (CLASSIFIER)	468	CLS for rope	条（绳子）
Allen-2007-500-469	2085	STICK (CLASSIFIER)	469	CLS for stick	根（棍）
Allen-2007-500-470	2086	GRAIN (CLASSIFIER)	470	CLS for grain of rice	粒（米）
Allen-2007-500-471	2087	DROP (CLASSIFIER)	471	CLS for drop of water	滴（水）
Allen-2007-500-472	2088	CLOTHING (CLASSIFIER)	472	CLS for clothing	件（衣）
Allen-2007-500-473	2089	PAIR (CLASSIFIER)	473	CLS for pair of shoes	双（鞋）
Allen-2007-500-474	1209	I	474	I(1 p.s.)	我
Allen-2007-500-475	1212	WE	475	we (1 p.p.)	我们
Allen-2007-500-476	1131	WE (INCLUSIVE)	476	we (inclusive)	咱们
Allen-2007-500-477	1215	THOU	477	you (2 p.s.)	你
Allen-2007-500-478	1213	YOU	478	you (2 p.p.)	你们
Allen-2007-500-479	262	HE OR SHE OR IT	479	he,she,it (3 p.s.)	他
Allen-2007-500-480	817	THEY	480	they (3 p.p.)	他们
Allen-2007-500-481	2090	MY	481	my	我（的）
Allen-2007-500-482	732	YOUR (SINGULAR)	482	your (sg)	你（的）
Allen-2007-500-483	2092	HIS OR HER	483	his/her	他（的）
Allen-2007-500-484	1214	THIS	484	this	这
Allen-2007-500-485	136	HERE	485	here	这里
Allen-2007-500-486	78	THAT	486	that	那
Allen-2007-500-487	1937	THERE	487	there	那里
Allen-2007-500-488	1235	WHO	488	who	谁
Allen-2007-500-489	1236	WHAT	489	what	什么
Allen-2007-500-490	1237	WHERE	490	where	哪里
Allen-2007-500-491	1239	HOW	491	how	怎样
Allen-2007-500-492	822	HOW MANY	492	how many	多少
Allen-2007-500-493	84	JUST	493	just now	刚才
Allen-2007-500-494	728	FIRST	494	first	先
Allen-2007-500-495	2093	AFTERWARDS	495	afterwards	后
Allen-2007-500-496	2165	SLOWLY	496	slowly	慢慢
Allen-2007-500-497	1631	FAST	497	quickly	快快
Allen-2007-500-498	1311	VERY	498	very	很
Allen-2007-500-499	98	ALL	499	all	都
Allen-2007-500-500	204	AGAIN	500	again	再
