ID	CATEGORY	ENGLISH	PART_OF_SPEECH	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hale-1973-1798-1379	Role_and_Social_Structure-33	policeman	n	11a.33		
Hale-1973-1798-1380	Role_and_Social_Structure-34	jail	n	11a.34	1281	PRISON
Hale-1973-1798-1381	Role_and_Social_Structure-35	school	n	11a.35	673	SCHOOL
Hale-1973-1798-1382	Role_and_Social_Structure-36	teacher	n	11a.36	1038	TEACHER
Hale-1973-1798-1383	Role_and_Social_Structure-37	assembly	n	11a.37		
Hale-1973-1798-1384	Role_and_Social_Structure-38	speech	n	11a.38	1115	SPEECH
Hale-1973-1798-1385	Role_and_Social_Structure-39	vote	n	11a.39		
Hale-1973-1798-1386	Role_and_Social_Structure-40	message	n	11a.40	2961	MESSAGE
Hale-1973-1798-1387	Role_and_Social_Structure-41	advice	n	11a.41		
Hale-1973-1798-1388	Role_and_Social_Structure-42	agreement	n	11a.42	3644	AGREEMENT
Hale-1973-1798-1389	Role_and_Social_Structure-43	disagreement	n	11a.43		
Hale-1973-1798-1390	Role_and_Social_Structure-44	argument	n	11a.44		
Hale-1973-1798-1391	Role_and_Social_Structure-45	fight	n	11a.45		
Hale-1973-1798-1392	Role_and_Social_Structure-46	soldier	n	11a.46	1941	SOLDIER
Hale-1973-1798-1393	Role_and_Social_Structure-47	war	n	11a.47	935	WAR
Hale-1973-1798-1394	Role_and_Social_Structure-48	property	n	11a.48		
Hale-1973-1798-1395	Role_and_Social_Structure-49	owner	n	11a.49	1036	OWNER
Hale-1973-1798-1396	Role_and_Social_Structure-50	buyer	n	11a.50		
Hale-1973-1798-1397	Role_and_Social_Structure-51	seller	n	11a.51		
Hale-1973-1798-1398	Role_and_Social_Structure-52	beggar	n	11a.52	1934	BEGGAR
Hale-1973-1798-1399	Role_and_Social_Structure-53	market	n	11a.53	633	MARKET
Hale-1973-1798-1400	Role_and_Social_Structure-54	shop	n	11a.54	746	SHOP
Hale-1973-1798-1401	Role_and_Social_Structure-55	merchant	n	11a.55	1082	MERCHANT
Hale-1973-1798-1402	Role_and_Social_Structure-56	cook	n	11a.56	2315	COOK (PERSON)
Hale-1973-1798-1403	Role_and_Social_Structure-57	master	n	11a.57	383	MASTER
Hale-1973-1798-1404	Role_and_Social_Structure-58	servant	n	11a.58	255	SERVANT
Hale-1973-1798-1405	Role_and_Social_Structure-59	child's nurse	n	11a.59	1104	NURSE
Hale-1973-1798-1406	Role_and_Social_Structure-60	blacksmith	n	11a.60	1001	BLACKSMITH
Hale-1973-1798-1407	Role_and_Social_Structure-61	weaver	n	11a.61	3637	WEAVER
Hale-1973-1798-1408	Role_and_Social_Structure-62	fisherman	n	11a.62	1858	FISHERMAN
Hale-1973-1798-1409	Role_and_Social_Structure-63	hunter	n	11a.63	1053	HUNTER
Hale-1973-1798-1410	Role_and_Social_Structure-64	farmer	n	11a.64	979	FARMER
Hale-1973-1798-1411	Role_and_Social_Structure-65	herdsman	n	11a.65	263	HERDSMAN
Hale-1973-1798-1412	Role_and_Social_Structure-66	friend	n	11a.66	1325	FRIEND
Hale-1973-1798-1413	Role_and_Social_Structure-67	bond friend	n	11a.67		
Hale-1973-1798-1414	Role_and_Social_Structure-68	enemy	n	11a.68	1358	ENEMY
Hale-1973-1798-1415	Role_and_Social_Structure-69	children (general term)	n	11a.69	2099	CHILD
Hale-1973-1798-1416	Role_and_Social_Structure-70	children (sons and daughters)	n	11a.70	1801	CHILD (DESCENDANT)
Hale-1973-1798-1417	Role_and_Social_Structure-71	father	n	11a.71	1217	FATHER
Hale-1973-1798-1418	Role_and_Social_Structure-72	mother	n	11a.72	1216	MOTHER
Hale-1973-1798-1419	Role_and_Social_Structure-73	elder brother	n	11a.73	1759	OLDER BROTHER
Hale-1973-1798-1420	Role_and_Social_Structure-74	younger brother	n	11a.74	1760	YOUNGER BROTHER
Hale-1973-1798-1421	Role_and_Social_Structure-75	elder sister	n	11a.75	1758	OLDER SISTER
Hale-1973-1798-1422	Role_and_Social_Structure-76	younger sister	n	11a.76	1761	YOUNGER SISTER
Hale-1973-1798-1423	Role_and_Social_Structure-77	husband	n	11a.77	1200	HUSBAND
Hale-1973-1798-1424	Role_and_Social_Structure-78	wife	n	11a.78	1199	WIFE
Hale-1973-1798-1425	Role_and_Social_Structure-79	grandfather (paternal)	n	11a.79	2560	PATERNAL GRANDFATHER
Hale-1973-1798-1426	Role_and_Social_Structure-80	grandmother (paternal)	n	11a.80	3015	PATERNAL GRANDMOTHER
Hale-1973-1798-1427	Role_and_Social_Structure-81	bride	n	11a.81	1266	BRIDE
Hale-1973-1798-1428	Role_and_Social_Structure-82	bridegroom	n	11a.82		
Hale-1973-1798-1429	Role_and_Social_Structure-83	marriage	n	11a.83	2432	MARRIAGE
