ID	NUMBER	URL	ENGLISH	DESCRIPTION	CONCEPTICON_ID	CONCEPTICON_GLOSS	EXAMPLE_CONTEXT
Heggarty-2017-200-194	194	http://cobl.clld.org/parameters/194	white		1335	WHITE	There is a white cloud in the sky.
Heggarty-2017-200-205	205	http://cobl.clld.org/parameters/205	you_pl.	^See full meaning description.*	1213	YOU	^See full meaning description.*
Heggarty-2017-200-175	175	http://cobl.clld.org/parameters/175	you_sg.	^See full meaning description.*	1215	THOU	^See full meaning description.*
Heggarty-2017-200-181	181	http://cobl.clld.org/parameters/181	tree		906	TREE	There is a tree beside the house.
Heggarty-2017-200-177	177	http://cobl.clld.org/parameters/177	throw		1456	THROW	He threw a stick into the water.
Heggarty-2017-200-184	184	http://cobl.clld.org/parameters/184	vomit		1278	VOMIT	He ate something bad and threw up (vomited).
Heggarty-2017-200-182	182	http://cobl.clld.org/parameters/182	turn		1588	TURN	It was heavy so it was hard to turn it.
Heggarty-2017-200-48	48	http://cobl.clld.org/parameters/48	fight		1423	FIGHT	The two men are fighting outside.
Heggarty-2017-200-117	117	http://cobl.clld.org/parameters/117	person		683	PERSON	Only one person at a time can pass through the gate.
Heggarty-2017-200-118	118	http://cobl.clld.org/parameters/118	play	Transitive verb, 'playing' a game for amusement.  *Not* 'playing' a musical instrument.	1413	PLAY	They’re playing a game outside.
Heggarty-2017-200-52	52	http://cobl.clld.org/parameters/52	five		493	FIVE	Four plus one is five.
Heggarty-2017-200-160	160	http://cobl.clld.org/parameters/160	stick	The noun '(a) stick' (e.g. of wood), not the verb for to adhere., 	1295	STICK	He carried a stick under his arm.
Heggarty-2017-200-161	161	http://cobl.clld.org/parameters/161	stone		857	STONE	He held the stone in his hand
Heggarty-2017-200-195	195	http://cobl.clld.org/parameters/195	who		1235	WHO	Who killed this dog?
Heggarty-2017-200-206	206	http://cobl.clld.org/parameters/206	year		1226	YEAR	The year is almost over.
Heggarty-2017-200-207	207	http://cobl.clld.org/parameters/207	yellow		1424	YELLOW	Egg yolk is yellow
Heggarty-2017-200-35	35	http://cobl.clld.org/parameters/35	dust		2	DUST	When the ground is dry, you kick up dust when you walk.
Heggarty-2017-200-198	198	http://cobl.clld.org/parameters/198	wind	The noun '(a) wind', /wind/, not the verb /waind/.	960	WIND	She felt the wind in her face.
Heggarty-2017-200-199	199	http://cobl.clld.org/parameters/199	wing		1257	WING	Birds have wings; people do not.
Heggarty-2017-200-201	201	http://cobl.clld.org/parameters/201	with		1340	WITH	I saw him walking with a friend.
Heggarty-2017-200-202	202	http://cobl.clld.org/parameters/202	woman		962	WOMAN	I saw a man and a woman.
Heggarty-2017-200-204	204	http://cobl.clld.org/parameters/204	worm		1219	WORM	There is a worm in this (insert name of local fruit).
Heggarty-2017-200-212	212	http://cobl.clld.org/parameters/212	yesterday		1174	YESTERDAY	I haven't seen him today but I saw him yesterday.
