ID	NUMBER	MANDARINE_CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOURCE	WORD_LENGTH	IMAGE_VARIABILITY	IMAGE_AGREEMENT	CONCEPT_FAMILIARITY	VISUAL_COMPLEXITY	SUBJECTIVE_FREQUENCY	NAME_AGREEMENT_PERCENT	NAME_AGREMENT_H	CONCEPT_AGREEMENT	AoA_RATED	AoA_OBJECTIVE	ERROR_PERCENT	LATENCY_ms
Liu-2011-435-287	287	土豆	potato	593	POTATO	1	2	2.57	3.61	3.56	1.30	4.09	0.70	0.82	0.78	2.81	4.66	0.06	1220
Liu-2011-435-288	288	婴儿车	pram			1	3	2.33	3.56	3.89	3.24	1.91	0.55	1.66	0.70	4.50	10.35	0.14	1227
Liu-2011-435-289	289	幻灯机	project			2	3	3.21	3.91	3.06	3.41	2.82	0.23	3.10	0.45	5.69	10.95	0.29	1677
Liu-2011-435-290	290	南瓜	pumpkin	864	PUMPKIN	1	2	2.55	4.06	4.42	2.24	2.46	0.93	0.34	0.95	3.50	5.72	0.03	908
Liu-2011-435-291	291	金字塔	pyramid	2600	PYRAMID	3	3	2.93	4.39	4.03	3.76	1.91	0.75	1.25	0.75	5.24	10.27	0.00	1089
Liu-2011-435-292	292	兔子	rabbit	1136	RABBIT	1	2	3.48	4.29	4.89	2.73	2.74	0.68	1.41	1.00	2.25	1.94	0.00	716
Liu-2011-435-293	293	收音机	radio	1315	RADIO	4	3	2.45	3.83	4.50	4.05	3.43	0.80	0.89	0.98	3.25	4.56	0.00	990
Liu-2011-435-294	294	萝卜	radish	2365	RADISH	5	2	3.50	3.39	4.53	3.51	3.17	0.85	0.95	0.95	2.31	3.73	0.00	930
Liu-2011-435-295	295	竹排	raft	1664	RAFT	2	2	3.10	4.28	3.56	3.97	1.77	0.25	2.52	0.73	5.06	10.40	0.20	1266
Liu-2011-435-296	296	铁轨	rail			5	2	2.81	4.22	4.44	3.35	2.40	0.53	2.14	0.93	4.47	7.80	0.06	1272
Liu-2011-435-297	297	唱片机	record player	4004	RECORD PLAYER	1	3	2.95	3.53	3.51	3.53	2.09	0.25	2.34	0.50	5.24	10.95	0.17	1523
Liu-2011-435-298	298	冰箱	refrigerator	3952	REFRIGERATOR	1	2	2.93	4.11	4.53	2.03	2.94	0.88	0.63	0.93	4.59	3.58	0.00	857
Liu-2011-435-299	299	犀牛	rhinoceros	2591	RHINOCEROS	1	2	2.40	4.26	4.03	3.51	1.63	0.78	0.85	0.78	4.82	5.78	0.06	1046
Liu-2011-435-300	300	戒指	ring	1374	RING	1	2	3.57	3.94	3.89	2.14	2.74	0.63	1.31	0.63	4.50	10.60	0.09	1310
Liu-2011-435-301	301	公路	road	667	ROAD	5	2	3.21	3.36	4.47	3.73	3.50	0.73	1.26	0.98	3.06	7.17	0.03	1248
Liu-2011-435-302	302	机器人	robot	4006	ROBOT	2	3	2.60	3.75	4.31	3.78	2.09	1.00	0.00	1.00	4.31	3.41	0.00	808
Liu-2011-435-303	303	火箭	rocket			1	2	3.10	4.11	4.33	3.92	2.26	0.95	0.17	0.98	4.00	4.72	0.06	1007
Liu-2011-435-304	304	椅子	rocking chair	3999	ROCKING CHAIR	1	2	3.29	3.14	4.22	3.39	4.24	0.88	1.91	0.98	4.81	4.66	0.06	855
Liu-2011-435-305	305	擀面杖	rolling pin	4002	ROLLING PIN	1	3	2.81	3.42	3.22	1.38	1.83	0.13	2.64	0.18	3.38	10.60	0.31	1479
Liu-2011-435-306	306	屋顶	roof	769	ROOF	4	2	2.93	3.97	4.83	1.73	3.03	0.43	2.27	0.73	3.25	7.84	0.00	844
Liu-2011-435-307	307	公鸡	rooster	1511	ROOSTER	1	2	2.76	4.56	4.83	3.27	2.23	0.85	0.80	0.98	2.06	2.69	0.00	760
Liu-2011-435-308	308	绳子	rope	1218	ROPE	1	2	3.79	4.39	4.72	3.35	3.00	0.53	2.36	0.95	2.06	5.16	0.00	892
Liu-2011-435-309	309	玫瑰	rose	3882	ROSE	2	2	3.36	4.00	4.56	3.62	3.14	0.63	1.35	0.93	5.19	7.00	0.00	867
Liu-2011-435-310	310	地毯	rug	292	RUG	5	2	3.00	3.08	4.23	3.38	2.71	0.35	2.76	0.63	4.38	10.77	0.03	1026
Liu-2011-435-311	311	尺子	rule	1846	RULE	1	2	3.40	4.81	4.86	2.11	3.06	0.65	1.32	1.00	2.69	4.66	0.00	791
Liu-2011-435-312	312	保险柜	safe	3762	SAFE	4	3	2.95	4.08	4.17	2.46	2.11	0.38	2.60	0.53	5.56	10.35	0.06	1167
Liu-2011-435-313	313	帆船	sailboat	4026	SAILBOAT	1	2	2.38	4.11	4.39	3.00	2.00	0.83	0.77	0.98	3.76	7.89	0.00	920
Liu-2011-435-314	314	凉鞋	sandals	4034	SANDALS	4	2	3.48	3.03	4.72	3.14	3.18	0.73	1.34	0.93	2.38	10.60	0.00	1010
Liu-2011-435-315	315	三明治	sandwich	4008	SANDWICH	1	3	2.95	3.00	3.61	3.00	2.83	0.45	2.52	0.78	5.88	9.03	0.17	1461
Liu-2011-435-316	316	水瓢	saucepan	3653	COOKING POT	1	2	2.59	3.53	4.33	1.84	1.66	0.13	3.82	0.63	5.56	10.64	0.14	1427
Liu-2011-435-317	317	香肠	sausage	1874	SAUSAGE	5	2	3.55	3.36	3.53	1.46	3.12	0.33	2.51	0.45	3.88	7.09	0.23	1704
Liu-2011-435-318	318	锯	saw	1948	SAW	1	1	2.48	3.23	3.06	2.11	1.80	0.28	2.19	0.63	3.44	9.16	0.14	1240
Liu-2011-435-319	319	天平	scale	2783	SCALES (MEASURE INSTRUMENT)	1	2	2.67	3.78	4.47	2.81	2.23	0.88	0.63	0.98	4.53	10.47	0.00	979
Liu-2011-435-320	320	围巾	scarf	3066	SCARF OR TURBAN	3	2	2.81	4.39	4.78	3.32	2.80	1.00	0.00	1.00	2.94	3.41	0.03	1009
Liu-2011-435-321	321	剪刀	scissors	356	SHEARS	1	2	3.05	4.11	4.78	2.05	3.40	0.88	0.54	1.00	2.19	1.94	0.03	726
Liu-2011-435-322	322	乐谱	score			2	2	3.24	3.86	4.40	4.46	1.97	0.45	1.71	1.00	4.94	7.89	0.03	1127
Liu-2011-435-323	323	蝎子	scorpion	1538	SCORPION	1	2	2.55	4.12	3.92	3.54	1.68	0.68	1.32	0.70	4.35	10.50	0.14	1204
Liu-2011-435-324	324	螺丝钉	screw	1802	SCREW	1	3	2.19	4.31	4.11	2.86	2.29	0.35	2.59	0.70	3.88	10.32	0.09	1163
Liu-2011-435-325	325	螺丝刀	screwdriver	836	SCREWDRIVER	1	3	2.83	3.73	4.75	2.11	2.17	0.48	1.76	0.83	4.63	7.44	0.09	1355
Liu-2011-435-326	326	海豹	seal	651	SEAL	3	2	2.31	3.94	3.61	3.49	1.91	0.45	1.84	0.53	5.00	10.35	0.03	1356
Liu-2011-435-327	327	葱	scallion			5	1	2.88	4.31	4.58	2.86	3.26	0.73	1.20	0.98	2.38	6.69	0.09	1066
Liu-2011-435-328	328	鲨鱼	shark	1110	SHARK	5	2	2.50	4.17	3.89	3.73	1.89	0.70	1.35	0.73	4.56	3.56	0.06	1000
Liu-2011-435-329	329	绵羊	sheep	1331	SHEEP	1	2	2.98	3.56	4.17	3.05	2.03	0.48	1.73	0.83	2.81	10.40	0.03	1183
Liu-2011-435-330	330	盾牌	shield	1064	SHIELD	5	2	3.33	3.83	3.00	2.70	1.71	0.30	1.51	0.58	5.00	10.27	0.06	1216
Liu-2011-435-331	331	衬衫	shirt	1622	SHIRT	1	2	2.33	3.81	4.78	2.62	3.54	0.35	2.25	0.95	3.06	10.68	0.00	912
Liu-2011-435-332	332	鞋	shoe	1381	SHOE	1	1	2.98	3.69	4.86	3.08	4.26	0.43	1.80	0.98	1.46	1.94	0.00	744
Liu-2011-435-333	333	铲子	shovel	1901	SHOVEL	5	2	3.07	4.20	4.50	1.68	2.06	0.40	1.90	0.95	3.31	4.74	0.06	1063
Liu-2011-435-334	334	蚕	silkworm	2351	SILKWORM	5	1	2.88	3.29	3.56	3.57	1.83	0.45	1.67	0.45	3.59	10.80	0.06	1125
Liu-2011-435-335	335	溜冰鞋	skate	3129	SKATE	4	3	3.45	3.69	4.39	2.60	2.89	0.25	2.76	0.85	5.81	5.72	0.03	1166
Liu-2011-435-336	336	裙子	skirt	1600	SKIRT	1	2	3.05	3.11	4.31	1.32	3.12	0.65	1.55	0.95	2.44	4.18	0.03	956
Liu-2011-435-337	337	骷髅	skull	1605	SKULL	1	2	2.81	4.25	4.25	3.70	1.71	0.60	1.62	1.00	5.69	9.03	0.00	910
Liu-2011-435-338	338	雪橇	sleigh	16	SLED	1	2	2.74	3.00	2.86	3.00	1.80	0.35	2.00	0.50	5.56	10.45	0.26	1396
Liu-2011-435-339	339	拖鞋	slippers			3	2	2.58	3.75	4.81	1.57	4.18	0.98	0.17	1.00	2.88	2.30	0.00	761
Liu-2011-435-340	340	蜗牛	snail	1543	SNAIL	1	2	2.45	4.47	4.56	2.68	1.94	0.98	0.00	0.98	3.69	3.56	0.00	913
Liu-2011-435-341	341	蛇	snake	730	SNAKE	1	1	3.12	4.25	4.58	3.76	2.29	0.93	0.29	0.98	2.56	3.18	0.03	783
Liu-2011-435-342	342	雪花	snow	784	SNOW	5	2	3.55	3.89	4.31	2.73	2.37	0.90	0.35	0.93	2.31	4.74	0.00	1140
Liu-2011-435-343	343	雪人	snowman	3098	SNOWMAN	1	2	2.76	4.26	4.75	2.24	1.89	0.98	0.17	1.00	2.50	2.79	0.00	896
