ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	SPANISH	GLOSS	OMEGAWIKI
Huber-1992-374-244	fb004409-1330-4d73-b247-893bfe3be241	STOMACH	244	ESTÓMAGO	STOMACH	352530
Huber-1992-374-245	f801090a-68f6-4b14-b029-fab857403dda	INTESTINES	245	INTESTĨNOS, TRIPAS	INTESTINES	950344
Huber-1992-374-246	f7e90495-c36f-4334-b16a-e238a83c6dc9	OLD WOMAN	246	VIEJITA	OLD WOMAN	385678
Huber-1992-374-247	6ef11c1f-6b95-4d40-84d9-f80cfd4433d0	CLOUD	247	NUBES QUIETAS	CLOUDS AT REST	623
Huber-1992-374-248	d3ae575e-5078-4c65-afe1-4e6c43076282	STORM CLOUDS	248	NUBES DE TORMENTA	STORM CLOUDS	1541265
Huber-1992-374-249	569b6715-144f-4ab9-b5e5-6b1f3b12be27	CORN FIELD	249	SEMENTERA DE MAÍZ	CORN FIELD	1541269
Huber-1992-374-250	54fa62b8-a1a2-470e-aabb-f9d470cb0c6e	STREAM	250	QUEBRADA, CAÑO	STREAM	411075
Huber-1992-374-251	02fe3062-7bc9-4c71-9e09-01fb6c6f0055	PEBBLES	251	PIEDRECILLAS	PEBBLES	416275
Huber-1992-374-252	7341f24e-cfed-422d-abab-2ca9a3bd27f2	ROCK	252	ROCAS GRANDES	HUGE ROCKS	3266
Huber-1992-374-253	1fb61d64-621a-4a77-86dc-4b6cb6bae7cb	ROAD	253	TROCHA	PATH	3258
Huber-1992-374-255	1a132806-74fa-48a3-8bbe-3a1633270716	HUT	255	RANCHO	SHELTER	691328
Huber-1992-374-256	1bfe9b64-bca0-4ca3-9b51-1004c7c3a37e	THIS	256	ESTE	THIS	5458
Huber-1992-374-257	4bd7f1a6-4bc6-459f-aff4-761a2a7623f1	THAT	257	AQUEL	THAT	1149393
Huber-1992-374-258	488f72b1-16e0-43ce-aaa3-304bcf88a4dc	WHO	258	QUIÉN	WHO	5490
Huber-1992-374-259	ea1ccdce-6c38-4ca3-aa06-07ec9729d21a	WHAT	259	QUÉ	WHAT	5491
Huber-1992-374-260	c7642cb8-377d-4db9-877e-32fef84534d7	NOT	260	NO	NOT	5495
Huber-1992-374-261	77481f8f-347f-489d-8afd-3e257120a0f6	ALL	261	TODOS	ALL	1173416
Huber-1992-374-262	4e366c47-04e6-40c1-9113-0646108437a6	MANY	262	MUCHO(S)	MANY	5423
Huber-1992-374-263	8f5d5298-0b47-4877-a522-bdd368d1a3f6	LONG	263	LARGO	LONG	5438
Huber-1992-374-264	cfa1694b-2377-44bf-836e-48b6429a6d39	BARK	264	CORTEZA	BARK	5439
Huber-1992-374-265	1bab3615-7fa1-4a5c-9f4d-6ece5c9a7a88	MEAT	265	CARNE	FLESH	2300
Huber-1992-374-267	cb1348b3-2488-4e9d-ab9f-37793d1f91fc	FAT, SUBSTANCE	267	GRASA	GREASE, ANIMAL FAT	5624
Huber-1992-374-268	f3ecbe1a-b17f-4e0d-bac8-e8fcd284598a	EGG	268	HUEVO	EGG	340828
Huber-1992-374-269	43f35ebb-efc7-4cb8-9aa9-46df741b28c2	HORN, KERATINIZED SKIN	269	CUERNO	HORN	5981
Huber-1992-374-270	e68d0707-000c-40af-ab57-e0b3a02b23a3	FEATHER	270	PLUMA	FEATHER	5436
Huber-1992-374-271	d8627136-db5d-48de-a680-e9a719ff3653	NAIL, KERATIN	271	UÑA, GARRA	FINGERNAIL, CLAW	828575
Huber-1992-374-272	3105c3dd-fd8d-4a5c-b038-e89a1e39ab01	BELLY	272	BARRIGA	BELLY	5516
Huber-1992-374-273	4c757d6a-cabe-4007-b67d-796b5b669d54	LIVER	273	HÍGADO	LIVER	5476
Huber-1992-374-274	c13f419a-836c-4d16-a590-0a04393ccb31	DRINK ACTION	274	BEBER	DRINK	5991
Huber-1992-374-275	e497c28d-54bb-4600-9708-2a512dda77a3	EAT	275	COMER	EAT	5827
Huber-1992-374-276	697220cd-8ed0-4ee6-8968-d2c00242a858	BITE	276	MORDER	BITE	5993
Huber-1992-374-277	01b206d7-ce05-49a6-a42d-42f8d391f9b5	SEE	277	VER	SEE	6003
Huber-1992-374-278	f7396782-89ba-4a5b-b90d-a7da3be51c96	HEAR	278	OÍR	HEAR	5999
Huber-1992-374-279	51b21290-3101-4807-a7b5-962982fe3747	KNOW	279	SABER	KNOW	6004
Huber-1992-374-280	1ba0ca4c-3ff5-425b-98b5-c79797234e78	SLEEP	280	DORMIR	SLEEP	6519
Huber-1992-374-281	321c29bb-8a73-43c9-a52c-4487cf6fee81	DIE	281	MORIR	DIE	6245
Huber-1992-374-282	5e920dfa-8e49-4f16-bc84-9093cfeb2b8c	KILL	282	MATAR	KILL	6023
Huber-1992-374-283	8158b8e2-b3e9-4efc-a02d-d19c385e0044	SWIM	283	NADAR	SWIM	6050
Huber-1992-374-284	43dfe6ea-2404-4c0e-9402-731449781e6b	FLY, MOVE THROUGH AIR	284	VOLAR	FLY	6052
