ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zhou-2020-350-92	92	heavy	重	1210	HEAVY
Zhou-2020-350-93	93	help	幫	1897	HELP
Zhou-2020-350-94	94	Hmongic	苗族		
Zhou-2020-350-95	95	horn (of an animial)	角	1393	HORN (ANATOMY)
Zhou-2020-350-96	96	house	房子	1252	HOUSE
Zhou-2020-350-97	97	hungry	餓	1533	BE HUNGRY
Zhou-2020-350-98	98	I	我	1209	I
Zhou-2020-350-99	99	in-law	親家		
Zhou-2020-350-100	100	intestine	腸子	1991	INTESTINES
Zhou-2020-350-101	101	iron	鐵	621	IRON
Zhou-2020-350-102	102	jin	斤		
Zhou-2020-350-103	103	kudzu	葛		
Zhou-2020-350-104	104	leaf	葉子	628	LEAF
Zhou-2020-350-105	105	left over	剩的	987	REMAIN
Zhou-2020-350-106	106	light-weighted	輕	1052	LIGHT (WEIGHT)
Zhou-2020-350-107	107	long	長	1203	LONG
Zhou-2020-350-108	108	look	看	1819	LOOK
Zhou-2020-350-109	109	male	公	1553	MALE
Zhou-2020-350-110	110	male genital	男生殖器		
Zhou-2020-350-111	111	many	多	1198	MANY
Zhou-2020-350-112	112	meat	肉	634	MEAT
Zhou-2020-350-113	113	medicine	藥	1372	MEDICINE
Zhou-2020-350-114	114	middle	中間	1093	MIDDLE
Zhou-2020-350-115	115	millet	小米	931	MILLET
Zhou-2020-350-116	116	money	錢	1559	MONEY
Zhou-2020-350-117	117	monkey	猴	1350	MONKEY
Zhou-2020-350-118	118	mosquito	蚊子	1509	MOSQUITO
Zhou-2020-350-119	119	mouse	鼠	2139	MUROID (MOUSE OR RAT)
Zhou-2020-350-120	120	mouth	嘴	674	MOUTH
Zhou-2020-350-121	121	negative imperative	禁止	1269	NO
Zhou-2020-350-122	122	nest	窩	539	NEST
Zhou-2020-350-123	123	net	網	2963	NET
Zhou-2020-350-124	124	new	新	1231	NEW
Zhou-2020-350-125	125	night	夜晚	1233	NIGHT
