ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE
Gerardi-2020-244-231	231	WASP	1517	WASP	VESPA
Gerardi-2020-244-232	232	WATER	948	WATER	ÁGUA
Gerardi-2020-244-233	233	WE(excl)	1130	WE (EXCLUSIVE)	NÓS (EXCLUSIVO)
Gerardi-2020-244-234	234	WE(incl)	1131	WE (INCLUSIVE)	NÓS (INCLUSIVO)
Gerardi-2020-244-235	235	WET	1726	WET	MOLHADO
Gerardi-2020-244-236	236	WHITE	1335	WHITE	BRANCO
Gerardi-2020-244-237	237	WIFE	1199	WIFE	ESPOSA
Gerardi-2020-244-238	238	WIND	960	WIND	VENTO
Gerardi-2020-244-239	239	WING	1257	WING	ASA
Gerardi-2020-244-240	240	WING(2)			ASA
Gerardi-2020-244-241	241	WOMAN	962	WOMAN	MULHER
Gerardi-2020-244-242	242	WORM	2350	EARTHWORM	VERME / MINHOCA
Gerardi-2020-244-243	243	YELLOW	1424	YELLOW	AMARELO
Gerardi-2020-244-244	244	YOU(sg)	1215	THOU	VOCÊ / TU
