ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-140	140	far	far	far	far	---	far	1406	FAR
Mann-2004-500-141	141	fast	---	fast	---	---	---	1631	FAST
Mann-2004-500-142	142	fat (n.)	fat	fat	fat/grease	---	fat	323	FAT (ORGANIC SUBSTANCE)
Mann-2004-500-143	143	fat (adj.)	---	fat	fat	---	---	1279	FAT (OBESE)
Mann-2004-500-144	144	father	father	father	---	---	father	1217	FATHER
Mann-2004-500-145	145	feather	feather	feather	hair (body)	feather	feather	1201	FEATHER
Mann-2004-500-146	146	few	few	few	---	---	few	1242	FEW
Mann-2004-500-147	147	field	---	---	field	---	---	212	FIELD
Mann-2004-500-148	148	fight	fight	fight	---	---	fight	1423	FIGHT
Mann-2004-500-149	149	finger	---	finger	finger/toe	---	---	1303	FINGER
Mann-2004-500-150	150	fire	fire	fire	fire	fire	fire	221	FIRE
Mann-2004-500-151	151	firewood	firewood	firewood	---	---	---	10	FIREWOOD
Mann-2004-500-152	152	fish	fish	fish	fish	fish	fish	227	FISH
Mann-2004-500-153	153	five	five	five	five	---	five	493	FIVE
Mann-2004-500-154	154	flesh/meat	flesh	flesh	---	flesh	meat	2615	FLESH OR MEAT
Mann-2004-500-155	155	float	float	float	---	---	float	1574	FLOAT
Mann-2004-500-156	156	flow	flow	flow	---	---	flow	2003	FLOW
Mann-2004-500-157	157	flower	flower	flower	flower	---	flower	239	FLOWER
Mann-2004-500-158	158	fly	fly	fly	fly	fly	fly	1441	FLY (MOVE THROUGH AIR)
Mann-2004-500-159	159	fly (n.)	fly	fly	---	---	---	1504	FLY (INSECT)
Mann-2004-500-160	160	fog	mist	mist	---	---	fog	249	FOG
Mann-2004-500-161	161	foot	foot	foot	foot	foot	foot	1301	FOOT
Mann-2004-500-162	162	forehead	---	forehead	---	---	---	123	FOREHEAD
Mann-2004-500-163	163	forget	---	forget	forget	---	---	1523	FORGET
Mann-2004-500-164	164	four	four	four	four	---	four	1500	FOUR
Mann-2004-500-165	165	fowl	---	---	fowl	---	---	265	FOWL
Mann-2004-500-166	166	freeze	freeze	---	---	---	freeze	1431	FREEZE
Mann-2004-500-167	167	friend	---	friend	---	---	---	1325	FRIEND
Mann-2004-500-168	168	frog	---	frog	frog	---	---	503	FROG
Mann-2004-500-169	169	fruit	fruit	fruit	fruit	---	fruit	1507	FRUIT
Mann-2004-500-170	170	full	full	full	full	full	---	1429	FULL
Mann-2004-500-171	171	full	full	full	---	---	---	1429	FULL
Mann-2004-500-172	172	garlic	---	garlic	---	---	---	2368	GARLIC
Mann-2004-500-173	173	ghost	---	ghost	---	---	---	1175	GHOST
Mann-2004-500-174	174	gibbon	---	gibbon	---	---	---	2511	GIBBON
Mann-2004-500-175	175	ginger	---	ginger	---	---	---	2500	GINGER
Mann-2004-500-176	176	give	give	give	give	give	give	1447	GIVE
Mann-2004-500-177	177	gold	gold	gold	---	---	---	1369	GOLD
Mann-2004-500-178	178	gong	gong	gong	---	---	---	2502	GONG
Mann-2004-500-179	179	good	good	good	---	good	good	1035	GOOD
Mann-2004-500-180	180	grandchild (nephew)	---	---	grandchild	---	---	1617	GRANDCHILD
Mann-2004-500-181	181	grass	grass	grass	grass	---	grass	606	GRASS
Mann-2004-500-182	182	grease	---	---	---	grease	---	323	FAT (ORGANIC SUBSTANCE)
Mann-2004-500-183	183	green	green	green	---	green	green	1425	GREEN
Mann-2004-500-184	184	grind	---	grind	grind	---	---	1033	GRIND
Mann-2004-500-185	185	gums	---	gums	---	---	---	139	GUMS
Mann-2004-500-186	186	hair	hair	hair	hair (head)	hair	hair	1040	HAIR
Mann-2004-500-187	187	half	---	half a unit	---	---	---	816	HALF
Mann-2004-500-188	188	half a quantity	---	half a quantity	---	---	---	816	HALF
Mann-2004-500-189	189	hand	hand/arm	hand/arm	hand/arm	hand	hand	1277	HAND
Mann-2004-500-190	190	hard	---	hard	---	---	---	1884	HARD
Mann-2004-500-191	191	hate	---	hate	---	---	---	1607	HATE
Mann-2004-500-192	192	he	he, she	he, she	---	---	he	1211	HE
Mann-2004-500-193	193	head	head	head	head	head	head	1256	HEAD
Mann-2004-500-194	194	hear	hear	hear	---	hear	hear	1408	HEAR
Mann-2004-500-195	195	heart	heart	heart	heart	heart	heart	1223	HEART
Mann-2004-500-196	196	heavy	heavy	heavy	heavy	---	heavy	1210	HEAVY
Mann-2004-500-197	197	heel	---	heel	---	---	---	980	HEEL
Mann-2004-500-198	198	here	here	---	---	---	here	136	HERE
Mann-2004-500-199	199	hide	---	---	hide	---	---	2485	HIDE (ONESELF)
Mann-2004-500-200	200	hit	hit	hit	---	---	hit	1433	HIT
Mann-2004-500-201	201	hold	---	---	---	---	hold	1448	HOLD
Mann-2004-500-202	202	horn	horn	horn	horn	horn	---	1393	HORN (ANATOMY)
Mann-2004-500-203	203	horse	---	---	horse	---	---	615	HORSE
Mann-2004-500-204	204	hot	hot	hot	---	hot	---	1286	HOT
Mann-2004-500-205	205	house	house	house	house	---	---	1252	HOUSE
Mann-2004-500-206	206	how	how many	how many	---	---	how	1239	HOW
Mann-2004-500-207	207	hundred	hundred	hundred	hundred	---	---	1634	HUNDRED
Mann-2004-500-208	208	hungry	---	hungry	---	---	---	1533	BE HUNGRY
Mann-2004-500-209	209	hunt	hunt	hunt	hunt/drive	---	hunt	1435	HUNT
Mann-2004-500-210	210	hurt	---	hurt	---	---	---	2561	HURT (SENSE PAIN)
Mann-2004-500-211	211	husband	husband	husband	---	---	husband	1200	HUSBAND
Mann-2004-500-212	212	I (1sg.)	I (familiar)	I (familiar)	I	I	I	1209	I
Mann-2004-500-213	213	ice	---	---	---	---	ice	617	ICE
Mann-2004-500-214	214	if	if	---	---	---	if	1459	IF
Mann-2004-500-215	215	ill	ill	---	ill	---	---	1847	SICK
