ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PERCEPTUAL_DOMINANT	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	PERCEPTUAL_EXCLUSIVITY	RANDOM_SET	PARTICIPANTS
Winter-2016-300-103	103	expose			Visual	3.5	2.166666667	1.666666667	0.333333333	0.666666667	0.38	yes	6
Winter-2016-300-104	104	extend			Haptic	1.777777778	2.333333333	0.444444444	0	0	0.512195122	yes	9
Winter-2016-300-105	105	eye			Visual	4.666666667	0	0	0	0	1	no	6
Winter-2016-300-106	106	feature			Visual	3	0.5	1.666666667	0.5	0.333333333	0.444444444	yes	6
Winter-2016-300-107	107	feel	FEEL	1079	Haptic	0.142857143	4.857142857	0.142857143	0.285714286	0.142857143	0.846153846	no	7
Winter-2016-300-108	108	filter			Visual	2.363636364	2.090909091	1.272727273	0.818181818	0.818181818	0.209876543	yes	11
Winter-2016-300-109	109	finger			Haptic	0.571428571	5	0	0	0	0.897435897	no	7
Winter-2016-300-110	110	flit			Haptic	1	2.8	0.6	1.4	1.2	0.314285714	yes	5
Winter-2016-300-111	111	flog			Haptic	0.571428571	2.571428571	0.142857143	0	0	0.782608696	yes	7
Winter-2016-300-112	112	fondle			Haptic	0.727272727	4.818181818	0	0	0	0.868852459	no	11
Winter-2016-300-113	113	fumble			Haptic	2.333333333	4	1	0	0	0.545454545	no	9
Winter-2016-300-114	114	gabble			Haptic	0.4	2	1.2	0	0	0.555555556	no	5
Winter-2016-300-115	115	gape			Visual	2.2	2	1	0.6	1	0.235294118	no	5
Winter-2016-300-116	116	gawk			Visual	4.888888889	0.111111111	0.333333333	0	0.333333333	0.862745098	no	9
Winter-2016-300-117	117	gaze			Visual	4.857142857	0	0	0	0	1	no	7
Winter-2016-300-118	118	generate			Haptic	1.6	2	0.8	0.6	0.6	0.25	yes	5
Winter-2016-300-119	119	get	GET	694	Haptic	2.333333333	3.333333333	1	0.333333333	0.166666667	0.441860465	no	6
Winter-2016-300-120	120	give	GIVE	1447	Haptic	1.545454545	2.363636364	0.636363636	0.363636364	0.363636364	0.379310345	yes	11
Winter-2016-300-121	121	glance			Visual	4.428571429	0	0	0	0	1	no	7
Winter-2016-300-122	122	glimpse			Visual	4.636363636	0	0	0	0	1	no	11
Winter-2016-300-123	123	goggle			Visual	4.571428571	0.428571429	0.285714286	0	0	0.864864865	no	7
Winter-2016-300-124	124	govern	GOVERN	382	Auditory	1.8	0.4	2.8	0.6	0.6	0.387096774	yes	5
Winter-2016-300-125	125	graze	GRAZE	3058	Haptic	2	2.333333333	0.5	2.333333333	0.833333333	0.229166667	no	6
Winter-2016-300-126	126	grope			Haptic	0.428571429	5	0	0	0	0.921052632	no	7
Winter-2016-300-127	127	hail			Visual	2.8	1.6	0.6	0	0	0.56	yes	5
Winter-2016-300-128	128	hammer	HAMMER (SOMETHING)	3115	Haptic	3.166666667	3.833333333	2.5	0	0	0.403508772	yes	6
Winter-2016-300-129	129	handle			Haptic	1.666666667	4.5	0.333333333	0.833333333	0.333333333	0.543478261	no	6
Winter-2016-300-130	130	hark			Auditory	2.333333333	0.555555556	3.555555556	0.555555556	0.555555556	0.397058824	no	9
Winter-2016-300-131	131	heal			Haptic	1.428571429	3.142857143	0.428571429	0	0.285714286	0.594594595	yes	7
Winter-2016-300-132	132	hear	HEAR	1408	Auditory	0	0.166666667	4.833333333	0	0	0.966666667	no	6
Winter-2016-300-133	133	hearken			Auditory	1.833333333	0.333333333	3.333333333	0	0.166666667	0.588235294	no	6
