ID	NUMBER	NUMBER_IN_SOURCE	ENGLISH	CHINESE	NUMBERS	GLOSSES	CONCEPTICON_ID	CONCEPTICON_GLOSS
Yang-2011-1014-312	312	311	Han Chinese	汉族	311,0 / 311,1	Han Chinese / Han Chinese	3373	HAN CHINESE
Yang-2011-1014-313	313	312	Yi/Lo	彝族	312	Yi/Lo		
Yang-2011-1014-314	314	313	Bai	白族	313	Bai		
Yang-2011-1014-315	315	314	Dai	傣族	314	Dai		
Yang-2011-1014-316	316	315	child	儿童	315	child	2099	CHILD
Yang-2011-1014-317	317	316	elderly person	老人	316	elderly person	725	OLD PERSON
Yang-2011-1014-318	318	317	older man	老男人	317	older man	406	OLD MAN
Yang-2011-1014-319	319	318	older woman	老女人	318	older woman	907	OLD WOMAN
Yang-2011-1014-320	320	319	boy	青年男人	319	boy	1366	BOY
Yang-2011-1014-321	321	320	girl	青年女人	320	girl	1646	GIRL
Yang-2011-1014-322	322	321	friend	朋友	321	friend	1325	FRIEND
Yang-2011-1014-323	323	322	enemy	敌人	322	enemy	1358	ENEMY
Yang-2011-1014-324	324	323	host	主人	323,0 / 323,1	host / host	1545	HOST
Yang-2011-1014-325	325	324	guest	客人	324,0 / 324,1	guest / guest	1782	GUEST
Yang-2011-1014-326	326	325	lame person	瘸子/跛子	325,0 / 325,1	lame person / lame person	2322	LAME PERSON
Yang-2011-1014-327	327	326	official	官	326	official	3361	OFFICIAL
Yang-2011-1014-328	328	327	high official	大官	327	high official		
Yang-2011-1014-329	329	328	low official	小官	328	low official		
Yang-2011-1014-330	330	329	emperor	皇帝	329	emperor	1508	KING
Yang-2011-1014-331	331	330	doctor	医生	330	doctor	597	PHYSICIAN
Yang-2011-1014-332	332	331	blacksmith	铁匠/锻工	331	blacksmith	1001	BLACKSMITH
Yang-2011-1014-333	333	332	soldier	兵/士兵	332	soldier	1941	SOLDIER
Yang-2011-1014-334	334	333	bride	新娘	333	bride	1266	BRIDE
Yang-2011-1014-335	335	334	groom	新郎	334	groom	3282	GROOM
Yang-2011-1014-336	336	335	widow	寡妇	335	widow	1756	WIDOW
Yang-2011-1014-337	337	336	widower	寡郎	336	widower	1981	WIDOWER
Yang-2011-1014-339	339	337	blind	盲; 瞎子	337,1 / 337,1	blind-1 / blind-2	1653	BLIND
Yang-2011-1014-340	340	338	deaf	聋(子)	338	deaf (person)	996	DEAF
Yang-2011-1014-341	341	339	father's father	爷爷	339	father's father	2560	PATERNAL GRANDFATHER
Yang-2011-1014-342	342	340	father's mother	奶奶	340	father's mother	3015	PATERNAL GRANDMOTHER
Yang-2011-1014-343	343	341	GP father	祖父	341	GP father		
Yang-2011-1014-344	344	342	GP mother	祖母	342,0 / 342,1	GP mother / GP mother		
Yang-2011-1014-345	345	343	father	父亲	343	father	1217	FATHER
Yang-2011-1014-346	346	344	mother	母亲	344	mother	1216	MOTHER
Yang-2011-1014-347	347	345	wife's father	岳父	345	wife's father	1055	FATHER-IN-LAW
Yang-2011-1014-348	348	346	wife's mother	岳母	346	wife's mother	1050	MOTHER-IN-LAW
Yang-2011-1014-349	349	347	older brother	哥哥	347	older brother	1759	OLDER BROTHER
Yang-2011-1014-350	350	348	older sister	姐姐	348	older sister	1758	OLDER SISTER
Yang-2011-1014-351	351	349	younger brother of a male	弟弟	349	younger brother of a male	2416	YOUNGER BROTHER (OF MAN)
Yang-2011-1014-352	352	349	younger brother of a female	弟弟	349.1	younger brother of a female	2417	YOUNGER BROTHER (OF WOMAN)
Yang-2011-1014-353	353	350	younger sister of a female	?	350.1	younger sister of a female	2421	YOUNGER SISTER (OF WOMAN)
Yang-2011-1014-354	354	350	younger sister of a male	妹妹	350	younger sister of a male	2420	YOUNGER SISTER (OF MAN)
Yang-2011-1014-355	355	351	siblings	兄弟姐妹	351	siblings	1640	SIBLING
Yang-2011-1014-356	356	352	oldest sibling	老大	352	oldest sibling		
Yang-2011-1014-357	357	353	second sibling	老二	353	second sibling		
Yang-2011-1014-358	358	354	third sibling	老三	354	third sibling		
Yang-2011-1014-359	359	354	youngest child	老幺	354.1	youngest child		
Yang-2011-1014-360	360	355	husband	丈夫	355	husband	1200	HUSBAND
Yang-2011-1014-361	361	356	wife	妻子	356,1 / 356,0	wife / wife	1199	WIFE
Yang-2011-1014-362	362	357	son	儿子	357	son	1620	SON
Yang-2011-1014-363	363	358	daughter	女儿 (姑娘)	358	daughter	1357	DAUGHTER
Yang-2011-1014-364	364	359	daughter-in-law	儿媳 (媳妇)	359	daughter-in-law	1057	DAUGHTER-IN-LAW
Yang-2011-1014-365	365	360	son-in-law	女婿	360,1 / 360,0	son-in-law / son-in-law	1056	SON-IN-LAW
Yang-2011-1014-366	366	361	brother's son	侄子	361	brother's son		
Yang-2011-1014-367	367	362	brother's daughter	侄女	362	brother's daughter		
Yang-2011-1014-368	368	363	sis' child (Mvpt)	外甥/外甥女	363	sis' child (Mvpt)		
Yang-2011-1014-369	369	364	son's son	孙子	364	son's son	2702	GRANDSON (SON'S SON)
Yang-2011-1014-370	370	365	son's daughter	孙女	365	son's daughter		
Yang-2011-1014-371	371	366	ancestor	祖先	366,0 / 366,1	ancestor / ancestor	1669	ANCESTORS
Yang-2011-1014-372	372	367	father's OB	伯父	367	father's OB	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)
Yang-2011-1014-373	373	368	father's BW	伯母	368	father's BW		
Yang-2011-1014-374	374	369	father's OS	姑妈	369	father's OS	3041	PATERNAL AUNT (FATHER'S OLDER SISTER)
Yang-2011-1014-375	375	370	father's YB	叔叔	370	father's YB	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)
Yang-2011-1014-376	376	371	mother's OB	舅舅	371	mother's OB		
Yang-2011-1014-377	377	372	mother's OS	姨母	372	mother's OS	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)
Yang-2011-1014-378	378	373	male suffix	公的	373	male suffix		
Yang-2011-1014-379	379	374	female suffix	母的	374	female suffix		
Yang-2011-1014-380	380	375	father+children (CLF)	三父子	375	father+children (CLF)		
Yang-2011-1014-381	381	376	mother+children (CLF)	三母子	376	mother+children (CLF)		
Yang-2011-1014-382	382	377	grandfather+grandchildren (CLF)	三爷孙	377	grandfather+grandchildren (CLF)		
Yang-2011-1014-383	383	378	grandmother+grandchildren (CLF)	三奶孙	378	grandmother+grandchildren (CLF)		
Yang-2011-1014-384	384	379	house	房子	379	house	1252	HOUSE
Yang-2011-1014-385	385	380	home	家	380	home	2406	HOME
Yang-2011-1014-386	386	381	wall	墙壁	381	wall	933	WALL (OF HOUSE)
Yang-2011-1014-387	387	382	roof	房顶	382	roof	769	ROOF
Yang-2011-1014-388	388	383	tile (ceramic)	瓦片	383	tile (ceramic)		
Yang-2011-1014-389	389	384	beam [main]	梁(主)	384	beam [main]	1132	BEAM
Yang-2011-1014-390	390	385	beam[small]	梁(小)	385	beam[small]	1132	BEAM
Yang-2011-1014-391	391	386	post; pillar	柱子(大)	386	post; pillar	281	POST
Yang-2011-1014-392	392	387	door	门	387	door	1567	DOOR
Yang-2011-1014-393	393	388	room	房间	388	room	1450	ROOM
Yang-2011-1014-394	394	389	fire-pit	火塘	389	fire-pit		
Yang-2011-1014-395	395	390	charcoal	木炭	390,0 / 390,1	charcoal / charcoal	1188	CHARCOAL
Yang-2011-1014-396	396	391	field; wet field	田 (稻田)	391	field; wet field	140	PADDY FIELD
Yang-2011-1014-397	397	392	dry field	田 (旱田)	392,0 / 392,1	dry field / dry field	2794	FIELD (UPLAND)
Yang-2011-1014-398	398	393	garden	菜园	393	garden	586	GARDEN
Yang-2011-1014-399	399	394	pen; fold	圈(牛圈)	394	pen; fold	851	STABLE
Yang-2011-1014-400	400	395	granary	仓（装粮食的柜子）	395	granary	3025	BARN OR SHED
Yang-2011-1014-401	401	396	shrine; temple	庙	396	shrine; temple	911	TEMPLE
Yang-2011-1014-402	402	397	tomb; grave	坟墓	397	tomb; grave	1773	GRAVE
Yang-2011-1014-403	403	398	graveyard	墓地	398,1 / 398,0	graveyard / graveyard	3284	GRAVEYARD
Yang-2011-1014-404	404	399	head-wrap	头巾	399	head-wrap		
Yang-2011-1014-405	405	400	headdress	饰头巾	400	headdress	331	HEADDRESS
Yang-2011-1014-406	406	401	hat	帽子	401	hat	771	HAT
Yang-2011-1014-407	407	402	earring	耳环	402	earring	770	EARRING
Yang-2011-1014-408	408	403	bracelet	手镯	403	bracelet	1754	BRACELET
Yang-2011-1014-409	409	404	ring (for finger)	戒指	404	ring (for finger)	1374	RING
Yang-2011-1014-410	410	405	clothing	衣服	405	clothing	1895	CLOTHES
Yang-2011-1014-411	411	406	collar	衣领	406	collar	2012	COLLAR
Yang-2011-1014-412	412	407	sleeve	袖子	407	sleeve	2953	SLEEVE
Yang-2011-1014-413	413	408	button	钮扣	408	button	757	BUTTON
Yang-2011-1014-414	414	409	palm bark rain cape	蓑衣	409,0 / 409,1	palm bark rain cape / palm bark rain cape		
Yang-2011-1014-415	415	410	pants	裤子	410	pants	809	TROUSERS
Yang-2011-1014-416	416	411	belt	裤带	411	belt	772	BELT
Yang-2011-1014-417	417	412	shoes	鞋	412	shoes	1381	SHOE
Yang-2011-1014-418	418	413	cloth (fabric)	布	413	cloth (fabric)	1616	CLOTH
Yang-2011-1014-419	419	414	baby sling	背兜	414	baby sling		
Yang-2011-1014-420	420	415	shoulder bag	肩袋	415	shoulder bag		
Yang-2011-1014-421	421	416	blanket; quilt	被子	416,3 / 416,0 / 416,1 / 416,2	blanket; quilt / blanket; quilt / blanket; quilt / blanket; quilt	806	BLANKET
Yang-2011-1014-422	422	417	pillow	枕头	417,1 / 417,0	pillow / pillow	1044	PILLOW
Yang-2011-1014-423	423	418	mat	(垫)席	418,0 / 418,1	mat / mat	195	MAT
Yang-2011-1014-424	424	419	rice powder	米粉	419	rice powder	3285	RICE FLOUR
Yang-2011-1014-425	425	420	flour	面粉	420,1 / 420,0	flour / flour	1594	FLOUR
Yang-2011-1014-426	426	421	porridge	粥	421	porridge	2049	CONGEE
Yang-2011-1014-427	427	422	oil	油	422	oil	1484	OIL (ORGANIC SUBSTANCE)
Yang-2011-1014-428	428	423	lard	动物油	423	lard	1282	FAT (FROM ANIMALS)
Yang-2011-1014-429	429	424	salt	盐	424,1 / 424,0	salt / salt	1274	SALT
Yang-2011-1014-430	430	425	meat	肉	425	meat	2615	FLESH OR MEAT
Yang-2011-1014-431	431	426	soup	汤 (菜汤)	426	soup	1547	SOUP
Yang-2011-1014-432	432	427	liquor	酒	427	liquor	842	LIQUOR
Yang-2011-1014-433	433	428	tea	茶 （茶水）	428	tea	1373	TEA
Yang-2011-1014-434	434	429	sugar	糖	429,0 / 429,1	sugar / sugar	862	SUGAR
Yang-2011-1014-435	435	430	jaggery	红糖	430	jaggery		
Yang-2011-1014-436	436	431	saw	锯子	431,0 / 431,1	saw / saw	1948	SAW
Yang-2011-1014-437	437	432	knife	刀	432	knife	1352	KNIFE
Yang-2011-1014-438	438	433	kitchen knife	菜刀	433	kitchen knife	2772	KITCHEN KNIFE
Yang-2011-1014-439	439	434	pointed knife	尖刀	434	pointed knife		
Yang-2011-1014-440	440	435	sickle	镰刀	435	sickle	341	SICKLE
Yang-2011-1014-441	441	436	hatchet	斧头	436	hatchet	677	AXE
Yang-2011-1014-442	442	437	hoe (large)	锄头	437	hoe (large)	284	HOE
Yang-2011-1014-443	443	438	plow	犁	438	plow	2154	PLOUGH (INSTRUMENT)
Yang-2011-1014-444	444	439	yoke	牛轭	439	yoke	14	YOKE
Yang-2011-1014-445	445	440	thing	东西	440	thing		
Yang-2011-1014-446	446	441	loom	织布机	441	loom	1787	LOOM
Yang-2011-1014-447	447	442	needle	针	442	needle	1382	NEEDLE (FOR SEWING)
Yang-2011-1014-448	448	443	awl	锥子	443	awl	278	AWL
Yang-2011-1014-449	449	444	thread	线 (缝衣用的)	444	thread	1161	THREAD
Yang-2011-1014-450	450	445	ball (of thread)	线球	445	ball (of thread)	1845	BALL
Yang-2011-1014-451	451	446	rope; string	绳子	446	rope; string	362	STRING
Yang-2011-1014-452	452	447	chain	链子	447	chain	1627	CHAIN
Yang-2011-1014-453	453	448	whip (horse whip)	鞭子 (马鞭子)	448	whip (horse whip)	2630	WHIP
Yang-2011-1014-454	454	449	winnowing basket	簸箕 (簸米用)	449	winnowing basket	2051	DUSTPAN
Yang-2011-1014-455	455	450	bamboo sieve; sifter (fine)	筛子(细的)	450	bamboo sieve; sifter (fine)		
Yang-2011-1014-456	456	451	whetstone	磨刀石	451	whetstone	295	WHETSTONE
Yang-2011-1014-457	457	452	millstone	石磨	452	millstone	2459	GRINDSTONE
Yang-2011-1014-458	458	453	hammer	锤子	453	hammer	1481	HAMMER
Yang-2011-1014-459	459	454	chisel	凿子	454	chisel	1979	CHISEL
Yang-2011-1014-460	460	455	rice huller	碓	455	rice huller		
Yang-2011-1014-461	461	456	rice pounder	米臼	456	rice pounder		
Yang-2011-1014-462	462	457	mortar	臼	457	mortar	224	MORTAR
Yang-2011-1014-463	463	458	pestle	杵	458	pestle	225	PESTLE
Yang-2011-1014-464	464	459	medicine; herbal medicine	药	459,0 / 459,1	medicine; herbal medicine / medicine; herbal medicine	1372	MEDICINE
Yang-2011-1014-465	465	460	bamboo basket	箩筐 (背东西用)	460	bamboo basket	3360	BAMBOO BASKET
Yang-2011-1014-466	466	461	broom	扫帚	461	broom	245	BROOM
Yang-2011-1014-467	467	462	pot; pan; wok	锅 (炒菜的)	462	pot; pan; wok	2056	WOK
Yang-2011-1014-468	468	463	tub; bucket	桶	463	tub; bucket	2052	BUCKET
Yang-2011-1014-469	469	464	barrel, ceramic	土罐	464	barrel, ceramic	2055	CLAY POT
Yang-2011-1014-470	470	465	washbasin	盆	465	washbasin	915	SINK (BASIN)
Yang-2011-1014-471	471	466	bag; sack	袋子	466	bag; sack	2468	BAG
Yang-2011-1014-472	472	467	comb (regular)	梳子	467	comb (regular)	1475	COMB
Yang-2011-1014-473	473	468	fine toothed comb	细密梳子	468	fine toothed comb		
Yang-2011-1014-474	474	469	bowl	碗	469	bowl	1530	BOWL
Yang-2011-1014-475	475	470	small bowl	小碗	470	small bowl	2053	SMALL BOWL
Yang-2011-1014-476	476	471	large bowl	大碗	471	large bowl	3286	LARGE BOWL
Yang-2011-1014-477	477	472	chopsticks	筷子	472	chopsticks	1987	CHOPSTICKS
Yang-2011-1014-478	478	473	bed	床	473	bed	1663	BED
Yang-2011-1014-479	479	474	ladder	梯子	474,1 / 474,0	ladder / ladder	1464	LADDER
Yang-2011-1014-480	480	475	firewood	柴	475	firewood	10	FIREWOOD
Yang-2011-1014-481	481	476	manure; fertilizer	粪 (肥料)	476	manure; fertilizer	2057	DUNG (ANIMAL FAECES)
Yang-2011-1014-482	482	477	road	路	477,0 / 477,1 / 477,2	road / road / road	2457	PATH OR ROAD
Yang-2011-1014-483	483	478	bridge	桥	478	bridge	1011	BRIDGE
Yang-2011-1014-484	484	479	market	街子(市场)	479	market	633	MARKET
Yang-2011-1014-485	485	480	money	钱	480,0 / 480,1	money / money	1559	MONEY
Yang-2011-1014-486	486	481	price	价钱 (价格)	481	price	657	PRICE
Yang-2011-1014-487	487	482	folksong	民歌／山歌	482	folksong	2059	FOLK SONG
Yang-2011-1014-488	488	483	song	歌	483	song	1096	SONG
Yang-2011-1014-489	489	484	story	故事	484	story	2060	STORY
Yang-2011-1014-490	490	485	word (written)	字	485	word (written)	1599	WORD
Yang-2011-1014-491	491	486	speech	话	486,0 / 486,1	speech / speech	1115	SPEECH
Yang-2011-1014-492	492	487	sound; voice	声音	487,0 / 487,1	sound; voice / sound; voice	1811	SOUND OR NOISE
Yang-2011-1014-493	493	488	book	书	488	book	963	BOOK
Yang-2011-1014-494	494	489	name	名字	489	name	1405	NAME
Yang-2011-1014-495	495	490	dream	梦	490,0 / 490,1	dream / dream	2374	DREAM
Yang-2011-1014-496	496	491	shadow	影子	491	shadow	1388	SHADE
Yang-2011-1014-497	497	492	deity	神	492	deity	3231	DEITY
Yang-2011-1014-498	498	493	God	上帝	493,0 / 493,1	God / God	1944	GOD
Yang-2011-1014-499	499	494	soul (1)	魂	494	soul (1)	811	SOUL
Yang-2011-1014-500	500	495	spirit (evil)	鬼	495	spirit (evil)	1175	GHOST
Yang-2011-1014-501	501	496	boundary marker	边界记号	496	boundary marker		
Yang-2011-1014-502	502	497	fence	栅栏	497	fence	1690	FENCE
Yang-2011-1014-503	503	498	gun	枪	498	gun	1566	GUN
Yang-2011-1014-504	504	499	bow	弓	499,0 / 499,1	bow / bow	994	BOW
Yang-2011-1014-505	505	500	arrow	箭	500	arrow	977	ARROW
Yang-2011-1014-506	506	501	arrow (head)	箭头	501	arrow (head)		
Yang-2011-1014-507	507	502	cage (e.g., for ducks)	笼	502	cage (e.g., for ducks)	3283	CAGE
Yang-2011-1014-508	508	503	drum	鼓	503	drum	908	DRUM
Yang-2011-1014-509	509	504	gong	铜锣	504	gong	2502	GONG
Yang-2011-1014-510	510	505	town	城	505	town	1391	TOWN
Yang-2011-1014-511	511	506	village	村(寨)	506	village	930	VILLAGE
Yang-2011-1014-512	512	507	custom	风俗	507	custom	1747	CUSTOM
Yang-2011-1014-513	513	508	ritual tree	龙树	508	ritual tree		
Yang-2011-1014-514	514	509	invocation	祈祷	509	invocation		
Yang-2011-1014-515	515	510	bell	铃	510	bell	2246	BELL
Yang-2011-1014-516	516	511	flute	笛子	511,1 / 511,0	flute / flute	777	FLUTE
Yang-2011-1014-517	517	512	gourd reed-organ	芦笙	512	gourd reed-organ		
Yang-2011-1014-518	518	513	pipe (yuantong)	烟筒	513	pipe (yuantong)	1124	PIPE
Yang-2011-1014-519	519	514	trap	陷阱	514	trap	1075	TRAP (PITFALL)
Yang-2011-1014-520	520	515	poison	毒药	515	poison	655	POISON
Yang-2011-1014-521	521	516	look at	看	516	look at	1819	LOOK
Yang-2011-1014-522	522	517	see	看见	517	see	1409	SEE
Yang-2011-1014-523	523	518	show	给看	518	show	1039	SHOW
Yang-2011-1014-524	524	519	listen	听	519	listen	1608	LISTEN
Yang-2011-1014-525	525	520	hear	听见	520	hear	1408	HEAR
Yang-2011-1014-526	526	521	eat	吃	521	eat	1336	EAT
Yang-2011-1014-527	527	522	feed	喂（人、猪）	522	feed	739	FEED
Yang-2011-1014-528	528	523	feed animals	喂 (喂鸡)	523,0 / 523,1	feed animals / feed animals		
Yang-2011-1014-529	529	524	drink	喝	524	drink	1401	DRINK
Yang-2011-1014-530	530	525	give to drink	给喝	525	give to drink		
Yang-2011-1014-531	531	526	bite	咬	526	bite	1403	BITE
Yang-2011-1014-532	532	527	chew	嚼	527	chew	321	CHEW
Yang-2011-1014-533	533	528	lick	舔	528	lick	319	LICK
Yang-2011-1014-534	534	529	savor	含	529	savor	2190	TASTE
Yang-2011-1014-535	535	530	swallow	咽	530,0 / 530,1	swallow / swallow	897	SWALLOW
Yang-2011-1014-536	536	531	spit	吐 (吐口水)	531	spit	1440	SPIT
Yang-2011-1014-537	537	532	vomit	呕吐	532	vomit	1278	VOMIT
Yang-2011-1014-538	538	533	suck	吸	533	suck	1421	SUCK
Yang-2011-1014-539	539	534	blow (on)	吹 (吹火)	534	blow (on)	176	BLOW (WITH MOUTH)
Yang-2011-1014-540	540	535	say	说	535	say	1458	SAY
Yang-2011-1014-541	541	536	speak	讲	536	speak	1623	SPEAK
Yang-2011-1014-542	542	537	tell	告诉	537	tell	1711	TELL
Yang-2011-1014-543	543	538	call; be called	叫	538	call; be called	180	CALL BY NAME
Yang-2011-1014-544	544	539	ask	问	539	ask	1309	ASK (INQUIRE)
Yang-2011-1014-545	545	540	answer	答 (回答)	540	answer	1275	ANSWER
Yang-2011-1014-546	546	541	send for; request	请	541	send for; request	1828	ASK (REQUEST)
Yang-2011-1014-547	547	542	smell	闻 (嗅)	542	smell	1586	SMELL (PERCEIVE)
Yang-2011-1014-548	548	543	touch; feel; stroke	摸 (摸摸刀口)	543	touch; feel; stroke	1892	TOUCH
Yang-2011-1014-549	549	544	take	拿 (拿书)	544	take	1749	TAKE
Yang-2011-1014-550	550	545	grasp; grip	握(握刀把)	545	grasp; grip	2021	GRASP
Yang-2011-1014-551	551	546	grab	抓住	546	grab	855	SEIZE
Yang-2011-1014-552	552	547	pick (e.g., fruit)	摘 (摘果子)	547,0 / 547,1	pick (e.g., fruit) / pick (e.g., fruit)	2148	PICK
Yang-2011-1014-553	553	548	rub (with hands)	搓 (措绳子)	548	rub (with hands)	1449	RUB
Yang-2011-1014-554	554	549	rip; tear	撕	549	rip; tear	1735	TEAR (SHRED)
Yang-2011-1014-555	555	550	twist; wring	拧 (拧毛巾)	550	twist; wring	430	TWIST
Yang-2011-1014-556	556	551	pick up	拾 (拾起)	551	pick up	371	PICK UP
Yang-2011-1014-557	557	552	catch; seize	捉 (捉鸡)	552	catch; seize	702	CATCH
Yang-2011-1014-558	558	553	scatter; sprinkle (e.g., seed)	撒 (撒种子)	553	scatter; sprinkle (e.g., seed)	2064	SCATTER (SEEDS)
Yang-2011-1014-559	559	554	throw away	丢掉	554	throw away	3696	THROW AWAY
Yang-2011-1014-560	560	555	pitch (throw from side way)	摔 (石头)	555	pitch (throw from side way)		
Yang-2011-1014-561	561	556	toss (overhand)	投	556	toss (overhand)	1456	THROW
Yang-2011-1014-562	562	557	stretch; stretch out	伸 (伸手)	557,0 / 557,1 / 557,1	stretch; stretch out / stretch; stretch out / stretch; stretch out	214	STRETCH
Yang-2011-1014-563	563	558	pound	舂/捣碎	558	pound	354	POUND
Yang-2011-1014-564	564	559	lift (over head)	举起	559	lift (over head)	501	LIFT
Yang-2011-1014-565	565	560	fold	折	560	fold	1470	FOLD
Yang-2011-1014-566	566	561	squeeze	挤压/榨	561	squeeze	1414	SQUEEZE
Yang-2011-1014-567	567	562	pinch	捏	562,1 / 562,0	pinch / pinch	378	PINCH
Yang-2011-1014-568	568	563	massage	按摩	563	massage	3119	MASSAGE (SOMEBODY)
Yang-2011-1014-569	569	564	bend	使弯曲	564	bend	2224	BEND (SOMETHING)
Yang-2011-1014-570	570	565	pull a	拉	565	pull a	1455	PULL
Yang-2011-1014-571	571	565	pull b	拉	565.1	pull b	1455	PULL
Yang-2011-1014-572	572	566	push	推	566	push	1452	PUSH
Yang-2011-1014-573	573	567	kick	踢	567	kick	1135	KICK
Yang-2011-1014-574	574	568	kneel	跪	568,0 / 568,1	kneel / kneel	66	KNEEL
Yang-2011-1014-575	575	569	sit	坐	569,0 / 569,1	sit / sit	1416	SIT
Yang-2011-1014-576	576	570	carry, on back	背 (背小孩)	570	carry, on back	465	CARRY ON BACK
Yang-2011-1014-577	577	571	carry,  in arms	抱 (抱小孩)	571	carry,  in arms		
Yang-2011-1014-578	578	572	carry, from hand	提	572	carry, from hand	412	CARRY IN HAND
Yang-2011-1014-579	579	573	carry, mid pole	担	573	carry, mid pole		
Yang-2011-1014-580	580	574	fall	跌 (跌倒)	574	fall	2894	TUMBLE (FALL DOWN)
Yang-2011-1014-581	581	575	lean (against)	靠 (人靠在树上)	575	lean (against)		
Yang-2011-1014-582	582	576	spend night	过夜	576	spend night		
Yang-2011-1014-583	583	577	rest	休息	577	rest	168	REST
Yang-2011-1014-584	584	578	sleep	睡觉	578,0 / 578,1 / 578,2	sleep / sleep / sleep	1585	SLEEP
Yang-2011-1014-585	585	579	put to sleep	使睡	579	put to sleep		
Yang-2011-1014-586	586	580	awake	醒 (睡醒)	580	awake	825	AWAKE
Yang-2011-1014-587	587	581	awaken	唤醒	581	awaken	3174	WAKE UP (SOMEONE)
Yang-2011-1014-588	588	582	do (work)	做 (做工)	582	do (work)	813	DO
Yang-2011-1014-589	589	583	labor; work	劳动	583	labor; work	984	WORK (LABOUR)
Yang-2011-1014-590	590	584	to plow	犁 (犁地)	584	to plow	1921	PLOUGH
Yang-2011-1014-591	591	585	dig (a hole)	挖 (挖洞)	585,1 / 585,0	dig (a hole) / dig (a hole)	1418	DIG
Yang-2011-1014-592	592	586	plant; grow	种/栽秧	586.1	plant; grow		
Yang-2011-1014-593	593	586	plant; grow	种	586	plant; grow	1486	PLANT (SOMETHING)
Yang-2011-1014-594	594	587	water	浇 (浇菜)	587	water	3078	IRRIGATE
Yang-2011-1014-595	595	588	slice; cut	切 (切菜)	588	slice; cut		
Yang-2011-1014-596	596	589	slice; cut	切 (切苹果、西瓜)	589	slice; cut		
Yang-2011-1014-597	597	590	split; chop; cleave	劈 (劈木柴)	590	split; chop; cleave	3151	CUT (WITH AXE)
Yang-2011-1014-598	598	591	chop (down)	砍 (砍树)	591	chop (down)	355	CUT DOWN
Yang-2011-1014-599	599	592	cut (reap)	割 (割稻)	592	cut (reap)		
Yang-2011-1014-600	600	593	whittle	削	593	whittle		
Yang-2011-1014-601	601	594	stab	刺	594,1 / 594,0 / 594,1	stab / stab / stab	1434	STAB
Yang-2011-1014-602	602	595	pull up; pull out	拔 (拔草)	595,0 / 595,1	pull up; pull out / pull up; pull out	2325	PULL OUT
Yang-2011-1014-603	603	596	graze; herd (a flock)	放牧	596	graze; herd (a flock)	3058	GRAZE
Yang-2011-1014-604	604	597	raise animals	饲养	597	raise animals		
Yang-2011-1014-605	605	598	lead along	牵 (牵牛)	598	lead along	43	LEAD (GUIDE)
Yang-2011-1014-606	606	599	buy	买	599	buy	1869	BUY
Yang-2011-1014-607	607	600	sell	卖	600	sell	1571	SELL
Yang-2011-1014-608	608	601	count (number)	数 (数东西)	601,0 / 601,1 / 601,2	count (number) / count (number) / count (number)	1420	COUNT
Yang-2011-1014-609	609	602	teach	教	602	teach	709	TEACH
Yang-2011-1014-610	610	602	teach/train	教	602.1	teach/train	709	TEACH
Yang-2011-1014-611	611	603	study	学	603	study	504	LEARN
Yang-2011-1014-612	612	604	cook; boil	煮	604	cook; boil	1100	COOK (SOMETHING)
Yang-2011-1014-613	613	605	fry (stirfry)	炒	605	fry (stirfry)	991	FRY
Yang-2011-1014-614	614	606	steam	蒸	606,1 / 606,0	steam / steam	1193	STEAM
Yang-2011-1014-615	615	607	hunt; go hunting	打猎	607	hunt; go hunting	1435	HUNT
Yang-2011-1014-616	616	608	shoot (a gun)	射	608	shoot (a gun)	1172	SHOOT
Yang-2011-1014-617	617	609	hit (a target)	中 (射中)	609	hit (a target)	1433	HIT
Yang-2011-1014-618	618	610	kill	杀 (杀鸡)	610	kill	1417	KILL
Yang-2011-1014-619	619	611	die	死	611	die	1494	DIE
Yang-2011-1014-620	620	612	sharpen (grinding)	磨 (磨刀)	612	sharpen (grinding)	251	SHARPEN (SOMETHING)
Yang-2011-1014-621	621	613	mill (grinding)	磨 (磨米)	613	mill (grinding)	636	MILL
Yang-2011-1014-622	622	614	winnow with a fan	簸 (簸米)	614	winnow with a fan	2462	WINNOWING
Yang-2011-1014-623	623	615	ladle out; spoon up	舀 (舀水)	615	ladle out; spoon up	2788	LADLE (WATER)
Yang-2011-1014-624	624	616	wear; put on	穿 (衣服)	616	wear; put on	976	WEAR
Yang-2011-1014-625	625	617	wear (hat); put on (hat)	戴 (帽子)	617	wear (hat); put on (hat)	3428	WEAR (ON HEAD)
Yang-2011-1014-626	626	618	wear (turban)	戴(头巾)	618	wear (turban)		
Yang-2011-1014-627	627	619	wear (upper clothes)	穿(上衣)	619	wear (upper clothes)		
Yang-2011-1014-628	628	620	clothe	给穿	620	clothe		
Yang-2011-1014-629	629	621	take off	脱 (脱衣服)	621	take off	1755	UNDRESS
Yang-2011-1014-630	630	622	roll up	卷 (卷烟)	622	roll up		
Yang-2011-1014-631	631	623	shave	剃 (头)	623	shave	231	SHAVE
Yang-2011-1014-632	632	624	comb	梳 (梳头)	624	comb	2070	COMB (VERB)
Yang-2011-1014-633	633	625	dye	染 (染衣服)	625	dye	157	DYE
