ID	NUMBER	IDS_KEY	ENGLISH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2020-1365-1174	1174	17-420	cause	die Ursache	860	CAUSE
List-2020-1365-1175	1175	17-430	doubt	der Zweifel	1308	DOUBT
List-2020-1365-1176	1176	17-440	suspect	verdächtigen	1841	SUSPECT
List-2020-1365-1177	1177	17-441	betray	betrügen, verraten	1902	BETRAY
List-2020-1365-1178	1178	17-450	need, necessity	das Bedürfnis	643	NEED (NOUN)
List-2020-1365-1179	1179	17-460	easy	leicht (zu tun)	686	EASY
List-2020-1365-1180	1180	17-470	difficult	schwierig	584	DIFFICULT
List-2020-1365-1181	1181	17-480	try, attempt	versuchen	1812	TRY
List-2020-1365-1182	1182	17-490	way, manner	die Art und Weise	488	MANNER
List-2020-1365-1183	1183	17-510	and	und	1577	AND
List-2020-1365-1184	1184	17-520	because	weil (denn)	1157	BECAUSE
List-2020-1365-1185	1185	17-530	if	wenn (falls)	1459	IF
List-2020-1365-1186	1186	17-540	or	oder	1014	OR
List-2020-1365-1187	1187	17-550	yes, affirmative	ja	1268	YES
List-2020-1365-1188	1188	17-560	no, negative	nein	1269	NO
List-2020-1365-1189	1189	17-610	how?	wie	1239	HOW
List-2020-1365-1190	1190	17-620	how many?	wieviel (zählbar)	3450	HOW MANY PIECES
List-2020-1365-1191	1191	17-630	how much?	wieviel (nicht zählbar)	531	HOW MUCH
List-2020-1365-1192	1192	17-640	what?	was	1236	WHAT
List-2020-1365-1193	1193	17-650	when?	wann	1238	WHEN
List-2020-1365-1194	1194	17-660	where?	wo	1237	WHERE
List-2020-1365-1195	1195	17-670	which?	welche	727	WHICH
List-2020-1365-1196	1196	17-680	who?	wer	1235	WHO
List-2020-1365-1197	1197	17-690	why?	warum	1270	WHY
List-2020-1365-1198	1198	18-110	voice	die Stimme	1363	VOICE
List-2020-1365-1199	1199	18-120	sing	singen	1261	SING
List-2020-1365-1200	1200	18-130	shout, cry out	schreien	715	SHOUT
List-2020-1365-1201	1201	18-150	whisper	flüstern	55	WHISPER
List-2020-1365-1202	1202	18-160	mumble	murmeln	128	MUMBLE
List-2020-1365-1203	1203	18-170	whistle	pfeifen	1025	WHISTLE
List-2020-1365-1204	1204	18-180	shriek, screech	schreien (kreischen)	298	SHRIEK
List-2020-1365-1205	1205	18-190	howl	heulen	526	HOWL
List-2020-1365-1206	1206	18-210	speak, talk	speak	1623	SPEAK
List-2020-1365-1207	1207	18-211	stutter, stammer	stottern	1866	STUTTER
List-2020-1365-1208	1208	18-220	say	sagen	1458	SAY
List-2020-1365-1209	1209	18-221	tell story	erzählen	1711	TELL
List-2020-1365-1210	1210	18-222	speech (make a)	vortragen	1115	SPEECH
List-2020-1365-1211	1211	18-230	silent (be)	schweigen	48	BE SILENT
List-2020-1365-1212	1212	18-240	language	die Sprache	1307	LANGUAGE
List-2020-1365-1213	1213	18-260	word	das Wort	1599	WORD
List-2020-1365-1214	1214	18-280	name	der Name	1405	NAME
List-2020-1365-1215	1215	18-310	ask (question, inquire)	fragen	1309	ASK (INQUIRE)
List-2020-1365-1216	1216	18-320	answer	antworten	1275	ANSWER
List-2020-1365-1217	1217	18-330	admit, confess	zugeben	2022	ADMIT
List-2020-1365-1218	1218	18-340	deny	leugnen	755	DENY
List-2020-1365-1219	1219	18-350	ask, request	bitten (verlangen)	1828	ASK (REQUEST)
List-2020-1365-1220	1220	18-360	promise	versprechen	1675	PROMISE
List-2020-1365-1221	1221	18-370	refuse	verweigern	49	REFUSE
List-2020-1365-1222	1222	18-380	forbid	verbieten	83	FORBID
List-2020-1365-1223	1223	18-390	rebuke, scold	ausschimpfen	299	SCOLD
List-2020-1365-1224	1224	18-410	call (=summon)	rufen	1084	CALL
List-2020-1365-1225	1225	18-420	call (=name)	heißen	3835	BE CALLED BY NAME
List-2020-1365-1226	1226	18-420	call (=name)	nennen	180	CALL BY NAME
List-2020-1365-1227	1227	18-430	announce	ankündigen	9	ANNOUNCE
List-2020-1365-1228	1228	18-440	threaten	drohen	1192	THREATEN
List-2020-1365-1229	1229	18-450	boast	angeben	101	BOAST
List-2020-1365-1230	1230	18-510	write	schreiben	1672	WRITE
List-2020-1365-1231	1231	18-520	read	lesen	724	READ
List-2020-1365-1232	1232	18-560	paper	das Papier	648	PAPER
List-2020-1365-1233	1233	18-570	pen	der Stift	794	PEN
List-2020-1365-1234	1234	18-610	book	das Buch	963	BOOK
List-2020-1365-1235	1235	18-670	poet	der Dichter	1045	POET
List-2020-1365-1236	1236	18-710	flute	die Flöte	777	FLUTE
List-2020-1365-1237	1237	18-720	drum	die Trommel	908	DRUM
List-2020-1365-1238	1238	18-730	horn, trumpet	das Horn oder die Trompete	2136	BRASS INSTRUMENT (HORN OR TRUMPET)
List-2020-1365-1239	1239	18-740	rattle	die Rassel	300	RATTLE
List-2020-1365-1240	1240	19-110	country	das Land	1300	COUNTRY
List-2020-1365-1241	1241	19-120	one's native country	das Vaterland	89	NATIVE COUNTRY
List-2020-1365-1242	1242	19-150	city, town	die Stadt	1391	TOWN
List-2020-1365-1243	1243	19-160	village	das Dorf	930	VILLAGE
List-2020-1365-1244	1244	19-170	boundary	die Grenze	1010	BOUNDARY
List-2020-1365-1245	1245	19-210	people (populace)	das Volk	789	PEOPLE
List-2020-1365-1246	1246	19-230	tribe, clan	der Klan	302	CLAN
List-2020-1365-1247	1247	19-240	chief, chieftain	der Häuptling	301	CHIEFTAIN
List-2020-1365-1248	1248	19-250	staff, walking stick	der Stab	1296	WALKING STICK
List-2020-1365-1249	1249	19-310	rule, govern	regieren	1846	RULE
List-2020-1365-1250	1250	19-320	king, ruler	der König	1508	KING
List-2020-1365-1251	1251	19-330	queen	die Königin	1306	QUEEN
