ID	NUMBER	ENGLISH	TUNISIANARABIC	NAME_AGREEMENT_PERCENT	PHONEMES_NUMBER	SYLLABLES_NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Boukadi-2015-348-324	324	pinball machine	فلِيپِرْ	20	6	2		
Boukadi-2015-348-325	325	yoyo	يُويُو	20	4	2		
Boukadi-2015-348-326	326	igloo	دَارْ إِسْكِيمُو	20	10	4	2592	IGLOO
Boukadi-2015-348-327	327	moose	أَيْل	20	4	1	1772	ELK
Boukadi-2015-348-328	328	saxophone	سَكْسُوفُونْ	20	8	3	4024	SAXOPHONE
Boukadi-2015-348-329	329	spider web	شَبْكةْ عَنْكبُوتَهْ	20	14	5	1065	SPIDER WEB
Boukadi-2015-348-330	330	lobster	جرَادْ بحَرْ	16	8	2	2397	LOBSTER
Boukadi-2015-348-331	331	bird hourse	بِيتْ حمَامْ	16	7	2		
Boukadi-2015-348-332	332	buffalo	ثُورْ وَحْشِي	16	8	3	934	BUFFALO
Boukadi-2015-348-333	333	hammock	فَرْش دُرْجِيحَهْ	16	11	4	2019	HAMMOCK
Boukadi-2015-348-334	334	celery	كلاَفِسْ	12	6	2	3727	CELERY
Boukadi-2015-348-335	335	light switch	مِفتاحْ ضَوْ	12	9	3	4001	LIGHT SWITCH
Boukadi-2015-348-336	336	cutting board	قَادُومَهْ	12	6	3		
Boukadi-2015-348-337	337	goggles	مرَاياتْ عُومَانْ	12	11	4		
Boukadi-2015-348-338	338	rake	خَرْبَاشهْ	12	7	3	338	RAKE
Boukadi-2015-348-339	339	anteater	ٱكِل النَّمْل	12	11	4	181	ANTEATER
Boukadi-2015-348-340	340	armadillo	أَرْمَدِلُّوُ	12	9	4	1885	ARMADILLO
Boukadi-2015-348-341	341	totem	صَمْبَهْ	12	5	2		
Boukadi-2015-348-342	342	asparagus	سكُومْ	8	4	1	2605	ASPARAGUS
Boukadi-2015-348-343	343	flute	نَايْ	8	3	1	777	FLUTE
Boukadi-2015-348-344	344	acorn	بُوفْرِيوَا	8	7	3	968	ACORN
Boukadi-2015-348-345	345	avocado	غَلَّهْ	8	4	2	3725	AVOCADO
Boukadi-2015-348-346	346	ray	حَبَّارْ	8	4	1		
Boukadi-2015-348-347	347	anvil	سَنْدَانْ	4	6	2	1648	ANVIL
Boukadi-2015-348-348	348	fishing rod	صُنَّارَهْ	0	6	3		
