ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-166	18	hombro	shoulder	1482	SHOULDER	HOMBRO_SHOULDER
Huber-1992-375-167	146	hormiga	ant	587	ANT	HORMIGA_ANT
Huber-1992-375-168	32	hueso	bone	1394	BONE	HUESO_BONE
Huber-1992-375-169	268	huevo	egg	744	EGG	HUEVO_EGG
Huber-1992-375-170	59	humo	smoke	778	SMOKE (EXHAUST)	HUMO_SMOKE
Huber-1992-375-171	112	iguana	iguana	1578	IGUANA	IGUANA_IGUANA
Huber-1992-375-172	245	intestinos	intestines	1991	INTESTINES	INTESTĨNOS, TRIPAS_INTESTINES
Huber-1992-375-173	50	isla	island	622	ISLAND	ISLA_ISLAND
Huber-1992-375-174	116	jabalí mayor	white-lipped peccary	436	WHITE-LIPPED PECCARY	JABALÍ MAYOR_WHITE-LIPPED PECCARY
Huber-1992-375-175	349	jalar, arrastrar	pull	1455	PULL	JALAR, HALAR_PULL
Huber-1992-375-176	3	labio	lip	478	LIP	LABIO_LIP
Huber-1992-375-177	51	lago	lake	624	LAKE	LAGO_LAKE
Huber-1992-375-178	93	lanza	spear	945	SPEAR	LANZA_SPEAR
Huber-1992-375-179	263	largo	long	1203	LONG	LARGO_LONG
Huber-1992-375-180	313	lavar	wash	1453	WASH	LAVAR_WASH
Huber-1992-375-181	319	leche	milk	635	MILK	LECHE_MILK
Huber-1992-375-182	135	lechuza	owl	735	OWL	LECHUZA, BUHO_OWL
Huber-1992-375-183	332	lejos	far	1406	FAR	LEJOS_FAR
Huber-1992-375-184	60	leña	firewood	10	FIREWOOD	LEÑA_FIREWOOD
Huber-1992-375-185	1	lengua	tongue	1205	TONGUE	LENGUA_TONGUE
Huber-1992-375-186	99	león, puma	puma	1891	PUMA	LEÓN, PUMA_PUMA
Huber-1992-375-187	342	liso	smooth	1234	SMOOTH	LISO_SMOOTH
Huber-1992-375-188	297	lleno	full	1429	FULL	LLENO_FULL
Huber-1992-375-189	62	lluvia	rain	658	RAIN (PRECIPITATION)	LLUVIA_RAIN
Huber-1992-375-190	131	loro	parrot	882	PARROT	LORO_PARROT
Huber-1992-375-191	65	luna	moon	1313	MOON	LUNA_MOON
Huber-1992-375-192	45	madre	mother	1216	MOTHER	MADRE_MOTHER
Huber-1992-375-193	371	maduro	ripe	178	RIPE	MADURO_RIPE
Huber-1992-375-194	162	maíz	corn, maize	506	MAIZE	MAÍZ_CORN, MAIZE
Huber-1992-375-195	225	malo	bad	1292	BAD	MALO_BAD
Huber-1992-375-196	22	mano	hand	1277	HAND	MANO_HAND
Huber-1992-375-197	311	mar	sea	1474	SEA	MAR_SEA
Huber-1992-375-198	43	marida, esposa	wife	1199	WIFE	ESPOSA_WIFE
Huber-1992-375-199	42	marido, esposo	husband	1200	HUSBAND	MARIDO, ESPOSO_HUSBAND
Huber-1992-375-200	197	máscara	mask	2005	MASK	MÁSCARA_MASK
Huber-1992-375-201	282	matar	kill	1417	KILL	MATAR_KILL
Huber-1992-375-202	11	menton	chin	1510	CHIN	MENTÓN_CHIN
Huber-1992-375-203	214	mi arco	my bow			MI ARCO_MY BOW
Huber-1992-375-204	208	mi mano	my hand			MI MANO_MY HAND
Huber-1992-375-205	312	mojado	wet	1726	WET	MOJADO_WET
Huber-1992-375-206	106	mono aullador	howler monkey	433	HOWLER MONKEY	MONO AULLADOR_HOWLER MONKEY
Huber-1992-375-207	107	mono marimonda	spider monkey	434	SPIDER MONKEY	MARIMONDA, MAQUISAPA_SPIDER MONKEY
Huber-1992-375-208	293	montaña	mountain	639	MOUNTAIN	MONTAÑA_MOUNTAIN
Huber-1992-375-209	149	monte	bush	1683	BUSH	MONTE_BUSH
Huber-1992-375-210	276	morder	bite	1403	BITE	MORDER_BITE
Huber-1992-375-211	281	morir	die	1494	DIE	MORIR_DIE
