ID	NUMBER	ENGLISH	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	PORTUGUESE_FREQUENCY	CHINESE_FREQUENCY	SWAHILI_FREQUENCY	CHILEAN_FREQUENCY	FINNISH_FREQUENCY	ESTONIAN_FREQUENCY	FRENCH_FREQUENCY	TURKISH_FREQUENCY	CZECH_FREQUENCY	POLISH_FREQUENCY	BASQUE_FREQUENCY	MAORI_FREQUENCY	TOK_PISIN_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Calude-2011-200-22	22	COLD (WEATHER)	2.0128372247	2.0205806171	2.1952629583	1.2985145083	1.8643792169	1.8625487695	1.9912260757	1.4331829133	1.4306771928	2.4065401804	2.0323769712	1.982271233	1.846398973	1.7098162553	2.2562365332	1.5797835966	2.1349161102	2483	COLD (OF WEATHER)
Calude-2011-200-23	23	TO COME	3.1795517912	3.0185046941	2.3177291337	2.7889794103	3.2223927245	3.3199779384	3.0421815945	2.5672799902	2.2361485001	3.6122539061	2.0954831858	1.2671717284	2.8924341105	2.4764999302	3.2329453127	2.9556877503	3.8682630171	1446	COME
Calude-2011-200-24	24	TO COUNT	1.6989700043	2.9314429133	2.5968499024	2.6297821671	2.6000770185	2.2592832162	2.1122697684	2.582030518	1.5810998938	0.6989700043	1.6344772702	0.5440680444	2.1963972844	2.4179475233	2.5301996982	1.84509804	1.6428176995	1420	COUNT
Calude-2011-200-25	25	TO CUT	2.264817823	1.84509804	1.5234863323	1.899735746	2.0759522759	2.0326187609	2.7011360661	1.5725618344	1.2050354542	2.1553360375	1.3261309567	0.84509804	0.9694159124	1.3242367136	2.3018977172	1.414973348	3.1776450871	1432	CUT
Calude-2011-200-26	26	DAY (NOT NIGHT)	2.9731278536	3.1642216027	3.1078643111	2.9175594933	3.2314639267	1.3416323358	3.2635177161	3.0584234936	2.0499520468	3.1398790864	2.7488931828	2.9742813589	3.0629390493	2.9829021101	2.1903316982	3.0982975365	3.1715991266	1225	DAY (NOT NIGHT)
Calude-2011-200-27	27	TO DIE	2.3424226808	2.5422394333	1.8025684983	1.9299627523	2.6139357386	2.4496172278	2.6762362168	2.1149370089	1.0958909848	2.3304137733	1.918344929	2.6031443726	1.6243852414	1.4607976479	2.952792443	2.9380190975	2.5070788988	1494	DIE
Calude-2011-200-28	28	TO DIG	1.4471580313	0.3435823463	1.0923696996	0.7896135411	1.3119891873	1.6426623314	1.8779469516	0.3053513694	1.0991441422	1.7558748557	0.8762178406	1.4771212547	1.256717746	1.3999043611	1.6589648427	1.2304489214	2.2671540855	1418	DIG
Calude-2011-200-29	29	DIRTY	1.4313637642	1.4938269482	1.9703933721	1.0518703402	1.3313147996	1.4141373622	2.0064660422	1.0813473078	0.5740993351	2.559906625	1.5994463757	1.525044807	1.6112983623	1.3140545778	1.9232440186	1.591064607	1.5254321008	1230	DIRTY
Calude-2011-200-30	30	DOG	2.0934216852	2.1099951935	2.3213083898	1.2927302565	2.0586790361	1.9286518467	1.9934362305	1.7509881079	1.4737830734	2.3891660844	1.8374621715	1.1303337685	2.2387484393	1.9169800473	2.2581581933	1.9867717343	3.2950131297	2009	DOG
Calude-2011-200-31	31	TO DRINK	1.8750612634	1.8559109093	2.2400497721	1.6763651219	2.0894340762	2.1753088246	2.4668676204	1.207424903	1.0583991745	2.3443922737	1.7484981266	2.6766936096	1.9301846523	1.8665367488	2.2619761914	1.6627578317	1.7620041072	1401	DRINK
