ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	LENGTH	FREQUENCY	NAME_AGREEMENT_PERCENT	VISUAL_COMPLEXITY_MEAN	GREEK_AOA_MEAN	GREEK_AOA_SD
Dimitropoulou-2009-260-197	197	Scissors	356	SHEARS	ςαιίδη 	6	2.8	100.0	2.2	2.15	0.66
Dimitropoulou-2009-260-198	198	Screw	1802	SCREW	 βίδα 	4	0.5	99.09	2.72	2.85	0.82
Dimitropoulou-2009-260-199	199	Screwdriver	836	SCREWDRIVER	θαηζαβίδη 	9	0.5	100.0	2.39	2.95	0.82
Dimitropoulou-2009-260-200	200	Seahorse	2586	SEAHORSE	ηππόθακπνο 	10	0.1	95.98	3.51	3.45	0.95
Dimitropoulou-2009-260-201	201	Seal	651	SEAL	θώθηα 	5	1.0	97.85	2.92	2.82	0.85
Dimitropoulou-2009-260-202	202	Sheep	1331	SHEEP	πξόβαην 	7	2.5	90.83	2.43	1.98	0.71
Dimitropoulou-2009-260-203	203	Shirt	1622	SHIRT	πνπθάκηζν 	9	4.2	100.0	2.26	2.39	0.77
Dimitropoulou-2009-260-204	204	Shoe	1381	SHOE	παπνύηζη 	8	1.6	98.17	2.49	1.65	0.77
Dimitropoulou-2009-260-205	205	Skirt	1600	SKIRT	θνύζηα 	6	2.2	98.78	2.25	2.11	0.83
Dimitropoulou-2009-260-206	206	Skunk	3888	SKUNK	αζβόο 	5	0.0	67.38	3.1	3.24	0.95
Dimitropoulou-2009-260-207	207	Sled	16	SLED	έιθεζξν 	7	0.5	91.51	2.94	3.17	0.89
Dimitropoulou-2009-260-208	208	Snail	1543	SNAIL	ζαιηγθάξη 	9	0.3	100.0	2.74	2.31	0.75
Dimitropoulou-2009-260-209	209	Snake	730	SNAKE	θίδη 	4	4.1	100.0	2.36	2.13	0.7
Dimitropoulou-2009-260-210	210	Snowman	3098	SNOWMAN	ρηνλάλζξσπνο 	12	0.2	100.0	2.44	2.08	0.67
Dimitropoulou-2009-260-211	211	Sock	1522	SOCK	θάιηζα 	6	0.6	100.0	2.04	1.7	0.66
Dimitropoulou-2009-260-212	212	Spider	843	SPIDER	αξάρλε 	6	1.0	100.0	2.82	2.36	0.76
Dimitropoulou-2009-260-213	213	Spinning wheel	4009	SPINNING WHEEL	αξγαιεηόο 	9	0.1	50.0	3.49	3.87	0.98
