ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	PAGE	URL
Capell-1956-558-487	1283	TODAY	487	today	123	123
Capell-1956-558-488	1389	TOE	488	toe	123	123
Capell-1956-558-489	1329	TOMORROW	489	tomorrow	124	124
Capell-1956-558-490	1205	TONGUE	490	tongue	124	124
Capell-1956-558-491	1380	TOOTH	491	tooth	124	124
Capell-1956-558-492			492	totem stick	124	124
Capell-1956-558-493	318	FOOTPRINT	493	track	125	125
Capell-1956-558-494	906	TREE	494	tree	125	125
Capell-1956-558-495			495	trepang	125	125
Capell-1956-558-496	1657	TRUE	496	true	126	126
Capell-1956-558-497	1812	TRY	497	try	126	126
Capell-1956-558-498	2386	TURKEY	498	turkey	126	126
Capell-1956-558-499	1444	TURN AROUND	499	turn (v. intr.)	126	126
Capell-1956-558-500	1445	TURN (SOMETHING)	500	turn (v. tr.)	127	127
Capell-1956-558-501	112	TURTLE	501	turtle	127	127
Capell-1956-558-502	2297	DUSK	502	twilight	127	127
Capell-1956-558-503	1498	TWO	503	two	127	127
Capell-1956-558-504			504	bloodwood tree	128	128
Capell-1956-558-505			505	ironwood tree	128	128
Capell-1956-558-506			506	coolibah tree	128	128
Capell-1956-558-507			507	wattle	128	128
Capell-1956-558-508	3243	CYPRESS	508	cypress pine	129	129
Capell-1956-558-509			509	milk tree	129	129
Capell-1956-558-510	469	PANDANUS	510	pandanus	129	129
Capell-1956-558-511			511	paperbark	129	129
Capell-1956-558-512			512	sandalwood	129	129
Capell-1956-558-513			513	stringybark	130	130
Capell-1956-558-514			514	white gum	130	130
Capell-1956-558-515	409	FORKED BRANCH	515	forked branch	130	130
Capell-1956-558-516			516	woolybut	130	130
Capell-1956-558-517	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	517	uncle (m.b.)	131	131
Capell-1956-558-518	2691	PATERNAL AUNT (FATHER'S SISTER)	518	uncle (f.si.)	131	131
Capell-1956-558-519	1363	VOICE	519	voice	131	131
Capell-1956-558-520	1278	VOMIT	520	vomit	131	131
Capell-1956-558-521	1837	VULVA	521	vulva	132	132
Capell-1956-558-522	1311	VERY	522	very	132	132
Capell-1956-558-523	1590	WAIT (FOR)	523	wait for	132	132
Capell-1956-558-524	1602	WAKE UP	524	wake up	132	132
Capell-1956-558-525	1443	WALK	525	walk	133	133
Capell-1956-558-526	165	WALLABY	526	wallaby	133	133
Capell-1956-558-527	1453	WASH	527	wash	133	133
Capell-1956-558-528	948	WATER	528	water	133	133
Capell-1956-558-529			529	waterhole	134	134
Capell-1956-558-530	978	WAVE	530	wave (noun)	134	134
Capell-1956-558-531	3544	WAVE (VERB)	531	wave (vb.)	134	134
Capell-1956-558-532	1601	WEAK	532	weak	134	134
Capell-1956-558-533	976	WEAR	533	wear	135	135
Capell-1956-558-534	1817	WEST	534	west	135	135
Capell-1956-558-535	1236	WHAT	535	what?	135	135
Capell-1956-558-536	1238	WHEN	536	when?	135	135
Capell-1956-558-537	1237	WHERE	537	where?	135	135
Capell-1956-558-538	1025	WHISTLE	538	whistle	136	136
Capell-1956-558-539	1335	WHITE	539	white	136	136
Capell-1956-558-540	883	TERMITE	540	white ant	136	136
Capell-1956-558-541	2839	WHITE MAN	541	white man	136	136
Capell-1956-558-542	3740	WHIRLWIND	542	whirlwind	136	136
Capell-1956-558-543	1235	WHO	543	who?	137	137
Capell-1956-558-544	1270	WHY	544	why?	137	137
Capell-1956-558-545	1199	WIFE	545	wife	137	137
Capell-1956-558-546	960	WIND	546	wind	137	137
Capell-1956-558-547	962	WOMAN	547	woman	138	138
Capell-1956-558-548			548	wood (dry)	138	138
Capell-1956-558-549			549	wood (wet of green)	138	138
Capell-1956-558-550	1390	WRONG	550	wrong	138	138
Capell-1956-558-551	799	WRIST	551	wrist	139	139
Capell-1956-558-552	1257	WING	552	wing	139	139
Capell-1956-558-553	410	YAM	553	yam	139	139
Capell-1956-558-554	339	DIGGING STICK	554	yam-stick	139	139
Capell-1956-558-555	1424	YELLOW	555	yellow	140	140
Capell-1956-558-556	1268	YES	556	yes	140	140
Capell-1956-558-557	76	YOUNG MAN	557	young man	140	140
Capell-1956-558-558	77	YOUNG WOMAN	558	young woman	140	140
