ID	NUMBER	ENGLISH	RUSSIAN	SEMANTIC_LINKS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Starostin-2017-401-172	172	ILL (be)	БОЛЬНОЙ	HURT	1847	SICK
Starostin-2017-401-173	173	INSIDE (n.)	ВНУТРИ			
Starostin-2017-401-174	174	INTESTINES	ВНУТРЕННОСТИ	BELLY	1991	INTESTINES
Starostin-2017-401-175	175	JUMP (vb.)	ПРЫГАТЬ	FLY1	1829	JUMP
Starostin-2017-401-176	176	KIDNEY	ПОЧКА		489	KIDNEY
Starostin-2017-401-177	177	KILL	УБИВАТЬ	DIE; END; EXTINGUISH; HIT	1417	KILL
Starostin-2017-401-178	178	KISS (vb.)	ЦЕЛОВАТЬ		578	KISS
Starostin-2017-401-179	179	KNEE	КОЛЕНО	ELBOW	1371	KNEE
Starostin-2017-401-180	180	KNOW	ЗНАТЬ	HEAR; SEE; THINK; UNDERSTAND	3626	KNOW
Starostin-2017-401-181	181	LAUGH (vb.)	СМЕЯТЬСЯ		1355	LAUGH
Starostin-2017-401-182	182	LEAF	ЛИСТ	FLAT; GRASS	628	LEAF
Starostin-2017-401-183	183	LEAVE (tr.)	ОСТАВЛЯТЬ	GO	1752	LEAVE
Starostin-2017-401-184	184	LEFT (adj.)	ЛЕВЫЙ		244	LEFT
Starostin-2017-401-185	185	LEG	НОГА2	BONE; FOOT; THIGH	1297	LEG
Starostin-2017-401-186	186	LICK (vb.)	ЛИЗАТЬ	TONGUE	319	LICK
Starostin-2017-401-187	187	LIE (vb.)	ЛЕЖАТЬ	PUT; SLEEP	1411	LIE (REST)
Starostin-2017-401-188	188	LIGHT1	СВЕТ	SHINE	630	LIGHT (RADIATION)
Starostin-2017-401-189	189	LIGHT2 (in weight)	ЛЕГКИЙ	SMALL	1052	LIGHT (WEIGHT)
Starostin-2017-401-190	190	LIP	ГУБА	MOUTH	478	LIP
Starostin-2017-401-191	191	LISTEN	СЛУШАТЬ	EAR; HEAR	1608	LISTEN
Starostin-2017-401-192	192	LIVE1 (exist)	ЖИТЬ1 (существовать)	LIVE2	2309	LIVE
Starostin-2017-401-193	193	LIVE2 (dwell)	ЖИТЬ2 (проживать)	LIVE1; REST; SIT	363	DWELL (LIVE, RESIDE)
Starostin-2017-401-194	194	LIVER	ПЕЧЕНЬ	HEART; LUNG	1224	LIVER
Starostin-2017-401-195	195	LIZARD	ЯЩЕРИЦА		632	LIZARD
Starostin-2017-401-196	196	LONG	ДЛИННЫЙ	FAR	1203	LONG
Starostin-2017-401-197	197	LOOK (vb.)	СМОТРЕТЬ		1819	LOOK
Starostin-2017-401-198	198	LOSE (vb.)	ТЕРЯТЬ	FORGET	3072	MISPLACE
Starostin-2017-401-199	199	LOUSE	ВОШЬ	FLEA; NIT	1392	LOUSE
Starostin-2017-401-200	200	LOVE (vb.)	ЛЮБИТЬ	WANT	923	LOVE
Starostin-2017-401-201	201	LOW(ER)	НИЗ	BOTTOM		
Starostin-2017-401-202	202	LUNG	ЛЕГКИЕ	LIVER	688	LUNG
Starostin-2017-401-203	203	MALE	САМЕЦ	MAN	2106	MALE PERSON
Starostin-2017-401-204	204	MAN (male)	МУЖЧИНА	FATHER; MALE; PERSON	1554	MAN
Starostin-2017-401-205	205	MANY	МНОГО	ALL; BIG; GATHER; VERY	1198	MANY
Starostin-2017-401-206	206	MARROW	МОЗГ (костный)	BRAIN	1835	MARROW
Starostin-2017-401-207	207	MEAT	МЯСО	ANIMAL; BODY; EAT; RAW	634	MEAT
Starostin-2017-401-208	208	MILK (n.)	МОЛОКО	BREAST	635	MILK
Starostin-2017-401-209	209	MIX (vb.)	МЕШАТЬ		2017	MIX
Starostin-2017-401-210	210	MOON	ЛУНА	SHINE; WHITE	1313	MOON
Starostin-2017-401-211	211	MORNING	УТРО		1339	MORNING
Starostin-2017-401-212	212	MOTHER	МАТЬ	WOMAN	1216	MOTHER
Starostin-2017-401-213	213	MOUNTAIN	ГОРА	FOREST; STONE	639	MOUNTAIN
Starostin-2017-401-214	214	MOUSE	МЫШЬ		1491	MOUSE
