ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RATE
Pagel-2018-200-166	166	think	2271	THINK	0.000270602
Pagel-2018-200-167	167	this	1214	THIS	0.000126894
Pagel-2018-200-168	168	thou	1215	THOU	7.69114E-05
Pagel-2018-200-169	169	three	492	THREE	4.67E-06
Pagel-2018-200-170	170	throw	1456	THROW	0.000330094
Pagel-2018-200-171	171	tie	1917	TIE	0.00014509
Pagel-2018-200-172	172	tongue	1205	TONGUE	4.14613E-05
Pagel-2018-200-173	173	tooth	1380	TOOTH	5.7884E-05
Pagel-2018-200-174	174	tree	906	TREE	0.000235251
Pagel-2018-200-175	175	turn	1588	TURN	0.000364113
Pagel-2018-200-176	176	two	1498	TWO	4.67E-06
Pagel-2018-200-177	177	vomit	1278	VOMIT	0.000271512
Pagel-2018-200-178	178	walk	1443	WALK	0.000295121
Pagel-2018-200-179	179	warm	1232	WARM	0.000129072
Pagel-2018-200-180	180	wash	1453	WASH	0.00016243
Pagel-2018-200-181	181	water	948	WATER	0.00011256
Pagel-2018-200-182	182	we	1212	WE	3.80168E-05
Pagel-2018-200-183	183	wet	1726	WET	0.000267485
Pagel-2018-200-184	184	what	1236	WHAT	6.25678E-05
Pagel-2018-200-185	185	when	1238	WHEN	3.90543E-05
Pagel-2018-200-186	186	where	1237	WHERE	5.30863E-05
Pagel-2018-200-187	187	white	1335	WHITE	0.000180977
Pagel-2018-200-188	188	who	1235	WHO	4.67E-06
Pagel-2018-200-189	189	wide	1243	WIDE	0.000200543
Pagel-2018-200-190	190	wife	1199	WIFE	0.000352951
Pagel-2018-200-191	191	wind	960	WIND	0.000131005
Pagel-2018-200-192	192	wing	1257	WING	0.000167945
Pagel-2018-200-193	193	wipe	1454	WIPE	0.000412195
Pagel-2018-200-194	194	with	1340	WITH	0.000198401
Pagel-2018-200-195	195	woman	962	WOMAN	0.000241141
Pagel-2018-200-196	196	woods	420	FOREST	0.000364941
Pagel-2018-200-197	197	worm	1219	WORM	0.000205273
Pagel-2018-200-198	198	you	1213	YOU	6.506E-05
Pagel-2018-200-199	199	year	1226	YEAR	0.000156812
Pagel-2018-200-200	200	yellow	1424	YELLOW	0.000176663
