ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Category	Category_ID	Page
Dawson-1887-731-391	391	Feathers	1201	FEATHER	Birds	12	32
Dawson-1887-731-392	392	Wings	1257	WING	Birds	12	32
Dawson-1887-731-393	393	Tail	1220	TAIL	Birds	12	32
Dawson-1887-731-394	394	Egg	744	EGG	Birds	12	32
Dawson-1887-731-395	395	Yolk of egg	1556	YOLK	Birds	12	32
Dawson-1887-731-396	396	Bird's nest	3549	BIRD NEST	Birds	12	32
Dawson-1887-731-397	397	To fly	1441	FLY (MOVE THROUGH AIR)	Birds	12	32
Dawson-1887-731-398	398	A fish	227	FISH	Fish, etc.	13	32
Dawson-1887-731-399	399	Crab	2348	CRAB	Fish, etc.	13	32
Dawson-1887-731-400	400	Dog-fish			Fish, etc.	13	32
Dawson-1887-731-401	401	Halibut			Fish, etc.	13	32
Dawson-1887-731-402	402	Mussel (large)			Fish, etc.	13	32
Dawson-1887-731-403	403	Mussel (small)			Fish, etc.	13	32
Dawson-1887-731-404	404	Shark	1110	SHARK	Fish, etc.	13	32
Dawson-1887-731-405	405	Trout	795	TROUT	Fish, etc.	13	32
Dawson-1887-731-406	406	Salmon (silver)			Fish, etc.	13	32
Dawson-1887-731-407	407	Salmon (dog-tooth)			Fish, etc.	13	32
Dawson-1887-731-408	408	Salmon (quinnat)			Fish, etc.	13	32
Dawson-1887-731-409	409	Salmon (summer)			Fish, etc.	13	32
Dawson-1887-731-410	410	Oolachan			Fish, etc.	13	32
Dawson-1887-731-411	411	Mackerel			Fish, etc.	13	32
Dawson-1887-731-412	412	Flounder			Fish, etc.	13	32
Dawson-1887-731-413	413	Herring			Fish, etc.	13	32
Dawson-1887-731-414	414	Cod (black)			Fish, etc.	13	32
Dawson-1887-731-415	415	Cod (red)			Fish, etc.	13	32
Dawson-1887-731-416	416	Clam (large)			Fish, etc.	13	32
Dawson-1887-731-417	417	Clam (medium)			Fish, etc.	13	32
Dawson-1887-731-418	418	Clam (small)			Fish, etc.	13	32
Dawson-1887-731-419	419	Cockle			Fish, etc.	13	32
Dawson-1887-731-420	420	Chiton (black)			Fish, etc.	13	32
Dawson-1887-731-421	421	Chiton (large red)			Fish, etc.	13	32
Dawson-1887-731-422	422	Gills	1916	GILL	Fish, etc.	13	32
Dawson-1887-731-423	423	Breast-fin			Fish, etc.	13	32
Dawson-1887-731-424	424	Belly-fin			Fish, etc.	13	33
Dawson-1887-731-425	425	Back-fin			Fish, etc.	13	33
Dawson-1887-731-426	426	Tail-fin			Fish, etc.	13	33
Dawson-1887-731-427	427	Scales	266	SCALE	Fish, etc.	13	33
Dawson-1887-731-428	428	To swim	1439	SWIM	Fish, etc.	13	33
Dawson-1887-731-429	429	Spine on fishes back			Fish, etc.	13	33
Dawson-1887-731-430	430	Roe			Fish, etc.	13	33
Dawson-1887-731-431	431	Frog	503	FROG	Reptiles	14	33
Dawson-1887-731-432	432	Lizard	632	LIZARD	Reptiles	14	33
Dawson-1887-731-433	433	Snake	730	SNAKE	Reptiles	14	33
Dawson-1887-731-434	434	Snake (water)			Reptiles	14	33
Dawson-1887-731-435	435	Ant	587	ANT	Insects, etc.	15	33
Dawson-1887-731-436	436	Bee	665	BEE	Insects, etc.	15	33
Dawson-1887-731-437	437	Butterfly (a large species)	1791	BUTTERFLY	Insects, etc.	15	33
Dawson-1887-731-438	438	Butterfly (small yellow)			Insects, etc.	15	33
Dawson-1887-731-439	439	Caterpillar	2247	CATERPILLAR	Insects, etc.	15	33
Dawson-1887-731-440	440	Dragon-fly	2352	DRAGONFLY	Insects, etc.	15	33
Dawson-1887-731-441	441	Flea	232	FLEA	Insects, etc.	15	33
Dawson-1887-731-442	442	Fly	1504	FLY (INSECT)	Insects, etc.	15	33
Dawson-1887-731-443	443	Horse-fly	3262	HORSEFLY	Insects, etc.	15	33
Dawson-1887-731-444	444	Louse	1392	LOUSE	Insects, etc.	15	33
Dawson-1887-731-445	445	Maggot			Insects, etc.	15	33
Dawson-1887-731-446	446	Mosquito	1509	MOSQUITO	Insects, etc.	15	33
Dawson-1887-731-447	447	Ichneumon			Insects, etc.	15	33
Dawson-1887-731-448	448	Spider	843	SPIDER	Insects, etc.	15	33
Dawson-1887-731-449	449	Fly-blow			Insects, etc.	15	33
Dawson-1887-731-450	450	Snail (helix)	1543	SNAIL	Insects, etc.	15	33
Dawson-1887-731-451	451	Slug			Insects, etc.	15	33
Dawson-1887-731-452	452	Bud of tree	1684	BUD	Plants	16	33
Dawson-1887-731-453	453	Leaf	628	LEAF	Plants	16	33
Dawson-1887-731-454	454	Limb	1531	BRANCH	Plants	16	33
Dawson-1887-731-455	455	Bark	1204	BARK	Plants	16	33
Dawson-1887-731-456	456	Bark (cedar)			Plants	16	33
Dawson-1887-731-457	457	Stump	241	TREE STUMP	Plants	16	33
Dawson-1887-731-458	458	Root	670	ROOT	Plants	16	33
Dawson-1887-731-459	459	Tree	906	TREE	Plants	16	33
Dawson-1887-731-460	460	Tree (fallen, with root)			Plants	16	33
Dawson-1887-731-461	461	Wood	1803	WOOD	Plants	16	33
Dawson-1887-731-462	462	Brush			Plants	16	33
Dawson-1887-731-463	463	Forest	420	FOREST	Plants	16	33
Dawson-1887-731-464	464	Berry (sal-lal)			Plants	16	33
Dawson-1887-731-465	465	Berry (crab-apple)			Plants	16	33
Dawson-1887-731-466	466	Berry (salmon)			Plants	16	33
Dawson-1887-731-467	467	Berry (arctostaphylos)			Plants	16	33
Dawson-1887-731-468	468	Grass	606	GRASS	Plants	16	33
Dawson-1887-731-469	469	Ripe	178	RIPE	Plants	16	33
Dawson-1887-731-470	470	Unripe	1958	UNRIPE	Plants	16	33
Dawson-1887-731-471	471	Cedar tree			Plants	16	33
Dawson-1887-731-472	472	Cedar tree (large enough for canoe)			Plants	16	33
Dawson-1887-731-473	473	Yellow cypress			Plants	16	33
Dawson-1887-731-474	474	Alder			Plants	16	33
Dawson-1887-731-475	475	Crap-apple			Plants	16	33
Dawson-1887-731-476	476	Maple	3248	MAPLE TREE	Plants	16	33
Dawson-1887-731-477	477	Douglas fir			Plants	16	33
Dawson-1887-731-478	478	Hemlock			Plants	16	33
Dawson-1887-731-479	479	Yew			Plants	16	33
Dawson-1887-731-480	480	Scrub-pine			Plants	16	33
Dawson-1887-731-481	481	Raspberry			Plants	16	33
Dawson-1887-731-482	482	Kelp			Plants	16	33
Dawson-1887-731-483	483	Bladder-weed (on shore)			Plants	16	33
Dawson-1887-731-484	484	South-east			Geographical Terms	17	33
Dawson-1887-731-485	485	North-west			Geographical Terms	17	33
Dawson-1887-731-486	486	Out to sea			Geographical Terms	17	33
Dawson-1887-731-487	487	North-west wind			Geographical Terms	17	33
Dawson-1887-731-488	488	South-east wind			Geographical Terms	17	33
Dawson-1887-731-489	489	South-west wind			Geographical Terms	17	33
Dawson-1887-731-490	490	West wind			Geographical Terms	17	33
Dawson-1887-731-491	491	East wind			Geographical Terms	17	33
Dawson-1887-731-492	492	North-east wind			Geographical Terms	17	33
Dawson-1887-731-493	493	A cloud	1489	CLOUD	The Firmament, etc.	18	34
Dawson-1887-731-494	494	Horizon	2287	HORIZON	The Firmament, etc.	18	34
Dawson-1887-731-495	495	Sun	1343	SUN	The Firmament, etc.	18	34
Dawson-1887-731-496	496	Moon	1313	MOON	The Firmament, etc.	18	34
Dawson-1887-731-497	497	Full moon	3690	FULL MOON	The Firmament, etc.	18	34
Dawson-1887-731-498	498	Stars	1430	STAR	The Firmament, etc.	18	34
Dawson-1887-731-499	499	Rainbow	1733	RAINBOW	The Firmament, etc.	18	34
Dawson-1887-731-500	500	Fog	249	FOG	The Firmament, etc.	18	34
Dawson-1887-731-501	501	Hoar-frost	2942	HOARFROST	The Firmament, etc.	18	34
Dawson-1887-731-502	502	Snow	784	SNOW	The Firmament, etc.	18	34
Dawson-1887-731-503	503	Hail	609	HAIL	The Firmament, etc.	18	34
Dawson-1887-731-504	504	Ice	617	ICE	The Firmament, etc.	18	34
Dawson-1887-731-505	505	Icicle			The Firmament, etc.	18	34
Dawson-1887-731-506	506	Water	948	WATER	The Firmament, etc.	18	34
Dawson-1887-731-507	507	Foam	1768	FOAM	The Firmament, etc.	18	34
Dawson-1887-731-508	508	Wave	978	WAVE	The Firmament, etc.	18	34
Dawson-1887-731-509	509	Current	2935	CURRENT (STREAM)	The Firmament, etc.	18	34
Dawson-1887-731-510	510	Eddy			The Firmament, etc.	18	34
Dawson-1887-731-511	511	Tide (rising)			The Firmament, etc.	18	34
Dawson-1887-731-512	512	Tide (falling)			The Firmament, etc.	18	34
Dawson-1887-731-513	513	Tide (high)	613	HIGH TIDE	The Firmament, etc.	18	34
Dawson-1887-731-514	514	Tide (low)	1026	LOW TIDE	The Firmament, etc.	18	34
Dawson-1887-731-515	515	Rain	658	RAIN (PRECIPITATION)	The Firmament, etc.	18	34
Dawson-1887-731-516	516	Thunder	1150	THUNDER	The Firmament, etc.	18	34
Dawson-1887-731-517	517	Lightning	1654	LIGHTNING	The Firmament, etc.	18	34
Dawson-1887-731-518	518	Wind	960	WIND	The Firmament, etc.	18	34
Dawson-1887-731-519	519	Whirlwind	3740	WHIRLWIND	The Firmament, etc.	18	34
Dawson-1887-731-520	520	The ground	2159	GROUND	The Firmament, etc.	18	34
Dawson-1887-731-521	521	Dust	2	DUST	The Firmament, etc.	18	34
Dawson-1887-731-522	522	Mud	640	MUD	The Firmament, etc.	18	34
Dawson-1887-731-523	523	Sand	671	SAND	The Firmament, etc.	18	34
Dawson-1887-731-524	524	Salt	1274	SALT	The Firmament, etc.	18	34
Dawson-1887-731-525	525	Rock	668	ROCK	The Firmament, etc.	18	34
Dawson-1887-731-526	526	Cliff along shore	992	CLIFF	The Firmament, etc.	18	34
Dawson-1887-731-527	527	Eclipse of sun			The Firmament, etc.	18	34
Dawson-1887-731-528	528	Earthquake	6	EARTHQUAKE	The Firmament, etc.	18	34
Dawson-1887-731-529	529	Shower			The Firmament, etc.	18	34
Dawson-1887-731-530	530	Storm	858	STORM	The Firmament, etc.	18	34
Dawson-1887-731-531	531	My son	1620	SON	Kinship	19	34
Dawson-1887-731-532	532	My father	1217	FATHER	Kinship	19	34
Dawson-1887-731-533	533	My son's son	2702	GRANDSON (SON'S SON)	Kinship	19	34
Dawson-1887-731-534	534	My son's daughter			Kinship	19	34
Dawson-1887-731-535	535	My mother	1216	MOTHER	Kinship	19	34
Dawson-1887-731-536	536	My father's father	2560	PATERNAL GRANDFATHER	Kinship	19	34
Dawson-1887-731-537	537	My wife	1199	WIFE	Kinship	19	34
Dawson-1887-731-538	538	My husband	1200	HUSBAND	Kinship	19	34
Dawson-1887-731-539	539	Male orphan			Kinship	19	34
Dawson-1887-731-540	540	Female orphan			Kinship	19	34
Dawson-1887-731-541	541	Family	194	FAMILY	Kinship	19	34
Dawson-1887-731-542	542	Name of tribe			Social Organisation, etc.	20	34
Dawson-1887-731-543	543	Indian	3612	INDIGENOUS PEOPLES OF THE AMERICAS	Social Organisation, etc.	20	34
Dawson-1887-731-544	544	White man	2839	WHITE MAN	Social Organisation, etc.	20	34
Dawson-1887-731-545	545	Negro	2806	BLACK MAN	Social Organisation, etc.	20	34
Dawson-1887-731-546	546	Half-breed			Social Organisation, etc.	20	34
Dawson-1887-731-547	547	Indians to the north			Social Organisation, etc.	20	34
Dawson-1887-731-548	548	West coast tribes and those to the south			Social Organisation, etc.	20	34
Dawson-1887-731-549	549	Indians of Comox			Social Organisation, etc.	20	34
Dawson-1887-731-550	550	Inland tribes interior of british columbia			Social Organisation, etc.	20	34
Dawson-1887-731-551	551	Chief	301	CHIEFTAIN	Social Organisation, etc.	20	34
Dawson-1887-731-552	552	Young man becoming a chief			Social Organisation, etc.	20	34
Dawson-1887-731-553	553	Leading man			Social Organisation, etc.	20	34
Dawson-1887-731-554	554	Man of knowledge			Social Organisation, etc.	20	34
Dawson-1887-731-555	555	Friend	1325	FRIEND	Social Organisation, etc.	20	34
Dawson-1887-731-556	556	Warrior	3608	WARRIOR	Social Organisation, etc.	20	34
Dawson-1887-731-557	557	Enemy	1358	ENEMY	Social Organisation, etc.	20	34
Dawson-1887-731-558	558	A coward	1319	COWARD	Social Organisation, etc.	20	34
Dawson-1887-731-559	559	Battle	579	BATTLE	Social Organisation, etc.	20	34
Dawson-1887-731-560	560	War-whoop	3741	BATTLE CRY (WAR WHOOP)	Social Organisation, etc.	20	34
Dawson-1887-731-561	561	God	3231	DEITY	Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-562	562	The ancients, fabulous beings			Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-563	563	The future world			Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-564	564	The sun (as worshipped)			Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-565	565	Dead body	767	CORPSE	Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-566	566	Soul or spirit			Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-567	567	Grave, in the ground	1773	GRAVE	Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-568	568	Grave, in tree			Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-569	569	Coffin-box	2011	COFFIN	Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-570	570	Health	1364	HEALTHY	Religion, Mortuary Customs, Medicine	21	34
Dawson-1887-731-571	571	Sickness	1986	DISEASE	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-572	572	Pain	1783	PAIN	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-573	573	Vertigo			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-574	574	Headache	3625	HEADACHE	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-575	575	Toothache			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-576	576	Cough	879	COUGH	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-577	577	Small-pox	1054	SMALLPOX	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-578	578	Boil	793	BOIL (OF SKIN)	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-579	579	Cut, with a knife			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-580	580	Cut, with an axe			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-581	581	Scar	497	SCAR	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-582	582	Bruise	1148	BRUISE	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-583	583	Splinter in the foot			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-584	584	Sick at stomach			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-585	585	Sea-sickness			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-586	586	Sick man			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-587	587	Lame man	2322	LAME PERSON	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-588	588	Blind man	457	BLIND PERSON	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-589	589	Deaf man	458	DEAF PERSON	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-590	590	Breath	870	BREATH	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-591	591	Sweat (on the face)			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-592	592	Sweat (general)	125	SWEAT (SUBSTANCE)	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-593	593	Blood	946	BLOOD	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-594	594	Medicine	1372	MEDICINE	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-595	595	A medicine man	394	SHAMAN (FOLK HEALER)	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-596	596	Medicine song			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-597	597	Sweat-house			Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-598	598	A dream	2374	DREAM	Religion, Mortuary Customs, Medicine	21	35
Dawson-1887-731-599	599	Doll	1659	DOLL	Amusements	22	35
Dawson-1887-731-600	600	Rattle	300	RATTLE	Amusements	22	35
Dawson-1887-731-601	601	Swing	3101	SWING	Amusements	22	35
Dawson-1887-731-602	602	Song	1096	SONG	Amusements	22	35
Dawson-1887-731-603	603	Dance	3472	DANCE (MOVEMENT)	Amusements	22	35
Dawson-1887-731-604	604	Mask	2005	MASK	Amusements	22	35
Dawson-1887-731-605	605	Gambling sticks			Amusements	22	35
Dawson-1887-731-606	606	Gambling with sticks			Amusements	22	35
Dawson-1887-731-607	607	Horse	615	HORSE	New Words	23	35
Dawson-1887-731-608	608	Bull, cow, etc.	3044	BOVINE	New Words	23	35
Dawson-1887-731-609	609	Sheep	1331	SHEEP	New Words	23	35
Dawson-1887-731-610	610	Hog	1337	PIG	New Words	23	35
Dawson-1887-731-611	611	Cat	1208	CAT	New Words	23	35
Dawson-1887-731-612	612	Cock, hen	1318	CHICKEN	New Words	23	35
Dawson-1887-731-613	613	Goose	1187	GOOSE	New Words	23	35
Dawson-1887-731-614	614	Axe	677	AXE	New Words	23	35
Dawson-1887-731-615	615	Auger			New Words	23	35
Dawson-1887-731-616	616	Awls of metal	278	AWL	New Words	23	35
Dawson-1887-731-617	617	Beads	1860	BEAD	New Words	23	35
Dawson-1887-731-618	618	Broom	245	BROOM	New Words	23	35
Dawson-1887-731-619	619	Cloth	1616	CLOTH	New Words	23	35
Dawson-1887-731-620	620	Comb	1475	COMB	New Words	23	35
Dawson-1887-731-621	621	Knife (pocket)	3742	POCKETKNIFE	New Words	23	35
Dawson-1887-731-622	622	Fork	1302	FORK	New Words	23	35
Dawson-1887-731-623	623	Hoe	284	HOE	New Words	23	35
Dawson-1887-731-624	624	Hammer	1481	HAMMER	New Words	23	35
Dawson-1887-731-625	625	Kettle	854	KETTLE	New Words	23	35
Dawson-1887-731-626	626	Tin plate	358	TINPLATE	New Words	23	35
Dawson-1887-731-627	627	Scissors	356	SHEARS	New Words	23	35
Dawson-1887-731-628	628	Table	1775	TABLE	New Words	23	35
Dawson-1887-731-629	629	Pistol			New Words	23	35
Dawson-1887-731-630	630	Gun	1566	GUN	New Words	23	35
Dawson-1887-731-631	631	Rifle			New Words	23	35
Dawson-1887-731-632	632	Ramrod			New Words	23	35
Dawson-1887-731-633	633	Cannon	3202	CANNON	New Words	23	35
Dawson-1887-731-634	634	Bullet	1114	BULLET	New Words	23	35
Dawson-1887-731-635	635	Gun-flint			New Words	23	35
Dawson-1887-731-636	636	Powder	3368	POWDER	New Words	23	35
Dawson-1887-731-637	637	Brass	3743	BRASS	New Words	23	35
Dawson-1887-731-638	638	Iron	621	IRON	New Words	23	35
Dawson-1887-731-639	639	Silver	759	SILVER	New Words	23	35
Dawson-1887-731-640	640	Cap or hat			New Words	23	35
Dawson-1887-731-641	641	Necktie			New Words	23	35
Dawson-1887-731-642	642	Coat	603	COAT	New Words	23	35
Dawson-1887-731-643	643	Vest	3140	VEST	New Words	23	35
Dawson-1887-731-644	644	Shirt	1622	SHIRT	New Words	23	35
Dawson-1887-731-645	645	Trousers	809	TROUSERS	New Words	23	35
Dawson-1887-731-646	646	Shoes	1381	SHOE	New Words	23	35
Dawson-1887-731-647	647	Boots	585	BOOT	New Words	23	35
Dawson-1887-731-648	648	Stockings	329	STOCKING	New Words	23	35
Dawson-1887-731-649	649	Ribbons	2969	RIBBON	New Words	23	35
Dawson-1887-731-650	650	Shawl	2771	SHAWL	New Words	23	35
Dawson-1887-731-651	651	Handkerchief (white)	1020	HANDKERCHIEF	New Words	23	35
Dawson-1887-731-652	652	Dress (gown)	474	DRESS	New Words	23	35
Dawson-1887-731-653	653	Bread	1368	BREAD	New Words	23	35
Dawson-1887-731-654	654	Flour	1594	FLOUR	New Words	23	35
Dawson-1887-731-655	655	Match (friction)	1133	MATCH	New Words	23	35
Dawson-1887-731-656	656	Sugar	862	SUGAR	New Words	23	35
Dawson-1887-731-657	657	Soap	788	SOAP	New Words	23	35
Dawson-1887-731-658	658	Tobacco	974	TOBACCO	New Words	23	36
Dawson-1887-731-659	659	Whiskey			New Words	23	36
Dawson-1887-731-660	660	Finger ring	1374	RING	New Words	23	36
Dawson-1887-731-661	661	Mirror	1171	MIRROR	New Words	23	36
Dawson-1887-731-662	662	Picture	2401	PICTURE	New Words	23	36
Dawson-1887-731-663	663	House	1252	HOUSE	New Words	23	36
Dawson-1887-731-664	664	Roof	769	ROOF	New Words	23	36
Dawson-1887-731-665	665	Window	1375	WINDOW	New Words	23	36
Dawson-1887-731-666	666	School-house	673	SCHOOL	New Words	23	36
Dawson-1887-731-667	667	Church	1349	CHURCH	New Words	23	36
Dawson-1887-731-668	668	Barn			New Words	23	36
Dawson-1887-731-669	669	Pencil or pen			New Words	23	36
Dawson-1887-731-670	670	Paper	648	PAPER	New Words	23	36
Dawson-1887-731-671	671	Newspaper	1298	NEWSPAPER	New Words	23	36
Dawson-1887-731-672	672	Road or trail	2457	PATH OR ROAD	New Words	23	36
Dawson-1887-731-673	673	Waggon	122	CART	New Words	23	36
Dawson-1887-731-674	674	Bridge	1011	BRIDGE	New Words	23	36
Dawson-1887-731-675	675	Well	954	WELL	New Words	23	36
Dawson-1887-731-676	676	Steamboat			New Words	23	36
Dawson-1887-731-677	677	Railway			New Words	23	36
Dawson-1887-731-678	678	Interpreter	3744	INTERPRETER	New Words	23	36
Dawson-1887-731-679	679	Blacksmith	1001	BLACKSMITH	New Words	23	36
Dawson-1887-731-680	680	Trader			New Words	23	36
Dawson-1887-731-681	681	Large	1202	BIG	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-682	682	Small	1246	SMALL	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-683	683	Strong	785	STRONG	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-684	684	Old	2112	OLD (AGED)	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-685	685	Young	1207	YOUNG	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-686	686	Good	1035	GOOD	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-687	687	Bad	1292	BAD	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-688	688	Dead	1625	DEAD	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-689	689	Alive	1422	BE ALIVE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-690	690	Cold	1287	COLD	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-691	691	Warm, hot	2272	HOT OR WARM	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-692	692	Afraid	1419	FEAR (BE AFRAID)	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-693	693	Far	1406	FAR	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-694	694	Near	1942	NEAR	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-695	695	I	1209	I	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-696	696	Me	2301	ME	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-697	697	Thou	1215	THOU	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-698	698	He	1211	HE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-699	699	We	1212	WE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-700	700	Ye	1213	YOU	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-701	701	They	817	THEY	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-702	702	This	1214	THIS	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-703	703	That	78	THAT	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-704	704	All	98	ALL	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-705	705	Many	1198	MANY	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-706	706	Who	1235	WHO	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-707	707	Here	136	HERE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-708	708	There	1937	THERE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-709	709	Yes	1268	YES	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-710	710	No	1269	NO	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-711	711	To eat	1336	EAT	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-712	712	To drink	1401	DRINK	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-713	713	To run	1519	RUN	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-714	714	To dance	1879	DANCE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-715	715	To sing	1261	SING	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-716	716	To sleep	1585	SLEEP	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-717	717	To speak	1623	SPEAK	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-718	718	To see	1409	SEE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-719	719	To love	923	LOVE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-720	720	To kill	1417	KILL	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-721	721	To sit	1416	SIT	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-722	722	To stand	1442	STAND	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-723	723	To go	695	GO	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-724	724	To come	1446	COME	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-725	725	 to walk	1443	WALK	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-726	726	To work	1086	WORK (ACTIVITY)	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-727	727	To steal	713	STEAL	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-728	728	To lie	1411	LIE (REST)	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-729	729	To give	1447	GIVE	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-730	730	To laugh	1355	LAUGH	Adjectives, Pronouns, Verbs	24	36
Dawson-1887-731-731	731	To cry	1839	CRY	Adjectives, Pronouns, Verbs	24	36
