ID	NUMBER	FINNISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FINNISH_VALENCE_MEAN	FINNISH_AROUSAL_MEAN	FINNISH_VALENCE_MEAN_FEMALE	FINNISH_VALENCE_MEAN_MALE	FINNISH_AROUSAL_MEAN_FEMALE	FINNISH_AROUSAL_MEAN_MALE	FINNISH_VALENCE_MEAN_GROUP_01	FINNISH_VALENCE_MEAN_GROUP_02	FINNISH_VALENCE_MEAN_GROUP_03	FINNISH_VALENCE_MEAN_GROUP_04	FINNISH_AROUSAL_MEAN_GROUP_01	FINNISH_AROUSAL_MEAN_GROUP_02	FINNISH_AROUSAL_MEAN_GROUP_03	FINNISH_AROUSAL_MEAN_GROUP_04
Soederholm-2013-420-157	157	Laukku	Bag	2468	BAG	4.28	3.48	4.45	3.85	3.53	3.34	4.62	4.27	4.11	4.25	3.87	3.45	3.33	3.5
Soederholm-2013-420-158	158	Leikki	(Child's) play			5.58	3.81	5.59	5.53	3.75	4	5.45	5.51	5.58	6.1	3.73	3.79	3.89	3.4
Soederholm-2013-420-159	159	Leipuri	Baker	2568	BAKER	4.94	3	4.99	4.79	3.01	2.98	5.05	4.91	4.87	5.21	3.15	2.92	3.11	3.29
Soederholm-2013-420-160	160	Leivonta	Baking			5.49	2.65	5.48	5.54	2.63	2.69	5	5.4	5.56	6.1	2.36	2.63	2.72	2.5
Soederholm-2013-420-161	161	Lemmikki	Pet	3780	PET	5.65	3.09	5.7	5.49	3.15	2.91	5.78	5.48	5.79	5.55	3.15	2.97	3.23	2.9
Soederholm-2013-420-162	162	Lempeys	Gentleness			6.04	2.36	6.09	5.89	2.31	2.48	6.08	6.07	5.98	5.79	2.46	2.23	2.64	2.87
Soederholm-2013-420-163	163	Lempi	Love			6.02	4.19	6.04	5.97	4.06	4.74	5.91	6.09	5.96	6	3.55	4.15	4.21	5.25
Soederholm-2013-420-164	164	Leski	Widow	1756	WIDOW	2.41	3.42	2.4	2.46	3.46	3.28	2.33	2.4	2.39	2.67	3.19	3.45	3.46	3.29
Soederholm-2013-420-165	165	Lihavuus	Obesity			2.35	4.21	2.27	2.57	4.36	3.83	2.08	2.32	2.36	3.13	4.59	4.16	4.34	3.79
Soederholm-2013-420-166	166	Liikunta	Exercise			5.04	4.34	5.07	4.97	4.34	4.35	5.04	4.92	5.13	5.29	4.19	4.58	4.23	3.9
Soederholm-2013-420-167	167	Liito	Glide			5.01	3.56	5	5.02	3.53	3.63	4.97	5.03	5.02	4.75	3.24	3.5	3.82	4
Soederholm-2013-420-168	168	Lohdutus	Consolation			5.79	2.49	5.85	5.48	2.4	2.94	5.55	5.77	5.78	6.43	3	2.22	2.57	4.25
Soederholm-2013-420-169	169	Loinen	Parasite			1.75	4.68	1.69	2.03	4.67	4.74	2.36	1.77	1.66	1.5	4.36	4.63	4.82	4.63
Soederholm-2013-420-170	170	Loisto	Shine	2236	SHINE (EMITTED LIGHT)	4.94	3.7	5.02	4.74	3.79	3.49	4.97	4.99	4.83	4.67	3.82	3.64	3.84	3.83
Soederholm-2013-420-171	171	Lomailu	Vacation			5.89	3.36	5.95	5.72	3.36	3.36	5.96	5.7	6.1	5.71	3.56	3.14	3.57	3.14
Soederholm-2013-420-172	172	Loppu	End	742	END (OF SPACE)	3.21	3.78	3.25	3.09	3.9	3.45	2.78	3.27	3.3	3.05	3.93	3.83	3.76	3.48
Soederholm-2013-420-173	173	Loukkaus	Insult			1.84	4.91	1.81	1.91	5.05	4.49	1.96	2.03	1.69	1.48	4.41	5.02	4.89	5.1
Soederholm-2013-420-174	174	Lumous	Enchantment			5.69	3.44	5.85	5.13	3.34	3.79	4.82	5.6	5.8	6.3	2.91	3.64	3.33	3.5
Soederholm-2013-420-175	175	Luokka	Class			3.72	3.94	3.8	3.46	3.94	3.92	3.36	3.74	3.71	4.1	3.82	4.14	3.79	3.8
Soederholm-2013-420-176	176	Luovuus	Creativity			5.8	3.81	5.83	5.69	3.81	3.79	5.18	5.69	5.93	6.2	3.64	3.8	3.78	4.3
Soederholm-2013-420-177	177	Läheisyys	Intimacy			6.37	3	6.43	6.06	2.87	3.58	5.91	6.42	6.37	6.38	3.36	2.67	3.18	4.63
Soederholm-2013-420-178	178	Lähetys	Delivery			4.43	3.87	4.53	4.1	3.83	4	4.82	5.6	5.8	6.3	2.91	3.64	3.33	3.5
Soederholm-2013-420-179	179	Lämpö	Warmth			5.77	2.98	5.85	5.52	2.97	3.01	5.56	5.72	5.89	5.62	3.56	2.76	3.11	2.67
Soederholm-2013-420-180	180	Länsi	West	1817	WEST	4.15	3.51	4.19	4.01	3.51	3.52	3.67	4.12	4.33	3.9	3.67	3.62	3.4	3.35
Soederholm-2013-420-181	181	Lääke	Medicine	1372	MEDICINE	3.99	3.48	3.91	4.21	3.59	3.18	6.08	6.07	5.98	5.79	2.46	2.23	2.64	2.87
Soederholm-2013-420-182	182	Maalaus	Painting	3303	PICTURE (PAINTING)	4.99	3.32	5.08	4.77	3.36	3.2	5.05	4.93	5	5.58	3.49	3.11	3.77	4.13
Soederholm-2013-420-183	183	Maasto	Terrain			5.06	3.2	5.12	4.87	3.08	3.62	4.82	4.93	5.2	5.2	3	3.21	3.24	3
Soederholm-2013-420-184	184	Maireus	Obsequiousness			2.37	4.4	2.25	2.79	4.54	3.92	2.36	2.81	2.1	1.5	3.55	4.01	4.68	5.7
Soederholm-2013-420-185	185	Majakka	Lighthouse			4.8	3.04	4.89	4.56	3.09	2.9	4.59	4.76	5.05	4.92	3.03	2.97	3.25	3.25
Soederholm-2013-420-186	186	Makeinen	Candy	874	CANDY	5.38	3.57	5.55	4.91	3.58	3.56	5.56	5.4	5.33	4.92	3.77	3.55	3.55	3.63
Soederholm-2013-420-187	187	Manteli	Almond	3815	ALMOND	4.52	3.16	4.57	4.39	3.18	3.1	4.05	4.56	4.5	4.88	3.53	3.07	3.22	3.33
Soederholm-2013-420-188	188	Masennus	Depression	3877	DEPRESSION	1.58	4.14	1.56	1.67	4.2	3.95	1.45	1.73	1.47	1.6	4	3.96	4.19	5.2
Soederholm-2013-420-189	189	Matelija	Reptile			2.78	4.45	2.66	3.32	4.56	3.97	2.91	2.93	2.58	2.5	3.27	4.22	4.96	4.5
Soederholm-2013-420-190	190	Matelu	Crawling			2.66	3.88	2.6	2.85	3.99	3.57	3.19	2.71	2.54	2.38	3.59	3.76	4.05	3.95
Soederholm-2013-420-191	191	Mellakka	Riot			2.25	5.34	2.28	2.1	5.43	4.94	2.27	2.23	2.27	2.25	4.82	5.6	5.15	4.88
Soederholm-2013-420-192	192	Menestys	Success			5.02	4.31	4.99	5.09	4.38	4.1	6.19	4.78	4.85	5.57	4.19	4.56	4.19	3.8
Soederholm-2013-420-193	193	Merkintä	Marking			3.72	3.95	3.76	3.58	3.94	4	3.55	3.64	3.87	3.75	3.82	4.01	3.91	3.88
Soederholm-2013-420-194	194	Mestari	Champion			4.83	3.81	4.85	4.77	3.8	3.82	4.09	4.81	4.95	4.8	3.45	3.97	3.73	3.7
Soederholm-2013-420-195	195	Metsästys	Hunt			3.2	4.68	2.96	4.03	4.73	4.51	2.82	3.61	2.9	3.2	3.91	4.73	4.76	4.6
Soederholm-2013-420-196	196	Mieli	Mind	1562	MIND	4.91	3.34	4.93	4.86	3.36	3.28	4.67	4.96	5	4.54	3.69	3.27	3.28	3.58
Soederholm-2013-420-197	197	Mieltymys	Liking			5.02	3.45	5.01	5.06	3.4	3.67	5	5.1	4.91	5.13	3.64	3.39	3.43	4
Soederholm-2013-420-198	198	Moottori	Motor	110	MOTOR	3.65	3.97	3.6	3.82	3.91	4.18	3.55	3.64	3.61	4.1	3.55	4.19	3.83	4.1
Soederholm-2013-420-199	199	Morsian	Bride	1266	BRIDE	5.32	3.94	5.31	5.34	3.95	3.91	5.58	5.18	5.32	5.71	3.63	4.04	3.97	3.62
Soederholm-2013-420-200	200	Muoto	Shape	3747	SHAPE	4.73	3.45	4.7	4.9	3.47	3.35	5	4.77	4.65	4.63	3.09	3.19	3.81	3.75
Soederholm-2013-420-201	201	Murha	Murder	845	MURDER	1.34	5.77	1.31	1.43	5.91	5.38	1.56	1.39	1.1	1.04	5.62	5.81	5.66	5.83
Soederholm-2013-420-202	202	Murhaaja	Murderer	3871	MURDERER	1.29	5.87	1.22	1.51	5.99	5.44	1.27	1.47	1.17	1	5.36	5.83	5.9	6.4
Soederholm-2013-420-203	203	Musiikki	Music	642	MUSIC	6.17	3.76	6.24	5.81	3.72	3.97	6.55	6.17	6.12	6	3.91	3.91	3.67	2.75
Soederholm-2013-420-204	204	Myrkky	Poison	655	POISON	1.86	4.8	1.85	1.9	4.92	4.26	2	1.84	1.88	1.75	4.36	4.53	5.21	4.88
Soederholm-2013-420-205	205	Myrkytys	Poisoning			1.64	4.99	1.66	1.58	5.15	4.49	1.7	1.91	1.45	1.24	4.81	5.01	4.97	5.14
Soederholm-2013-420-206	206	Myrsky	Storm	858	STORM	4.04	4.87	4.11	3.82	5.02	4.41	3.33	4.25	3.98	4.19	4.3	5.07	4.83	4.81
Soederholm-2013-420-207	207	Mänty	Pine	1740	PINE	5.4	2.58	5.51	5.03	2.47	2.97	4.91	5.23	5.57	5.7	1.91	2.67	2.54	3.1
Soederholm-2013-420-208	208	Naamari	Mask	2005	MASK	3.22	4.19	3.22	3.26	4.23	4	3	3.33	3.15	3	4.09	4.13	4.31	4
Soederholm-2013-420-209	209	Nauru	Laughter	2958	LAUGHTER	6.15	4.11	6.16	6.1	4.07	4.29	5.55	6.1	6.3	6.25	4.18	4.32	3.82	4.13
Soederholm-2013-420-210	210	Nautinto	Pleasure	3916	PLEASURE	6.32	4.14	6.3	6.41	3.99	4.67	6.27	6.41	6.32	5.8	4.36	4.17	4.17	3.5
Soederholm-2013-420-211	211	Neuvonta	Guidance			4.36	3.49	4.41	4.21	3.51	3.42	4.33	4.08	4.58	4.63	4	3.64	3.29	3.05
Soederholm-2013-420-212	212	Nimike	Title			3.3	3.35	3.36	3.13	3.4	3.18	3.67	3.19	3.24	3.75	3.48	3.38	3.33	3.1
Soederholm-2013-420-213	213	Nipistys	Pinch			2.87	4.63	2.83	3.06	4.66	4.52	3	3.07	2.66	2.38	4.45	4.76	4.49	4.63
Soederholm-2013-420-214	214	Nukke	Doll	1659	DOLL	4.45	3.16	4.55	4.16	3.12	3.28	4.28	4.42	4.48	4.88	3.15	3.14	3.2	3.29
Soederholm-2013-420-215	215	Numero	Number	1356	NUMBER	4.01	3.7	3.96	4.14	3.74	3.58	4.26	4	3.88	3.96	3.82	3.72	3.5	3.83
Soederholm-2013-420-216	216	Nurmikko	Lawn	3990	LAWN	5.28	2.97	5.31	5.13	2.92	3.16	4.82	5.16	5.55	4.88	3.36	2.8	3.06	3.5
Soederholm-2013-420-217	217	Nyöri	Cord	1218	ROPE	3.95	3.39	3.98	3.85	3.41	3.31	3.27	4.11	3.84	4.4	2.82	3.53	3.37	3.2
Soederholm-2013-420-218	218	Nälkä	Hunger	1864	HUNGER	2.56	4.63	2.56	2.55	4.71	4.37	3.27	4.11	3.84	4.4	2.82	3.53	3.37	3.2
Soederholm-2013-420-219	219	Nälvintä	Nagging			1.56	5.29	1.48	1.77	5.37	5.07	1.72	1.58	1.44	1.42	5.41	5.28	5.16	5.46
Soederholm-2013-420-220	220	Näpistys	Shoplifting			1.77	4.94	1.67	2.13	5.01	4.72	2.18	2.13	1.48	1.3	4.18	4.89	5.01	5.6
Soederholm-2013-420-221	221	Närkästys	Indignation			2.35	4.38	2.35	2.33	4.51	4	2.56	2.39	2.32	2	3.81	4.63	4.33	4.05
Soederholm-2013-420-222	222	Näyte	Sample			3.4	3.64	3.48	3.17	3.77	3.26	3.22	3.32	3.49	3.57	3.85	3.94	3.39	3.19
Soederholm-2013-420-223	223	Näytelmä	Play (theatre)			4.83	3.89	5.03	4.32	3.97	3.68	4.72	4.77	5.13	4.96	4	3.82	3.97	4.21
Soederholm-2013-420-224	224	Näytös	Act			4.65	4.07	4.66	4.6	4.04	4.19	4.45	4.63	4.66	5.13	3.73	4.2	3.94	4.25
Soederholm-2013-420-225	225	Nöyryytys	Humiliation			1.55	4.91	1.48	1.76	5.08	4.39	3.22	3.32	3.49	3.57	3.85	3.94	3.39	3.19
Soederholm-2013-420-226	226	Ohjelma	Programme			4.19	3.75	4.26	3.95	3.73	3.82	4.64	4.19	4.15	4.1	3.73	3.83	3.68	3.9
Soederholm-2013-420-227	227	Omainen	Relative	1644	RELATIVES	5.53	3.11	5.51	5.61	3.07	3.29	5.82	5.28	5.72	6.25	2.91	2.99	3.28	3.25
Soederholm-2013-420-228	228	Omaisuus	Assets			4.66	3.62	4.66	4.68	3.68	3.46	4.9	4.57	4.85	4.83	3.77	3.61	3.42	3.92
Soederholm-2013-420-229	229	Opettaja	Teacher	1038	TEACHER	4.21	3.85	4.21	4.21	3.89	3.73	3.78	4.23	4.23	4.57	3.93	3.9	3.83	3.62
Soederholm-2013-420-230	230	Orjuus	Slavery			1.52	5.33	1.44	1.9	5.5	4.55	1.73	1.44	1.61	1.38	4.73	5.32	5.46	5.25
Soederholm-2013-420-231	231	Pahuus	Evil			1.79	5.17	1.71	2.03	5.27	4.92	2.31	1.82	1.41	1.67	4.89	5.13	5.21	5.92
Soederholm-2013-420-232	232	Paino	Weight	2466	WEIGHT	3.06	4.12	2.93	3.4	4.26	3.75	2.85	3.08	2.95	3.46	4.59	4.07	4.11	3.92
Soederholm-2013-420-233	233	Painostus	Pressure			1.78	5.07	1.73	1.94	5.18	4.73	2.15	2.06	1.54	1.19	4.74	5.13	5.06	5.19
Soederholm-2013-420-234	234	Painotus	Emphasis			3.53	3.79	3.52	3.55	3.77	3.86	3.31	3.53	3.54	3.83	3.9	3.79	3.7	3.88
Soederholm-2013-420-235	235	Paletti	Palette	2611	PALETTE (PAINTING)	4.46	3.06	4.6	3.97	2.96	3.41	3.36	4.6	4.45	4.7	2.45	3.21	2.93	3.8
Soederholm-2013-420-236	236	Palkinto	Award			5.68	4.11	5.59	6.06	4.06	4.32	5.55	5.65	5.64	6.5	3.73	4.25	3.94	4.5
Soederholm-2013-420-237	237	Palvonta	Worship	257	WORSHIP	3.01	4.38	3.03	2.97	4.37	4.4	3.05	3.02	2.93	3.04	4.18	4.54	3.92	4.13
Soederholm-2013-420-238	238	Pappi	Priest	852	PRIEST	3.83	3.17	3.89	3.67	3.24	2.97	3.37	3.92	3.86	3.81	3.35	3.33	2.99	3.1
Soederholm-2013-420-239	239	Parannus	Cure			5.21	3.35	5.26	5.03	3.35	3.33	5.41	5.05	5.29	5.29	3.5	3.44	3.29	2.95
Soederholm-2013-420-240	240	Parantola	Sanatorium			2.85	3.79	2.86	2.84	3.87	3.5	2	2.64	3.05	3.7	4	3.7	3.77	4.4
Soederholm-2013-420-241	241	Parturi	Barber			4.76	3.33	4.86	4.41	3.35	3.23	3.91	4.6	4.98	5	3.64	3.44	3.2	3.2
Soederholm-2013-420-242	242	Pehmeys	Softness			5.89	2.42	5.97	5.68	2.35	2.61	5.59	5.96	5.95	5.54	2.59	2.25	2.85	2.83
Soederholm-2013-420-243	243	Peite	Cover			5.06	2.74	5.2	4.63	2.67	2.97	4.63	5.18	5.04	5.1	3.26	2.54	2.79	2.9
Soederholm-2013-420-244	244	Pelastaja	Saviour			5.76	3.43	5.93	5.18	3.31	3.82	4.45	5.37	6.26	5.8	3.45	3.84	3.13	2.9
Soederholm-2013-420-245	245	Pelastus	Rescue			5.53	3.51	5.63	5.29	3.43	3.7	5.64	5.42	5.69	6.17	3.44	3.41	3.8	3.92
Soederholm-2013-420-246	246	Pelko	Fear	781	FEAR (FRIGHT)	1.9	5.64	1.81	2.18	5.7	5.41	2.18	1.87	1.88	1.9	5.55	5.69	5.63	5.4
Soederholm-2013-420-247	247	Pelkuri	Coward	1319	COWARD	2.35	4.41	2.37	2.31	4.39	4.49	2.36	2.29	2.46	2.71	4.56	4.41	4.26	4.58
Soederholm-2013-420-248	248	Pelokkuus	Timidity			2.31	4.87	2.27	2.5	4.98	4.35	2.64	2.22	2.41	2.14	4.09	5.09	4.7	4.88
Soederholm-2013-420-249	249	Perhe	Family	194	FAMILY	6.21	3.03	6.28	6	2.98	3.21	5.82	5.94	6.44	6.7	3.82	3.19	2.78	3.1
Soederholm-2013-420-250	250	Permanto	Parquet			3.82	3.52	3.89	3.64	3.59	3.33	4.28	3.73	3.77	4.08	3.03	3.63	3.36	3.58
Soederholm-2013-420-251	251	Perustelu	Rationale			4.01	3.6	4	4.04	3.67	3.39	4.07	3.92	4.04	4.25	4	3.68	3.5	3.2
Soederholm-2013-420-252	252	Petos	Fraud			1.35	5.72	1.3	1.53	5.77	5.54	1.45	1.41	1.32	1	5.27	5.74	5.71	6.1
Soederholm-2013-420-253	253	Pettymys	Disappointment	3845	DISAPPOINTMENT	2.06	4.26	2.05	2.06	4.27	4.21	2	2.34	1.89	1.52	4.15	4.27	4.26	4.33
Soederholm-2013-420-254	254	Piikki	Spike	1249	SPIKE	2.26	4.75	2.2	2.45	4.78	4.67	2.64	2.41	2.07	2.3	4.27	4.77	4.79	4.8
Soederholm-2013-420-255	255	Piiska	Whip	2630	WHIP	2.01	5.06	1.85	2.42	5.12	4.9	2.03	2.1	1.85	1.38	5.08	5.1	4.79	5.29
Soederholm-2013-420-256	256	Pilkku	Dot			3.98	3.68	4.03	3.74	3.69	3.68	3.27	4.03	4.03	3.88	2.64	3.74	3.78	3.75
Soederholm-2013-420-257	257	Pilvi	Cloud	1489	CLOUD	5.03	2.59	5.06	4.93	2.56	2.67	5.03	5.03	5.11	4.75	2.38	2.5	2.85	3.17
Soederholm-2013-420-258	258	Pimeys	Darkness	11	DARKNESS	3.26	3.73	3.17	3.48	3.83	3.44	3.69	3.27	3.18	2.63	3.82	3.72	3.62	3.92
Soederholm-2013-420-259	259	Pirteys	Liveliness			5.51	4.11	5.48	5.68	4.1	4.19	5.55	5.58	5.37	5.88	4	4.3	3.87	4.38
Soederholm-2013-420-260	260	Porkkana	Carrot	3085	CARROT	4.84	3.34	4.87	4.71	3.36	3.26	3.91	4.9	4.89	5.13	2.82	3.33	3.41	3.63
Soederholm-2013-420-261	261	Pouta	Dry weather			5.66	2.9	5.71	5.52	2.88	2.99	5.63	5.31	6.01	5.67	3.44	2.78	2.97	2.48
Soederholm-2013-420-262	262	Prinsessa	Princess			4.56	3.53	4.47	4.77	3.5	3.58	4.28	4.6	4.44	4.79	3.87	3.47	3.54	3.5
Soederholm-2013-420-263	263	Prosentti	Percent			3.8	3.71	3.74	4	3.72	3.67	2.73	3.96	3.77	4.1	2.73	3.84	3.71	3.9
Soederholm-2013-420-264	264	Puhtaus	Cleanness			5.71	2.72	5.81	5.46	2.73	2.68	5.95	5.63	5.88	5.79	2.85	2.56	3.18	3.04
Soederholm-2013-420-265	265	Pulla	Bun			5.52	2.75	5.54	5.45	2.74	2.79	5.73	5.63	5.43	5.3	2.45	2.54	2.96	2.8
Soederholm-2013-420-266	266	Pätevyys	Competence			4.66	3.7	4.63	4.75	3.72	3.67	5.63	5.31	6.01	5.67	3.44	2.78	2.97	2.48
Soederholm-2013-420-267	267	Raato	Carcass	1770	CARCASS	1.8	4.51	1.73	1.98	4.6	4.29	1.97	1.86	1.62	1.38	4.59	4.51	4.38	4.79
Soederholm-2013-420-268	268	Raiskaus	Rape	953	RAPE	1.09	6.12	1.08	1.1	6.27	5.42	1.09	1.05	1.12	1.25	5.09	6.27	6.16	5.5
Soederholm-2013-420-269	269	Raivo	Rage	82	ANGER	2.09	5.86	2.07	2.16	5.92	5.55	2.36	2.02	2.18	1.63	5.36	6.23	5.55	5
Soederholm-2013-420-270	270	Rakennus	Building	3396	BUILDING	4.06	3.48	4.08	3.97	3.54	3.31	3.59	4.13	4.11	4	3.89	3.55	3.38	3.14
Soederholm-2013-420-271	271	Rakkaus	Love	3834	LOVE (AFFECTION)	6.39	4.49	6.44	6.24	4.47	4.52	6.74	6.19	6.46	6.6	4	4.64	4.46	4.45
Soederholm-2013-420-272	272	Rannikko	Coast	1525	COAST	5.43	3.06	5.51	5.18	3.09	2.95	5.81	5.08	5.63	5.67	3.23	2.96	3.19	2.62
Soederholm-2013-420-273	273	Rappio	Decadence			2.15	4.12	2.11	2.25	4.24	3.75	2.22	2.48	1.92	1.52	3.93	4.33	3.96	4.05
Soederholm-2013-420-274	274	Rauha	Peace	1338	PEACE	6.21	2.08	6.25	6.08	1.94	2.55	5.18	6.1	6.5	5.7	2	2	2.11	2.4
Soederholm-2013-420-275	275	Raukeus	Lassitude			5.55	1.94	5.54	5.59	1.94	1.95	4.64	5.7	5.6	5.1	1.45	1.83	2.04	2.5
Soederholm-2013-420-276	276	Ravintola	Restaurant			4.78	3.85	4.82	4.67	3.91	3.67	5.15	4.84	4.68	4.57	3.85	3.95	3.85	3.33
Soederholm-2013-420-277	277	Rehevyys	Lushness			4.1	3.68	4.07	4.23	3.64	3.84	3.45	3.84	4.48	4.63	4	3.63	3.6	4.5
Soederholm-2013-420-278	278	Riemu	Joy	2524	JOY	5.97	4.74	6.1	5.58	4.78	4.63	6.07	5.83	6.07	6.1	4.59	4.83	4.79	4.19
Soederholm-2013-420-279	279	Riita	Quarrel	1848	QUARREL	1.69	5.86	1.66	1.77	5.95	5.56	2	1.84	1.57	1.2	5.27	5.79	5.96	6.2
Soederholm-2013-420-280	280	Riitely	Quarrelling			1.68	5.41	1.71	1.61	5.59	4.87	1.63	1.81	1.64	1.29	4.7	5.58	5.46	5.19
Soederholm-2013-420-281	281	Rikkaus	Wealth	2996	WEALTH	5.2	3.85	5.13	5.55	3.85	3.87	5.82	5.24	5.05	5.25	4.27	4.06	3.53	3.63
Soederholm-2013-420-282	282	Rohkeus	Courage	3049	COURAGE	5.38	4.27	5.45	5.16	4.29	4.19	5	5.23	5.62	5.38	4.22	4.43	4.32	3.19
Soederholm-2013-420-283	283	Romanssi	Romance			5.96	5.15	6.03	5.76	5.31	4.75	5.9	5.91	6.2	6	5.15	5.11	5.45	4.83
Soederholm-2013-420-284	284	Ruisku	Syringe			2.58	4.38	2.53	2.7	4.49	4.09	2.28	2.58	2.44	3.38	4.46	4.48	3.93	4.25
Soederholm-2013-420-285	285	Rukous	Prayer			4.73	2.88	4.87	4.26	2.84	3.03	4.27	4.4	5.04	5.1	2.91	2.86	2.94	2.6
Soederholm-2013-420-286	286	Rumilus	Ugly person			2.63	3.67	2.65	2.54	3.8	3.26	2.15	2.74	2.7	2.19	3.46	3.93	3.41	3.9
Soederholm-2013-420-287	287	Rumuus	Ugliness			2.58	3.92	2.57	2.6	4	3.7	2.46	2.54	2.69	2.88	3.87	3.97	3.75	3.83
Soederholm-2013-420-288	288	Runous	Poetry	541	POETRY	5.01	3.28	5.17	4.51	3.26	3.34	3.85	4.97	5.13	6	3.41	3.28	3.29	3.1
Soederholm-2013-420-289	289	Runsaus	Abundance			4.77	3.58	4.72	4.9	3.62	3.48	4.49	4.8	4.7	5.08	3.56	3.49	3.89	3.83
Soederholm-2013-420-290	290	Ruohikko	Grass	606	GRASS	5.4	2.82	5.51	5.05	2.88	2.65	4.81	5.32	5.67	5.14	2.7	2.65	3	2.95
Soederholm-2013-420-291	291	Ruoste	Rust	3064	RUST	2.72	3.76	2.72	2.69	3.71	3.92	2.45	3.24	2.31	2.6	3.64	3.71	3.79	4
Soederholm-2013-420-292	292	Rutto	Plague			1.58	4.53	1.53	1.73	4.65	4.16	1.59	1.77	1.47	1.14	4.63	4.47	4.53	4.76
Soederholm-2013-420-293	293	Ruumis	Corpse	767	CORPSE	2.31	4.48	2.25	2.55	4.59	3.97	1.45	2.18	2.63	2.14	4.27	4.51	4.57	3.57
Soederholm-2013-420-294	294	Ruuna	Gelding	2566	GELDING	4.32	3.25	4.34	4.23	3.18	3.49	3.73	4.2	4.46	4.6	2.55	3.4	3.2	3.4
Soederholm-2013-420-295	295	Ryppy	Wrinkle	2294	WRINKLE	3.22	3.82	3.18	3.36	3.8	3.87	2.73	3.34	3.1	3.9	3.82	3.79	3.82	4
Soederholm-2013-420-296	296	Rötöstely	Looting			1.74	5.27	1.63	2.1	5.38	4.9	2.45	3.24	2.31	2.6	3.64	3.71	3.79	4
Soederholm-2013-420-297	297	Röyhkeys	Impudence			1.58	5.45	1.49	1.9	5.54	5.15	1.45	2.01	1.28	1.1	4.27	5.33	5.66	5.9
Soederholm-2013-420-298	298	Saarna	Sermon	3167	SERMON	2.8	4.19	2.78	2.85	4.2	4.15	2.82	2.73	2.85	3.29	4.13	4.18	4.18	4.33
Soederholm-2013-420-299	299	Saasta	Filth	25	DIRT	1.4	4.97	1.3	1.74	5.01	4.85	1.27	1.6	1.26	1.3	4.73	5.1	4.87	5.2
Soederholm-2013-420-300	300	Sairaala	Hospital	616	HOSPITAL	2.88	4.34	2.89	2.85	4.37	4.26	2.36	2.76	3.04	3	3.18	4.3	4.48	4.8
Soederholm-2013-420-301	301	Sairaus	Illness	1986	DISEASE	1.81	4.59	1.75	1.97	4.75	4.19	1.77	1.88	1.72	1.42	4.59	4.55	4.67	4.88
Soederholm-2013-420-302	302	Salaatti	Salad	4041	SALAD	5.15	2.91	5.27	4.74	2.88	3.03	4.45	4.8	5.5	5.5	2.45	3.07	2.84	2.9
Soederholm-2013-420-303	303	Sapeli	Saber			3.14	4.41	3	3.51	4.45	4.3	3.79	3.19	2.85	2.29	4.18	4.49	4.1	4.79
Soederholm-2013-420-304	304	Satama	Harbor	610	PORT	4.78	3.23	4.87	4.55	3.22	3.27	4.42	4.8	4.82	4.96	3.18	3.13	3.46	3.75
Soederholm-2013-420-305	305	Seikkailu	Adventure			5.42	5.09	5.46	5.33	5.15	4.9	5.63	5.57	5.29	5.1	4.41	5.31	5.11	4.76
Soederholm-2013-420-306	306	Sekaannus	Mix-up			2.49	4.95	2.45	2.71	5.04	4.58	3	2.46	2.45	2.5	3.82	5.22	4.91	4
Soederholm-2013-420-307	307	Seksi	Sex			5.96	5.29	5.87	6.28	5.12	5.85	5.45	5.81	6.16	6	5	5.41	5.24	5.1
Soederholm-2013-420-308	308	Siemaus	Sip			4.7	3.23	4.76	4.49	3.11	3.67	4.5	4.74	4.72	4.4	2.5	3.24	3.33	3.1
Soederholm-2013-420-309	309	Sijainti	Location	723	PLACE (POSITION)	4.14	3.67	4.15	4.13	3.64	3.83	4.18	4.16	4.15	3.88	3.64	3.64	3.72	3.71
Soederholm-2013-420-310	310	Sikari	Cigar	4019	CIGAR	2.88	3.92	2.68	3.41	4.01	3.67	2.77	2.86	3.16	2.58	3.74	3.93	4.02	3.88
Soederholm-2013-420-311	311	Simputus	Bullying			1.54	5.72	1.45	1.85	5.75	5.62	1.82	1.74	1.39	1	4.91	5.57	5.9	6.2
Soederholm-2013-420-312	312	Sirppi	Crescent			3.75	3.74	3.82	3.55	3.84	3.45	3.44	3.97	3.58	3.9	3.81	3.94	3.62	3.29
Soederholm-2013-420-313	313	Soimaus	Reproach			2.45	4.69	2.42	2.61	4.79	4.26	3	2.46	2.37	2.25	3.73	4.86	4.61	4.88
Soederholm-2013-420-314	314	Sorto	Repression			1.59	5.42	1.51	1.82	5.52	5.14	1.87	1.64	1.34	1.21	5.36	5.44	5.26	5.67
Soederholm-2013-420-315	315	Sotilas	Soldier	1941	SOLDIER	3.36	4.15	3.34	3.43	4.24	3.88	3.67	3.31	3.34	3.33	3.96	4.53	3.95	3.52
Soederholm-2013-420-316	316	Suihku	Shower			5.6	2.85	5.63	5.51	2.86	2.82	4.45	5.54	5.79	5.8	2.82	2.83	2.9	2.7
Soederholm-2013-420-317	317	Sujuvuus	Effortlessness			5.48	2.84	5.54	5.33	2.83	2.88	5.33	5.45	5.48	6.04	2.77	2.7	3.38	3.21
