ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	NUMBER	ENGLISH	Rate	RANK	Synonyms_average	SynonymsEnglish	SynonymsDanish	SynonymsDutch	SynonymsGerman	SynonymsSwedish	Frequency	Imageability	BrysbaertEtAl_concreteness	MutualInformation	Arousal	Senses	AgeOfAcquisition	WordClass
Vejdemo-2016-167-146	TIE	1917	146	to_tie	2.68	73	1.092411033	0.940358232	1.204336947	0.92267658	1.51193634	0.882747069	28	6.4	4.81	6.1845	3.1	9	4.74	Verb
Vejdemo-2016-167-147	TURN AROUND	1444	147	to_turn_veer	8.18	166	1.463573419	2.552400915	0.633861551	2.550929368	0.957559682	0.623115578	154	3.9	2.79	5329	3.48			Verb
Vejdemo-2016-167-148	WALK	1443	148	to_walk	5.14	148	1.966220749	1.047827744	3.613010842	0.542750929	1.51193634	3.115577889	207	5.2	4.07	5.5255	3.24	10	3.45	Verb
Vejdemo-2016-167-149	WASH	1453	149	to_wash	3	91	0.879677192	1.423971037	0.887406172	0.759851301	0.75596817	0.57118928	29	5.1	4.35	6.3745	3.7	13	4	Verb
Vejdemo-2016-167-150	WIPE	1454	150	to_wipe	6.92	160	0.607264528	0.510480183	0.507089241	0.488475836	0.907161804	0.623115578	22	5	4	5.9195	3.54	1	4.83	Verb
Vejdemo-2016-167-151	VOMIT	1278	151	to_vomit	5.02	147	0.553850697	0.510480183	0.12677231	0.705576208	0.907161804	0.519262982	13		4.75	2.466666667	4.82	1	5.68	Verb
Vejdemo-2016-167-152	TONGUE	1205	152	tongue	0.49	2	0.445143213	0.349275915	0.633861551	0.162825279	0.352785146	0.726968174	169	6.5	4.93	7757	4.25	8	4.47	Noun
Vejdemo-2016-167-153	TOOTH	1380	153	tooth	1.18	16	0.660389296	0.026867378	0.887406172		1.25994695	0.467336683	74	6.8	4.89	8688	3.52	5	3.61	Noun
Vejdemo-2016-167-154	TREE	906	154	tree	3.58	111	0.304347443		0.190158465	0.162825279	0.604774536	0.259631491	112	6.8	5	8095	2.67	2	3.57	Noun
Vejdemo-2016-167-155	HOT OR WARM	2272	155	warm_hot	2.35	55	0.992325505	1.209032012	1.457881568	0.759851301	0.75596817	0.778894472	66	3.5	3.56	6.2775	3.35	9		Adjective
Vejdemo-2016-167-156	WATER	948	156	water	0.86	9	1.0177565	0.188071646	2.028356964	1.085501859	1.00795756	0.778894472	342		5	7.2745	3.71	6	2.37	Noun
Vejdemo-2016-167-157	WET	1726	157	wet	4.45	136	0.688120767	0.671684451	0.633861551	0.705576208	0.806366048	0.623115578	49	5.3	4.46	6.5945	5	2	2.47	Adjective
Vejdemo-2016-167-158	WHITE	1335	158	white	2.22	48							224	6.5	3.89	6925	3.35	12	4.06	Adjective
Vejdemo-2016-167-159	WIDE	1243	159	wide	2.89	86	0.846584733	0.83288872	0.887406172	0.325650558	1.51193634	0.675041876	93	4.1	3.06	5.7125	3.05	7	5.84	Adjective
Vejdemo-2016-167-160	WIFE	1199	160	wife	4.12	126	0.906305294	0.429878049	1.140950792	0.868401487	1.209549072	0.882747069	189	5.7	4.13	5.8425	4.21	1	5.67	Noun
Vejdemo-2016-167-161	WIND	960	161	wind_breeze	1.78	35	0.920555445	0.295541159	1.014178482	1.031226766	0.75596817	1.505862647	92	4.7	3.93	8.3205	3.7	8		Noun
Vejdemo-2016-167-162	WING	1257	162	wing	2.66	72	0.472377138	0.456745427		0.217100372	1.00795756	0.207705193	38	6.1	4.86	6018	4.32	11	4.79	Noun
Vejdemo-2016-167-163	WOMAN	962	163	woman	2.75	80	1.283985807	0.994092988	1.774812344	0.868401487	0.705570292	2.077051926	523		4.46	5.9	3.8	4	4.95	Noun
Vejdemo-2016-167-164	FOREST	420	164	woods	4.15	127	0.429550184	0.214939024	0.507089241	0.759851301	0.302387268	0.363484087	124		4.87	3.7245		1	4.930784	Noun
Vejdemo-2016-167-165	WORM	1219	165	worm	2.16	46	0.321998699		0.190158465		0.100795756	0.675041876	9	6.6	4.9	2308	3.5	4	3.89	Noun
Vejdemo-2016-167-166	YEAR	1226	166	year	2.78	82	0.410431058	0.13433689	0.316930776	1.031226766	0.050397878	0.519262982	1444	3.9	3.25	5182	3.33	4	5.24	Noun
Vejdemo-2016-167-167	YELLOW	1424	167	yellow	2.12	44							69		4.3	6.5375	3.83	1	3.2	Adjective
