ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	EMOTION_CATEGORY	ENGLISH_PERSONAL_USE_MEAN	ENGLISH_FAMILIARITY MEAN	ENGLISH_OFFENSIVENESS_MEAN	ENGLISH_TABOO_MEAN	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_IMAGEABILITY_MEAN
Janschewitz-2008-460-197	197	fat	1279	FAT (OBESE)	neg lo ar	6.39	7.19	3.43	3.91	2.43	3.68	6.95
Janschewitz-2008-460-198	198	fault	134	FAULT	neg lo ar	4.97	5.61	1.53	1.51	3.65	2.19	2.44
Janschewitz-2008-460-199	199	fever	1534	FEVER	neg lo ar	4.29	5	01.05	1.13	3.43	2.14	04.01
Janschewitz-2008-460-200	200	foul			neg lo ar	3.8	4.87	1.61	1.63	3.36	2.47	2.64
Janschewitz-2008-460-201	201	germs			neg lo ar	4.46	5.54	1.37	1.37	3.55	2.45	4.63
Janschewitz-2008-460-202	202	gloom			neg lo ar	3.35	3.9	1.17	1.26	3.39	2.14	3.48
Janschewitz-2008-460-203	203	headache	3625	HEADACHE	neg lo ar	5.49	6.42	01.05	01.06	3.44	2.29	3.56
Janschewitz-2008-460-204	204	hungry	1533	BE HUNGRY	neg lo ar	7.61	7.54	01.03	01.03	4.36	3.89	3.53
Janschewitz-2008-460-205	205	illness	1986	DISEASE	neg lo ar	4.58	5.84	1.22	1.55	03.09	2.64	3.77
Janschewitz-2008-460-206	206	lonely	4096	LONELY	neg lo ar	5.43	6.23	1.52	1.38	03.06	2.53	3.38
Janschewitz-2008-460-207	207	massacre			neg lo ar	3.21	4.38	1.64	02.09	2.34	4.18	5.13
Janschewitz-2008-460-208	208	measles	3389	MEASLES	neg lo ar	2.25	3.34	01.01	1.35	3.29	2.37	4.53
Janschewitz-2008-460-209	209	meek	1954	GENTLE	neg lo ar	2.27	3.12	1.32	1.22	4.3	1.73	2.18
Janschewitz-2008-460-210	210	mildew			neg lo ar	3.27	3.94	1.1	1.23	3.86	1.86	5.79
Janschewitz-2008-460-211	211	mold	289	MOLD	neg lo ar	3.79	4.64	1.26	1.39	3.79	02.01	6.38
Janschewitz-2008-460-212	212	moody			neg lo ar	05.09	5.67	1.6	1.47	3.63	2.37	2.88
Janschewitz-2008-460-213	213	morbid			neg lo ar	3.23	04.01	1.51	1.78	3	2.71	2.92
Janschewitz-2008-460-214	214	nuisance			neg lo ar	3.27	4.35	1.51	1.49	3.58	02.09	2.4
Janschewitz-2008-460-215	215	obesity			neg lo ar	3.96	6.13	1.81	2.73	2.62	3.23	6.92
Janschewitz-2008-460-216	216	penalty	390	PUNISHMENT	neg lo ar	3.79	4.86	1.17	1.21	3.58	2.21	2.36
Janschewitz-2008-460-217	217	poverty	4066	POVERTY	neg lo ar	4.5	5.74	1.3	1.68	2.76	3.16	4.87
Janschewitz-2008-460-218	218	resent			neg lo ar	3.91	4.66	1.38	1.46	3.64	2.5	1.96
Janschewitz-2008-460-219	219	rigid			neg lo ar	3.29	4.31	1.23	1.39	4.36	1.94	3.59
Janschewitz-2008-460-220	220	rusty	3870	RUSTY	neg lo ar	3.61	4.18	01.08	1.14	4.13	1.64	5.6
Janschewitz-2008-460-221	221	sad	699	SAD	neg lo ar	6.27	6.64	1.29	1.36	2.87	2.7	3.86
Janschewitz-2008-460-222	222	severe	419	SEVERE	neg lo ar	4.73	5.29	1.1	1.14	3.33	03.08	2.37
Janschewitz-2008-460-223	223	sick	1847	SICK	neg lo ar	06.06	6.56	1.23	1.52	3.23	2.73	4.25
Janschewitz-2008-460-224	224	stench	3704	ODOR (SMELL)	neg lo ar	03.09	3.89	1.45	1.55	3.12	2.62	2.78
Janschewitz-2008-460-225	225	tomb	1773	GRAVE	neg lo ar	3	3.78	1.1	1.52	04.09	2.42	7.62
Janschewitz-2008-460-226	226	trash	909	GARBAGE	neg lo ar	6.37	6.42	1.45	1.32	3.68	02.05	7.37
Janschewitz-2008-460-227	227	ugly	1548	UGLY	neg lo ar	5.79	6.49	03.06	03.09	2.62	3.4	4.52
Janschewitz-2008-460-228	228	unhappy	3974	UNHAPPY	neg lo ar	4.92	5.81	1.31	1.56	03.06	2.54	3.61
Janschewitz-2008-460-229	229	urine	1142	URINE	neg lo ar	3.31	4.47	1.4	2.31	3.96	2.73	07.01
Janschewitz-2008-460-230	230	waste	79	WASTE	neg lo ar	5.47	5.94	1.6	1.42	3.17	2.37	4.8
