ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Reinhard-1970-337-302	302	keep (1st)	1477	KEEP
Reinhard-1970-337-303	303	have (1st)	773	HAVE
Reinhard-1970-337-304	304	keen	39	KEEN
Reinhard-1970-337-305	305	bow	994	BOW
Reinhard-1970-337-306	306	come (1st)	1446	COME
Reinhard-1970-337-307	307	snake	730	SNAKE
Reinhard-1970-337-308	308	lost	3667	LOST
Reinhard-1970-337-309	309	point (of arrow head)	3255	POINT (POINTED END)
Reinhard-1970-337-310	310	branch	1531	BRANCH
Reinhard-1970-337-311	311	road	667	ROAD
Reinhard-1970-337-312	312	day	1225	DAY (NOT NIGHT)
Reinhard-1970-337-313	313	branch	1531	BRANCH
Reinhard-1970-337-314	314	guts	1334	GUTS
Reinhard-1970-337-315	315	blood	946	BLOOD
Reinhard-1970-337-316	316	vomit	1278	VOMIT
Reinhard-1970-337-317	317	bush	1683	BUSH
Reinhard-1970-337-318	318	house	1252	HOUSE
Reinhard-1970-337-319	319	potatos	593	POTATO
Reinhard-1970-337-320	320	boat	1844	BOAT
Reinhard-1970-337-321	321	stone	857	STONE
Reinhard-1970-337-322	322	beautiful	1427	BEAUTIFUL
Reinhard-1970-337-323	323	good	1035	GOOD
Reinhard-1970-337-324	324	flow	2003	FLOW
Reinhard-1970-337-325	325	girl	1646	GIRL
Reinhard-1970-337-326	326	wither	2907	ROT
Reinhard-1970-337-327	327	dig (1st)	1418	DIG
Reinhard-1970-337-328	328	a tuber,small kind (Dioscorea daemonia)		
Reinhard-1970-337-329	329	leg, foot	2098	FOOT OR LEG
Reinhard-1970-337-330	330	give (imperative)	1447	GIVE
Reinhard-1970-337-331	331	stone	857	STONE
Reinhard-1970-337-332	332	few	3451	FEW PIECES
Reinhard-1970-337-333	333	father	1217	FATHER
Reinhard-1970-337-334	334	tree	906	TREE
Reinhard-1970-337-335	335	that	78	THAT
Reinhard-1970-337-336	336	mouse	1491	MOUSE
