ID	NUMBER	ITALIAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	WORD_LENGTH	POS	ACCURACY_LD_MEAN	LD_RT_MEAN	ACCURACY_NAMING_MEAN	NAMING_RT_MEAN	LD_RT_ZSCORE	NAMING_RT_ZSCORE	AUDITORY_MEAN	GUSTATORY_MEAN	HAPTIC_MEAN	OLFACTORY_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_STRENGTH_MIN	PERCEPTUAL_STRENGTH_MEAN	VECTOR_MAGNITUDE
Vergallito-2020-1121-345	345	evidenziatore	marker			13	n	0.9666666667	745.5172414	1	577.8148148	0.766494174	0.2706209739	0.98	0.11	3.88	1.72	4.86	v	41.12554113	4.86	0.11	2.31	6.52724291
Vergallito-2020-1121-346	346	faccia	face	1560	FACE	6	n	1	582.5333333	1	519.9310345	-0.356780997	-0.3487709417	0.32	0.11	4.11	0.58	4.79	v	47.22502523	4.79	0.11	1.982	6.347211986
Vergallito-2020-1121-347	347	facile	easy	686	EASY	6	a	0.9333333333	568.2142857	1	520.3214286	-0.4341174954	-0.2645140714	2.23	0.37	1.14	0.3	3.39	v	41.58815612	3.39	0.3	1.486	4.241638834
Vergallito-2020-1121-348	348	falco	hawk	307	HAWK	5	n	0.9333333333	606.6071429	1	512.25	-0.09233869002	-0.1956120071	3.6	0.32	2.7	0.74	4.81	v	36.89400164	4.81	0.32	2.434	6.635970163
Vergallito-2020-1121-349	349	fallimento	failure			10	n	1	648.2333333	1	524.6428571	0.2022270281	-0.1379865171	2.72	0.51	0.49	0.4	3.26	v	38.75338753	3.26	0.4	1.476	4.322753752
Vergallito-2020-1121-350	350	falso	false	3069	FALSE	5	a	0.9333333333	577.1071429	1	524.2068966	-0.3850431297	-0.2030675242	3.11	1.09	1.89	1.23	3.47	v	22.05746061	3.47	1.09	2.158	5.290189033
Vergallito-2020-1121-351	351	fama	fame	865	FAME	4	n	0.9666666667	647	1	523.4642857	-0.05003990265	-0.1697559153	2.84	0.35	0.44	0.28	3.18	v	40.90267983	3.18	0.28	1.418	4.309582346
Vergallito-2020-1121-352	352	famelico	starving	2018	GREEDY	8	a	0.8	764.25	1	604.9285714	1.047456735	0.4470908866	2.13	0.48	0.63	0.27	3.54	v	46.38297872	3.54	0.27	1.41	4.215293584
Vergallito-2020-1121-353	353	famiglia	family	194	FAMILY	8	n	0.9333333333	579.0714286	1	486.8148148	-0.4911192487	-0.5443136313	3.4	0.67	2.14	1.6	4.4	v	30.54873055	4.4	0.67	2.442	6.205521735
Vergallito-2020-1121-354	354	famoso	famous			6	a	1	547.7586207	1	489.2962963	-0.5554032063	-0.4470338301	3.56	0.77	0.96	0.84	4.46	v	34.84419263	4.46	0.77	2.118	5.897906408
Vergallito-2020-1121-355	355	fanale	headlight			6	n	0.6333333333	783.2631579	1	543.5357143	0.7414301282	-0.1186625038	0.23	0.02	2.4	0.07	4.7	v	63.07277628	4.7	0.02	1.484	5.282821216
Vergallito-2020-1121-356	356	fanghiglia	slush			10	n	0.4666666667	833.6428571	1	670.6071429	1.156203351	0.9717827698	1.13	0.29	3.57	1.86	4.55	v	37.36842105	4.55	0.29	2.28	6.186113481
Vergallito-2020-1121-357	357	fangoso	muddy			7	a	0.8	679.1666667	1	544.3928571	0.2955167741	0.009096498351	1.07	0.28	3.74	1.72	4.49	v	37.25663717	4.49	0.28	2.26	6.19107422
Vergallito-2020-1121-358	358	fantasia	fantasy			8	n	1	617.5666667	1	536.72	-0.1534538111	-0.07458632373	2.4	1.14	0.82	0.84	2.53	v	22.12160414	2.53	0.82	1.546	3.852077362
Vergallito-2020-1121-359	359	farfalla	butterfly	1791	BUTTERFLY	8	n	0.9	624.3333333	1	510.1153846	0.1391594589	-0.3594768851	0.58	0.11	2.68	0.18	4.84	v	56.37663886	4.84	0.11	1.678	5.566767464
Vergallito-2020-1121-360	360	faro	lighthouse	4079	LIGHTHOUSE	4	n	0.8666666667	688.4615385	1	529.76	0.3091358323	-0.02013113485	0.61	0.02	1.46	0.21	4.77	v	67.18528996	4.77	0.02	1.414	5.030019881
Vergallito-2020-1121-361	361	fascino	glamour			7	n	0.9666666667	605.0689655	1	551.6551724	-0.11076608	0.01245145607	2.7	0.61	0.77	1.07	4.21	v	38.46153846	4.21	0.61	1.872	5.20807066
Vergallito-2020-1121-362	362	fase	phase			4	n	0.9333333333	626.0714286	1	540.3793103	-0.04981455248	-0.1465390712	1.25	0.16	0.24	0.16	1.87	v	46.4673913	1.87	0.16	0.736	2.273367546
Vergallito-2020-1121-363	363	fastidio	nuisance			8	n	0.9666666667	641.5517241	1	525.7307692	-0.05308160786	-0.02885347299	3.47	2.05	2.77	2.37	3.54	v	10.49295775	3.54	2.05	2.84	6.4857382
Vergallito-2020-1121-364	364	fattoria	farm	201	FARM	8	n	0.9333333333	722.5357143	1	518.1785714	0.4687733288	-0.1287384536	3.81	0.75	2.14	3.89	4.82	v	26.41142116	4.82	0.75	3.082	7.617263288
Vergallito-2020-1121-365	365	favore	favor			6	n	1	605.4	1	496.5	-0.201352761	-0.5012423927	2.61	0.19	0.51	0.18	2.7	v	40.71082391	2.7	0.18	1.238	3.798776119
Vergallito-2020-1121-366	366	fazzoletto	kerchief	1020	HANDKERCHIEF	10	n	1	594.1333333	1	516.3448276	-0.1645333584	-0.246009681	0.67	0.4	4.19	1.56	4.74	v	37.5432526	4.74	0.4	2.312	6.562484286
Vergallito-2020-1121-367	367	febbre	fever	1534	FEVER	6	n	1	589.8333333	1	542.9285714	-0.2038317029	-0.07090616213	1	0.25	2.95	0.63	2.56	h	36.53585927	2.95	0.25	1.478	4.088459368
Vergallito-2020-1121-368	368	feccia	scum			6	n	0.8333333333	733.24	1	554.8571429	0.5534979777	0.02419380969	1.82	0.45	1.43	2.04	3.88	v	35.65488565	3.88	0.45	1.924	4.977529508
Vergallito-2020-1121-369	369	felice	happy	1495	HAPPY	6	a	0.9333333333	596	1	535.8461538	-0.385266446	-0.1069560275	3.91	0.72	1	0.7	4.12	v	32.72727273	4.12	0.7	2.09	5.854135291
Vergallito-2020-1121-370	370	felpa	sweatshirt			5	n	1	621.7	1	527.5185185	-0.03100048575	-0.173936064	0.42	0.04	4.25	0.91	4.72	v	45.26112186	4.72	0.04	2.068	6.430163295
Vergallito-2020-1121-371	371	femminuccia	sissy			11	n	0.9666666667	691.862069	1	557.3461538	0.3820191068	0.2128686038	2.95	0.14	1.04	0.46	3.72	v	43.08062575	3.72	0.14	1.662	4.884024979
Vergallito-2020-1121-372	372	ferie	vacation			5	n	0.9	612.4444444	1	529.0357143	-0.04176098791	0.06062625169	1.93	0.95	0.98	0.82	2.41	v	22.42595205	2.41	0.82	1.418	3.473945883
Vergallito-2020-1121-373	373	ferita	injury			6	n	0.8666666667	606	1	521.8	-0.1233064331	-0.08431075582	0.75	0.38	3.77	0.69	4.52	v	40.9495549	4.52	0.38	2.022	5.985507497
Vergallito-2020-1121-374	374	ferite	wounds	1109	WOUND	6	a	0.8666666667	597.3076923	1	611.6666667	-0.09685583693	0.4602356102	1.02	0.44	3.46	0.82	4.67	v	40.63400576	4.67	0.44	2.082	5.973851354
