ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	DSS_ID	URL	GLOSS	OCCURRENCES	OMEGAWIKI
Bulakh-2013-870-97	4aec61f7-8693-4785-bfc4-c9aa5dae36e1	CHIEFTAIN	97	318	http://semshifts.iling-ran.ru/show-meaning.html?id=318	chief (n.)	10	1508307
Bulakh-2013-870-98	e3b58fb8-b930-43ac-958e-5ac16e97a06c	CHILD YOUNG HUMAN	98	320	http://semshifts.iling-ran.ru/show-meaning.html?id=320	child	8	568
	55dd9cf2-157d-4087-bf06-63111982be7e	CHILD DESCENDANT	98	320	http://semshifts.iling-ran.ru/show-meaning.html?id=320	child	8	7413
Bulakh-2013-870-99	78020db1-72b3-4ef0-8300-d28f557c9a3e	CHIN	99	323	http://semshifts.iling-ran.ru/show-meaning.html?id=323	chin	3	6306
Bulakh-2013-870-100	d3a34c16-265a-488c-8368-ea643a9244ce	CIRCLE	100	330	http://semshifts.iling-ran.ru/show-meaning.html?id=330	circle	7	6135
Bulakh-2013-870-101	33c8679a-218a-4b40-9b84-84ce14b62dc9	COLLARBONE	101	332	http://semshifts.iling-ran.ru/show-meaning.html?id=332	clavicle	4	953048
Bulakh-2013-870-102	96642399-6e3e-450b-9e62-f4096fac07a6	CLEAN	102	335	http://semshifts.iling-ran.ru/show-meaning.html?id=335	clean (adj.)	8	335501
Bulakh-2013-870-103	81520cf7-bcf2-4301-9577-385dd8c4d428	CLEVER	103	336	http://semshifts.iling-ran.ru/show-meaning.html?id=336	clever	17	5722
Bulakh-2013-870-104	3ac780d6-9775-4500-9ca4-52fd1dfbde52	CLOSED	104	340	http://semshifts.iling-ran.ru/show-meaning.html?id=340	closed	4	160351
Bulakh-2013-870-105	6ef11c1f-6b95-4d40-84d9-f80cfd4433d0	CLOUD	105	342	http://semshifts.iling-ran.ru/show-meaning.html?id=342	cloud	6	623
Bulakh-2013-870-106	5946a57e-c573-4da6-9025-8740edb6d02c	CLOVE	106	344	http://semshifts.iling-ran.ru/show-meaning.html?id=344	clove (of a garlic)	3	958791
Bulakh-2013-870-107	677bab83-41dd-49b1-8a9b-ec6bee1573bb	COAST	107	351	http://semshifts.iling-ran.ru/show-meaning.html?id=351	coast	4	633
Bulakh-2013-870-108	cac4c649-0589-42bb-87fd-59e8a5e77637	COCK	108	352	http://semshifts.iling-ran.ru/show-meaning.html?id=352	cock (of a gun)	5	8133
Bulakh-2013-870-109	329e99c9-ae7b-416f-8e69-fff47f7ef82e	COFFIN	109	355	http://semshifts.iling-ran.ru/show-meaning.html?id=355	coffin	3	968117
Bulakh-2013-870-110	14c5e161-d291-460a-b038-af147c6b82ec	COLD OF TEMPERATURE	110	356	http://semshifts.iling-ran.ru/show-meaning.html?id=356	cold (adj.)	17	5639
Bulakh-2013-870-111	b215b067-b667-49de-a395-598b2b07b31c	COLOR	111	359	http://semshifts.iling-ran.ru/show-meaning.html?id=359	colour	6	661
Bulakh-2013-870-112	5df0ed0b-d322-4287-bac4-2baf1e4f7869	COMB	112	361	http://semshifts.iling-ran.ru/show-meaning.html?id=361	comb	4	6157
Bulakh-2013-870-113	db1dcfa2-d367-48bd-bad2-2d4650bbeada	COMB OF BIRD	113	362	http://semshifts.iling-ran.ru/show-meaning.html?id=362	comb (of a bird)	5	1399210
Bulakh-2013-870-114	6d0e8fb3-2069-4d0a-8ab6-7b3decde1aee	CONTEMPTIBLE	114	375	http://semshifts.iling-ran.ru/show-meaning.html?id=375	contemptible	4	1001394
Bulakh-2013-870-115	ed1033f3-0f77-4d2d-a51f-7966f63d0784	CORNER	115	381	http://semshifts.iling-ran.ru/show-meaning.html?id=381	corner	7	1404011
Bulakh-2013-870-116	dfcf7d41-5dd0-4c24-82f8-7de045900a68	CORNFLOWER	116	382	http://semshifts.iling-ran.ru/show-meaning.html?id=382	cornflower (Centaurea)	3	900279
Bulakh-2013-870-117	110e26f6-fbf3-4173-b7cd-e3c81c2ec0eb	CORPSE	117	383	http://semshifts.iling-ran.ru/show-meaning.html?id=383	corpse	5	343500
Bulakh-2013-870-118	e5aa4350-cd81-45cc-9914-251d6e3f02d9	CORRECT, RIGHT	118	384	http://semshifts.iling-ran.ru/show-meaning.html?id=384	correct (adj.)	5	7026
Bulakh-2013-870-119	39152df0-e09d-4b24-9718-aa7e32766786	COUNTRY	119	387	http://semshifts.iling-ran.ru/show-meaning.html?id=387	country, land	10	5671
	e0cd5c3b-3f6b-4da2-9d2b-334090d6ad30	LAND	119	387	http://semshifts.iling-ran.ru/show-meaning.html?id=387	country, land	10	2063
Bulakh-2013-870-120	dfbacff0-c06e-4923-85f4-d5dc2e71ae44	COVER	120	391	http://semshifts.iling-ran.ru/show-meaning.html?id=391	cover, lid	3	342543
Bulakh-2013-870-121	4b413124-2779-472d-b7ab-28da39eccb59	COWARD	121	392	http://semshifts.iling-ran.ru/show-meaning.html?id=392	coward	6	5779
