ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	IMAGE_AGREEMENT	IMAGEABILITY	AoA_DUTCH	CONCEPT_FAMILIARITY	LETTERS_NUMBER	SYLLABLE_NUMBER	NAMING_RT	OBJECTIVE_VC	SUBJECTIVE_VC	WF_LOG
Shao-2016-327-264	264	Pelican	472	PELICAN	Pelikaan	5,48	5,36	5,53	2,17	8	3	1327	89	4,46	-0,28
Shao-2016-327-265	265	Peanut	595	GROUNDNUT (PEANUT)	Pinda	5,9	6,33	3,3	3,83	5	2	1325	91	2,37	0,33
Shao-2016-327-266	266	Rope	1218	ROPE	Touw	5,61	6,03	2,83	3,21	4	1	1065	118	4,37	1,42
Shao-2016-327-267	267	Boar	3154	WILD BOAR	Zwijn	4,13	5,64	4,03	3,2	5	1	1099	142	4,63	1,39
Shao-2016-327-268	268	Fish	227	FISH	Vis	5,71	6,27	2,07	3,76	3	1	913	27	2,14	1,7
Shao-2016-327-269	269	Soap	788	SOAP	Zeep	4,84	6,33	2,27	4	4	1	1136	76	2,8	1,15
Shao-2016-327-270	270	Arrow	977	ARROW	Pijl	3,23	5,97	3,27	2,9	4	1	1159	77	2,23	0,85
Shao-2016-327-271	271	Door	1567	DOOR	Deur	4,68	6,45	2,07	4,48	4	1	999	72	3,11	2,39
Shao-2016-327-272	272	Lamp	625	LAMP	Lamp	4,48	6,15	2,3	4,4	4	1	947	58	2,49	1,14
Shao-2016-327-273	273	Potato	593	POTATO	Aardappel	5,94	6,36	2,8	3,8	9	3	1433	36	1,97	0,52
Shao-2016-327-274	274	Boat	1844	BOAT	Boot	5	6,39	2,5	2,79	4	1	1327	82	4,06	1,98
Shao-2016-327-275	275	Ship	740	SHIP	Schip	5,42	5,97	2,8	2,95	5	1	1167	102	5,14	1,98
Shao-2016-327-276	276	Steamboat			Stoomboot	4,13	6,06	3,03	2,95	9	2	1266	83	5	1,98
Shao-2016-327-277	277	Ferry	3733	FERRY	Veerboot	4,77	4,94	4,97	2,95	8	2	1317	81	5,4	1,98
Shao-2016-327-278	278	Motorboat			Motorboot	4,48	5,24	5,53	2,95	9	3	1580	89	4,2	1,98
Shao-2016-327-279	279	Cheese	1569	CHEESE	Kaas	4,32	6,52	2,13	4,21	4	1	1137	87	4,26	1,36
Shao-2016-327-280	280	Gun	1566	GUN	Pistool	5,48	6,55	4,07	2,5	7	2	1106	46	2,43	2,01
Shao-2016-327-281	281	Cat	1208	CAT	Poes	5,68	6,52	1,83	3,93	4	1	1018	89	4,2	0,82
Shao-2016-327-282	282	Tram			Tram	5,77	5,97	4,6	3,07	4	1	1073	90	5,34	0,26
Shao-2016-327-283	283	Finger	1303	FINGER	Vinger	5,84	6,7	1,8	4,6	6	2	1111	28	3,2	1,46
Shao-2016-327-284	284	Violin	4023	VIOLIN	Viool	6,35	6,48	4,43	2,8	5	1	1074	40	2,8	0,63
Shao-2016-327-285	285	Fork	1302	FORK	Vork	6,23	6,67	2,2	4,69	4	1	781	36	1,89	0,72
Shao-2016-327-286	286	Swan	2837	SWAN	Zwaan	5,84	6,45	2,93	2,9	5	1	1012	142	3,86	0,3
Shao-2016-327-287	287	Drain			Afvoerput	4,39	4,64	5,87	2,63	9	3	1264	26	3,49	1,07
Shao-2016-327-288	288	Brick	1006	BRICK	Baksteen	5,35	6,45	4,17	3,38	8	2	1111	125	4,11	0,28
Shao-2016-327-289	289	Beer glass			Bierglas	5,42	6,45	5,57	4,31	8	2	929	90	2,54	1,73
Shao-2016-327-290	290	Brush	1821	BRUSH	Borstel	3,65	6,15	3,4	4,17	7	2	1086	39	1,71	0,32
Shao-2016-327-291	291	Pizza			Pizza	6,03	6,76	3,47	4,17	5	2	898	103	2,83	1,39
Shao-2016-327-292	292	Swing	3101	SWING	Schommel	5,55	6,3	2,57	3	8	2	878	99	4,03	0,2
Shao-2016-327-293	293	Tent	1316	TENT	Tent	5	6,36	2,9	3,03	4	1	1111	119	4,43	1,61
Shao-2016-327-294	294	Tiger	846	TIGER	Tijger	6,35	6,45	2,87	2,79	6	2	1158	133	4,46	1,07
Shao-2016-327-295	295	Ball	1845	BALL	Bal	5,71	6,61	1,47	3,41	3	1	926	118	2,83	1,11
Shao-2016-327-296	296	Saw	1948	SAW	Zaag	5,48	6,3	3,53	2,72	4	1	827	50	1,66	0,55
Shao-2016-327-297	297	Zebra	3675	ZEBRA	Zebra	6,39	6,55	3,57	2,57	5	2	866	113	3,83	0,49
Shao-2016-327-298	298	Sailing ship			Zeilschip	5,55	5,64	5,27	2,3	9	2	1053	21	5,43	0,14
Shao-2016-327-299	299	Bus	1070	BUS	Bus	4,71	6,48	2,33	4,47	3	1	1001	86	4,8	1,81
Shao-2016-327-300	300	Monkey	1350	MONKEY	Aap	4,39	6,39	2	3,34	3	1	1181	62	4	1,46
Shao-2016-327-301	301	Baby	1289	BABY	Baby	5,23	6,21	1,73	3,47	4	2	943	49	4,06	2,18
Shao-2016-327-302	302	Hammer	1481	HAMMER	Hamer	6,29	6,58	3,33	3,1	5	2	798	36	1,37	0,93
Shao-2016-327-303	303	Hand	1277	HAND	Hand	5,9	6,52	1,67	4,86	4	1	826	62	2,31	2,3
Shao-2016-327-304	304	Cow	1007	COW	Koe	5,84	6,52	1,87	3,23	3	1	1078	82	4,03	1,27
Shao-2016-327-305	305	Knife	1352	KNIFE	Mes	4,55	6,55	2,23	4,63	3	1	966	23	1,31	1,67
Shao-2016-327-306	306	Elephant	1290	ELEPHANT	Olifant	6,74	6,73	2,93	3,03	7	3	960	115	4,03	1,08
Shao-2016-327-307	307	Eye	1248	EYE	Oog	5,9	6,61	1,8	4,7	3	1	938	81	3,86	1,84
Shao-2016-327-308	308	Wheelchair	2582	WHEELCHAIR	Rolstoel	5,65	6,39	4,03	2,93	8	2	996	149	5,29	0,92
Shao-2016-327-309	309	Turtle	112	TURTLE	Schildpad	6,16	6,52	3,67	2,67	9	2	969	163	3,77	0,64
Shao-2016-327-310	310	Folding chair			Klapstoel	4,68	5,97	4,83	4,37	9	2	967	111	3,8	1,71
Shao-2016-327-311	311	House	1252	HOUSE	Huis	5,29	6,61	1,93	4,83	4	1	1017	135	4,54	2,91
Shao-2016-327-312	312	Key	1472	KEY	Sleutel	4,13	6,52	2,87	4,83	7	2	964	58	1,97	1,91
Shao-2016-327-313	313	Train	900	TRAIN	Trein	5,97	6,55	2,37	4,72	5	1	1019	57	5,51	1,86
Shao-2016-327-314	314	Wheel	710	WHEEL	Wiel	4,61	6,27	2,97	3,33	4	1	946	43	2,14	0,85
Shao-2016-327-315	315	Apple	1320	APPLE	Appel	6,39	6,85	1,83	4,43	5	2	799	40	1,46	1,01
Shao-2016-327-316	316	Tree	906	TREE	Boom	4,61	6,55	2	4,36	4	1	1396	123	4,09	1,72
Shao-2016-327-317	317	Bottle	1321	BOTTLE	Fles	4,68	6,45	2,13	4,21	4	1	999	23	1,26	1,66
Shao-2016-327-318	318	Pear	922	PEAR	Peer	6,06	6,67	2,6	3,67	4	1	914	134	4	0,3
Shao-2016-327-319	319	Piano	3994	PIANO (INSTRUMENT)	Piano	5,23	6,64	3,57	3,62	5	2	957	22	3,8	1,15
Shao-2016-327-320	320	Shoe	1381	SHOE	Schoen	4,26	6,39	1,97	4,67	6	1	961	94	2,86	1,13
Shao-2016-327-321	321	Spider	843	SPIDER	Spin	5,52	6,82	2,27	3,47	4	1	904	59	2,31	0,89
Shao-2016-327-322	322	Television	1788	TELEVISION	Televisie	4,52	6,42	2,7	4,53	9	4	1105	47	1,71	1,35
Shao-2016-327-323	323	Car	1111	CAR	Auto	5,13	6,52	1,93	4,02	4	2	1016	101	3,74	2,66
Shao-2016-327-324	324	Bicycle	747	BICYCLE	Fiets	6,13	6,67	2,3	4,9	5	1	935	110	3,54	1,34
Shao-2016-327-325	325	Horse	615	HORSE	Paard	5,9	6,73	2,1	3,13	5	1	1085	153	4	1,92
Shao-2016-327-326	326	Butterfly	1791	BUTTERFLY	Vlinder	5,74	6,45	2,3	3,2	7	2	925	72	4,03	0,79
Shao-2016-327-327	327	Tomato	986	TOMATO	Tomaat	6,65	6,76	2,87	4,1	6	2	1009	80	1,66	0,47
