ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_FREQUENCY_PM	GERMAN_VALENCE_MEAN_FEMALE_YOUNG	GERMAN_VALENCE_MEAN_MALE_YOUNG	GERMAN_VALENCE_MEAN_FEMALE_OLD	GERMAN_VALENCE_MEAN_MALE_OLD	GERMAN_VALENCE_MEAN_YOUNG	GERMAN_VALENCE_MEAN_OLD	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_FEMALE_YOUNG	GERMAN_AROUSAL_MEAN_MALE_YOUNG	GERMAN_AROUSAL_MEAN_FEMALE_OLD	GERMAN_AROUSAL_MEAN_MALE_OLD	GERMAN_AROUSAL_MEAN_YOUNG	GERMAN_AROUSAL_MEAN_OLD	GERMAN_AROUSAL_MEAN	GERMAN_DOMINANCE_MEAN_FEMALE_YOUNG	GERMAN_DOMINANCE_MEAN_MALE_YOUNG	GERMAN_DOMINANCE_MEAN_FEMALE_OLD	GERMAN_DOMINANCE_MEAN_MALE_OLD	GERMAN_DOMINANCE_MEAN_YOUNG	GERMAN_DOMINANCE_MEAN_OLD	GERMAN_DOMINANCE_MEAN	GERMAN_IMAGEABILITY_MEAN_FEMALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_MALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_FEMALE_OLD	GERMAN_IMAGEABILITY_MEAN_MALE_OLD	GERMAN_IMAGEABILITY_MEAN_YOUNG	GERMAN_IMAGEABILITY_MEAN_OLD	GERMAN_IMAGEABILITY_MEAN	GERMAN_EGO_MEAN_FEMALE_YOUNG	GERMAN_EGO_MEAN_MALE_YOUNG	GERMAN_EGO_MEAN_FEMALE_OLD	GERMAN_EGO_MEAN_MALE_OLD	GERMAN_EGO_MEAN_YOUNG	GERMAN_EGO_MEAN_OLD	GERMAN_EGO_MEAN	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_MALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_MALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_OLD	GERMAN_AGE_RELEVANCE_MEAN	GERMAN_VALENCE_SELF_MEAN	GERMAN_VALENCE_OTHER_MEAN	GERMAN_RELEVANCE_SELF_OTHER_MEAN
Gruehn-2008-200-51	51	eitel	vain			3.796	3.333	2.917	2.417	2.417	3.125	2.417	2.771	5.167	5.583	4.75	5.167	5.375	4.958	5.167	4.5	3.1	4	3.5	4.25	3.75	4	5.545	6	5.333	4.667	5.783	5	5.383	3.75	4.167	3.167	2.417	3.958	2.792	3.375	2	1.75	2.167	2.333	1.875	2.25	2.063	3.25	2.938	1.917
Gruehn-2008-200-52	52	emotional	emotional	3761	EMOTIONAL	5.606	6.333	4.75	5.5	5.083	5.542	5.292	5.417	4.25	4.583	5	5.667	4.417	5.333	4.875	3	2.333	3.727	4	2.667	3.87	3.255	4	4.25	5.333	4	4.125	4.667	4.396	6	4.333	4.917	3.917	5.167	4.417	4.792	3	2.417	2.25	2.417	2.708	2.333	2.521	5.25	5.375	1.75
Gruehn-2008-200-53	53	empfindlich	touchy			6.046	3.083	3.167	3.333	2.667	3.125	3	3.063	4.833	5	4.417	4.667	4.917	4.542	4.729	2.667	2.25	3.25	2.583	2.458	2.917	2.688	3.833	4.417	4.417	4.167	4.125	4.292	4.208	5.667	5	4.5	3.917	5.333	4.208	4.771	3.25	3	3.917	3.25	3.125	3.583	3.354	3	3.125	1.75
Gruehn-2008-200-54	54	energisch	energetic			8.818	5.167	4.417	5.083	5.333	4.792	5.208	5	5.5	5.25	5.25	5.5	5.375	5.375	5.375	5.75	5.417	5.833	5.583	5.583	5.708	5.646	4.417	4.5	5.333	4.583	4.458	4.958	4.708	4.667	4	5.667	5.083	4.333	5.375	4.854	2.167	2.167	3	2.75	2.167	2.875	2.521	5.438	5.5	1.273
Gruehn-2008-200-55	55	entschlossen	determined			24.095	5.917	5.083	5.75	5.75	5.5	5.75	5.625	4.5	4.917	5.167	5.75	4.708	5.458	5.083	6.417	6.5	6.25	6.333	6.458	6.292	6.375	3.417	4.083	4.75	4.5	3.75	4.625	4.188	4.5	4.083	5.667	5.333	4.292	5.5	4.896	2.25	2.25	2.083	2.25	2.25	2.167	2.208	6.063	5.5	1.917
Gruehn-2008-200-56	56	entspannt	relaxed			10.01	6.5	6.167	6.25	6.167	6.333	6.208	6.271	1.167	1.333	1.833	1.417	1.25	1.625	1.438	4.083	3.75	3	3.667	3.917	3.333	3.625	4.583	5.667	4	3.75	5.125	3.875	4.5	4.75	4.917	5.333	5	4.833	5.167	5	3	3.667	3.667	3.5	3.333	3.583	3.458	6.563	6	1.958
Gruehn-2008-200-57	57	enttaeuscht	disappointed			27.579	2.5	2.25	2.667	2.5	2.375	2.583	2.479	4.75	5.25	5.083	4.818	5	4.957	4.979	2.667	2	2.917	2.833	2.333	2.875	2.604	4	4.667	4.25	4	4.333	4.125	4.229	2.75	3.25	2.333	2.333	3	2.333	2.667	3	2.833	3.545	3.583	2.917	3.565	3.234	1.875	2.563	1.958
Gruehn-2008-200-58	58	erfahren	experienced	2218	EXPERIENCED	71.761	6.167	5.917	6.167	6.333	6.042	6.25	6.146	2.75	2.25	3.333	3.25	2.5	3.292	2.896	6.417	6.417	5.75	5.5	6.417	5.625	6.021	2.833	2.75	3.417	3.583	2.792	3.5	3.146	4.667	3.667	5.75	5.667	4.167	5.708	4.938	4.333	4.75	4.333	4.167	4.542	4.25	4.396	6	6.063	1.75
Gruehn-2008-200-59	59	erfolgreich	successful			66.876	5.75	5.5	6.417	6.167	5.625	6.292	5.958	4.25	4.5	4	4.583	4.375	4.292	4.333	6.167	6.083	6.333	5.75	6.125	6.042	6.083	4.583	6.25	4.833	4.75	5.417	4.792	5.104	5.417	5.167	4.25	5	5.292	4.625	4.958	2.167	2.333	2.25	2.917	2.25	2.583	2.417	6.25	5.063	1.708
Gruehn-2008-200-60	60	erfreut	delighted			12.147	6.75	6.417	6.917	6	6.583	6.478	6.532	3.667	3	3.364	3.667	3.333	3.522	3.426	4.636	4.5	4.364	4.333	4.565	4.348	4.457	5.417	5.1	6	5.5	5.708	5.75	5.729	5.5	5.333	5.333	4.75	5.417	5.042	5.229	3.083	2.333	2.833	2.75	2.708	2.792	2.75	6.688	6.313	1.917
