ID	NUMBER	CONCEPT	ENGLISH	NOTE	CONCEPTICON_ID	CONCEPTICON_GLOSS	REFLEX_GLOSSES	PROTO_ID
Oliveira-2014-517-365	365	para frente, para cima (no rio)	in front of, above the river					§362
Oliveira-2014-517-366	366	buraco do nariz, narina	nose hole, nostril		1178	NOSTRIL		§363
Oliveira-2014-517-367	367	moer	to grind		1033	GRIND		§364
Oliveira-2014-517-368	368	septo nasal	nasal septum					§365
Oliveira-2014-517-369	369	tombar	to fall		1280	FALL		§366
Oliveira-2014-517-370	370	instrumento musical	music instrument					§367
Oliveira-2014-517-371	371	igual, do mesmo jeito, também	same, of the same way, also		200	SAME		§368
Oliveira-2014-517-372	372	esp. de macaco	species of monkey					§369
Oliveira-2014-517-373	373	fio, corda	thread, rope				THREAD//ROPE	§370
Oliveira-2014-517-374	374	fio	thread		1161	THREAD		§371
Oliveira-2014-517-375	375	guariba (esp. de macaco), mono aullador	guariba (species of monkey), howler monkey		433	HOWLER MONKEY		§372
Oliveira-2014-517-376	376	machado	axe		677	AXE		§373
Oliveira-2014-517-377	377	tabaco	tobacco		974	TOBACCO		§374
Oliveira-2014-517-378	378	cobra	snake		730	SNAKE		§375
Oliveira-2014-517-379	379	fazer dieta, jejum	to make a diet, to fast		3331	FASTING		§376
Oliveira-2014-517-380	380	levantar, suspender	to lift, to suspend				LIFT	§377
Oliveira-2014-517-381	381	esp. de peixe	species of fish					§378
Oliveira-2014-517-382	382	esp. de peixe	species of fish					§379
Oliveira-2014-517-383	383	vestir roupa	to wear clothes		976	WEAR		§380
Oliveira-2014-517-384	384	vestir roupa	to wear clothes		976	WEAR		§381
Oliveira-2014-517-385	385	quati	coati		2389	COATI (COATIMUNDI)		§382
Oliveira-2014-517-386	386	bom, bonito	good, well		1035	GOOD		§383
Oliveira-2014-517-387	387	peito (prefixo parte do corpo)	chest (body-part prefix)					§384
Oliveira-2014-517-388	388	esp. de planta	species of plant					§385
Oliveira-2014-517-389	389	esp. de aranha	species of spider					§386
Oliveira-2014-517-390	390	pensar	to think		2271	THINK		§387
Oliveira-2014-517-391	391	esp. de macaco	species of monkey					§388
Oliveira-2014-517-392	392	pium (esp.demosca)	pium (species of fly)					§389
Oliveira-2014-517-393	393	macaco sagui	sagui monkey					§390
Oliveira-2014-517-394	394	claridade	clarity					§391
Oliveira-2014-517-395	395	tamanduá	anteater		181	ANTEATER		§392
Oliveira-2014-517-396	396	cortar	to cut		1432	CUT		§393
Oliveira-2014-517-397	397	bocejar	to yawn		1028	YAWN		§394
Oliveira-2014-517-398	398	casca de árvore, pele	bark of tree, skin				BARK//SKIN	§395
Oliveira-2014-517-399	399	quente	hot		1286	HOT		§396
Oliveira-2014-517-400	400	cunhada, esposa, prima cruzada	sister-in-law, wife, cross-cousin				SISTER-IN-LAW//WIFE	§397
Oliveira-2014-517-401	401	osso	bone		1394	BONE		§398
Oliveira-2014-517-402	402	algodão	cotton		1850	COTTON		§399
Oliveira-2014-517-403	403	pilão, pedra	pestle, stone		857	STONE		§400
Oliveira-2014-517-404	404	esp. de cabaça	species of gourd					§401
Oliveira-2014-517-405	405	esp. de arara	species of macaw					§402
Oliveira-2014-517-406	406	jabuti	jabuti		3949	RED-FOOTED TORTOISE		§403
Oliveira-2014-517-407	407	cana de açúcar	sugar cane	(?)	146	SUGAR CANE		§404
Oliveira-2014-517-408	408	cana de açúcar	sugar cane	(?)	146	SUGAR CANE		§405
Oliveira-2014-517-409	409	debulhar o milho	to thresh the corn					§406
Oliveira-2014-517-410	410	esp. de palmeira	species of palm					§407
Oliveira-2014-517-411	411	esp. de lagartixa	species of lizard					§408
Oliveira-2014-517-412	412	esp. de lagartixa	species of lizard					§409
Oliveira-2014-517-413	413	esp. de lagarta	species of caterpillar					§410
Oliveira-2014-517-414	414	esp. de árvore	species of tree					§411
Oliveira-2014-517-415	415	gordura, óleo	fat, oil		323	FAT (ORGANIC SUBSTANCE)		§412
Oliveira-2014-517-416	416	velho	old		1229	OLD		§413
Oliveira-2014-517-417	417	dente, bico (de ave)	tooth, beak of bird				TOOTH//BEAK	§414
Oliveira-2014-517-418	418	urubu	vulture		1185	VULTURE		§415
Oliveira-2014-517-419	419	cheirar	to smell		1586	SMELL (PERCEIVE)		§416
Oliveira-2014-517-420	420	teto (feito de palha)	roof made of straw		769	ROOF		§417
Oliveira-2014-517-421	421	benefactivo	benefactive					§418
Oliveira-2014-517-422	422	sufixo de concordancia transitiva	transitive concordance suffix					§419
Oliveira-2014-517-423	423	assar	to roast		1962	ROAST (SOMETHING)		§420
Oliveira-2014-517-424	424	agulha	needle		1382	NEEDLE (FOR SEWING)		§421
Oliveira-2014-517-425	425	coçar, coceira	itch, to itch		148	ITCH		§422
Oliveira-2014-517-426	426	gordo	fat		1279	FAT (OBESE)		§423
Oliveira-2014-517-427	427	casa	house		1252	HOUSE		§424
Oliveira-2014-517-428	428	descascar	to peel		275	PEEL		§425
Oliveira-2014-517-429	429	esp. de tucano grande	species of large tucan					§426
Oliveira-2014-517-430	430	pequeno	small		1246	SMALL		§427
Oliveira-2014-517-431	431	pelar-se, mudar de pele	to peel oneself, to change skin					§428
Oliveira-2014-517-432	432	seios, leite	breasts, milk		2129	BREAST OR MILK		§429
Oliveira-2014-517-433	433	verde, nãomaduro	green, unripe		1958	UNRIPE		§430
Oliveira-2014-517-434	434	mamão	papaya		2445	PAPAYA		§431
Oliveira-2014-517-435	435	mamão	papaya		2445	PAPAYA		§432
Oliveira-2014-517-436	436	peito	chest		1592	CHEST		§433
Oliveira-2014-517-437	437	menina, moça	young woman		77	YOUNG WOMAN		§434
Oliveira-2014-517-438	438	rato	rat		1490	RAT		§435
Oliveira-2014-517-439	439	pé	foot		1301	FOOT		§436
Oliveira-2014-517-440	440	tapiri, casa temporária	tapiri, temporary home					§437
Oliveira-2014-517-441	441	fígado	liver		1224	LIVER		§438
Oliveira-2014-517-442	442	amendoim	groundnut		595	GROUNDNUT (PEANUT)		§439
Oliveira-2014-517-443	443	bochecha	cheek		1730	CHEEK		§440
Oliveira-2014-517-444	444	bochecha	cheek		1730	CHEEK		§441
Oliveira-2014-517-445	445	esp. de palmeira	species of palm					§442
Oliveira-2014-517-446	446	ponte, plataforma	bridge, platform		1011	BRIDGE		§443
Oliveira-2014-517-447	447	raiz	root		670	ROOT		§444
Oliveira-2014-517-448	448	pau velho, pau podre	old stick, rotten stick					§445
Oliveira-2014-517-449	449	rodar	to run		1519	RUN		§446
Oliveira-2014-517-450	450	roupa	clothes		1895	CLOTHES		§447
Oliveira-2014-517-451	451	tipo de cesto	type of cedar					§448
Oliveira-2014-517-452	452	sal	salt		1274	SALT		§449
Oliveira-2014-517-453	453	pauzada (amontoado de tronco que desce no rio)	branches that hang into the river					§450
Oliveira-2014-517-454	454	taboca utilizada para fazer flechas	bamboo used for making arrows					§451
Oliveira-2014-517-455	455	quebrar	to break		680	BREAK (DESTROY OR GET DESTROYED)		§452
Oliveira-2014-517-456	456	zarabatana	blowgun		432	BLOWGUN		§453
Oliveira-2014-517-457	457	broto	sprout		3358	SPROUT (SHOOT)		§454
Oliveira-2014-517-458	458	pescoço	neck		1333	NECK		§455
Oliveira-2014-517-459	459	esp. de gavião	species of hawk					§456
Oliveira-2014-517-460	460	pomo de adão	adam's apple		802	ADAM'S APPLE		§457
Oliveira-2014-517-461	461	nominalizador de instrumento	nominalizer for instruments					§458
Oliveira-2014-517-462	462	bater, golpear	to hit, to strike		1433	HIT		§459
Oliveira-2014-517-463	463	espingarda	shotgun		3948	SHOTGUN		§460
Oliveira-2014-517-464	464	coador	colander					§461
Oliveira-2014-517-465	465	engravidar, dar a luz	to impregnate, to give birth				GIVE BIRTH	§462
Oliveira-2014-517-466	466	esp. de rã ou sapo	species of frog					§463
Oliveira-2014-517-467	467	azul escuro	dark blue					§464
Oliveira-2014-517-468	468	verruga	wart		2665	WART		§465
Oliveira-2014-517-469	469	fazer	to do		813	DO		§466
Oliveira-2014-517-470	470	fazer	to do		813	DO		§467
Oliveira-2014-517-471	471	água, rio	water, river				WATER//RIVER	§468
Oliveira-2014-517-472	472	esp. de peixe	species of fish					§469
Oliveira-2014-517-473	473	pupunha	peach palm		3919	PEACH PALM		§470
Oliveira-2014-517-474	474	esp. de abóbora	species of pumpkin					§471
Oliveira-2014-517-475	475	esp. de macaco	species of monkey					§472
Oliveira-2014-517-476	476	varrer, ciscar	to sweep, to scrape				SWEEP//SCRAPE	§473
Oliveira-2014-517-477	477	erva	grass		606	GRASS		§474
Oliveira-2014-517-478	478	teia de aranha	spider web		1065	SPIDER WEB		§475
Oliveira-2014-517-479	479	algodão	cotton		1850	COTTON		§476
Oliveira-2014-517-480	480	sufixo verbal imperativo	verbal imperative suffix					§477
Oliveira-2014-517-481	481	igarapé (?)	igarapé					§478
Oliveira-2014-517-482	482	outro	other		197	OTHER		§479
Oliveira-2014-517-483	483	um (numeral)	one		1493	ONE		§480
Oliveira-2014-517-484	484	canela, parte inferior da perna	lower part of leg		447	LOWER LEG		§481
Oliveira-2014-517-485	485	cheiro	smell		3704	ODOR (SMELL)		§482
Oliveira-2014-517-486	486	remar	to row		1849	ROW		§483a
Oliveira-2014-517-487	487	remo	oar		3137	OAR		§483b
Oliveira-2014-517-488	488	remo	oar		3137	OAR		§484
Oliveira-2014-517-489	489	borduna, bastão	borduna, walking stick					§485
Oliveira-2014-517-490	490	passar	to pass by		558	PASS BY		§486
Oliveira-2014-517-491	491	pantorrilha	calf		1989	CALF		§487
Oliveira-2014-517-492	492	negro	black		163	BLACK		§488
Oliveira-2014-517-493	493	estrela	star		1430	STAR		§489
Oliveira-2014-517-494	494	com, em posse de	with, in possession of		1340	WITH		§490
Oliveira-2014-517-495	495	esp. de carrapato	species of tick					§491
Oliveira-2014-517-496	496	cidade, assentamento	city, settlement		1391	TOWN		§492
Oliveira-2014-517-497	497	sufixo negativo	negative suffix					§493
Oliveira-2014-517-498	498	escuro, noite	dark, night				DARK//NIGHT	§494
Oliveira-2014-517-499	499	machado	axe		677	AXE		§495
Oliveira-2014-517-500	500	peixe	fish		227	FISH		§496
Oliveira-2014-517-501	501	tarde	afternoon		1807	AFTERNOON		§497
Oliveira-2014-517-502	502	esp. de queixada (porco do mato)	species of pig (wild pig)					§498
Oliveira-2014-517-503	503	esp. de tatu	species of armadillo					§499
Oliveira-2014-517-504	504	dizer, falar	to say, to speak		1458	SAY		§500
Oliveira-2014-517-505	505	animal	animal		619	ANIMAL		§501
Oliveira-2014-517-506	506	calor, quente	heat, hot				HEAT//HOT	§502
Oliveira-2014-517-507	507	ter febre, esquentar-se	to have fever, to heat up (reflexive)				HAVE A FEVER	§502a
Oliveira-2014-517-508	508	feiticeiro	sorcerer		823	SORCERER		§503
Oliveira-2014-517-509	509	esp. de pimenta	species of pepper					§504
Oliveira-2014-517-510	510	perguntar	to ask		1309	ASK (INQUIRE)		§505
Oliveira-2014-517-511	511	esp. de peixe	species of fish					§506
Oliveira-2014-517-512	512	fio, linha, corda	thread, line, rope				THREAD//LINE//ROPE	§507
Oliveira-2014-517-513	513	roubar	to steal		713	STEAL		§508
Oliveira-2014-517-514	514	gente, corpo humano	people, human body					§509
Oliveira-2014-517-515	515	crescer	to grow		479	GROW		§510
Oliveira-2014-517-516	516	espírito	ghost		1175	GHOST		§511
Oliveira-2014-517-517	517	mulher, velha	woman, old woman				WOMAN//OLD WOMAN	§512
