ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PORTUGUESE	POSITIVE_THINK_MONOLINGUALS_MEAN	POSITIVE_FEEL_MONOLINGUALS_MEAN	POSITIVE_THINK_BILINGUALS_MEAN	POSITIVE_FEEL_BILINGUALS_MEAN	NEGATIVE_THINK_MONOLINGUALS_MEAN	NEGATIVE_FEEL_MONOLINGUALS_MEAN	NEGATIVE_THINK_BILINGUALS_MEAN	NEGATIVE_FEEL_BILINGUALS_MEAN	EMOTION_TYPE	EMOTION_POLARITY	EMOTION_CONDITION	ORTHOGRAPHIC_SIMILARITY
Ferre-2022-160-143	143			repertoire	repertório	4.21	3.44	3.58	1.56	1.76	1.16	2.13	0.8	0	0	0	0.6
Ferre-2022-160-144	144			fixation	fixação	3.25	1.85	2.31	0.83	4.35	3.07	4.71	2.46	0	0	0	0.63
Ferre-2022-160-145	145	885	OPPOSITE	opposite	oposto	3	2.25	2.83	1.23	3.61	2.56	3.98	2.54	0	0	0	0.63
Ferre-2022-160-146	146			rhetoric	retórica	3	2.08	2.71	1.41	2.46	2.31	2.83	1.26	0	0	0	0.63
Ferre-2022-160-147	147			conjunction	conjunção	2.8	2.36	2.51	0.27	2.55	1.7	1.69	0.42	0	0	0	0.64
Ferre-2022-160-148	148			description	descrição	3.77	2.15	4.17	1.06	1.82	1.04	1.33	0.56	0	0	0	0.64
Ferre-2022-160-149	149			distinction	distinção	4.27	2.4	4.62	2.26	2.73	1.8	3.05	1.63	0	0	0	0.64
Ferre-2022-160-150	150			formality	formalidade	3.97	2.57	3.36	1.71	2.54	2.17	2.36	1.57	0	0	0	0.64
Ferre-2022-160-151	151			mentality	mentalidade	4.47	3.87	5.57	3.43	3.16	2.05	2.1	1.03	0	0	0	0.64
Ferre-2022-160-152	152			posterity	posteridade	4.53	3.38	4.63	2.24	1.79	1.8	2.33	0.67	0	0	0	0.64
Ferre-2022-160-153	153			resonance	ressonância	4.57	3.49	2.61	0.81	1.96	1.06	2.3	1.26	0	0	0	0.64
Ferre-2022-160-154	154			restriction	restrição	1.69	1	1.38	0.6	6.9	5.29	5.6	3.63	0	0	0	0.64
Ferre-2022-160-155	155			speculation	especulação	2.76	1.51	2.12	0.46	4.76	3.45	4.55	3.14	0	0	0	0.64
Ferre-2022-160-156	156			continuity	continuidade	5.22	3.44	4.98	2.94	1.93	1.46	1.61	0.83	0	0	0	0.67
Ferre-2022-160-157	157			jurisdiction	jurisdição	3.07	1.45	2.74	1.09	3.03	2.62	2.67	0.91	0	0	0	0.67
Ferre-2022-160-158	158			legitimacy	legitimidade	6.27	4.46	5.76	2.41	1.92	1.57	1.45	0.38	0	0	0	0.67
Ferre-2022-160-159	159			principle	princípio	4.08	3.02	5.07	3.31	2.55	1.98	0.98	0.43	0	0	0	0.67
Ferre-2022-160-160	160			relativity	relatividade	4.27	1.94	3.57	1	2.03	1.3	2.19	0.68	0	0	0	0.67
