ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Needham-1897-262-163	163	Moon	moon	5	1313	MOON
Needham-1897-262-164	164	“Mod“	mod	5		
Needham-1897-262-165	165	Mouth	mouth	5	674	MOUTH
Needham-1897-262-166	166	Mud	mud	5	640	MUD
Needham-1897-262-167	167	Nail	nail	5	502	NAIL (TOOL)
Needham-1897-262-168	168	Name	name	6	1405	NAME
Needham-1897-262-169	169	Near	near	6	1942	NEAR
Needham-1897-262-170	170	Nest	nest	6	3549	BIRD NEST
Needham-1897-262-171	171	Net	net	6	2963	NET
Needham-1897-262-172	172	Now	now	6	1376	NOW
Needham-1897-262-173	173	Old	old	6	2112	OLD (AGED)
Needham-1897-262-174	174	Old man	old man	6	406	OLD MAN
Needham-1897-262-175	175	Old woman	old woman	6	907	OLD WOMAN
Needham-1897-262-176	176	Petticoat	petticoat	6		
Needham-1897-262-177	177	Woman's “chudder“	woman's chudder	6		
Needham-1897-262-178	178	Pig	pig	6	1337	PIG
Needham-1897-262-179	179	Pipe	pipe	6	2956	TUBE
Needham-1897-262-180	180	Place or put, v.	place or put, v	6	998	PUT
Needham-1897-262-181	181	Poison	poison	6	655	POISON
Needham-1897-262-182	182	Post	post	6	281	POST
Needham-1897-262-183	183	Plantain	plantain	6	399	PLANTAIN
Needham-1897-262-184	184	Rice	rice	6	3289	UNCOOKED RICE
Needham-1897-262-185	185	Cooked rice	cooked rice	6	1191	COOKED RICE
Needham-1897-262-186	186	Rain	rain	6	2108	RAINING OR RAIN
Needham-1897-262-187	187	Red	red	6	156	RED
Needham-1897-262-188	188	Ring	ring	6	1374	RING
Needham-1897-262-189	189	Ripe	ripe	6	178	RIPE
Needham-1897-262-190	190	River, also water	river, also water	6	666	RIVER
Needham-1897-262-191	191	Road	road	6	2457	PATH OR ROAD
Needham-1897-262-192	192	Roof of house	roof of house	6	769	ROOF
Needham-1897-262-193	193	Run	run	6	1519	RUN
Needham-1897-262-194	194	Salt	salt	6	1274	SALT
Needham-1897-262-195	195	Sand	sand	6	671	SAND
Needham-1897-262-196	196	See, v.	see, v	6	1409	SEE
Needham-1897-262-197	197	Seek, v.	seek, v	6	1468	LOOK FOR
Needham-1897-262-198	198	Seize, v.	seize, v	6	855	SEIZE
Needham-1897-262-199	199	Sell, v.	sell, v	6	1571	SELL
Needham-1897-262-200	200	Send, v.	send, v	6	1127	SEND
Needham-1897-262-201	201	Sharp	sharp	6	1396	SHARP
Needham-1897-262-202	202	Shoot, v. 	shoot, v	6	1172	SHOOT
Needham-1897-262-203	203	Similar (alike)	similar (alike)	6	1558	SIMILAR
Needham-1897-262-204	204	Sing, v.	sing, v	6	1261	SING
Needham-1897-262-205	205	Sit down, v.	sit down, v	6	1649	SIT DOWN
Needham-1897-262-206	206	Skin	skin	6	763	SKIN
Needham-1897-262-207	207	Sky	sky	6	1732	SKY
Needham-1897-262-208	208	Slave	slave	6	812	SLAVE
Needham-1897-262-209	209	Slippery	slippery	6	3702	SLIPPERY
Needham-1897-262-210	210	Sleep, v.	sleep, v	6	215	LIE DOWN
Needham-1897-262-211	211	Small	small	6	1246	SMALL
Needham-1897-262-212	212	Smell	smell	6	3704	ODOR (SMELL)
Needham-1897-262-213	213	Smoke	smoke	6	778	SMOKE (EXHAUST)
Needham-1897-262-214	214	Snake	snake	6	730	SNAKE
Needham-1897-262-215	215	Snow	snow	6	784	SNOW
Needham-1897-262-216	216	Son	son	7	1620	SON
Needham-1897-262-217	217	Sow, v.	sow, v	7	1486	PLANT (SOMETHING)
Needham-1897-262-218	218	Spear	spear	7	945	SPEAR
Needham-1897-262-219	219	Spark	spark	7	518	SPARK
Needham-1897-262-220	220	Spirit (evil)	spirit (evil)	7	1175	GHOST
Needham-1897-262-221	221	Stand	stand	7	1442	STAND
Needham-1897-262-222	222	Star	star	7	1430	STAR
Needham-1897-262-223	223	Stay, v.	stay, v	7	987	REMAIN
Needham-1897-262-224	224	Stead	stead	7	2329	LACK (NOT HAVE)
Needham-1897-262-225	225	Stone	stone	7	857	STONE
Needham-1897-262-226	226	Sun	sun	7	1343	SUN
Needham-1897-262-227	227	Tail	tail	7	1220	TAIL
Needham-1897-262-228	228	Take, v.	take, v	7	1749	TAKE
Needham-1897-262-229	229	That	that	7	78	THAT
Needham-1897-262-230	230	Them or they	them or they	7	817	THEY
Needham-1897-262-231	231	There	there	7	1937	THERE
Needham-1897-262-232	232	Thief	thief	7	1160	THIEF
Needham-1897-262-233	233	Thin (not thick)	thin (not thick)	7	2306	THIN (OF LEAF AND CLOTH)
Needham-1897-262-234	234	Thin (not fat)	thin (not fat)	7	1400	THIN (SLIM)
Needham-1897-262-235	235	This	this	7	1214	THIS
Needham-1897-262-236	236	Thorn	thorn	7	124	THORN
Needham-1897-262-237	237	Thumb	thumb	7	1303	FINGER
Needham-1897-262-238	238	Thunder	thunder	7	1150	THUNDER
Needham-1897-262-239	239	Tiger	tiger	7	846	TIGER
Needham-1897-262-240	240	Tobacco	tobacco	7	974	TOBACCO
Needham-1897-262-241	241	Toe	toe	7	1389	TOE
Needham-1897-262-242	242	Tongue	tongue	7	1205	TONGUE
Needham-1897-262-243	243	Tooth	tooth	7	1380	TOOTH
Needham-1897-262-244	244	Touch wood	touch wood	7		
Needham-1897-262-245	245	Track, v.	track, v	7		
Needham-1897-262-246	246	True	true	7	1657	TRUE
Needham-1897-262-247	247	Tree	tree	7	906	TREE
Needham-1897-262-248	248	Uncle	uncle	7	1985	PATERNAL UNCLE (FATHER'S BROTHER)
Needham-1897-262-249	249	Unripe	unripe	7	1958	UNRIPE
Needham-1897-262-250	250	Village	village	7	930	VILLAGE
Needham-1897-262-251	251	War	war	7	935	WAR
Needham-1897-262-252	252	What?	what?	7	1236	WHAT
Needham-1897-262-253	253	Where	where	7	1237	WHERE
Needham-1897-262-254	254	White	white	7	1335	WHITE
Needham-1897-262-255	255	Who?	who?	7	1235	WHO
Needham-1897-262-256	256	Why?	why?	7	1270	WHY
Needham-1897-262-257	257	Wing	wing	7	1257	WING
Needham-1897-262-258	258	Worm	worm	7	1219	WORM
Needham-1897-262-259	259	Yesterday	yesterday	7	1174	YESTERDAY
Needham-1897-262-260	260	You	you	7	1215	THOU
Needham-1897-262-261	261	Young man	young man	7	76	YOUNG MAN
Needham-1897-262-262	262	Young woman	young woman	7	77	YOUNG WOMAN
