ID	NUMBER	ENGLISH	GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	BUCK_1949_1110
Tryon-1995-1310-151	03.160	PASTURE	PASTURE	649	PASTURE	Buck-1949-1110-102
Tryon-1995-1310-152	03.180	HERDSMAN	HERDSMAN	263	HERDSMAN	Buck-1949-1110-104
Tryon-1995-1310-153	03.190	STABLE, STALL	STABLE, STALL	851	STABLE	Buck-1949-1110-105
Tryon-1995-1310-154	03.200	CATTLE (bovine)	CATTLE (bovine)	1153	CATTLE
Tryon-1995-1310-155	03.210	BULL	BULL	1008	BULL	Buck-1949-1110-107
Tryon-1995-1310-156	03.220	OX	OX	1169	OX	Buck-1949-1110-108
Tryon-1995-1310-157	03.230	COW	COW	1007	COW	Buck-1949-1110-109
Tryon-1995-1310-158	03.240	CALF	CALF	1989	CALF	Buck-1949-1110-110
Tryon-1995-1310-159	03.250	SHEEP	SHEEP	1331	SHEEP	Buck-1949-1110-111
Tryon-1995-1310-160	03.260	RAM	RAM	1344	RAM	Buck-1949-1110-112
Tryon-1995-1310-161	03.280	EWE	EWE	1345	EWE	Buck-1949-1110-114
Tryon-1995-1310-162	03.290	LAMB	LAMB	820	LAMB	Buck-1949-1110-115
Tryon-1995-1310-163	03.320	BOAR	BOAR	1348	BOAR (MALE PIG)	Buck-1949-1110-117
Tryon-1995-1310-164	03.340	SOW (n)	SOW	1351	SOW (FEMALE PIG)	Buck-1949-1110-119
Tryon-1995-1310-165	03.350	PIG	PIG	1337	PIG	Buck-1949-1110-120
Tryon-1995-1310-166	03.360	GOAT	GOAT	1502	GOAT	Buck-1949-1110-121
Tryon-1995-1310-167	03.370	HE-GOAT	HE-GOAT	2475	MALE GOAT	Buck-1949-1110-122
Tryon-1995-1310-168	03.380	KID	KID	1972	YOUNG GOAT (KID)	Buck-1949-1110-123
Tryon-1995-1310-169	03.410	HORSE (equine)	HORSE (equine)	615	HORSE	Buck-1949-1110-124
Tryon-1995-1310-170	03.420	STALLION	STALLION	936	STALLION	Buck-1949-1110-125
Tryon-1995-1310-171	03.440	MARE	MARE	938	MARE	Buck-1949-1110-127
Tryon-1995-1310-172	03.450	FOAL, COLT	FOAL, COLT	1647	FOAL	Buck-1949-1110-128
Tryon-1995-1310-173	03.460	ASS, DONKEY	ASS, DONKEY	1862	DONKEY	Buck-1949-1110-129
Tryon-1995-1310-174	03.470	MULE	MULE	3824	HINNY
Tryon-1995-1310-175	03.500	FOWL	FOWL	265	FOWL
Tryon-1995-1310-176	03.520	COCK, ROOSTER	COCK, ROOSTER	1511	ROOSTER	Buck-1949-1110-131
Tryon-1995-1310-177	03.540	HEN	HEN	1514	HEN	Buck-1949-1110-133
Tryon-1995-1310-178	03.550	CHICKEN	CHICKEN	2512	CHICK	Buck-1949-1110-134
