ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	SEMANTIC_CATEGORY	TYPICALITY	FAMILIARITY	AOA	IMAGEABILITY	LEXICAL_AVAILABILITY	FREQUENCY	WORD_LENGTH
Izura-2005-499-258	258	Minicadena	mini hi-fi			furniture	2.28	5.44	10.88	6.96	1.89	0	5
Izura-2005-499-259	259	Mural	mural			furniture	2	2.12	9	5.04	0.641	3	2
Izura-2005-499-260	260	Nevera	fridge			furniture	2.72	5.96	6.52	6.96	6.282	12	3
Izura-2005-499-261	261	Nido	truckle bed    			furniture	3.28	1.88	6.92	6	0.9	13	2
Izura-2005-499-262	262	Ordenador	computer	COMPUTER	3086	furniture	2.24	6.44	10.75	6.96	4.671	67	4
Izura-2005-499-263	263	Papelera	litter			furniture	2.84	6	6.24	7	2.398	4	4
Izura-2005-499-264	264	Paragüero	umbrella stand			furniture	3.04	3.28	7.6	6.76	1.694	1	4
Izura-2005-499-265	265	Percha	hanger			furniture	2.76	5.28	6.4	6.96	4.559	7	2
Izura-2005-499-266	266	Perchero	clothes stand			furniture	3.84	3.88	7.12	6.68	5.286	4	3
Izura-2005-499-267	267	Piano	piano	PIANO (INSTRUMENT)	3994	furniture	2.2	3.28	6.04	7	1.858	31	3
Izura-2005-499-268	268	Portalibros	book shelf   			furniture	2.84	2.28	11.15	5.2	0.641	0	4
Izura-2005-499-269	269	Posaplatos	place mat			furniture	2.04	2.36	11.64	5.36	0.679	0	4
Izura-2005-499-270	270	Puerta	door	DOOR	1567	furniture	3.48	6.56	4.24	7	4.876	301	2
Izura-2005-499-271	271	Puf	pouffe			furniture	3	2.48	10.86	5.08	3.812	0	1
Izura-2005-499-272	272	Pupitre	school desk			furniture	5.44	3.68	6	6.76	1.752	9	3
Izura-2005-499-273	273	Radio	radio	RADIO	1315	furniture	2.24	5.76	5.68	6.96	1.787	75	2
Izura-2005-499-274	274	Recibidor	hall     			furniture	3.88	3.16	8.72	5.96	2.872	7	4
Izura-2005-499-275	275	Reloj	clock	CLOCK	1323	furniture	2.52	6.24	4.92	7	2.519	43	2
Izura-2005-499-276	276	Repisa	shelf	SHELF	745	furniture	3.6	4.04	7.84	6.64	1	3	3
Izura-2005-499-277	277	Retrete	loo	TOILET	219	furniture	1.8	3.36	8.64	7	1.261	14	3
Izura-2005-499-278	278	Revistero	magazine rack			furniture	3.44	2.8	10.25	6.2	0.914	0	4
Izura-2005-499-279	279	Rinconera	cornerboard			furniture	4.84	2.44	11.58	5.76	1.99	0	4
Izura-2005-499-280	280	Ropero	wardrobe	WARDROBE	3106	furniture	6.08	3.32	9.84	6.48	2.893	6	3
Izura-2005-499-281	281	Secreter	writing desk			furniture	4.44	1.36	16.89	4.12	1.215	0	3
Izura-2005-499-282	282	Silla	chair	CHAIR	1476	furniture	6.8	6.72	4.64	7	78.805	58	2
Izura-2005-499-283	283	Sillón	armchair			furniture	6.76	5.84	5	7	61.626	31	2
Izura-2005-499-284	284	Sinfonier	chest of drawers			furniture	4.2	1.64	13.69	3.24	3.479	0	3
Izura-2005-499-285	285	Sofá	sofa	SOFA	3099	furniture	6.8	6.36	6.24	7	56.795	4	2
Izura-2005-499-286	286	Taburete	stool	STOOL	2058	furniture	5.72	4.48	6.08	6.96	18.16	2	4
Izura-2005-499-287	287	Taquillón	traditional Spanish table			furniture	4.84	2.32	9.95	5.52	2.278	0	3
Izura-2005-499-288	288	Televisión	television	TELEVISION	1788	furniture	4	6.24	4.35	6.8	14.852	85	4
Izura-2005-499-289	289	Televisor	television	TELEVISION	1788	furniture	2.88	5.76	6.52	6.96	2.819	25	4
Izura-2005-499-290	290	Tiestos	flowerpot			furniture	1.56	3.48	5.8	6.92	0.641	3	2
Izura-2005-499-291	291	Tocador	dressing table			furniture	5.24	1.8	9.16	6.32	5.394	5	3
Izura-2005-499-292	292	Tresillo	sofa	SOFA	3099	furniture	6.04	2.88	9.96	5.96	8.622	4	3
Izura-2005-499-293	293	Tumbona	deck chair			furniture	4.32	2.04	9.72	6.52	1.454	2	3
Izura-2005-499-294	294	Váter	toilet	TOILET	219	furniture	1.68	5.8	5.36	6.56	2.025	1	2
Izura-2005-499-295	295	Ventana	window	WINDOW	1375	furniture	2.2	6.56	4.36	6.96	3.336	120	3
Izura-2005-499-296	296	Video	video			furniture	1.84	5.52	10.6	7	1.808	30	3
Izura-2005-499-297	297	Vidriera	stained-glass window			furniture	1.72	2.36	10.36	6.56	1.463	5	3
Izura-2005-499-298	298	Vitrina	glass cabinet			furniture	4.12	2.64	10.6	6.44	2.906	6	3
Izura-2005-499-299	299	WC	toilet 			furniture	1.88	3.64	9.69	6.68	2.658	0	2
Izura-2005-499-300	300	Zapatero	shoe rack   			furniture	4.56	2.6	7.24	6.2	8.043	0	4
Izura-2005-499-301	301	Abdomen	abdomen	BELLY	1251	body part	4.92	3.32	8.68	5.08	4.195	5	3
Izura-2005-499-302	302	Ano	anus	ANUS	1935	body part	3.36	3	8.36	5.08	2.672	2	2
Izura-2005-499-303	303	Antebrazo	forearm			body part	4.12	2.92	8.2	6.08	11.107	6	4
Izura-2005-499-304	304	arteria	artery	ARTERY	1925	body part	2.88	2.52	8.88	4.68	1.423	1	3
Izura-2005-499-305	305	Articulaciones	joints	JOINT	999	body part	3.4	3.92	8.72	4.6	1.611	3	5
Izura-2005-499-306	306	Axila	armpit	ARMPIT	1886	body part	4.24	4.48	7.84	6.32	2.444	2	3
Izura-2005-499-307	307	Barba	beard	BEARD	678	body part	3.52	4.8	4.04	6.88	1.045	36	2
Izura-2005-499-308	308	Barbilla	chin	CHIN	1510	body part	5.04	4.84	4.36	6.88	1.639	16	3
Izura-2005-499-309	309	Biceps	biceps			body part	4.48	4	8.8	5.76	2.067	0	2
Izura-2005-499-310	310	Bigote	moustache	MOUSTACHE	1165	body part	3.72	4.68	3.88	6.92	1.106	34	3
Izura-2005-499-311	311	Boca	mouth	MOUTH	674	body part	6.84	6.36	3.02	6.92	39.497	200	2
Izura-2005-499-312	312	Brazo	arm	ARM	1673	body part	7	6.32	2.98	6.92	71.694	96	2
Izura-2005-499-313	313	Cabello	hair	HAIR	1040	body part	5.4	5.6	4.72	6.84	1.078	44	3
Izura-2005-499-314	314	Cabeza	head	HEAD	1256	body part	7	6.28	2.98	6.8	71.287	418	3
Izura-2005-499-315	315	Cadera	hip	HIP	1745	body part	5.76	4.88	5.84	6.72	12.007	7	3
Izura-2005-499-316	316	Cara	face	FACE	1560	body part	6.7	6.52	3.14	6.76	8.897	315	2
Izura-2005-499-317	317	Ceja	eyebrow	EYEBROW	1173	body part	4.2	5.72	3.92	6.92	12.159	8	2
Izura-2005-499-318	318	Cerebelo	cerebellum			body part	2.44	1.68	9.79	4.16	1.001	1	4
Izura-2005-499-319	319	Cerebro	brain	BRAIN	1583	body part	4.28	4.36	7.44	5.28	7.956	87	3
Izura-2005-499-320	320	Cintura	waist	WAIST	1681	body part	5.2	5.16	5.72	6	5.811	34	3
Izura-2005-499-321	321	Clavícula	collarbone	COLLARBONE	1994	body part	4.48	3.24	8.68	5.36	1.143	1	4
Izura-2005-499-322	322	Codo	elbow	ELBOW	981	body part	5.28	4.92	5.48	6.28	29.918	17	2
Izura-2005-499-323	323	Colon	colon			body part	2.48	2.04	10.44	3.68	1.058	0	2
Izura-2005-499-324	324	Corazón	heart	HEART	1223	body part	5.36	5.44	5.44	6.4	17.079	190	3
Izura-2005-499-325	325	Costilla	rib	RIB	801	body part	4.92	4.2	6.48	6.44	1.918	2	3
Izura-2005-499-326	326	Cubito	fibula			body part	2.32	2.24	9.6	4.64	1.253	1	3
Izura-2005-499-327	327	Cuello	neck	NECK	1333	body part	5.88	5.6	4.08	6.64	31.656	99	2
Izura-2005-499-328	328	Culo	bottom	BUTTOCKS	834	body part	6.04	5.76	3.12	6.76	13.216	37	2
Izura-2005-499-329	329	Dedo	finger	FINGER	1303	body part	6.36	6.04	3.04	6.92	53.948	66	2
Izura-2005-499-330	330	Diente	tooth	TOOTH	1380	body part	5.56	6.4	3.78	6.88	19.575	8	2
Izura-2005-499-331	331	Esófago	oesophagus			body part	2.84	2.72	8.84	4.4	3.474	2	4
Izura-2005-499-332	332	Espalda	back	BACK	1291	body part	6.48	5.92	4.4	6.76	19.081	92	3
Izura-2005-499-333	333	Esqueleto	skeleton	SKELETON	2668	body part	4	3.32	6.56	6.56	0.982	14	4
Izura-2005-499-334	334	Esternocleidomastoideo	a neck muscle			body part	2.44	2.04	10.95	2.6	4.144	0	9
Izura-2005-499-335	335	Estómago	stomach	STOMACH	819	body part	4.84	5.32	6.56	5.28	12.166	43	4
Izura-2005-499-336	336	Extremidades	extremities			body part	4.76	4.04	7.04	6.28	3.855	5	5
Izura-2005-499-337	337	Falange	phalange			body part	2.64	2.52	9.13	4.76	4.685	4	3
Izura-2005-499-338	338	Faringe	pharynx	PHARYNX	3713	body part	3.04	2.6	9.12	4.24	2.642	1	3
Izura-2005-499-339	339	Femur	femur			body part	3.36	2.48	9.24	5.08	2.564	0	2
Izura-2005-499-340	340	Frente	forehead	FOREHEAD	123	body part	5.56	4.96	4.88	6.48	5.747	375	2
Izura-2005-499-341	341	Gemelo	calf muscle			body part	4.08	4.76	8.68	6.12	3.222	3	3
Izura-2005-499-342	342	Glúteo	gluteus			body part	4.24	3.88	8.92	6.48	4.044	1	3
Izura-2005-499-343	343	Hígado	liver	LIVER	1224	body part	4.16	4	7.92	5.56	7.299	12	3
Izura-2005-499-344	344	Hombro	shoulder	SHOULDER	1482	body part	5.72	5.32	4.68	6.8	29.002	45	2
Izura-2005-499-345	345	Hueso	bone	BONE	1394	body part	4.96	5.08	4.4	6.68	5.329	22	2
Izura-2005-499-346	346	Húmero	humerus			body part	2.96	2.4	8.6	4.6	1.576	0	3
Izura-2005-499-347	347	Incisivo	incisor	FRONT TOOTH (INCISOR)	442	body part	2.8	2.44	8.6	5	93.5	2	4
Izura-2005-499-348	348	Ingle	groin			body part	4	3.48	8.6	5.56	110	3	2
Izura-2005-499-349	349	Intestino	intestine	INTESTINES	1991	body part	3.64	3.04	8.08	4.92	6.1	3	3
Izura-2005-499-350	350	Labio	lip	LIP	478	body part	6.08	6.04	4.3	6.92	8.3	12	2
Izura-2005-499-351	351	Laringe	larynx	LARYNX	3714	body part	3.36	2	9.84	4.36	3.3	2	3
Izura-2005-499-352	352	Lengua	tongue	TONGUE	1205	body part	5.44	5.8	4.72	6.88	13.5	177	2
Izura-2005-499-353	353	Mano	hand	HAND	1277	body part	6.92	6.56	3.96	6.96	63	550	2
Izura-2005-499-354	354	Mejilla	cheek	CHEEK	1730	body part	5.52	4.96	6.56	6.84	0.9	27	3
Izura-2005-499-355	355	Moflete	chubby cheek			body part	5.16	4.48	5.8	6.8	1	4	3
Izura-2005-499-356	356	muñeca/s	wrist	WRIST	799	body part	5.64	4.2	5.56	6.88	21.2	16	3
Izura-2005-499-357	357	Muela	molar	MOLAR TOOTH	1049	body part	3.92	4.12	6.2	6.96	2.4	2	3
Izura-2005-499-358	358	Músculo	muscle	MUSCLE	1004	body part	4.6	4.04	7.44	5.68	6.5	9	3
Izura-2005-499-359	359	Muslo	thigh	UPPER LEG (THIGH)	471	body part	5.4	3.84	7.36	6.76	6.7	11	2
Izura-2005-499-360	360	Nariz	nose	NOSE	1221	body part	6.48	5.48	4.16	6.96	50.4	71	2
Izura-2005-499-361	361	Nuca	nape	NAPE (OF NECK)	1347	body part	5.12	3.48	6.8	6.36	2.1	23	2
Izura-2005-499-362	362	Oído	ear	EAR	1247	body part	5.48	5.24	5.16	5.8	2.9	107	3
Izura-2005-499-363	363	Ojo	eye	EYE	1248	body part	6.64	6.24	4.08	6.76	60.1	96	2
Izura-2005-499-364	364	Ombligo	bellybutton	NAVEL	1838	body part	4.68	4.12	5.4	6.96	8.3	8	3
Izura-2005-499-365	365	Omóplato	shoulder blade	SHOULDERBLADE	172	body part	3.48	2.16	9.24	5.52	2.6	1	4
Izura-2005-499-366	366	Oreja	ear	EAR	1247	body part	6.56	4.92	4.32	6.84	48.1	35	3
Izura-2005-499-367	367	Ovario	ovary	OVARY	3716	body part	3.32	3.16	10.48	4.44	1.6	1	3
Izura-2005-499-368	368	Pancreas	pancreas	PANCREAS	3252	body part	3.12	1.72	10.8	4.04	4.7	0	3
Izura-2005-499-369	369	Pantorrilla	calf	CALF OF LEG	498	body part	4.68	2.4	8.92	5.92	1.4	2	4
Izura-2005-499-370	370	Párpado	eyelid	EYELID	17	body part	4.16	3.36	7.92	6.68	2.4	3	3
Izura-2005-499-371	371	Pecho	breast	BREAST	1402	body part	6.12	4.08	6.76	6.56	21.7	94	2
Izura-2005-499-372	372	Pechos	breasts	BREAST	1402	body part	5.96	4.96	7.52	6.72	2.2	34	2
Izura-2005-499-373	373	Pelo	hair	HAIR	1040	body part	5.36	6.24	4.4	6.92	27.9	153	2
Izura-2005-499-374	374	Pelvis	pelvis			body part	4	2.32	10.48	5.64	1.1	1	2
Izura-2005-499-375	375	Pene	penis	PENIS	1222	body part	5.36	3.52	9.68	6.72	16.1	7	2
Izura-2005-499-376	376	Peroné	fibula			body part	3.4	1.96	9.76	5.12	2.2	0	3
Izura-2005-499-377	377	Pestaña	eyelash	EYELASH	1540	body part	3.92	4.2	6.44	6.88	8.7	1	3
Izura-2005-499-378	378	Pie	foot	FOOT	1301	body part	6.6	5.96	4.08	7	61.8	193	1
Izura-2005-499-379	379	Piel	skin	SKIN	763	body part	4.52	5.4	5.44	6.2	1	163	1
Izura-2005-499-380	380	Pierna	leg	LEG	1297	body part	6.68	5.92	4.64	6.6	58.1	39	2
Izura-2005-499-381	381	Pulmón	lung	LUNG	688	body part	4.36	4.08	8.28	5.84	13.2	6	2
Izura-2005-499-382	382	Radio	radius			body part	2.88	2.44	8.52	5.2	1.9	75	2
Izura-2005-499-383	383	Riñón	kidney	KIDNEY	489	body part	4.24	2.8	9.04	5.52	11.7	5	2
Izura-2005-499-384	384	Rodilla	knee	KNEE	1371	body part	5.92	4.04	6	6.56	31.7	11	3
Izura-2005-499-385	385	Rótula	kneecap			body part	3.48	2.36	10.28	5.8	1.5	0	3
Izura-2005-499-386	386	Talón	heel	HEEL	980	body part	4.6	2.36	8.24	6.52	2.6	3	2
Izura-2005-499-387	387	Tendón	tendon	TENDON	1137	body part	3.36	2.36	9.84	5.04	2.2	1	2
Izura-2005-499-388	388	Testículo	testicle	TESTICLES	797	body part	4.28	2.64	9.68	6.72	4.1	4	4
Izura-2005-499-389	389	Tibia	tibia			body part	3.56	1.92	9.24	5.4	2.8	14	2
Izura-2005-499-390	390	Tobillo	ankle	ANKLE	803	body part	5.36	3.24	6.84	6.48	20.9	4	3
Izura-2005-499-391	391	Tórax	thorax			body part	4.52	2	9.6	6	3.2	6	2
Izura-2005-499-392	392	Trasero	bottom	BOTTOM	690	body part	5.6	3.56	7.12	6.88	1.3	19	3
Izura-2005-499-393	393	Triceps	triceps			body part	3.36	2.24	10.95	5.56	1.4	0	2
Izura-2005-499-394	394	Tripa	belly	BELLY	1251	body part	5.24	4.52	6.32	6.72	3.4	9	2
Izura-2005-499-395	395	Tronco	trunk	TORSO	2667	body part	5.24	2.8	8.14	6.36	15.3	18	2
Izura-2005-499-396	396	Uña	nail	FINGERNAIL OR TOENAIL	1896	body part	4.8	5.28	6.18	6.84	27.6	8	2
Izura-2005-499-397	397	Vagina	vagina	VAGINA	1836	body part	4.16	2.96	9.95	6.28	3.8	4	3
Izura-2005-499-398	398	Vejiga	bladder	BLADDER	1746	body part	3.72	2.92	9.73	5.56	1	1	3
Izura-2005-499-399	399	Vena	vein	VEIN	1924	body part	3.48	3.24	8.73	5.88	2.4	5	2
Izura-2005-499-400	400	Abeja	bee	BEE	665	animal	4.28	3.56	4.48	6.76	7.672	4	3
Izura-2005-499-401	401	Águila	eagle	EAGLE	1905	animal	4.84	3.24	5.24	6.8	19.365	15	3
Izura-2005-499-402	402	Araña	spider	SPIDER	843	animal	3.96	4.16	4.12	6.92	12.969	8	3
Izura-2005-499-403	403	Ardilla	squirrel	SQUIRREL	1628	animal	4.28	2.56	5.24	6.84	5.977	21	3
Izura-2005-499-404	404	Avestruz	ostrich	OSTRICH	3797	animal	3.68	1.92	6.72	6.76	7.158	4	3
Izura-2005-499-405	405	Avispa	wasp	WASP	1517	animal	3.6	3.64	4.48	6.88	4.123	1	3
Izura-2005-499-406	406	Ballena	whale	WHALE	957	animal	5	3	5.08	6.84	11.232	4	3
Izura-2005-499-407	407	Buey	ox	OX	1169	animal	4.4	2.04	5.56	6.32	3.278	6	1
Izura-2005-499-408	408	Búho	owl	OWL	735	animal	3.92	2.64	5.4	6.8	6.917	12	2
Izura-2005-499-409	409	Buitre	vulture	VULTURE	1185	animal	3.6	2.92	6.24	6.64	8.827	2	2
Izura-2005-499-410	410	Burro	donkey	DONKEY	1862	animal	5.56	4.28	3.72	6.92	23.995	17	2
Izura-2005-499-411	411	Caballo	horse	HORSE	615	animal	6.48	4.2	3.64	7	34.723	93	3
Izura-2005-499-412	412	Cabra	goat	GOAT	1502	animal	5.32	3.64	3.88	6.96	12.242	10	2
Izura-2005-499-413	413	Calamar	squid			animal	2.48	3.4	5.64	6.24	6.51	1	3
Izura-2005-499-414	414	Camello	camel	CAMEL	1871	animal	4.2	2.84	5.68	6.8	2.916	4	3
Izura-2005-499-415	415	Canario	canary			animal	4.24	3.4	4.96	6.68	15.616	7	3
Izura-2005-499-416	416	Cangrejo	crab	CRAB	2348	animal	3.28	2.88	4.96	6.56	2.777	2	3
Izura-2005-499-417	417	Canguro	kangaroo	KANGAROO	164	animal	3.92	2.48	5.96	6.84	3.801	1	3
Izura-2005-499-418	418	Cebra	zebra	ZEBRA	3675	animal	4.32	2.84	6.04	6.84	6.838	3	2
Izura-2005-499-419	419	Cerdo	pig	PIG	1337	animal	6.48	5.28	3.76	6.88	17.991	17	2
Izura-2005-499-420	420	Ciervo	deer	DEER	1936	animal	4.92	3.08	4.98	6.84	11.601	4	2
Izura-2005-499-421	421	Cigüeña	stork			animal	4.6	3.84	4.82	6.64	2.644	5	3
Izura-2005-499-422	422	Cocodrilo	crocodile	CROCODILE	1857	animal	4.2	2.36	5.16	6.76	7.753	6	4
Izura-2005-499-423	423	Codorniz	quail	QUAIL	1893	animal	3.12	2.8	7.44	5.44	5.091	2	3
Izura-2005-499-424	424	Colibrí	hummingbird 	HUMMINGBIRD	1589	animal	2.32	1.68	9.48	5.16	4.832	0	3
Izura-2005-499-425	425	Colorín	goldfinch   			animal	1.88	1.68	7.56	4.32	4.516	1	3
Izura-2005-499-426	426	Conejo	rabbit	RABBIT	1136	animal	6.12	4.2	3.54	6.84	30.302	9	3
Izura-2005-499-427	427	Cordero	lamb	LAMB	820	animal	5.76	4.28	3.84	6.8	7.306	14	3
Izura-2005-499-428	428	Cucaracha	cockroach	COCKROACH	1575	animal	2.8	3.2	4.56	6.84	3.545	2	4
Izura-2005-499-429	429	Cuervo	crow	CROW	913	animal	3.56	2.76	4.88	6.64	10.398	4	2
Izura-2005-499-430	430	Culebra	snake	SNAKE	730	animal	3.84	3.24	4.68	6.84	7.098	1	3
Izura-2005-499-431	431	Delfín	dolphin	DOLPHIN	1479	animal	5.44	3.2	5.4	6.88	8.164	2	2
Izura-2005-499-432	432	Elefante	elephant	ELEPHANT	1290	animal	6.32	3.36	4.36	6.92	21.565	9	4
Izura-2005-499-433	433	Foca	seal	SEAL	651	animal	4.84	3.52	5	6.88	3.533	1	2
Izura-2005-499-434	434	Gallina	hen	HEN	1514	animal	5.88	4.88	3.36	6.88	25.464	19	3
Izura-2005-499-435	435	Gallo	rooster	ROOSTER	1511	animal	5.56	4.48	3.52	6.92	11.802	16	2
Izura-2005-499-436	436	Gamba	prawn	PRAWNS	238	animal	2.56	4.52	5.72	6.76	3.811	1	2
Izura-2005-499-437	437	Gamo	fallow deer			animal	3.08	1.64	8.04	5.36	2.892	1	2
Izura-2005-499-438	438	Gato	cat	CAT	1208	animal	6.72	5.48	3	6.84	76.056	70	2
Izura-2005-499-439	439	Gaviota	seagull	SEAGULL	950	animal	4.32	2.76	5.08	6.72	5.783	6	3
Izura-2005-499-440	440	Golondrina	swallow	SWALLOW (BIRD)	3077	animal	4.32	3.28	5.04	6.36	6.082	6	4
Izura-2005-499-441	441	Gorila	gorilla	GORILLA	3144	animal	4.64	2.88	5.6	6.56	5.408	4	2
Izura-2005-499-442	442	Gorrino	pig	PIG	1337	animal	3.64	3	5.32	6.4	6.804	1	3
Izura-2005-499-443	443	Gorrión	sparrow	SPARROW	1854	animal	3.92	3.32	5	6.28	11.579	1	2
Izura-2005-499-444	444	Guepardo	cheetah	CHEETAH	3146	animal	3.32	2.64	7.08	5.68	2.746	0	3
Izura-2005-499-445	445	Gusano	worm	WORM	1219	animal	3.12	4.12	4	6.72	5.827	6	3
Izura-2005-499-446	446	Halcón	falcon	FALCON	3258	animal	3.76	2.64	6.68	6.4	3.029	2	2
Izura-2005-499-447	447	Hamster	hamster	HAMSTER	3147	animal	3.92	3.6	7.56	6.68	8.385	1	2
Izura-2005-499-448	448	Hiena	hyena	HYENA	1799	animal	3.08	2.28	7.16	6.24	7.051	1	2
Izura-2005-499-449	449	Hipopótamo	hippopotamus	HIPPOPOTAMUS	3145	animal	4.44	2.28	6.16	6.84	10.631	2	5
Izura-2005-499-450	450	Hormiga	ant	ANT	587	animal	4.28	3.68	4.64	6.96	9.531	5	3
Izura-2005-499-451	451	Iguana	iguana	IGUANA	1578	animal	3.72	1.88	9.16	5.72	3.109	7	3
Izura-2005-499-452	452	Jabalí	wild boar	WILD BOAR	3154	animal	5.28	2.32	8.32	6.68	12.549	5	3
Izura-2005-499-453	453	Jirafa	giraffe	GIRAFFE	3089	animal	5.4	2.16	6.48	7	18.874	1	3
Izura-2005-499-454	454	Koala	koala			animal	4.52	1.68	9	6.67	4.209	0	3
Izura-2005-499-455	455	Lagartija	lizard	LIZARD	632	animal	4.04	2.64	5.64	6.68	6.384	4	4
Izura-2005-499-456	456	Lagarto	lizard	LIZARD	632	animal	3.8	2.04	6.76	6.32	4.21	4	3
Izura-2005-499-457	457	Langostino	prawn			animal	3.16	3.56	8.36	6.72	4.634	0	4
Izura-2005-499-458	458	Lechuza	owl	OWL	735	animal	4.68	2.24	7.96	6.4	3.313	1	3
Izura-2005-499-459	459	León	lion	LION	1386	animal	6.8	3.12	5.28	6.92	37.723	27	2
Izura-2005-499-460	460	Leopardo	leopard	LEOPARD	1139	animal	6.28	2.24	7.16	6.28	12.136	1	4
Izura-2005-499-461	461	Liebre	hare	HARE	1190	animal	6.4	3	6.16	6.52	17.27	5	2
Izura-2005-499-462	462	Lince	lynx	LYNX	3314	animal	5.8	2	8.08	6.2	3.93	2	2
Izura-2005-499-463	463	Lobo	wolf	WOLF	522	animal	6.76	3.2	5.44	6.72	9.537	24	2
Izura-2005-499-464	464	Loro	parrot	PARROT	882	animal	5.24	2.88	6.32	6.76	7.277	7	2
Izura-2005-499-465	465	Mariposa	butterfly	BUTTERFLY	1791	animal	4.2	3.44	4.84	6.96	8.377	8	4
Izura-2005-499-466	466	mono/s	monkey	MONKEY	1350	animal	5.96	3.32	4.92	6.8	19.337	24	2
Izura-2005-499-467	467	Mosca	fly	FLY (INSECT)	1504	animal	3.64	5.68	4.52	6.96	10.921	16	2
Izura-2005-499-468	468	Mosquito	mosquito	MOSQUITO	1509	animal	3.4	4.8	5.12	6.56	5.761	4	3
Izura-2005-499-469	469	Orangután	orangutan			animal	5.52	1.88	7.36	6.13	4.282	2	4
Izura-2005-499-470	470	Oso	bear	BEAR	1820	animal	6.68	2.88	5.32	6.88	16.204	22	2
Izura-2005-499-471	471	Oveja	sheep	SHEEP	1331	animal	6.64	3.4	4.36	6.92	20.824	5	3
Izura-2005-499-472	472	Pájaro	bird	BIRD	937	animal	6.12	5.6	4.08	6.8	18.035	35	3
Izura-2005-499-473	473	Paloma	pigeon	DOVE	1853	animal	5.64	4.88	4.96	6.92	17.684	16	3
Izura-2005-499-474	474	Pantera	panther			animal	5.96	1.68	7.08	6.52	17.211	13	3
Izura-2005-499-475	475	Pato	duck	DUCK	1360	animal	6.04	3.48	4.8	6.92	9.48	5	2
Izura-2005-499-476	476	Perdiz	partridge			animal	5.2	1.96	6.96	6.08	12.093	3	2
Izura-2005-499-477	477	Periquito	budgerigar			animal	4.92	2.16	7.12	6.12	18.087	0	4
Izura-2005-499-478	478	Perro	dog	DOG	2009	animal	6.92	6.04	3.88	7	82.771	112	2
Izura-2005-499-479	479	Pez	fish	FISH	227	animal	5.52	5	4.2	6.92	13.734	30	1
Izura-2005-499-480	480	Pollo	chicken	CHICKEN	1318	animal	5.76	4.96	4.56	6.84	12.675	14	2
Izura-2005-499-481	481	Potro	colt			animal	5.64	2.48	7.2	6.64	3.285	4	2
Izura-2005-499-482	482	Puma	puma	PUMA	1891	animal	5.4	1.44	7.96	5.4	3.645	0	2
Izura-2005-499-483	483	Rana	frog	FROG	503	animal	4.8	2.8	5.24	6.64	6.324	5	2
Izura-2005-499-484	484	Rata	rat	RAT	1490	animal	5.6	3.2	5.8	6.68	14.897	17	2
Izura-2005-499-485	485	Ratón	mouse	MOUSE	1491	animal	5.72	3.16	5.08	6.8	20.367	18	2
Izura-2005-499-486	486	Rinoceronte	rhinoceros	RHINOCEROS	2591	animal	5.2	1.6	7.92	6.6	6.872	1	5
Izura-2005-499-487	487	Salmón	salmon	SALMON	944	animal	4.12	2.84	8.8	5.56	5.836	3	2
Izura-2005-499-488	488	Saltamontes	grasshopper	GRASSHOPPER	607	animal	3.48	2.2	6.64	6.56	4.558	2	4
Izura-2005-499-489	489	Sapo	toad	TOAD	894	animal	4.12	2.28	6.4	6.44	5.616	5	2
Izura-2005-499-490	490	Sardina	sardine	SARDINE	3992	animal	3.92	3.36	6.32	6.12	3.826	3	3
Izura-2005-499-491	491	Serpiente	snake	SNAKE	730	animal	4.76	2.88	5.6	6.84	19.985	18	3
Izura-2005-499-492	492	Tiburón	shark	SHARK	1110	animal	5	2.16	6.68	6.72	10.96	1	3
Izura-2005-499-493	493	Tigre	tiger	TIGER	846	animal	6.52	2.44	6.04	6.88	25.222	7	2
Izura-2005-499-494	494	Toro	bull	BULL	1008	animal	6.48	4.2	5.28	6.96	11.169	16	2
Izura-2005-499-495	495	Tortuga	turtle	TURTLE	112	animal	5.56	3.04	5.68	7	8.514	8	3
Izura-2005-499-496	496	Trucha	trout	TROUT	795	animal	4	3	7.32	5.92	7.759	3	2
Izura-2005-499-497	497	Vaca	cow	COW	1007	animal	6.72	4.32	4.52	6.96	27.32	14	2
Izura-2005-499-498	498	Yegua	mare	MARE	938	animal	6	2.88	7.08	6.64	7.9	15	2
Izura-2005-499-499	499	Zorro	fox	FOX	1312	animal	6.52	3.2	5.72	6.52	10.864	4	2
