ID	NUMBER	CHINESE	CHINESE_SIMPLIFIED	PINYIN	ENGLISH	GUSTATORY_MEAN	VISUAL_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Chen-2019-171-157	157	郁郁	郁郁	yu4-yu4	luxuriant	0.65	1.846153846	0.3125	0.181818182	0.380952381	Visual	0.493659493		
Chen-2019-171-158	158	圓	圆	yuan2	round	0.090909091	4.737373737	0.111111111	0.01010101	4.365591398	Visual	0.507485658	1395	ROUND
Chen-2019-171-159	159	雜	杂	za2	mixed	4.583333333	4.238095238	4.888888889	2.545454545	1.5	Auditory	0.190861253		
Chen-2019-171-160	160	髒	脏	zang1	dirty	1.166666667	5	0.363636364	1.375	2.181818182	Visual	0.459631994	1230	DIRTY
Chen-2019-171-161	161	燥	燥	zao4	dry	1.727272727	1	1.095238095	0.888888889	1	Gustatory	0.146791309		
Chen-2019-171-162	162	窄	窄	zhai3	narrow	0	4.647058824	0.714285714	0.111111111	2.727272727	Visual	0.566733264	1267	NARROW
Chen-2019-171-163	163	脹	胀	zhang4	swelling (in pain)	0	2.571428571	0.555555556	0	4.090909091	Haptic	0.566773291		
Chen-2019-171-164	164	整	整	zheng3	orderly	0.076923077	2.05	0.3	0.277777778	1	Visual	0.53258738		
Chen-2019-171-165	165	正	正	zheng4	upright	2.5	3.588235294	0.916666667	0.3	1.5	Visual	0.373455072		
Chen-2019-171-166	166	直	直	zhi2	straight	0	4.692307692	0.25	0	4.222222222	Visual	0.512007461	1404	STRAIGHT
Chen-2019-171-167	167	重	重	zhong4	heavy	3.05	2.363636364	2.083333333	2.142857143	4.166666667	Haptic	0.150895181	1210	HEAVY
Chen-2019-171-168	168	壯	壮	zhuang4	strong	0.166666667	5	0.428571429	0	3.1875	Visual	0.569298543	785	STRONG
Chen-2019-171-169	169	灼灼	灼灼	zhuo2-zhuo2 	shining/ scorching	1.388888889	3.1	0.476190476	0.375	2.541666667	Visual	0.345735575		
Chen-2019-171-170	170	紫	紫	zi3	purple	0	3.882352941	0	0	0	Visual	1	2452	PURPLE
Chen-2019-171-171	171	縱	纵	zong4	vertical	0.166666667	2.619047619	0.041666667	0	0.615384615	Visual	0.76073946	2375	VERTICAL
