ID	NUMBER	ENGLISH	KANJI	KANA	ROMAJI	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huisman-2025-255-145	145	painful	痛い	いたい	itai	1129	PAINFUL
Huisman-2025-255-146	146	person	人	ひと	hito	683	PERSON
Huisman-2025-255-147	147	to plant	植える	うえる	ueru	1486	PLANT (SOMETHING)
Huisman-2025-255-148	148	to play	遊ぶ	あそぶ	asobu	1413	PLAY
Huisman-2025-255-149	149	to pull	引く	ひく	hiku	1455	PULL
Huisman-2025-255-150	150	to push	押す	おす	osu	1452	PUSH
Huisman-2025-255-151	151	rain	雨	あめ	ame	658	RAIN (PRECIPITATION)
Huisman-2025-255-152	152	red	赤い	あかい	akai	156	RED
Huisman-2025-255-153	153	right	右	みぎ	migi	1019	RIGHT
Huisman-2025-255-154	154	river	川	かわ	kawa	666	RIVER
Huisman-2025-255-155	155	road	道	みち	michi	667	ROAD
Huisman-2025-255-156	156	roof	屋根	やね	yane	769	ROOF
Huisman-2025-255-157	157	root	根	ね	ne	670	ROOT
Huisman-2025-255-158	158	rope	綱	つな	tsuna	1218	ROPE
Huisman-2025-255-159	159	to rot	腐る	くさる	kusaru	1728	ROTTEN
Huisman-2025-255-160	160	round	丸い	まるい	marui	1395	ROUND
Huisman-2025-255-161	161	to rub	擦る	こする	kosuru	1449	RUB
Huisman-2025-255-162	162	to run	走る	はしる	hashiru	1519	RUN
Huisman-2025-255-163	163	salt	塩	しお	shio	1274	SALT
Huisman-2025-255-164	164	sand	砂	すな	suna	671	SAND
Huisman-2025-255-165	165	to say	言う	いう	iu	1458	SAY
Huisman-2025-255-166	166	to scratch	掻く	かく	kaku	1436	SCRATCH
Huisman-2025-255-167	167	sea	海	うみ	umi	1474	SEA
Huisman-2025-255-168	168	to see	見る	みる	miru	1409	SEE
Huisman-2025-255-169	169	seed	種	たね	tane	714	SEED
Huisman-2025-255-170	170	seven	七つ	ななつ	nanatsu	1704	SEVEN
Huisman-2025-255-171	171	to sew	縫う	ぬう	nuu	1457	SEW
Huisman-2025-255-172	172	shade	影	かげ	kage	1388	SHADE
Huisman-2025-255-173	173	sharp	鋭い	するどい	surudoi	1396	SHARP
Huisman-2025-255-174	174	to shoot	撃つ	うつ	utsu	1172	SHOOT
Huisman-2025-255-175	175	short	短い	みじかい	mijikai	1645	SHORT
Huisman-2025-255-176	176	shoulder	肩	かた	kata	1482	SHOULDER
Huisman-2025-255-177	177	shy, ashamed	恥ずかしい	はずかしい	hazukashii	3805	SHY OR ASHAMED
Huisman-2025-255-178	178	sickness	病気	びょうき	byouki	1847	SICK
Huisman-2025-255-179	179	to sing	歌う	うたう	utau	1261	SING
Huisman-2025-255-180	180	to sit	座る	すわる	suwaru	1416	SIT
Huisman-2025-255-181	181	six	六つ	むっつ	muttsu	1703	SIX
Huisman-2025-255-182	182	skin	皮	かわ	kawa	763	SKIN
Huisman-2025-255-183	183	sky	空	そら	sora	1732	SKY
Huisman-2025-255-184	184	to sleep	眠る	ねむる	nemuru	1585	SLEEP
Huisman-2025-255-185	185	small	小さい	ちいさい	chiisai	1246	SMALL
Huisman-2025-255-186	186	to smell	嗅ぐ	かぐ	kagu	1586	SMELL (PERCEIVE)
Huisman-2025-255-187	187	smoke	煙	けむり	kemuri	778	SMOKE (EXHAUST)
Huisman-2025-255-188	188	smooth	滑らか	なめらか	nameraka	1234	SMOOTH
Huisman-2025-255-189	189	snake	蛇	へび	hebi	730	SNAKE
Huisman-2025-255-190	190	snow	雪	ゆき	yuki	784	SNOW
Huisman-2025-255-191	191	some	少し	すこし	sukoshi	1241	SOME
Huisman-2025-255-192	192	spider	蜘蛛	くも	kumo	843	SPIDER
Huisman-2025-255-193	193	to spit	吐く	はく	haku	1440	SPIT
Huisman-2025-255-194	194	to split	分ける	わける	wakeru	1437	SPLIT
Huisman-2025-255-195	195	to squeeze	絞る	しぼる	shiboru	1414	SQUEEZE
Huisman-2025-255-196	196	to stab	刺す	さす	sasu	1434	STAB
Huisman-2025-255-197	197	to stand	立つ	たつ	tatsu	1442	STAND
Huisman-2025-255-198	198	star	星	ほし	hoshi	1430	STAR
Huisman-2025-255-199	199	to steal	盗む	ぬすむ	nusumu	713	STEAL
Huisman-2025-255-200	200	stick	棒	ぼう	bou	1295	STICK
Huisman-2025-255-201	201	stone	石	いし	ishi	857	STONE
Huisman-2025-255-202	202	straight	真っ直ぐ	まっすぐ	massugu	1404	STRAIGHT
Huisman-2025-255-203	203	to suck	吸う	すう	suu	1421	SUCK
Huisman-2025-255-204	204	sun	太陽	たいよう	taiyou	1343	SUN
Huisman-2025-255-205	205	sweet	甘い	あまい	amai	717	SWEET
Huisman-2025-255-206	206	to swell	膨れる	ふくれる	fukureru	1573	SWELL
Huisman-2025-255-207	207	to swim	泳ぐ	およぐ	oyogu	1439	SWIM
Huisman-2025-255-208	208	tail	尾	お	o	1220	TAIL
Huisman-2025-255-209	209	to take	取る	とる	toru	1749	TAKE
Huisman-2025-255-210	210	ten	十	とお	too	1515	TEN
Huisman-2025-255-211	211	that	彼れ	あれ	are	78	THAT
