ID	NUMBER	ENGLISH	FINNISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	BRITISH_ENGILISH_FAMILIARITY_MEAN	BRITISH_ENGLISH_VALENCE_MEAN	BRITISH_ENGLISH_EMOTION_MEAN	BRITISH_ENGLISH_OFFENSIVENESS_MEAN	BRITISH_ENGLISH_CONCRETENESS_MEAN	FINNISH_FAMILIARITY_MEAN	FINNISH_VALENCE_MEAN	FINNISH_EMOTION_MEAN	FINNISH_OFFENSIVENESS_MEAN	FINNISH_CONCRETENESS_MEAN
Eilola-2010-210-193	193	torture	kidutus			1.8	0.73	5.13	1.97	3.19	2.02	0.69	5.51	2.36	2.79
Eilola-2010-210-194	194	trash	roska	909	GARBAGE	2.21	2.03	1.2	1.36	0.9	4.97	2.38	1.47	1.11	0.5
Eilola-2010-210-195	195	truth	totuus	1638	TRUTH	4.93	7.23	4.85	0.43	5.73	4.27	6.83	4.92	0.55	5.78
Eilola-2010-210-196	196	tumour	kasvain			1.92	0.6	4.45	1.11	1.26	2.11	0.95	4.02	1.05	1.31
Eilola-2010-210-197	197	turd	köntsä			2.24	1.79	1.12	2.91	1.38	1.04	2.17	0.94	3.12	2.24
Eilola-2010-210-198	198	twat	ääliö			5.44	1.48	2.97	4.76	4.68	4.36	1.7	3.22	5.23	3.83
Eilola-2010-210-199	199	unit	yksikkö			2.36	3.75	0.47	0.2	1.7	2.23	4.06	0.85	0.28	2.82
Eilola-2010-210-200	200	urine	virtsa	1142	URINE	1.73	2.35	0.9	1.24	0.79	1.41	2.56	1.24	2.27	0.61
Eilola-2010-210-201	201	vehicle	kulkuneuvo	2549	VEHICLE	3.48	4.52	1.01	0.16	0.56	2.83	5.24	1.43	0.23	0.41
Eilola-2010-210-202	202	vomit	oksennus			2.39	1.58	1.63	1.25	1	2.88	1.26	2.64	2.19	0.72
Eilola-2010-210-203	203	wanker	runkku			5.28	1.16	3.15	5.51	4.36	2.29	1.16	2.54	6.62	3.37
Eilola-2010-210-204	204	war	sota	935	WAR	4.14	0.81	5.22	1.42	3.19	3.75	1.05	5.52	1.23	1.84
Eilola-2010-210-205	205	warmth	lämpö			3.71	6.97	3.64	0.17	3.99	4.8	7.1	4.14	0.22	2.8
Eilola-2010-210-206	206	water	vesi	948	WATER	7.02	6.03	1.44	0.14	0.72	6.85	6.62	1.74	0.22	0.66
Eilola-2010-210-207	207	wealth	varallisuus	2996	WEALTH	3.43	6.47	2.88	0.67	3.37	2.75	4.62	2.65	0.83	4.31
Eilola-2010-210-208	208	whore	huora	1610	PROSTITUTE	3.67	0.88	3.93	5.78	4.27	3.68	0.88	4.1	7.5	2.64
Eilola-2010-210-209	209	wine	viini	1524	WINE	4.97	5.12	1.6	0.18	0.61	3.58	5.13	2.47	0.38	0.43
Eilola-2010-210-210	210	wound	haava	1109	WOUND	2.11	1.51	2.74	0.32	1.37	3.74	2.24	2.42	0.55	0.66
