ID	NUMBER	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH
Smeltzer-1995-300-210	210	épine	124	THORN	thorn
Smeltzer-1995-300-211	211	fleur	239	FLOWER	flower
Smeltzer-1995-300-212	212	fruit	1507	FRUIT	fruit
Smeltzer-1995-300-213	213	mil	931	MILLET	millet
Smeltzer-1995-300-214	214	maïs	506	MAIZE	maize
Smeltzer-1995-300-215	215	banane	868	BANANA	banana
Smeltzer-1995-300-216	216	arachide	2364	PEANUT	peanut
Smeltzer-1995-300-217	217	herbe	606	GRASS	grass
Smeltzer-1995-300-218	218	“la brousse“	1683	BUSH	bush
Smeltzer-1995-300-219	219	champ	212	FIELD	field
Smeltzer-1995-300-220	220	pays	1300	COUNTRY	country
Smeltzer-1995-300-221	221	porte	1567	DOOR	door
Smeltzer-1995-300-222	222	chose	738	THING	thing
Smeltzer-1995-300-223	223	pagne	1965	LOINCLOTH	loincloth
Smeltzer-1995-300-224	224	calebasse	411	GOURD	gourd
Smeltzer-1995-300-225	225	trou	1667	HOLE	hole
Smeltzer-1995-300-226	226	mortier	224	MORTAR	mortar
Smeltzer-1995-300-227	227	pilon	225	PESTLE	pestle
Smeltzer-1995-300-228	228	hache	677	AXE	axe
Smeltzer-1995-300-229	229	flèche	977	ARROW	arrow
Smeltzer-1995-300-230	230	charbon	2658	COAL	coal
Smeltzer-1995-300-231	231	matin	1339	MORNING	morning
Smeltzer-1995-300-232	232	foudre	1654	LIGHTNING	lightning
Smeltzer-1995-300-233	233	houe	284	HOE	hoe
Smeltzer-1995-300-234	234	argile	1399	CLAY	clay
Smeltzer-1995-300-235	235	vingt	1710	TWENTY	twenty
Smeltzer-1995-300-236	236	cent	1634	HUNDRED	hundred
Smeltzer-1995-300-237	237	profond	1593	DEEP	deep
Smeltzer-1995-300-238	238	grand	711	TALL	tall, large
Smeltzer-1995-300-239	239	gros	1202	BIG	big
Smeltzer-1995-300-240	240	propre (pur)			clean (pure)
Smeltzer-1995-300-241	241	mince	2308	THIN	thin
Smeltzer-1995-300-242	242	difficile	584	DIFFICULT	difficult
Smeltzer-1995-300-243	243	fort	785	STRONG	strong
Smeltzer-1995-300-244	244	lisse	1234	SMOOTH	smooth
Smeltzer-1995-300-245	245	mauvais	1292	BAD	bad
Smeltzer-1995-300-246	246	exact (correct)	1725	CORRECT (RIGHT)	correct (right)
Smeltzer-1995-300-247	247	côté droit	1019	RIGHT	right side
Smeltzer-1995-300-248	248	côté gauche	244	LEFT	left side
Smeltzer-1995-300-249	249	peu de	1242	FEW	few
Smeltzer-1995-300-250	250	autre	197	OTHER	other, another
Smeltzer-1995-300-251	251	où?	1237	WHERE	where
Smeltzer-1995-300-252	252	ici	136	HERE	here
Smeltzer-1995-300-253	253	là-bas	3411	OVER THERE	over there
Smeltzer-1995-300-254	254	près de	1942	NEAR	near
Smeltzer-1995-300-255	255	loin	1406	FAR	far
Smeltzer-1995-300-256	256	comment?	1239	HOW	how
Smeltzer-1995-300-257	257	quand?	1238	WHEN	when
Smeltzer-1995-300-258	258	aujourd'hui	1283	TODAY	today
Smeltzer-1995-300-259	259	hier	1174	YESTERDAY	yesterday
Smeltzer-1995-300-260	260	demain	1329	TOMORROW	tomorrow
Smeltzer-1995-300-261	261	vivant	1422	BE ALIVE	alive
Smeltzer-1995-300-262	262	sale	1230	DIRTY	dirty
Smeltzer-1995-300-263	263	mûr	178	RIPE	ripe
Smeltzer-1995-300-264	264	tranchant (aigu)	1396	SHARP	sharp
Smeltzer-1995-300-265	265	mouillé	1726	WET	wet
Smeltzer-1995-300-266	266	pourri	1728	ROTTEN	rotten
Smeltzer-1995-300-267	267	chasser le gibier	1435	HUNT	to hunt game
Smeltzer-1995-300-268	268	respirer	1407	BREATHE	to breathe
Smeltzer-1995-300-269	269	bâiller	1028	YAWN	to yawn
Smeltzer-1995-300-270	270	danser	1879	DANCE	to dance
Smeltzer-1995-300-271	271	pleurer	1839	CRY	to cry
Smeltzer-1995-300-272	272	interroger	1309	ASK (INQUIRE)	to ask
Smeltzer-1995-300-273	273	donner (ordre)	1998	COMMAND	to give a command
Smeltzer-1995-300-274	274	écrire	1672	WRITE	to write
Smeltzer-1995-300-275	275	penser / réfléchir	1415	THINK (REFLECT)	to think / reflect
Smeltzer-1995-300-276	276	souffrir	1101	SUFFER	to suffer
Smeltzer-1995-300-277	277	aimer	923	LOVE	to love
Smeltzer-1995-300-278	278	chercher	1468	LOOK FOR	to search
Smeltzer-1995-300-279	279	trouver	719	FIND	to find
Smeltzer-1995-300-280	280	prendre	1749	TAKE	to take
Smeltzer-1995-300-281	281	préparer	2909	PREPARE	to prepare
Smeltzer-1995-300-282	282	cacher	602	HIDE (CONCEAL)	to hide (something)
Smeltzer-1995-300-283	283	mentir	601	LIE (MISLEAD)	to lie
Smeltzer-1995-300-284	284	arriver	1387	ARRIVE	to arrive
Smeltzer-1995-300-285	285	suivre	1085	FOLLOW	to follow
Smeltzer-1995-300-286	286	tresser	3294	BRAID (VERB) OR WEAVE (BASKET)	to braid, weave
Smeltzer-1995-300-287	287	courir	1519	RUN	to run
Smeltzer-1995-300-288	288	tourner	1588	TURN	to turn
Smeltzer-1995-300-289	289	tirer (arme)	1172	SHOOT	to shoot
Smeltzer-1995-300-290	290	essuyer	1454	WIPE	to wipe
Smeltzer-1995-300-291	291	balayer	230	SWEEP	to sweep
Smeltzer-1995-300-292	292	ouvrir	1156	OPEN	to open
Smeltzer-1995-300-293	293	casser	2558	BREAK (CLEAVE)	to break
Smeltzer-1995-300-294	294	couper	1432	CUT	to cut
Smeltzer-1995-300-295	295	percer	398	PIERCE	to pierce
Smeltzer-1995-300-296	296	lutter	1423	FIGHT	to fight
Smeltzer-1995-300-297	297	nouer (attacher)	1917	TIE	to tie
Smeltzer-1995-300-298	298	délier	352	UNTIE	to untie
Smeltzer-1995-300-299	299	battir			to hit, beat?
Smeltzer-1995-300-300	300	coudre	1457	SEW	to sew
