ID	NUMBER	SEMANTIC_CATEGORY	COMRIE_1977_207	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Janhunan-2008-235-139	119	Physiology	109	to die	1494	DIE
Janhunan-2008-235-140	120	Physiology	145	to freeze	1431	FREEZE
Janhunan-2008-235-141	121	Physiology	146	to swell	1573	SWELL
Janhunan-2008-235-142	122	Cognition	101	to see	1409	SEE
Janhunan-2008-235-143	123	Cognition	102	to hear	1408	HEAR
Janhunan-2008-235-144	124	Cognition	103	to know	1410	KNOW (SOMETHING)
Janhunan-2008-235-145	125	Cognition	104	to think	2271	THINK
Janhunan-2008-235-146	126	Cognition	105	to smell	2124	SMELL
Janhunan-2008-235-147	127	Cognition	106	to fear	1419	FEAR (BE AFRAID)
Janhunan-2008-235-148	128	Cognition	139	to count	1420	COUNT
Janhunan-2008-235-149	129	Technology	110	to kill	1417	KILL
Janhunan-2008-235-150	130	Technology	111	to fight	1423	FIGHT
Janhunan-2008-235-151	131	Technology	112	to hunt	1435	HUNT
Janhunan-2008-235-152	132	Technology	113	to hit	1433	HIT
Janhunan-2008-235-153	133	Technology	114	to cut	1432	CUT
Janhunan-2008-235-154	134	Technology	115	to split	1437	SPLIT
Janhunan-2008-235-155	135	Technology	116	to stab	1434	STAB
Janhunan-2008-235-156	136	Technology	117	to scratch	1436	SCRATCH
Janhunan-2008-235-157	137	Technology	118	to dig	1418	DIG
Janhunan-2008-235-158	138	Technology	129	to hold	1448	HOLD
Janhunan-2008-235-159	139	Technology	130	to squeeze	1414	SQUEEZE
Janhunan-2008-235-160	140	Technology	131	to rub	1449	RUB
Janhunan-2008-235-161	141	Technology	132	to wash	1453	WASH
Janhunan-2008-235-162	142	Technology	133	to wipe	1454	WIPE
Janhunan-2008-235-163	143	Technology	134	to pull	1455	PULL
Janhunan-2008-235-164	144	Technology	135	to push	1452	PUSH
Janhunan-2008-235-165	145	Technology	136	to throw	1456	THROW
Janhunan-2008-235-166	146	Technology	137	to tie	1917	TIE
Janhunan-2008-235-167	147	Technology	138	to sew	1457	SEW
Janhunan-2008-235-168	148	Motion	119	to swim	1439	SWIM
Janhunan-2008-235-169	149	Motion	129	to fly	1441	FLY (MOVE THROUGH AIR)
Janhunan-2008-235-170	150	Motion	121	to walk	1443	WALK
Janhunan-2008-235-171	151	Motion	122	to come	1446	COME
Janhunan-2008-235-172	152	Motion		to go	695	GO
Janhunan-2008-235-173	153	Motion		to arrive	1387	ARRIVE
Janhunan-2008-235-174	154	Motion	123	to lie on side	1411	LIE (REST)
Janhunan-2008-235-175	155	Motion	124	to sit	1416	SIT
Janhunan-2008-235-176	156	Motion	125	to stand	1442	STAND
Janhunan-2008-235-177	157	Motion	126	to turn	1588	TURN
Janhunan-2008-235-178	158	Motion	127	to fall	1280	FALL
Janhunan-2008-235-179	159	Motion	143	to float	1574	FLOAT
Janhunan-2008-235-180	160	Motion	144	to flow	2003	FLOW
Janhunan-2008-235-181	161	Interaction	128	to give	1447	GIVE
Janhunan-2008-235-182	162	Interaction	140	to say	1458	SAY
Janhunan-2008-235-183	163	Interaction	141	dance	1879	DANCE
Janhunan-2008-235-184	163b	Interaction		to sing	1261	SING
Janhunan-2008-235-185	164	Interaction	142	to play	1413	PLAY
Janhunan-2008-235-186	165	Astrology	147	sun	1343	SUN
Janhunan-2008-235-187	166	Astrology	148	moon	1313	MOON
Janhunan-2008-235-188	167	Astrology	149	star	1430	STAR
Janhunan-2008-235-189	168	Hydrology	150	water	948	WATER
Janhunan-2008-235-190	169	Hydrology	151	rain	658	RAIN (PRECIPITATION)
Janhunan-2008-235-191	170	Hydrology	152	river	666	RIVER
Janhunan-2008-235-192	171	Hydrology	153	lake	624	LAKE
Janhunan-2008-235-193	172	Hydrology	154	sea	1474	SEA
Janhunan-2008-235-194	173	Hydrology	164	snow	784	SNOW
Janhunan-2008-235-195	174	Hydrology	165	ice	617	ICE
Janhunan-2008-235-196	175	Hydrology	194	wet	1726	WET
Janhunan-2008-235-197	176	Hydrology	195	dry	1398	DRY
Janhunan-2008-235-198	177	Geology	155	salt	1274	SALT
Janhunan-2008-235-199	178	Geology	156	stone	857	STONE
Janhunan-2008-235-200	179	Geology	157	sand	671	SAND
Janhunan-2008-235-201	180	Geology	158	dust	2	DUST
Janhunan-2008-235-202	181	Geology	159	earth / field	212	FIELD
Janhunan-2008-235-203	182	Geology	170	road	667	ROAD
Janhunan-2008-235-204	183	Geology	171	mountain	639	MOUNTAIN
Janhunan-2008-235-205	184	Geology	171	valley	921	VALLEY
Janhunan-2008-235-206	185	Meteorology	160	cloud	1489	CLOUD
Janhunan-2008-235-207	186	Meteorology	161	fog	249	FOG
Janhunan-2008-235-208	187	Meteorology	162	sky	1732	SKY
Janhunan-2008-235-209	188	Meteorology	163	wind	960	WIND
Janhunan-2008-235-210	189	Meteorology	180	warm	1232	WARM
Janhunan-2008-235-211	190	Meteorology	181	cold	1287	COLD
Janhunan-2008-235-212	191	Pyrology	166	smoke	778	SMOKE (EXHAUST)
Janhunan-2008-235-213	192	Pyrology	167	fire	221	FIRE
Janhunan-2008-235-214	193	Pyrology	168	ashes	646	ASH
Janhunan-2008-235-215	194	Pyrology		charcoal	1188	CHARCOAL
Janhunan-2008-235-216	195	Pyrology	169	to burn	2102	BURN
Janhunan-2008-235-217	196	Chronology	177	night	1233	NIGHT
Janhunan-2008-235-218	197	Chronology	178	daytime	1225	DAY (NOT NIGHT)
Janhunan-2008-235-219	198	Chronology		week	1469	WEEK
Janhunan-2008-235-220	199	Chronology	179	year	1226	YEAR
Janhunan-2008-235-221	200	Chronology		month	1370	MONTH
Janhunan-2008-235-222	201	Numerals	022	one	1493	ONE
Janhunan-2008-235-223	201b	Numerals				
Janhunan-2008-235-224	201c	Numerals		[CL] *one	1493	ONE
Janhunan-2008-235-225	202	Numerals	023	two	1498	TWO
Janhunan-2008-235-226	202b	Numerals		[CL] *two	1498	TWO
Janhunan-2008-235-227	203	Numerals	024	three	492	THREE
Janhunan-2008-235-228	203b	Numerals		[CL] *three	492	THREE
Janhunan-2008-235-229	204	Numerals	025	four	1500	FOUR
Janhunan-2008-235-230	204b	Numerals		[CL] *four	1500	FOUR
Janhunan-2008-235-231	205	Numerals	026	five	493	FIVE
Janhunan-2008-235-232	205b	Numerals		[CL] *five	493	FIVE
Janhunan-2008-235-233	206	Numerals		six	1703	SIX
Janhunan-2008-235-234	206b	Numerals		[CL] *six	1703	SIX
Janhunan-2008-235-235	207	Numerals		seven	1704	SEVEN
Janhunan-2008-235-236	207b	Numerals		[CL] *seven	1704	SEVEN
Janhunan-2008-235-237	208	Numerals		eight	1705	EIGHT
Janhunan-2008-235-238	208b	Numerals		[CL] *eight	1705	EIGHT
Janhunan-2008-235-239	209	Numerals		nine	1483	NINE
Janhunan-2008-235-240	209b	Numerals		[CL] *nine	1483	NINE
Janhunan-2008-235-241	210	Numerals		ten	1515	TEN
Janhunan-2008-235-242	210b	Numerals		[CL] *ten	1515	TEN
Janhunan-2008-235-243	211	Numerals		hundred	1634	HUNDRED
Janhunan-2008-235-244	211b	Numerals		[CL] *hundred	1634	HUNDRED
Janhunan-2008-235-245	212	Numerals		thousand	1843	THOUSAND
Janhunan-2008-235-246	212b	Numerals		[CL] *thousand	1843	THOUSAND
Janhunan-2008-235-247	213	Numerals		ten thousand	2078	TEN THOUSAND
Janhunan-2008-235-248	213b	Numerals		[CL] *ten *thousand	2078	TEN THOUSAND
Janhunan-2008-235-249	214	Qualities	031	heavy	1210	HEAVY
Janhunan-2008-235-250	215	Qualities		full	1429	FULL
Janhunan-2008-235-251	216	Qualities		empty	1624	EMPTY
Janhunan-2008-235-252	217	Qualities	184	old	1229	OLD
Janhunan-2008-235-253	218	Qualities	183	new	1231	NEW
Janhunan-2008-235-254	219	Qualities		young	564	YOUNG (OF MAN)
Janhunan-2008-235-255	220	Qualities	185	good	1035	GOOD
Janhunan-2008-235-256	221	Qualities	186	bad	1292	BAD
Janhunan-2008-235-257	222	Qualities	187	rotten	1728	ROTTEN
Janhunan-2008-235-258	223	Qualities	188	dirty	1230	DIRTY
Janhunan-2008-235-259	224	Qualities	196	correct [OBJ]	1725	CORRECT (RIGHT)
Janhunan-2008-235-260	225	Qualities		wrong [OBJ]	1390	WRONG
Janhunan-2008-235-261	226	Economy		horse	615	HORSE
Janhunan-2008-235-262	227	Economy		donkey	1862	DONKEY
Janhunan-2008-235-263	228	Economy		mule	890	MULE
Janhunan-2008-235-264	229	Economy		yak	2477	YAK
Janhunan-2008-235-265	229b	Economy		male yak	2478	MALE YAK
Janhunan-2008-235-266	229c	Economy		female yak	2479	FEMALE YAK
Janhunan-2008-235-267	230	Economy		sheep	1331	SHEEP
Janhunan-2008-235-268	231	Economy		goat	1502	GOAT
Janhunan-2008-235-269	231c	Economy		male goat	2475	MALE GOAT
Janhunan-2008-235-270	232	Economy		wool	964	WOOL
Janhunan-2008-235-271	233	Economy		barley	932	BARLEY
Janhunan-2008-235-272	234	Economy		milk	635	MILK
Janhunan-2008-235-273	235	Economy		butter	1245	BUTTER
