ID	NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES
Lapesa-2014-772-251	251	fail	verb	3861	FAIL	256:to-achieve-to-fail:1 260:to-achieve-to-fail:1 263:to-achieve-to-fail:1	←12 ←12 ←12	poli1 poli1 poli1	freqMax freqMax freqMax	NOT NOT HIGH	HYP SYN ANT	0 0 5	0 0 4.9
Lapesa-2014-772-252	252	familiarize	verb			255:to-accustom-to-familiarize:1	←11	poli1	freqMed	HIGH	SYN	4.2	4.3
Lapesa-2014-772-253	253	famous	adjective			204:unknown-famous:1	←711	poli3	freqMax	LOW	ANT	4.9	5
Lapesa-2014-772-254	254	fancy	verb			364:to-fancy-to-like:0 365:to-fancy-to-desire:0 366:to-fancy-to-dislike:0	→398 →178 →197	poli2 poli2 poli2	freqMed freqMed freqMed	HIGH LOW NOT	SYN SYN SYN	4.5 4.2 0	4.6 4.4 0
Lapesa-2014-772-255	255	farewell	noun	3554	GOODBYE	713:goodbye-farewell:1	←291	poli1	freqMed	HIGH	SYN	4.6	4.9
Lapesa-2014-772-256	256	fatal	adjective			98:mortal-fatal:1	←435	poli2	freqMed	NOT	ANT	0.5	0.4
Lapesa-2014-772-257	257	favorable	adjective			192:unfavorable-favorable:1	←702	poli3	freqMin	HIGH	ANT	5	5
Lapesa-2014-772-258	258	fee	noun			700:fee-charge:0 701:fee-price:0 702:fee-bonus:0	→98 →505 →74	poli2 poli2 poli2	freqMax freqMax freqMax	HIGH LOW NOT	SYN SYN SYN	4.8 4 0.5	4.2 4.3 0.3
Lapesa-2014-772-259	259	feeling	noun	2573	FEELING (EMOTION)	597:admiration-feeling:1	←18	poli3	freqMed	HIGH	HYP	4.9	4.8
Lapesa-2014-772-260	260	fight	verb	1423	FIGHT	281:to-battle-to-fight:1 284:to-battle-to-fight:1	←57 ←57	poli1 poli1	freqMax freqMax	NOT HIGH	ANT HYP	0 3.9	0 4.5
Lapesa-2014-772-261	261	fish	noun	227	FISH	730:lobster-fish:1 734:lobster-fish:1	←405 ←405	poli2 poli2	freqMed freqMed	NOT NOT	HYP SYN	1.4 1.6	1.2 0.7
Lapesa-2014-772-262	262	fist	noun	1473	FIST	772:punch-fist:1	←521	poli3	freqMed	LOW	SYN	1.3	0.8
Lapesa-2014-772-263	263	flat	adjective	1633	FLAT	38:dimensional-flat:1 715:groove-flat:1	←188 ←300	poli1 poli3	freqMed freqMed	HIGH NOT	ANT HYP	4.3 0	4.3 0
Lapesa-2014-772-264	264	flatten	verb			408:to-iron-to-flatten:1 411:to-iron-to-flatten:1	←374 ←374	poli1 poli1	freqMed freqMed	LOW LOW	SYN HYP	3.9 4.4	3.4 4
Lapesa-2014-772-265	265	flatter	verb	2709	FLATTER	330:to-court-to-flatter:1 497:to-slam-to-flatter:1	←146 ←606	poli3 poli3	freqMed freqMed	LOW LOW	SYN ANT	2.1 4.4	2.2 4.4
Lapesa-2014-772-266	266	flea	noun	232	FLEA	693:elephant-flea:1	←218	poli2	freqMax	LOW	ANT	3.4	3.3
Lapesa-2014-772-267	267	flyer	noun			728:leaflet-flyer:1	←390	poli3	freqMax	LOW	SYN	4.8	4.7
Lapesa-2014-772-268	268	follower	noun			720:innovator-follower:1	←361	poli1	freqMed	NOT	SYN	0.1	0.5
Lapesa-2014-772-269	269	foot	noun	1301	FOOT	703:foot-hand:0 704:foot-head:0 705:foot-base:0	→306 →308 →56	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH LOW NOT	ANT ANT ANT	2.5 4.5 0.1	2.7 3.8 0
Lapesa-2014-772-270	270	forget	verb	1523	FORGET	352:to-document-to-forget:1 466:to-picture-to-forget:1 467:to-picture-to-forget:1	←207 ←486 ←486	poli2 poli2 poli2	freqMax freqMax freqMax	NOT NOT NOT	HYP HYP SYN	0 0.1 0	0 0 0
Lapesa-2014-772-271	271	forgive	verb	1528	FORGIVE	453:to-pardon-to-forgive:1 458:to-pardon-to-forgive:1 459:to-pardon-to-forgive:1	←471 ←471 ←471	poli2 poli2 poli2	freqMin freqMin freqMin	HIGH NOT HIGH	SYN ANT HYP	4.7 0 4.5	4.8 0.2 4.5
Lapesa-2014-772-272	272	foul	adjective			56:gross-foul:1	←301	poli2	freqMax	LOW	SYN	3.5	4.4
Lapesa-2014-772-273	273	free	verb	2316	FREE	301:to-confine-to-free:1 304:to-confine-to-free:1 315:to-constrict-to-free:1 318:to-constrict-to-free:1	←129 ←129 ←137 ←137	poli3 poli3 poli2 poli2	freqMax freqMax freqMin freqMin	NOT HIGH NOT HIGH	SYN ANT HYP ANT	0.1 5 0 4.8	0.1 4.9 0.1 4.7
Lapesa-2014-772-274	274	freedom	noun	4086	FREEDOM	645:commitment-freedom:1	←118	poli3	freqMax	LOW	ANT	3.1	3
Lapesa-2014-772-275	275	friendship	noun	3954	FRIENDSHIP	792:rivalry-friendship:1	←560	poli1	freqMed	NOT	SYN	0	0.1
Lapesa-2014-772-276	276	frown	verb			494:to-simper-to-frown:1	←601	poli1	freqMin	HIGH	ANT	3.1	2.9
Lapesa-2014-772-277	277	frugal	adjective			168:thrifty-frugal:1 169:thrifty-frugal:1 171:thrifty-frugal:1	←666 ←666 ←666	poli3 poli3 poli3	freqMin freqMin freqMin	LOW NOT HIGH	HYP ANT SYN	4.2 0.9 4.7	4.25 0 5
Lapesa-2014-772-278	278	fruit	noun	1507	FRUIT	630:blueberry-fruit:1 726:kiwi-fruit:1 831:tomato-fruit:1 834:tomato-fruit:1	←71 ←380 ←670 ←670	poli2 poli3 poli2 poli2	freqMin freqMin freqMax freqMax	HIGH HIGH HIGH HIGH	HYP SYN HYP SYN	5 3 4.6 2.7	5 2.9 4.4 2.1
Lapesa-2014-772-279	279	fullness	noun			652:completeness-fullness:1	←123	poli2	freqMed	LOW	SYN	4	3.9
Lapesa-2014-772-280	280	fun	noun	4062	FUN	779:recreation-fun:1 781:recreation-fun:1	←536 ←536	poli1 poli1	freqMax freqMax	NOT LOW	ANT HYP	1 2.9	0 3.2
Lapesa-2014-772-281	281	funded	adjective			52:funded-paid:0 53:funded-resourced:0 54:funded-unfunded:0	→466 →549 →703	poli1 poli1 poli1	freqMax freqMax freqMax	HIGH LOW NOT	HYP HYP HYP	4.308 4.5 0	4.182 4.4 0
Lapesa-2014-772-282	282	gather	verb	7	GATHER	428:to-lump-to-gather:1	←409	poli2	freqMin	LOW	HYP	4	4
Lapesa-2014-772-283	283	gauge	noun			706:gauge-guess:0 707:gauge-estimate:0 708:gauge-measure:0 709:gauge-measure:0 710:gauge-guess:0 711:gauge-test:0	→305 →234 →421 →421 →305 →663	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH LOW NOT HIGH NOT LOW	ANT ANT ANT SYN SYN SYN	0.8 0.5 1.3 4.6 2.1 3.7	1.6 1 0 4.3 2.2 3.8
Lapesa-2014-772-284	284	genuine	adjective			149:superficial-genuine:1	←649	poli3	freqMed	LOW	ANT	4.8	4.3
Lapesa-2014-772-285	285	germ	noun			722:iodine-germ:1	←373	poli2	freqMin	NOT	HYP	0	0.2
Lapesa-2014-772-286	286	gesture	verb			583:to-wink-to-gesture:1	←760	poli3	freqMin	LOW	HYP	4.6	3.7
Lapesa-2014-772-287	287	get	verb	694	GET	258:to-achieve-to-get:1	←12	poli1	freqMax	LOW	HYP	3.5	4.6
Lapesa-2014-772-288	288	give	verb	1447	GIVE	292:to-bill-to-give:1 768:pocket-give:1	←64 ←493	poli3 poli3	freqMed freqMax	LOW NOT	ANT SYN	2.2 0.1	3.1 0
Lapesa-2014-772-289	289	glutton	noun	533	GLUTTON	754:omnivore-glutton:1	←456	poli2	freqMin	NOT	ANT	0.3	0.2
Lapesa-2014-772-290	290	godlike	adjective			67:immortal-godlike:1	←336	poli3	freqMed	LOW	SYN	3.6	3.8
Lapesa-2014-772-291	291	goodbye	noun			712:goodbye-departure:0 713:goodbye-farewell:0 714:goodbye-hello:0	→175 →255 →312	poli1 poli1 poli1	freqMed freqMed freqMed	LOW HIGH NOT	SYN SYN SYN	3 4.6 0	3.6 4.9 0
Lapesa-2014-772-292	292	gooseberry	noun			725:kiwi-gooseberry:1	←380	poli3	freqMin	LOW	SYN	1.2	0.7
Lapesa-2014-772-293	293	gossip	noun	3640	GOSSIP	793:rumour-gossip:1 801:rumour-gossip:1	←565 ←565	poli1 poli1	freqMax freqMax	NOT HIGH	ANT HYP	0 4.3	0.1 4
Lapesa-2014-772-294	294	gracious	adjective			160:thankful-gracious:1	←664	poli3	freqMed	LOW	SYN	3.4	3.9
Lapesa-2014-772-295	295	grain	noun	605	GRAIN	625:barley-grain:1 627:barley-grain:1	←55 ←55	poli2 poli2	freqMed freqMed	HIGH HIGH	HYP SYN	5 3.7	4.8 3.7
Lapesa-2014-772-296	296	grass	noun	606	GRASS	624:barley-grass:1	←55	poli2	freqMed	LOW	SYN	1.5	2
Lapesa-2014-772-297	297	grateful	adjective			161:thankful-grateful:1	←664	poli3	freqMed	HIGH	SYN	4.8	4.8
Lapesa-2014-772-298	298	graveyard	noun	3284	GRAVEYARD	637:cemetery-graveyard:1 638:cemetery-graveyard:1	←92 ←92	poli1 poli1	freqMax freqMax	NOT HIGH	ANT SYN	0.1 5	0.1 4.9
Lapesa-2014-772-299	299	gravitational	adjective			246:weightless-gravitational:1	←751	poli1	freqMin	LOW	HYP	0.5	1.167
Lapesa-2014-772-300	300	groove	noun			715:groove-flat:0 716:groove-dance:0 717:groove-cut:0	→263 →160 →157	poli3 poli3 poli3	freqMed freqMed freqMed	NOT HIGH LOW	HYP HYP HYP	0 2.7 2.6	0 3.3 3.8
Lapesa-2014-772-301	301	gross	adjective			55:gross-disgusting:0 56:gross-foul:0 57:gross-unpleasant:0 58:gross-clean:0 59:gross-clean:0 60:gross-disgusting:0	→196 →272 →716 →109 →109 →196	poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH LOW LOW NOT NOT HIGH	SYN SYN HYP SYN HYP HYP	4.7 3.5 4.9 0 0.1 4.615	4.9 4.4 4.7 0.1 0 3.909
Lapesa-2014-772-302	302	ground	noun	2159	GROUND	817:skyline-ground:1	←605	poli2	freqMed	NOT	SYN	1	0.9
Lapesa-2014-772-303	303	group	verb			427:to-lump-to-group:1 449:to-organize-to-group:1	←409 ←463	poli2 poli1	freqMin freqMax	HIGH LOW	HYP SYN	4.6 3.7	4.4 3.8
Lapesa-2014-772-304	304	grow	verb	479	GROW	548:to-trim-to-grow:1 552:to-trim-to-grow:1	←677 ←677	poli3 poli3	freqMed freqMed	NOT NOT	HYP SYN	0.2 0.2	0.2 0.2
Lapesa-2014-772-305	305	guess	noun			706:gauge-guess:1 710:gauge-guess:1 737:measurement-guess:1	←283 ←283 ←422	poli1 poli1 poli2	freqMax freqMax freqMax	HIGH NOT HIGH	ANT SYN ANT	0.8 2.1 3.4	1.6 2.2 3.9
Lapesa-2014-772-306	306	hand	noun	1277	HAND	703:foot-hand:1	←269	poli3	freqMax	HIGH	ANT	2.5	2.7
Lapesa-2014-772-307	307	harm	verb	44	INJURE	247:to-abuse-to-harm:1 419:to-kill-to-harm:1	←5 ←379	poli3 poli3	freqMax freqMax	LOW LOW	HYP HYP	4.8 4.6	4.5 4.8
Lapesa-2014-772-308	308	head	noun	1256	HEAD	704:foot-head:1	←269	poli3	freqMax	LOW	ANT	4.5	3.8
Lapesa-2014-772-309	309	hearing	adjective			31:deaf-hearing:1	←163	poli3	freqMax	HIGH	ANT	5	4.6
Lapesa-2014-772-310	310	hearsay	noun			798:rumour-hearsay:1	←565	poli1	freqMax	LOW	SYN	4.4	4.7
Lapesa-2014-772-311	311	heavy	adjective	1210	HEAVY	243:weightless-heavy:1 244:weightless-heavy:1	←751 ←751	poli1 poli1	freqMin freqMin	NOT HIGH	HYP ANT	0 4.8	0 5
Lapesa-2014-772-312	312	hello	noun	3553	HELLO	714:goodbye-hello:1	←291	poli1	freqMed	NOT	SYN	0	0
Lapesa-2014-772-313	313	help	verb	1897	HELP	563:to-uplift-to-help:1	←729	poli3	freqMed	LOW	HYP	3.9	4.3
Lapesa-2014-772-314	314	herbivore	noun			756:omnivore-herbivore:1	←456	poli2	freqMin	HIGH	ANT	3.1	3.2
Lapesa-2014-772-315	315	hide	verb	2486	HIDE	347:to-disclose-to-hide:1	←191	poli2	freqMax	NOT	SYN	0.5	0
Lapesa-2014-772-316	316	historical	adjective			10:biblical-historical:1	←63	poli2	freqMax	LOW	HYP	3.154	3.364
Lapesa-2014-772-317	317	hit	verb	1433	HIT	426:to-lop-to-hit:1 534:to-swat-to-hit:1 535:to-swat-to-hit:1 774:punch-hit:1	←406 ←652 ←652 ←521	poli2 poli1 poli1 poli3	freqMin freqMin freqMin freqMed	LOW HIGH HIGH HIGH	HYP SYN HYP SYN	2.4 4.4 4.4 4.7	1.4 4.3 4.5 4.7
Lapesa-2014-772-318	318	hoarding	noun			668:distribution-hoarding:1	←204	poli3	freqMax	LOW	ANT	4.2	4.1
Lapesa-2014-772-319	319	hold	verb	1448	HOLD	305:to-confine-to-hold:1	←129	poli3	freqMax	LOW	SYN	3.5	3.3
Lapesa-2014-772-320	320	holder	noun			767:pocket-holder:1	←493	poli3	freqMax	LOW	SYN	2.7	2.9
Lapesa-2014-772-321	321	hone	verb			367:to-hone-to-muddle:0 368:to-hone-to-acquire:0 369:to-hone-to-sharpen:0 370:to-hone-to-wrap:0 371:to-hone-to-dull:0 372:to-hone-to-dull:0	→438 →13 →593 →765 →212 →212	poli2 poli2 poli2 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed freqMed	LOW LOW HIGH NOT HIGH NOT	ANT SYN SYN ANT ANT SYN	2.7 1.1 4.3 0.5 4.8 0	3.6 1.5 4.3 0.5 4.9 0
Lapesa-2014-772-322	322	horizon	noun	2287	HORIZON	818:skyline-horizon:1	←605	poli2	freqMed	HIGH	SYN	3.8	4.3
Lapesa-2014-772-323	323	horn	noun	939	HORN (INSTRUMENT)	837:trombone-horn:1	←679	poli1	freqMed	LOW	SYN	3	2.7
Lapesa-2014-772-324	324	horse	noun	615	HORSE	855:zebra-horse:1	←771	poli1	freqMin	NOT	HYP	2.2	3
Lapesa-2014-772-325	325	humble	adjective	4069	HUMBLE	61:humble-modest:0 62:humble-boastful:0 63:humble-proud:0	→433 →72 →515	poli3 poli3 poli3	freqMax freqMax freqMax	NOT LOW HIGH	ANT ANT ANT	0.6 4.9 5	0.4 4.9 4.3
Lapesa-2014-772-326	326	hurricane	noun			813:sandstorm-hurricane:1	←570	poli1	freqMin	NOT	HYP	0.1	0.2
Lapesa-2014-772-327	327	hurt	verb	2411	HURT (SOMEBODY)	248:to-abuse-to-hurt:1 250:to-abuse-to-hurt:1	←5 ←5	poli3 poli3	freqMax freqMax	HIGH HIGH	HYP SYN	4.7 4.2	4.7 4.2
Lapesa-2014-772-328	328	ignorance	noun			676:education-ignorance:1 678:education-ignorance:1 679:education-ignorance:1	←214 ←214 ←214	poli3 poli3 poli3	freqMax freqMax freqMax	NOT NOT HIGH	SYN HYP ANT	0 0 4.3	0.2 0.1 3.7
Lapesa-2014-772-329	329	ignore	verb	41	IGNORE	266:to-alert-to-ignore:1 270:to-alert-to-ignore:1 321:to-construe-to-ignore:1 328:to-court-to-ignore:1 331:to-court-to-ignore:1 332:to-court-to-ignore:1 338:to-critique-to-ignore:1 445:to-nose-to-ignore:1	←27 ←27 ←138 ←146 ←146 ←146 ←154 ←450	poli1 poli1 poli1 poli3 poli3 poli3 poli1 poli3	freqMax freqMax freqMed freqMed freqMed freqMed freqMin freqMin	HIGH NOT LOW NOT NOT HIGH LOW HIGH	ANT SYN ANT HYP SYN ANT ANT ANT	4.5 0 1.4 0 0.1 4.4 3.7 3.8	3.9 0 2.2 0.4 0 4.3 3.6 2.2
Lapesa-2014-772-330	330	illegal	adjective			206:unlawful-illegal:1 209:unlawful-illegal:1 210:unlawful-illegal:1	←712 ←712 ←712	poli3 poli3 poli3	freqMed freqMed freqMed	NOT HIGH HIGH	ANT HYP SYN	0.1 4.846 4.9	0.6 3.636 5
Lapesa-2014-772-331	331	illiteracy	noun			681:education-illiteracy:1	←214	poli3	freqMax	LOW	ANT	4.3	3.7
Lapesa-2014-772-332	332	illustrate	verb			465:to-picture-to-illustrate:1	←486	poli2	freqMax	LOW	SYN	2.4	2.8
Lapesa-2014-772-333	333	imaginative	adjective			113:poetic-imaginative:1	←494	poli2	freqMed	LOW	SYN	2.3	2.5
Lapesa-2014-772-334	334	imagine	verb	3879	IMAGINE	463:to-picture-to-imagine:1 464:to-picture-to-imagine:1	←486 ←486	poli2 poli2	freqMax freqMax	HIGH HIGH	SYN HYP	4.6 4.6	4.7 4.6
Lapesa-2014-772-335	335	immobilize	verb			373:to-immobilize-to-stagnate:0 374:to-immobilize-to-stop:0 375:to-immobilize-to-mobilize:0	→625 →638 →432	poli3 poli3 poli3	freqMin freqMin freqMin	LOW HIGH NOT	SYN SYN SYN	2.8 4 0	2.8 4.5 0
Lapesa-2014-772-336	336	immortal	adjective			64:immortal-undying:0 65:immortal-undying:0 66:immortal-mortal:0 67:immortal-godlike:0 68:immortal-dead:0 69:immortal-mortal:0 99:mortal-immortal:1	→698 →698 →435 →290 →162 →435 ←435	poli3 poli3 poli3 poli3 poli3 poli3 poli2	freqMed freqMed freqMed freqMed freqMed freqMed freqMed	NOT HIGH HIGH LOW LOW NOT HIGH	ANT SYN ANT SYN ANT SYN ANT	1 4.4 5 3.6 4.1 0 5	0.8 4.5 5 3.8 4 0 5
Lapesa-2014-772-337	337	import	verb			362:to-export-to-import:1	←248	poli1	freqMax	NOT	SYN	0	0.1
Lapesa-2014-772-338	338	important	adjective	1285	IMPORTANT	235:vital-important:1 239:vital-important:1	←744 ←744	poli1 poli1	freqMax freqMax	HIGH HIGH	HYP SYN	4.9 4.6	4.8 4.7
Lapesa-2014-772-339	339	impossible	adjective			120:probable-impossible:1	←508	poli3	freqMax	LOW	ANT	4	4.2
Lapesa-2014-772-340	340	improbable	adjective			115:probable-improbable:1 121:probable-improbable:1 122:probable-improbable:1	←508 ←508 ←508	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH NOT NOT	ANT SYN HYP	4.9 0 0	5 0 0
Lapesa-2014-772-341	341	improvident	adjective			129:provident-improvident:1	←517	poli3	freqMin	LOW	ANT	5	5
Lapesa-2014-772-342	342	impure	adjective			70:impure-dirty:0 71:impure-pure:0 72:impure-unclean:0 180:unclean-impure:1	→189 →522 →692 ←692	poli3 poli3 poli3 poli3	freqMin freqMin freqMin freqMin	HIGH NOT LOW LOW	HYP HYP HYP SYN	4.3 0 4.462 4.5	4.667 0 4.455 4.4
Lapesa-2014-772-343	343	inaccessibility	noun			592:accessibility-inaccessibility:1	←7	poli2	freqMax	NOT	SYN	0	0
Lapesa-2014-772-344	344	incapable	adjective			2:able-incapable:1	←2	poli1	freqMax	LOW	ANT	4.7	5
Lapesa-2014-772-345	345	incidental	adjective			76:indispensable-incidental:1	←352	poli2	freqMed	LOW	ANT	2.7	2.2
Lapesa-2014-772-346	346	include	verb			309:to-consist-to-include:1	←134	poli1	freqMax	NOT	ANT	0.6	1.2
Lapesa-2014-772-347	347	incomplete	adjective			108:partial-incomplete:1	←476	poli2	freqMax	HIGH	SYN	4.7	4.5
Lapesa-2014-772-348	348	incompleteness	noun			651:completeness-incompleteness:1 653:completeness-incompleteness:1	←123 ←123	poli2 poli2	freqMed freqMed	HIGH NOT	ANT SYN	5 0	5 0
Lapesa-2014-772-349	349	inconsolable	adjective			73:inconsolable-desolate:0 74:inconsolable-consolable:0 75:inconsolable-ecstatic:0	→179 →135 →213	poli2 poli2 poli2	freqMin freqMin freqMin	NOT HIGH LOW	ANT ANT ANT	0.3 4.9 3.2	0.4 5 3.3
Lapesa-2014-772-350	350	independent	adjective			226:unsupervised-independent:1	←725	poli2	freqMin	LOW	HYP	4	3.375
Lapesa-2014-772-351	351	indicative	adjective			156:symbolic-indicative:1	←654	poli2	freqMax	LOW	SYN	3.2	4.1
Lapesa-2014-772-352	352	indispensable	adjective			76:indispensable-incidental:0 77:indispensable-dispensable:0 78:indispensable-essential:0	→345 →199 →232	poli2 poli2 poli2	freqMed freqMed freqMed	LOW HIGH NOT	ANT ANT ANT	2.7 5 0.6	2.2 4.8 0.6
Lapesa-2014-772-353	353	indivisible	adjective			44:double-indivisible:1	←209	poli2	freqMax	LOW	ANT	2.1	1.3
Lapesa-2014-772-354	354	inexperience	noun			748:naivety-inexperience:1	←444	poli1	freqMin	LOW	SYN	4.1	3.3
Lapesa-2014-772-355	355	infect	verb			324:to-contaminate-to-infect:1	←139	poli2	freqMed	NOT	ANT	0	0.2
Lapesa-2014-772-356	356	inform	verb			348:to-disclose-to-inform:1	←191	poli2	freqMax	LOW	SYN	4.3	4.6
Lapesa-2014-772-357	357	information	noun	4044	INFORMATION	796:rumour-information:1	←565	poli1	freqMax	LOW	HYP	2.6	3.2
Lapesa-2014-772-358	358	inhabit	verb			376:to-inhabit-to-abandon:0 377:to-inhabit-to-live:0 378:to-inhabit-to-vacate:0 379:to-inhabit-to-live:0 380:to-inhabit-to-live:0 381:to-inhabit-to-occupy:0 382:to-inhabit-to-occupy:0 383:to-inhabit-to-abandon:0 384:to-inhabit-to-abandon:0	→1 →404 →733 →404 →404 →455 →455 →1 →1	poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	NOT HIGH LOW HIGH NOT LOW LOW NOT HIGH	HYP SYN ANT HYP ANT SYN HYP SYN ANT	0 4.6 4.8 3.6 0.7 4.6 4.6 0 4.2	0.4 4 4.8 4.6 0.5 4.9 4.6 0 4.2
Lapesa-2014-772-359	359	ink	verb	2643	INK	385:to-ink-to-unmark:0 386:to-ink-to-erase:0 387:to-ink-to-write:0	→714 →231 →768	poli2 poli2 poli2	freqMin freqMin freqMin	LOW HIGH NOT	ANT ANT ANT	4.5 4 0.3	4.6 4.1 0.3
Lapesa-2014-772-360	360	innocence	noun			749:naivety-innocence:1	←444	poli1	freqMin	HIGH	SYN	4.5	3.8
Lapesa-2014-772-361	361	innovator	noun			718:innovator-visionary:0 719:innovator-inventor:0 720:innovator-follower:0	→743 →371 →268	poli1 poli1 poli1	freqMed freqMed freqMed	LOW HIGH NOT	SYN SYN SYN	4.3 3.8 0.1	4.1 3.7 0.5
Lapesa-2014-772-362	362	inscribe	verb			388:to-inscribe-to-erase:0 389:to-inscribe-to-write:0 390:to-inscribe-to-engrave:0 391:to-inscribe-to-write:0 392:to-inscribe-to-erase:0 393:to-inscribe-to-engrave:0	→231 →768 →229 →768 →231 →229	poli3 poli3 poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMed freqMed freqMed	NOT HIGH LOW HIGH NOT LOW	HYP HYP SYN SYN SYN HYP	0.4 4.6 4.1 4.4 0 4.3	0.3 4.7 4.5 4.4 0 4.3
Lapesa-2014-772-363	363	inspect	verb			546:to-tour-to-inspect:1	←672	poli1	freqMax	LOW	SYN	2.4	2.2
Lapesa-2014-772-364	364	instrument	noun			646:compass-instrument:1 835:trombone-instrument:1 839:trombone-instrument:1	←120 ←679 ←679	poli3 poli1 poli1	freqMed freqMed freqMed	HIGH HIGH HIGH	HYP SYN HYP	4.6 2.5 5	4.5 3.5 4.8
Lapesa-2014-772-365	365	insured	adjective			197:uninsured-insured:1 199:uninsured-insured:1 201:uninsured-insured:1	←709 ←709 ←709	poli1 poli1 poli1	freqMed freqMed freqMed	NOT NOT HIGH	HYP SYN ANT	0 0 5	0 0 5
Lapesa-2014-772-366	366	intentional	adjective			79:intentional-accidental:0 80:intentional-arbitrary:0 81:intentional-accidental:0 82:intentional-purposeful:0 83:intentional-deliberate:0 84:intentional-purposeful:0	→8 →40 →8 →524 →169 →524	poli2 poli2 poli2 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed freqMed	NOT LOW HIGH HIGH LOW NOT	SYN ANT ANT SYN SYN ANT	0.3 3.6 5 3.9 4.8 0	0 3.5 4.9 4.5 5 0.1
Lapesa-2014-772-367	367	interpret	verb			319:to-construe-to-interpret:1 394:to-interpret-to-misunderstand:0 395:to-interpret-to-understand:0 396:to-interpret-to-encrypt:0	←138 →431 →696 →227	poli1 poli3 poli3 poli3	freqMed freqMax freqMax freqMax	NOT HIGH NOT LOW	ANT ANT ANT ANT	0.2 2.7 0.1 3.7	1 3.1 0.4 4.2
Lapesa-2014-772-368	368	intoxicate	verb			397:to-intoxicate-to-excite:0 398:to-intoxicate-to-cleanse:0 399:to-intoxicate-to-sober:0	→243 →110 →614	poli3 poli3 poli3	freqMin freqMin freqMin	NOT LOW HIGH	ANT ANT ANT	0.6 3.4 5	1 3.6 5
Lapesa-2014-772-369	369	invalid	adjective			85:invalid-valid:0 86:invalid-true:0 87:invalid-unacceptable:0	→735 →681 →689	poli3 poli3 poli3	freqMed freqMed freqMed	HIGH LOW NOT	ANT ANT ANT	5 3.6 0.2	5 3.3 0.6
Lapesa-2014-772-370	370	invalidate	verb			400:to-invalidate-to-validate:0 401:to-invalidate-to-verify:0 402:to-invalidate-to-disprove:0	→736 →742 →201	poli3 poli3 poli3	freqMin freqMin freqMin	HIGH LOW NOT	ANT ANT ANT	5 4.5 0	4.5 4.6 0
Lapesa-2014-772-371	371	inventor	noun			719:innovator-inventor:1	←361	poli1	freqMed	HIGH	SYN	3.8	3.7
Lapesa-2014-772-372	372	invoice	verb			291:to-bill-to-invoice:1	←64	poli3	freqMed	LOW	SYN	4.4	4.3
Lapesa-2014-772-373	373	iodine	noun			721:iodine-chemical:0 722:iodine-germ:0 723:iodine-element:0	→101 →285 →217	poli2 poli2 poli2	freqMin freqMin freqMin	HIGH NOT LOW	HYP HYP HYP	4.8 0 4.6	4.9 0.2 4.8
Lapesa-2014-772-374	374	iron	verb	3118	IRON (CLOTHES)	403:to-iron-to-wrinkle:0 404:to-iron-to-press:0 405:to-iron-to-press:0 406:to-iron-to-press:0 407:to-iron-to-wrinkle:0 408:to-iron-to-flatten:0 409:to-iron-to-crinkle:0 410:to-iron-to-wrinkle:0 411:to-iron-to-flatten:0	→767 →504 →504 →504 →767 →264 →152 →767 →264	poli1 poli1 poli1 poli1 poli1 poli1 poli1 poli1 poli1	freqMed freqMed freqMed freqMed freqMed freqMed freqMed freqMed freqMed	NOT NOT HIGH HIGH NOT LOW LOW HIGH LOW	SYN ANT SYN HYP HYP SYN ANT ANT HYP	0 0 4.5 3.6 0 3.9 4.4 5 4.4	0 0.2 4.4 4.3 0 3.4 4.7 4.5 4
Lapesa-2014-772-375	375	join	verb	1743	JOIN	507:to-split-to-join:1 508:to-split-to-join:1 509:to-split-to-join:1	←624 ←624 ←624	poli3 poli3 poli3	freqMax freqMax freqMax	NOT HIGH NOT	SYN ANT HYP	0 4.3 0	0 5 0
Lapesa-2014-772-376	376	journey	verb	2393	JOURNEY	412:to-journey-to-travel:0 413:to-journey-to-move:0 414:to-journey-to-stay:0	→676 →437 →632	poli2 poli2 poli2	freqMed freqMed freqMed	HIGH LOW NOT	HYP HYP HYP	3.9 4.5 0.1	4.5 4.5 0
Lapesa-2014-772-377	377	joy	noun	2524	JOY	663:crab-joy:1 664:crab-joy:1	←147 ←147	poli3 poli3	freqMed freqMed	NOT NOT	HYP SYN	0 0	0 0
Lapesa-2014-772-378	378	keep	verb	1477	KEEP	345:to-devolve-to-keep:1	←185	poli2	freqMed	HIGH	ANT	2.4	2.9
