ID	NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CATEGORY	AoA	FAMILIARITY	TYPICALITY	VISUALCOMPLEXITY	LEXICALFREQ
MorenoMartinez-2012-360-223	223	Large fritter	Porra			FOOD	3.37	4.01	2.91	1.42	15.96
MorenoMartinez-2012-360-224	224	Millefeuille	Milhojas			FOOD	4.63	3.29	2.47	1.94	11.69
MorenoMartinez-2012-360-225	225	Zarajo	Zarajo			FOOD	6.60	1.71	1.58	3.88	9.01
MorenoMartinez-2012-360-226	226	Paella	Paella			FOOD	2.96	4.54	4.63	3.58	16.21
MorenoMartinez-2012-360-227	227	Pasty	Empanadilla			FOOD	3.11	4.20	3.72	2.04	12.69
MorenoMartinez-2012-360-228	228	Pie	Empanada			FOOD	3.94	4.00	3.66	2.03	15.29
MorenoMartinez-2012-360-229	229	Steak	Filete			FOOD	2.64	4.65	4.72	3.06	15.35
MorenoMartinez-2012-360-230	230	Armchair	Sillón			FURNITURE	2.43	4.70	4.56	2.23	16.15
MorenoMartinez-2012-360-231	231	Bed	Cama	1663	BED	FURNITURE	1.47	4.89	4.68	2.32	18.06
MorenoMartinez-2012-360-232	232	Bedside table	Mesilla			FURNITURE	3.17	4.23	4.12	2.68	13.99
MorenoMartinez-2012-360-233	233	Bookcase	Librería			FURNITURE	3.51	4.47	4.06	3.27	17.77
MorenoMartinez-2012-360-234	234	Chair	Silla	1476	CHAIR	FURNITURE	1.74	4.78	4.83	2.08	17.41
MorenoMartinez-2012-360-235	235	Chest of drawers	Cómoda			FURNITURE	4.46	3.96	3.81	2.81	16.93
MorenoMartinez-2012-360-236	236	Couch	Diván	3099	SOFA	FURNITURE	5.94	2.76	2.71	2.91	14.70
MorenoMartinez-2012-360-237	237	Filing cabinet	Archivador			FURNITURE	4.91	3.90	2.84	2.52	13.62
MorenoMartinez-2012-360-238	238	Lamp	Lámpara	625	LAMP	FURNITURE	2.43	4.61	3.59	2.52	16.20
MorenoMartinez-2012-360-239	239	Lectern	Atril			FURNITURE	6.04	2.94	2.05	2.73	14.63
MorenoMartinez-2012-360-240	240	Rocking chair	Mecedora			FURNITURE	3.85	3.54	3.28	3.06	13.65
MorenoMartinez-2012-360-241	241	Sofa	Sofá	3099	SOFA	FURNITURE	2.47	4.71	4.65	2.43	16.45
MorenoMartinez-2012-360-242	242	Stool	Taburete	2058	STOOL	FURNITURE	3.20	4.35	3.56	2.08	14.33
MorenoMartinez-2012-360-243	243	Table	Mesa	1775	TABLE	FURNITURE	1.73	4.91	4.90	1.53	18.97
MorenoMartinez-2012-360-244	244	Wardrobe	Armario	3106	WARDROBE	FURNITURE	2.23	4.78	4.81	1.68	16.81
MorenoMartinez-2012-360-245	245	Bangle/Bracelet	Esclava	1754	BRACELET	JEWELLERY	4.96	3.23	3.43	2.71	15.09
MorenoMartinez-2012-360-246	246	Bracelet	Pulsera	1754	BRACELET	JEWELLERY	3.03	3.86	4.58	2.85	16.07
MorenoMartinez-2012-360-247	247	Brooch	Broche			JEWELLERY	4.85	2.97	3.67	4.03	15.71
MorenoMartinez-2012-360-248	248	Cufflinks	Gemelos			JEWELLERY	5.47	3.05	2.77	3.00	16.35
MorenoMartinez-2012-360-249	249	Diadem	Diadema			JEWELLERY	3.67	2.85	3.01	2.91	14.38
MorenoMartinez-2012-360-250	250	Diamond	Diamante	3878	DIAMOND	JEWELLERY	4.51	2.68	4.67	3.10	16.58
MorenoMartinez-2012-360-251	251	Medal	Medalla			JEWELLERY	3.16	3.66	3.71	2.95	17.13
MorenoMartinez-2012-360-252	252	Necklace	Collar	1961	NECKLACE	JEWELLERY	2.63	4.22	4.62	2.09	16.25
MorenoMartinez-2012-360-253	253	Pendant	Pendiente			JEWELLERY	2.75	4.30	4.61	2.22	17.75
MorenoMartinez-2012-360-254	254	Ring	Anillo	1374	RING	JEWELLERY	2.92	4.20	4.73	2.61	17.13
MorenoMartinez-2012-360-255	255	Seal ring	Sello			JEWELLERY	4.65	3.13	3.51	2.37	17.81
MorenoMartinez-2012-360-256	256	Tie clip	Pisa corbatas			JEWELLERY	5.76	2.64	1.97	2.64	11.50
MorenoMartinez-2012-360-257	257	Cooking pot	Puchero	3653	COOKING POT	KITCHEN UTENSILS UTENSILS 	4.15	2.91	3.08	1.91	14.53
MorenoMartinez-2012-360-258	258	Cup	Taza	476	CUP	KITCHEN UTENSILS 	1.96	4.70	4.13	1.59	16.43
MorenoMartinez-2012-360-259	259	Fondue	Fondue			KITCHEN UTENSILS 	6.42	2.71	2.16	3.77	14.19
MorenoMartinez-2012-360-260	260	Fork	Tenedor	1302	FORK	KITCHEN UTENSILS 	1.79	4.97	4.85	1.83	15.21
MorenoMartinez-2012-360-261	261	Frying pan	Sartén	31	PAN	KITCHEN UTENSILS 	3.05	4.78	4.85	1.67	15.65
MorenoMartinez-2012-360-262	262	Churrera	Churrera			KITCHEN UTENSILS 	5.82	1.73	1.67	3.15	11.82
MorenoMartinez-2012-360-263	263	Peeler	Pelador			KITCHEN UTENSILS 	5.47	3.33	3.30	2.33	12.57
MorenoMartinez-2012-360-264	264	Pot	Olla	1462	POT	KITCHEN UTENSILS 	3.27	4.50	4.59	1.83	16.36
MorenoMartinez-2012-360-265	265	Saucepan	Cacerola			KITCHEN UTENSILS 	3.05	4.62	4.68	1.92	14.92
MorenoMartinez-2012-360-266	266	Saucepan	Cazo			KITCHEN UTENSILS 	3.01	4.61	4.53	1.82	14.90
MorenoMartinez-2012-360-267	267	Sharpening steel	Afilador			KITCHEN UTENSILS 	4.87	3.20	2.71	1.81	13.58
MorenoMartinez-2012-360-268	268	Strainer	Colador			KITCHEN UTENSILS 	3.47	4.35	4.19	2.43	14.21
MorenoMartinez-2012-360-269	269	Teapot	Tetera			KITCHEN UTENSILS 	4.15	3.58	3.20	2.63	14.76
MorenoMartinez-2012-360-270	270	Accordion	Acordeón	2603	ACCORDION	MUSICAL INSTRUMENT	4.03	2.87	3.63	3.62	15.04
MorenoMartinez-2012-360-271	271	Balalaika	Balalaica			MUSICAL INSTRUMENT	6.73	1.52	1.94	4.29	9.93
MorenoMartinez-2012-360-272	272	Bugle	Corneta			MUSICAL INSTRUMENT	4.72	2.71	3.04	2.32	14.17
MorenoMartinez-2012-360-273	273	Clarinet	Clarinete			MUSICAL INSTRUMENT	5.27	2.65	3.87	3.25	15.05
MorenoMartinez-2012-360-274	274	Drum	Tambor	908	DRUM	MUSICAL INSTRUMENT	2.58	3.30	4.28	2.84	15.96
MorenoMartinez-2012-360-275	275	Flute	Flauta	777	FLUTE	MUSICAL INSTRUMENT	3.10	3.97	4.59	1.59	16.06
MorenoMartinez-2012-360-276	276	Guitar	Guitarra	3090	GUITAR	MUSICAL INSTRUMENT	2.76	4.27	4.89	2.76	17.74
MorenoMartinez-2012-360-277	277	Harmonica	Armónica	2590	HARMONICA	MUSICAL INSTRUMENT	3.84	3.32	3.37	2.54	15.55
MorenoMartinez-2012-360-278	278	Harp	Arpa	2597	HARP	MUSICAL INSTRUMENT	4.30	2.73	3.58	3.33	15.19
MorenoMartinez-2012-360-279	279	Maracas	Maracas			MUSICAL INSTRUMENT	4.59	2.70	3.05	2.38	13.85
MorenoMartinez-2012-360-280	280	Piano	Piano	3994	PIANO (INSTRUMENT)	MUSICAL INSTRUMENT	3.16	3.51	4.66	3.81	17.32   
MorenoMartinez-2012-360-281	281	Saxophone	Saxofón			MUSICAL INSTRUMENT	4.80	2.99	4.14	4.16	14.77
MorenoMartinez-2012-360-282	282	Tambourine	Pandereta	3141	TAMBOURINE	MUSICAL INSTRUMENT	2.10	4.15	3.39	2.70	14.28
MorenoMartinez-2012-360-283	283	Trumpet	Trompeta	775	TRUMPET	MUSICAL INSTRUMENT	3.32	3.29	4.54	3.37	15.81
MorenoMartinez-2012-360-284	284	Tuba	Tuba			MUSICAL INSTRUMENT	5.82	2.24	3.19	3.73	14.26
MorenoMartinez-2012-360-285	285	Violin	Violín			MUSICAL INSTRUMENT	3.74	3.31	4.60	3.47	15.96
MorenoMartinez-2012-360-286	286	Soccer ball	Balón			SPORTS/GAMES	1.79	4.63	4.79	1.65	17.45
MorenoMartinez-2012-360-287	287	Ball	Pelota	1845	BALL	SPORTS/GAMES	1.45	4.60	4.64	2.32	17.47
MorenoMartinez-2012-360-288	288	Chess	Ajedrez			SPORTS/GAMES	3.67	4.03	3.72	3.49	17.13
MorenoMartinez-2012-360-289	289	Dart	Dardo	2587	DARTS	SPORTS/GAMES	4.28	3.28	2.92	2.38	15.26
MorenoMartinez-2012-360-290	290	Dartboard	Diana			SPORTS/GAMES	3.74	3.64	3.29	3.21	17.37
MorenoMartinez-2012-360-291	291	Diabolo	Diábolo			SPORTS/GAMES	4.91	2.81	2.50	2.71	13.36
MorenoMartinez-2012-360-292	292	Dice	Dado			SPORTS/GAMES	2.65	4.36	3.73	1.97	19.18
MorenoMartinez-2012-360-293	293	Doll	Muñeca	1659	DOLL	SPORTS/GAMES	1.59	4.20	3.80	3.22	16.45
MorenoMartinez-2012-360-294	294	Jump rope	Comba			SPORTS/GAMES	2.68	3.71	3.55	2.41	14.89
MorenoMartinez-2012-360-295	295	Ludo	Parchís			SPORTS/GAMES	2.65	4.41	3.90	3.81	14.23
MorenoMartinez-2012-360-296	296	Racket	Raqueta	3096	RACKET	SPORTS/GAMES	3.12	4.15	4.50	2.10	15.40
MorenoMartinez-2012-360-297	297	Skate	Patín	3129	SKATE	SPORTS/GAMES	2.91	3.78	3.56	3.46	15.39
MorenoMartinez-2012-360-298	298	Skis	Esquís	2991	SKI	SPORTS/GAMES	4.22	3.04	3.71	2.27	14.06
MorenoMartinez-2012-360-299	299	Skittle	Bolo			SPORTS/GAMES	3.83	3.40	3.10	1.67	15.18
MorenoMartinez-2012-360-300	300	Spinning top	Peonza			SPORTS/GAMES	2.91	3.73	2.94	1.81	13.38
MorenoMartinez-2012-360-301	301	Table football	Futbolín			SPORTS/GAMES	3.53	4.03	3.37	3.66	14.59
MorenoMartinez-2012-360-302	302	Axe	Hacha	677	AXE	TOOLS	3.18	3.67	3.82	1.85	15.53
MorenoMartinez-2012-360-303	303	Bit	Broca	2924	A LITTLE	TOOLS	5.15	3.58	3.61	1.77	13.89
MorenoMartinez-2012-360-304	304	Chisel	Formón	1979	CHISEL	TOOLS	6.10	2.16	2.75	2.29	11.17
MorenoMartinez-2012-360-305	305	Cold chisel	Cortafríos			TOOLS	6.08	2.18	2.52	1.53	11.33
MorenoMartinez-2012-360-306	306	Hammer	Martillo	1481	HAMMER	TOOLS	2.76	4.40	4.85	1.77	15.84
MorenoMartinez-2012-360-307	307	Handsaw	Serrucho	1948	SAW	TOOLS	3.83	3.42	4.33	1.81	13.41
MorenoMartinez-2012-360-308	308	Leveller	Nivel			TOOLS	5.54	3.16	3.27	2.85	19.79
MorenoMartinez-2012-360-309	309	Nail	Clavo	502	NAIL (TOOL)	TOOLS	3.05	4.06	4.00	1.19	16.00
MorenoMartinez-2012-360-310	310	Nut	Tuerca			TOOLS	3.91	3.75	3.77	2.04	15.60
MorenoMartinez-2012-360-311	311	Pincers	Alicates			TOOLS	4.11	4.01	4.51	2.41	14.19
MorenoMartinez-2012-360-312	312	Pliers	Tenazas			TOOLS	4.32	3.37	3.94	1.89	13.67
MorenoMartinez-2012-360-313	313	Screw	Tornillo	1802	SCREW	TOOLS	3.34	4.13	3.92	1.96	15.42
MorenoMartinez-2012-360-314	314	Screwdriver	Destornillador	836	SCREWDRIVER	TOOLS	3.37	4.43	4.81	1.65	14.27
MorenoMartinez-2012-360-315	315	Shovel	Pala	1901	SHOVEL	TOOLS	2.78	3.59	4.23	1.86	16.01
MorenoMartinez-2012-360-316	316	Trowel	Llana			TOOLS	5.76	2.46	3.04	2.20	15.02
MorenoMartinez-2012-360-317	317	Boat	Barca	1844	BOAT	VEHICLES	2.63	3.37	2.42	2.25	18.33
MorenoMartinez-2012-360-318	318	Bus	Autobús	1070	BUS	VEHICLES	2.42	4.52	4.58	2.62	17.29
MorenoMartinez-2012-360-319	319	Car	Coche	1111	CAR	VEHICLES	1.90	4.86	4.94	3.17	19.12
MorenoMartinez-2012-360-320	320	Cart	Carro	122	CART	VEHICLES	2.85	3.05	2.37	3.38	17.49
MorenoMartinez-2012-360-321	321	Motorbike	Moto	638	MOTORCYCLE	VEHICLES	2.49	4.05	4.63	3.67	18.32
MorenoMartinez-2012-360-322	322	Paragliding	Parapente			VEHICLES	5.74	2.60	1.54	3.40	15.43
MorenoMartinez-2012-360-323	323	Plane	Avión	1597	AIRPLANE	VEHICLES	2.19	4.33	3.86	2.87	17.94
MorenoMartinez-2012-360-324	324	Scooter	Patinete			VEHICLES	3.15	3.49	2.04	2.38	13.61
MorenoMartinez-2012-360-325	325	Ship	Barco	740	SHIP	VEHICLES	2.44	3.54	3.35	3.50	17.94
MorenoMartinez-2012-360-326	326	Skateboard	Monopatín			VEHICLES	3.81	3.56	1.81	1.79	13.41
MorenoMartinez-2012-360-327	327	Tractor	Tractor			VEHICLES	3.05	3.34	3.13	3.80	15.71
MorenoMartinez-2012-360-328	328	Train	Tren	900	TRAIN	VEHICLES	2.34	4.51	4.28	3.44	18.17
MorenoMartinez-2012-360-329	329	Van	Furgoneta			VEHICLES	3.14	3.97	4.26	2.54	16.11
MorenoMartinez-2012-360-330	330	Armour	Armadura	1061	ARMOUR	WEAPONS	4.11	2.43	2.56	3.77	15.41
MorenoMartinez-2012-360-331	331	Arrow	Flecha	977	ARROW	WEAPONS	2.84	2.86	3.30	1.28	16.40
MorenoMartinez-2012-360-332	332	Bayonet	Bayoneta			WEAPONS	6.01	1.54	2.30	2.29	13.54
MorenoMartinez-2012-360-333	333	Boomerang	Bumerán	135	BOOMERANG	WEAPONS	4.75	2.32	1.46	1.53	12.44
MorenoMartinez-2012-360-334	334	Bow	Arco	994	BOW	WEAPONS	3.13	2.88	3.00	1.55	17.67
MorenoMartinez-2012-360-335	335	Cannon	Cañón	3202	CANNON	WEAPONS	3.53	2.76	3.96	2.95	16.34
MorenoMartinez-2012-360-336	336	Crossbow	Ballesta	3193	CROSSBOW	WEAPONS	5.38	1.96	2.69	3.00	14.99
MorenoMartinez-2012-360-337	337	Grenade	Granada			WEAPONS	4.92	2.14	3.63	2.95	19.47
MorenoMartinez-2012-360-338	338	Gun	Pistola	1566	GUN	WEAPONS	2.80	3.28	4.85	2.78	16.54
MorenoMartinez-2012-360-339	339	Helmet	Casco	1680	HELMET	WEAPONS	3.42	2.68	2.04	2.12	17.62
MorenoMartinez-2012-360-340	340	Machine gun	Ametralladora			WEAPONS	4.57	2.23	4.34	3.56	14.19
MorenoMartinez-2012-360-341	341	Revolver	Revólver			WEAPONS	3.58	3.05	4.60	2.92	14.81
MorenoMartinez-2012-360-342	342	Shield	Escudo	1064	SHIELD	WEAPONS	3.72	2.47	2.97	3.25	17.12
MorenoMartinez-2012-360-343	343	Slingshot	Tirachinas			WEAPONS	3.15	3.24	2.08	2.59	13.53
MorenoMartinez-2012-360-344	344	Sword	Espada	1535	SWORD	WEAPONS	2.70	3.06	4.04	1.80	16.94
MorenoMartinez-2012-360-345	345	Cliff	Acantilado	992	CLIFF	NATURE	4.58	3.13	3.85	3.81	15.27
MorenoMartinez-2012-360-346	346	Cloud	Nube	1489	CLOUD	NATURE	1.84	4.78	4.20	1.99	18.18
MorenoMartinez-2012-360-347	347	Coal	Carbón	2658	COAL	NATURE	3.30	2.48	2.58	2.14	16.69
MorenoMartinez-2012-360-348	348	Gold	Oro	1369	GOLD	NATURE	3.78	2.80	2.03	3.78	18.99
MorenoMartinez-2012-360-349	349	Ice	Hielo	617	ICE	NATURE	2.95	3.20	3.35	3.27	17.47
MorenoMartinez-2012-360-350	350	Iceberg	Iceberg			NATURE	4.69	2.83	3.27	2.81	15.14
MorenoMartinez-2012-360-351	351	Island	Isla	622	ISLAND	NATURE	2.92	3.58	3.62	2.71	18.68
MorenoMartinez-2012-360-352	352	Moon	Luna	1313	MOON	NATURE	1.90	4.74	3.78	1.69	18.73
MorenoMartinez-2012-360-353	353	Mountain	Montaña	639	MOUNTAIN	NATURE	2.51	4.15	4.60	2.68	18.24
MorenoMartinez-2012-360-354	354	Puddle	Charco	2290	PUDDLE	NATURE	2.22	4.05	2.70	2.92	16.69
MorenoMartinez-2012-360-355	355	Sea	Mar	1474	SEA	NATURE	1.99	4.44	4.56	1.63	19.93
MorenoMartinez-2012-360-356	356	Stone	Piedra	2125	STONE OR ROCK	NATURE	1.94	4.38	3.75	2.25	18.10
MorenoMartinez-2012-360-357	357	Sun	Sol	1343	SUN	NATURE	1.52	4.70	4.54	2.18	19.24
MorenoMartinez-2012-360-358	358	Volcano	Volcán	2291	VOLCANO	NATURE	3.35	2.94	3.77	2.32	16.33
MorenoMartinez-2012-360-359	359	Waterfall	Catarata	943	WATERFALL	NATURE	3.96	3.04	4.11	3.92	14.90
MorenoMartinez-2012-360-360	360	Wave	Ola	978	WAVE	NATURE	2.16	4.24	3.87	2.91	17.55
