ID	NUMBER	DUTCH	ENGLISH	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	AROUSAL_MEAN	DOMINANCE_MEAN	VALENCE_MEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Speed-2017-485-166	166	kaas	cheese	0.133333333	4.733333333	2.2	1.533333333	3.4	proeven	0.383333333	4.083333333	4	4.416666667	1569	CHEESE
Speed-2017-485-167	167	kalk	lime	0	0.214285714	1.214285714	1.5	4.071428571	zien	0.581632653	3	3.666666667	3.25	2540	LIME (MATERIAL)
Speed-2017-485-168	168	kaneel	cinnamon	0.333333333	4.266666667	3.266666667	0.666666667	2.8	proeven	0.347058824	3.666666667	4.416666667	4.416666667		
Speed-2017-485-169	169	kant	side	0.2	0	0	2.066666667	3.666666667	zien	0.617977528	3	2.75	4.083333333		
Speed-2017-485-170	170	karamel	caramel	0.125	4.8125	3.875	1.625	3.1875	proeven	0.344036697	4.333333333	4.416666667	5.25		
Speed-2017-485-171	171	karton	cardboard	0.6	0	1.2	2.933333333	3.466666667	zien	0.422764228	2.333333333	2.75	3.25		
Speed-2017-485-172	172	karwij	caraway	0.857142857	0	0.214285714	1.642857143	2.285714286	zien	0.457142857	4.666666667	4.416666667	3.75		
Speed-2017-485-173	173	kasjmier	cashmere	0.066666667	0	0	3.266666667	2.6	voelen	0.550561798	2.416666667	3.083333333	4.416666667		
Speed-2017-485-174	174	kassa	checkout	2.8	0	0	1.8	3.6	zien	0.43902439	3.75	4.333333333	3.75		
Speed-2017-485-175	175	kastanje	chestnut	0.25	1.75	1.8125	2.5	4.1875	zien	0.375	3.416666667	3.833333333	4.666666667	2318	CHESTNUT
Speed-2017-485-176	176	kasteel	castle	0.333333333	0	0.133333333	1.066666667	3.866666667	zien	0.716049383	4.166666667	4.833333333	5.333333333	1938	FORTRESS
Speed-2017-485-177	177	kat	cat	2.866666667	0	1.866666667	3.4	4.2	zien	0.340540541	3.25	4.75	5.083333333	1208	CAT
Speed-2017-485-178	178	katoen	cotton	0.125	0	0.5	3.625	3.25	voelen	0.483333333	3.333333333	3.583333333	4.75	1850	COTTON
Speed-2017-485-179	179	kattenvoer	cat food	0.3125	0.6875	3.9375	1.6875	3.5	ruiken	0.358024691	3.833333333	4.333333333	2.75		
Speed-2017-485-180	180	kauwgom	chewing gum	1.266666667	4.266666667	2.333333333	2.133333333	2.866666667	proeven	0.233160622	3.5	4.083333333	4.166666667		
Speed-2017-485-181	181	keramiek	ceramics	0.125	0	0	2.5	3.6875	zien	0.584158416	3.416666667	3.5	3.916666667		
Speed-2017-485-182	182	kerk	church	2.133333333	0	0.866666667	0.533333333	4.133333333	zien	0.539130435	3.333333333	5	2.916666667	1349	CHURCH
Speed-2017-485-183	183	kers	cherry	0.066666667	4.733333333	2.2	2.133333333	3.666666667	proeven	0.364583333	3.333333333	3.583333333	4.333333333	2765	CHERRY
Speed-2017-485-184	184	ketchup	ketchup	0.25	4.4375	3.1875	1.1875	3.1875	proeven	0.341836735	4	4.083333333	4		
Speed-2017-485-185	185	ketel	boiler	1.6	0.333333333	1	2	3.333333333	zien	0.362903226	3.75	4.416666667	4.25		
Speed-2017-485-186	186	ketting	necklace	0.933333333	0.2	0	2.2	4	zien	0.545454545	4.083333333	4.083333333	5	1961	NECKLACE
Speed-2017-485-187	187	kettingzaag	chainsaw	3.6	0	0.2	1.666666667	3	horen	0.42519685	5.666666667	6.083333333	2.416666667		
Speed-2017-485-188	188	keyboard	keyboard	3.866666667	0	0	2.933333333	3.466666667	horen	0.376623377	5	4.083333333	4.416666667		
Speed-2017-485-189	189	kiezel	Pebble	1.666666667	0	0.266666667	3.133333333	3.666666667	zien	0.419847328	3.416666667	3.583333333	3.666666667	961	PEBBLES
Speed-2017-485-190	190	kikker	frog	3.066666667	0	0.2	1.533333333	4.2	zien	0.466666667	4.333333333	3.666666667	3.833333333	503	FROG
Speed-2017-485-191	191	kikkererwten	chickpeas	0	3.8	1.6	1.333333333	3.4	proeven	0.375	3.166666667	3.083333333	4		
Speed-2017-485-192	192	kikkervisje	tadpole	0.142857143	0	0.071428571	0.857142857	3.571428571	zien	0.769230769	3.833333333	3	4.416666667		
Speed-2017-485-193	193	kilt	kilt	0	0	0	1.071428571	4.071428571	zien	0.791666667	4.333333333	3.666666667	3.833333333		
Speed-2017-485-194	194	kinderwagen	stroller	0.466666667	0	0	1.066666667	4.066666667	zien	0.726190476	4.5	3.75	4.166666667		
Speed-2017-485-195	195	kip	chicken	2.3125	3.5	2.125	2.375	4.0625	zien	0.134782609	4	3.333333333	4.916666667	1318	CHICKEN
Speed-2017-485-196	196	kiwi	kiwi	0.066666667	4.4	1.733333333	1.8	3.4	proeven	0.380116959	3.166666667	3.916666667	4.666666667	3247	KIWIFRUIT
Speed-2017-485-197	197	klaver	clover	0.066666667	0.133333333	0.6	1.466666667	3.866666667	zien	0.619565217	2.5	2.833333333	4.166666667		
Speed-2017-485-198	198	kleed	Dress	0.2	0	0.133333333	3.266666667	3.666666667	zien	0.504587156	2.083333333	2.333333333	4.083333333		
Speed-2017-485-199	199	klei	clay	0.133333333	0	2.133333333	3.933333333	3.466666667	voelen	0.406896552	3.166666667	3.166666667	4.25	1399	CLAY
Speed-2017-485-200	200	klittenband	Velcro	3	0	0.066666667	3	3.2	zien	0.345323741	3.333333333	3.833333333	4.166666667		
Speed-2017-485-201	201	klok	clock	3	0	0	0.8	3.933333333	zien	0.50862069	4.25	4.583333333	4.25	1323	CLOCK
Speed-2017-485-202	202	knoflook	garlic	0	4.4375	4.3125	1.5	3	proeven	0.33490566	2.916666667	4.916666667	5.083333333	2368	GARLIC
Speed-2017-485-203	203	knoop	button	0.333333333	0	0	3	3.733333333	zien	0.528301887	3.333333333	3.75	4.083333333	757	BUTTON
Speed-2017-485-204	204	knuffelbeer	teddy bear	0.066666667	0	0.533333333	3.8	3.533333333	voelen	0.478991597	3	3.333333333	5.666666667		
Speed-2017-485-205	205	koe	cow	2.266666667	0.266666667	2.6	1.466666667	3.933333333	zien	0.348101266	3.166666667	3.916666667	5.083333333	1007	COW
Speed-2017-485-206	206	koffie	coffee	0.4	3.466666667	4.133333333	0.6	3.333333333	ruiken	0.312849162	5.75	5.333333333	4.583333333	1299	COFFEE
Speed-2017-485-207	207	kokosnoot	coconut	0.466666667	3.8	2.4	2.333333333	3.733333333	proeven	0.261780105	4.083333333	4.333333333	4.166666667	970	COCONUT
Speed-2017-485-208	208	komijn	cumin	0.071428571	3.642857143	2.357142857	0.428571429	2.071428571	proeven	0.416666667	3.833333333	4.666666667	3.75		
Speed-2017-485-209	209	komkommer	cucumber	0.266666667	4.4	1.666666667	2.2	3	proeven	0.358381503	3.25	2.5	5.083333333	496	CUCUMBER
Speed-2017-485-210	210	kompas	compass	0.2	0	0	2.266666667	3.666666667	zien	0.597826087	4	4.166666667	4.583333333	2606	COMPASS
Speed-2017-485-211	211	konijn	rabbit	1.4	0.733333333	1.333333333	3.333333333	4.333333333	zien	0.323353293	4.833333333	3.5	4.833333333	1136	RABBIT
Speed-2017-485-212	212	kool	cabbage	0.066666667	3.466666667	1.666666667	0.666666667	2.733333333	proeven	0.395348837	3.333333333	3.75	3.666666667	774	CABBAGE
Speed-2017-485-213	213	koper	buyer	0.533333333	0.266666667	1.333333333	0.933333333	3.333333333	zien	0.479166667	3.75	5	3.583333333		
Speed-2017-485-214	214	kopieerapparaat	copier	1.8	0	0.6	1.933333333	3.333333333	zien	0.434782609	4.833333333	3.75	4.333333333		
Speed-2017-485-215	215	koriander	coriander	0	4.133333333	3.133333333	1.266666667	3.133333333	proeven	0.354285714	3.916666667	4.666666667	3.916666667	3241	CORIANDER
Speed-2017-485-216	216	krant	newspaper	1.6	0	1.2	2.933333333	4.333333333	zien	0.430463576	3.166666667	4	4.333333333	1298	NEWSPAPER
Speed-2017-485-217	217	krekels	crickets	4.466666667	0	0.066666667	0.466666667	2	horen	0.638095238	3.166666667	3.833333333	3.583333333	2354	CRICKET
Speed-2017-485-218	218	krijt	chalk	0.9375	0.0625	0.4375	2.9375	4.375	zien	0.492857143	3.333333333	3.083333333	3.333333333		
Speed-2017-485-219	219	krijtbord	blackboard	2	0	0.6	3.066666667	3.8	zien	0.401408451	3.75	3	4.25	3084	BLACKBOARD
