ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE
Rzymski-2020-1624-370	370	FROST	2034	FROST	23	220	241	370	48	COLD	5	24	58
Rzymski-2020-1624-371	371	INSIDE	1606	INSIDE	82	1200	1617	371	70	LOW	5	39	64
Rzymski-2020-1624-372	372	YEAR	1226	YEAR	89	1143	1238	372	91	SUMMER	5	54	122
Rzymski-2020-1624-373	373	HORSE	615	HORSE	77	934	1198	373	116	HORSE	5	33	64
Rzymski-2020-1624-374	374	EGG	744	EGG	191	2554	2924	374	11	GRAIN	5	39	114
Rzymski-2020-1624-375	375	WING	1257	WING	142	1870	2066	375	17	FEATHER	5	63	155
Rzymski-2020-1624-376	376	BODY	1480	BODY	90	1203	1390	376	37	SKIN	5	45	137
Rzymski-2020-1624-377	377	HAIR	1040	HAIR	130	1779	2112	377	17	FEATHER	5	41	128
Rzymski-2020-1624-378	378	FACE	1560	FACE	84	936	1132	378	82	JAW	5	43	84
Rzymski-2020-1624-379	379	FINGERNAIL	1258	FINGERNAIL	142	1853	2042	379	98	FINGERNAIL	5	98	382
Rzymski-2020-1624-380	380	FAMILY	194	FAMILY	69	540	625	380	40	YOUNGER BROTHER	5	46	75
Rzymski-2020-1624-381	381	MEAT	634	MEAT	153	1807	2128	381	105	FISH	5	76	320
Rzymski-2020-1624-382	382	GHOST	1175	GHOST	63	695	871	382	26	HEART	5	51	156
Rzymski-2020-1624-383	383	PLANT (SOMETHING)	1486	PLANT (SOMETHING)	68	628	733	383	146	CULTIVATE	5	56	115
Rzymski-2020-1624-384	384	CALL BY NAME	180	CALL BY NAME	65	435	559	384	58	SHOUT	5	35	114
Rzymski-2020-1624-385	385	HEAVY	1210	HEAVY	132	1772	1921	385	42	EXPENSIVE	5	28	79
Rzymski-2020-1624-386	386	WHITE	1335	WHITE	167	2404	2880	386	53	BRIGHT	5	41	64
Rzymski-2020-1624-387	387	GREEN	1425	GREEN	138	1765	2082	387	85	RIPE	5	98	319
Rzymski-2020-1624-388	388	ONE	1493	ONE	192	2485	2920	388	99	OTHER	5	31	109
Rzymski-2020-1624-389	389	TWO	1498	TWO	192	2442	2762	389	41	TWO	5	34	57
Rzymski-2020-1624-390	390	YOU	1213	YOU	146	1684	2083	390	12	HE OR SHE OR IT	5	51	146
Rzymski-2020-1624-391	391	THERE	1937	THERE	64	1085	1418	391	12	HE OR SHE OR IT	5	27	71
Rzymski-2020-1624-392	392	ANIMAL	619	ANIMAL	76	877	1027	392	76	CATTLE	5	43	92
Rzymski-2020-1624-393	393	BECOME	1990	BECOME	35	339	445	393	106	BECOME	5	28	65
Rzymski-2020-1624-394	394	BELOW OR UNDER	1485	BELOW OR UNDER	86	953	1103	394	70	LOW	5	75	196
Rzymski-2020-1624-395	395	FINISH	1766	FINISH	81	654	942	395	10	EDGE	5	46	125
Rzymski-2020-1624-396	396	POT	1462	POT	84	1000	1857	396	39	BOWL	5	66	145
Rzymski-2020-1624-397	397	DIG	1418	DIG	106	1674	1987	397	7	CUT	5	39	100
Rzymski-2020-1624-398	398	GOAT	1502	GOAT	59	876	1087	398	72	GOAT	5	28	52
Rzymski-2020-1624-399	399	HONEY	942	HONEY	73	1093	1208	399	51	BEESWAX	5	35	75
Rzymski-2020-1624-400	400	YOUNG MAN	76	YOUNG MAN	62	532	687	400	4	SON	5	55	145
Rzymski-2020-1624-401	401	ICE	617	ICE	77	607	702	401	48	COLD	5	30	58
Rzymski-2020-1624-402	402	EVENING	1629	EVENING	80	680	807	402	21	DARKNESS	5	42	85
Rzymski-2020-1624-403	403	FLOUR	1594	FLOUR	65	567	635	403	45	FOOD	5	22	45
Rzymski-2020-1624-404	404	COAT	603	COAT	45	291	359	404	33	CLOTHES	5	26	45
Rzymski-2020-1624-405	405	RAG	332	RAG	52	315	422	405	33	CLOTHES	5	30	47
Rzymski-2020-1624-406	406	BEAM	1132	BEAM	51	426	504	406	2	POST	5	42	124
Rzymski-2020-1624-407	407	JUG	270	JUG	56	335	489	407	39	BOWL	5	27	39
Rzymski-2020-1624-408	408	OLD MAN	406	OLD MAN	88	668	807	408	50	OLD	5	79	175
Rzymski-2020-1624-409	409	FOLD	1470	FOLD	68	510	699	409	46	TWIST (AROUND)	5	36	82
Rzymski-2020-1624-410	410	SHE	1834	SHE	37	127	156	410	12	HE OR SHE OR IT	5	77	127
Rzymski-2020-1624-411	411	DROP (SOMETHING)	2866	DROP (SOMETHING)	65	526	703	411	108	FALL	5	36	109
Rzymski-2020-1624-412	412	MOLD	289	MOLD	41	369	450	412	38	WORK (LABOUR)	5	28	60
Rzymski-2020-1624-413	413	TREE TRUNK	344	TREE TRUNK	70	561	642	413	2	POST	5	57	94
Rzymski-2020-1624-414	414	DRESS	474	DRESS	60	293	356	414	33	CLOTHES	5	51	98
Rzymski-2020-1624-415	415	BEVERAGE	731	BEVERAGE	53	290	346	415	29	WATER	5	27	58
