ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2012-644-140	140	drown (to)	1904	DROWN
Bowern-2012-644-141	141	dry	1398	DRY
Bowern-2012-644-142	142	duck	1360	DUCK
Bowern-2012-644-143	143	ear	1247	EAR
Bowern-2012-644-144	144	earthquake	6	EARTHQUAKE
Bowern-2012-644-145	145	earthworm	2350	EARTHWORM
Bowern-2012-644-146	146	east	1877	EAST
Bowern-2012-644-147	147	eastern swamphen (porphyrio melanotus)		
Bowern-2012-644-148	148	eat (to)	1336	EAT
Bowern-2012-644-149	149	echidna	3008	ECHIDNA
Bowern-2012-644-150	150	echo	2816	ECHO
Bowern-2012-644-151	151	egg	744	EGG
Bowern-2012-644-152	152	egret ('crane')		
Bowern-2012-644-153	153	elbow	981	ELBOW
Bowern-2012-644-154	154	emu	2817	EMU
Bowern-2012-644-155	155	enough	1881	ENOUGH
Bowern-2012-644-156	156	exclamations		
Bowern-2012-644-157	157	exintinguish fire (to)	127	EXTINGUISH
Bowern-2012-644-158	158	extinguish fire (to)	127	EXTINGUISH
Bowern-2012-644-159	159	eye	1248	EYE
Bowern-2012-644-160	160	eyebrow	1173	EYEBROW
Bowern-2012-644-161	161	eyelash	1540	EYELASH
Bowern-2012-644-162	162	eyelid	17	EYELID
Bowern-2012-644-163	163	faeces	675	FAECES (EXCREMENT)
Bowern-2012-644-164	164	fall (to)	1280	FALL
Bowern-2012-644-165	165	family	194	FAMILY
Bowern-2012-644-166	166	fat	323	FAT (ORGANIC SUBSTANCE)
Bowern-2012-644-167	167	father	1217	FATHER
Bowern-2012-644-168	168	feather	1201	FEATHER
Bowern-2012-644-169	169	feel (to)	2559	FEEL (TACTUALLY)
Bowern-2012-644-170	170	fence	1690	FENCE
Bowern-2012-644-171	171	fern (tree-fern)		
Bowern-2012-644-172	172	fern [bracken-fern]		
Bowern-2012-644-173	173	few	1242	FEW
Bowern-2012-644-174	174	fiddle		
Bowern-2012-644-175	175	fight (to)	1423	FIGHT
Bowern-2012-644-176	176	fin	213	FIN
Bowern-2012-644-177	177	fine weather		
Bowern-2012-644-178	178	finger	1303	FINGER
Bowern-2012-644-179	179	finish (to)	1766	FINISH
Bowern-2012-644-180	180	fire	221	FIRE
Bowern-2012-644-181	181	firelight		
Bowern-2012-644-182	182	firestick		
Bowern-2012-644-183	183	first	728	FIRST
Bowern-2012-644-184	184	fish	227	FISH
Bowern-2012-644-185	185	fist	1473	FIST
Bowern-2012-644-186	186	five	493	FIVE
Bowern-2012-644-187	187	flatulent		
Bowern-2012-644-188	188	flay (to)	291	PULL OFF (SKIN)
Bowern-2012-644-189	189	flower	239	FLOWER
Bowern-2012-644-190	190	fly	1504	FLY (INSECT)
Bowern-2012-644-191	191	fly (to)	1441	FLY (MOVE THROUGH AIR)
Bowern-2012-644-192	192	fog	249	FOG
Bowern-2012-644-193	193	foolish	1518	STUPID
Bowern-2012-644-194	194	foot	1301	FOOT
Bowern-2012-644-195	195	footmark of blackman		
Bowern-2012-644-196	196	footmark of kangaroo		
Bowern-2012-644-197	197	footmark of whiteman		
Bowern-2012-644-198	198	footstep	318	FOOTPRINT
Bowern-2012-644-199	199	ford	2818	FORD (CROSSING)
Bowern-2012-644-200	200	forehead	123	FOREHEAD
Bowern-2012-644-201	201	forest	420	FOREST
Bowern-2012-644-202	202	forester kangaroo (boomer) - buck (male)		
Bowern-2012-644-203	203	forester kangaroo (boomer) - doe (female)		
Bowern-2012-644-204	204	forget (to)	1523	FORGET
Bowern-2012-644-205	205	four	1500	FOUR
Bowern-2012-644-206	206	freshwater crayfish	2813	CRAYFISH (FRESHWATER)
Bowern-2012-644-207	207	friend	1325	FRIEND
Bowern-2012-644-208	208	frighten (to)	252	FRIGHTEN
Bowern-2012-644-209	209	frog	503	FROG
Bowern-2012-644-210	210	frost	2034	FROST
Bowern-2012-644-211	211	fruit of honeysuckle		
Bowern-2012-644-212	212	fruit of pigface		
Bowern-2012-644-213	213	'fruit' (= the fungus Cyttaria gunnii)		
Bowern-2012-644-214	214	full	1429	FULL
Bowern-2012-644-215	215	fungus	641	MUSHROOM
Bowern-2012-644-216	216	fur	580	FUR
Bowern-2012-644-217	217	genitals--female	1826	VAGINA
Bowern-2012-644-218	218	girl	1646	GIRL
Bowern-2012-644-219	219	give (to)	1447	GIVE
Bowern-2012-644-220	220	go (to)	695	GO
Bowern-2012-644-221	221	goat	1502	GOAT
Bowern-2012-644-222	222	good	1035	GOOD
Bowern-2012-644-223	223	good spirit		
Bowern-2012-644-224	224	goose	1187	GOOSE
Bowern-2012-644-225	225	grandmother	1496	GRANDMOTHER
Bowern-2012-644-226	226	grass ['iris' (for baskets)]	606	GRASS
Bowern-2012-644-227	227	grass [long cutting grass (for boats and ropes)]	606	GRASS
Bowern-2012-644-228	228	grass-tree		
Bowern-2012-644-229	229	grasshopper	607	GRASSHOPPER
Bowern-2012-644-230	230	grassland	2819	GRASSLAND
Bowern-2012-644-231	231	greedy	2018	GREEDY
Bowern-2012-644-232	232	green	1425	GREEN
Bowern-2012-644-233	233	ground	1228	EARTH (SOIL)
Bowern-2012-644-234	234	grow (to)	479	GROW
Bowern-2012-644-235	235	grub		
Bowern-2012-644-236	236	gull	950	SEAGULL
Bowern-2012-644-237	237	gum tree		
Bowern-2012-644-238	238	gun	1566	GUN
Bowern-2012-644-239	239	hail	609	HAIL
Bowern-2012-644-240	240	hair	1040	HAIR
