ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	LATIN	CATEGORY	GLOSS	OMEGAWIKI
Leibniz-1768-128-76	57be09dd-391f-419e-bb09-d72677362a27	CART	76	currus	Necessitates	cart, chariot	1240424
Leibniz-1768-128-77	714bab71-7271-493d-985f-af65872a498c	SWORD	77	gladius	Necessitates	sword	6350
Leibniz-1768-128-78	1367e3fe-733a-475d-b82d-a4ffc900b6ac	BOW	78	arcus	Necessitates	bow	427040
Leibniz-1768-128-79	412ceb41-f74e-41bd-808b-6b23c2e071d4	ARROW	79	sagitta	Necessitates	arrow	420887
Leibniz-1768-128-80	ca7ecedf-f9e0-40fd-ac98-e7bff9876098	SPEAR	80	lancea	Necessitates	lance, spear	408915
Leibniz-1768-128-81	edb937f2-4220-4243-822e-40b1218fe342	GUN	81	bombarda	Necessitates	cannon, gun	6428
Leibniz-1768-128-82	2596ece7-8292-4199-9ac6-b97d6b7bc185	GOD	82	deus	Naturalia	god	871639
Leibniz-1768-128-83	f32ebd1c-cf25-438e-85bb-8c0b1110508e	PERSON	83	homo	Naturalia	man, human being	333730
Leibniz-1768-128-84	022012c7-3133-4282-ab11-204d5d032529	HEAVEN	84	coelum	Naturalia	heaven	6426
Leibniz-1768-128-85	3c76dde7-6500-4274-8388-3bdc4b2a31a5	SUN	85	sol	Naturalia	sun	5850
Leibniz-1768-128-86	5810595a-7c94-4521-8105-fe411e558cc1	MOON	86	luna	Naturalia	moon	5729
Leibniz-1768-128-87	be81e1bd-a983-4998-a5fe-ae97a0fafbb6	STAR	87	stella	Naturalia	star	6041
Leibniz-1768-128-88	44808f60-5ac3-4d8d-ab65-bfc0863f3739	AIR	88	aër	Naturalia	air	106
Leibniz-1768-128-89	8fd80d81-e7a4-4f66-8928-7fe20056c5b1	RAIN, PRECIPATION	89	pluvia	Naturalia	rain	3100
Leibniz-1768-128-90	c666cadc-e00d-4225-93a7-f5423a230bb4	THUNDER	90	tonitru	Naturalia	thunder	509787
Leibniz-1768-128-91	322cfdc7-4d15-4322-a6ce-814dba2bbd45	LIGHTNING	91	fulgur	Naturalia	lightning	6811
Leibniz-1768-128-92	6ef11c1f-6b95-4d40-84d9-f80cfd4433d0	CLOUD	92	nubes	Naturalia	cloud	623
Leibniz-1768-128-93	0c93e974-2e08-489a-b599-9c9b45296e31	ICE	93	gelu	Naturalia	frost	1837
Leibniz-1768-128-94	72b06138-874e-4276-b208-cb2a9d1e69c4	HAIL	94	grando	Naturalia	hail	1707
Leibniz-1768-128-95	7dfb0f38-ca0c-4b67-9919-db6c0095d7b5	SNOW	95	nix	Naturalia	snow	3455
Leibniz-1768-128-96	0c93e974-2e08-489a-b599-9c9b45296e31	ICE	96	glacies	Naturalia	ice	1837
Leibniz-1768-128-97	411a173c-5b15-430d-bc25-7eed20d9ffe9	FIRE	97	ignis	Naturalia	fire	1446
Leibniz-1768-128-98	c336dd09-f84c-4e38-81f0-453e9504d385	HEAT	98	calor	Naturalia	heat	1746
Leibniz-1768-128-99	9252f084-a1ba-45c4-9881-56d517debeb7	LIGHT RADIATION	99	lux	Naturalia	light	2158
Leibniz-1768-128-100	33f80507-7244-420e-afee-a7c779457861	SMOKE, EXHAUST	100	fumus	Naturalia	smoke	3451
Leibniz-1768-128-101	cb33c1ad-a7b9-4a7d-a7f9-b19a6e696fce	EARTH, SOIL	101	terra	Naturalia	land	5481
	cb33c1ad-a7b9-4a7d-a7f9-b19a6e696fce	EARTH, SOIL	101	terra	Naturalia	land, soil	5481
Leibniz-1768-128-102	be505238-e30b-479e-bac1-f6177e4a9bcc	FIELD	102	ager	Naturalia	field	1425
Leibniz-1768-128-103	15ed59ba-83aa-40e9-bc5a-2b3eb7869e0e	MOUNTAIN	103	mons	Naturalia	mountain	2421
Leibniz-1768-128-104	8778af58-6a24-480a-915c-54e636f402ad	VALLEY	104	vallis	Naturalia	valley	3938
Leibniz-1768-128-105	fd017811-630b-498a-b832-f2497e744081	SEA	105	mare	Naturalia	sea	6154
Leibniz-1768-128-106	a6cb03e9-20e0-48b9-b9dc-69d79ca09d80	RIVER	106	fluvius	Naturalia	river	3253
Leibniz-1768-128-107	f86fc8f4-648a-49c9-bf2e-f94a62e1aa47	STONE	107	lapis	Naturalia	stone	3633
Leibniz-1768-128-108	f35d9447-d39d-4c0f-b2af-bdf3afa31e71	SAND	108	arena	Naturalia	sand	3305
Leibniz-1768-128-109	b2f874bc-ab83-4c15-9726-a511aab9e38f	DOG	109	canis	Naturalia	dog	966
Leibniz-1768-128-110	86991264-e0f3-428e-920d-24553c756f38	WOLF	110	lupus	Naturalia	wolf	158033
Leibniz-1768-128-111	7b3dcd28-c9e3-44da-b341-319b9d6413de	DEER	111	cervus	Naturalia	deer	858
Leibniz-1768-128-112	dde85147-49a0-42f0-935f-fbf8134d69ca	BEAR	112	ursus	Naturalia	bear	7552
Leibniz-1768-128-113	cf45b68c-e30d-4d60-823a-91f00a3e4158	FOX	113	vulpes	Naturalia	fox	5726
Leibniz-1768-128-114	df81c669-0dbf-4afd-8a8c-770563441b6f	BIRD	114	avis	Naturalia	bird	400
Leibniz-1768-128-115	086ce495-aca0-4d4f-9e4b-db25b0c6cbd3	SNAKE	115	serpens	Naturalia	snake	3388
Leibniz-1768-128-116	8f7a3bd4-8d31-4f1e-b62a-30ef28e13d5f	MOUSE	116	mus	Naturalia	mouse	6237
Leibniz-1768-128-117	e497c28d-54bb-4600-9708-2a512dda77a3	EAT	117	edere	Actiones	eat	5827
Leibniz-1768-128-118	c13f419a-836c-4d16-a590-0a04393ccb31	DRINK ACTION	118	bibere	Actiones	drink	5991
Leibniz-1768-128-119	3261d9b8-2562-4a6b-bc46-32cf49291fa3	SPEAK	119	loqui	Actiones	talk	6656
Leibniz-1768-128-120	01b206d7-ce05-49a6-a42d-42f8d391f9b5	SEE	120	videre	Actiones	see	6003
Leibniz-1768-128-121	f742e6e7-19b7-4932-b9b7-ec1eb6a6c08a	BE	121	esse	Actiones	be	6480
Leibniz-1768-128-122	40e99d59-500b-4634-8b44-bf77a2e44901	STAND	122	stare	Actiones	stand	6053
Leibniz-1768-128-123	17bc76ba-b8bf-4d2c-be51-d77112ad336f	GO	123	ire	Actiones	go	334831
Leibniz-1768-128-124	5e920dfa-8e49-4f16-bc84-9093cfeb2b8c	KILL	124	occidere	Actiones	kill	6023
Leibniz-1768-128-125	477e7207-965f-4314-9d04-9d672e168144	SMILE	125	ridere	Actiones	smile	6067
Leibniz-1768-128-126	1ba0ca4c-3ff5-425b-98b5-c79797234e78	SLEEP	126	dormire	Actiones	sleep	6519
Leibniz-1768-128-127	51b21290-3101-4807-a7b5-962982fe3747	KNOW	127	scire	Actiones	know	6004
Leibniz-1768-128-128	dc2cb0a0-d6e4-4419-ba11-7019898eb115	WANT	128	velle	Actiones	want	7258
