ID	NUMBER	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_POS	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN	GERMAN_POTENCY_MEAN	GERMAN_AUTHORITY_MEAN	GERMAN_COMMUNITY_MEAN
Schauenburg-2015-858-270	270	Fischer	fisherman	1858	FISHERMAN	noun	5.605	4.289	4.842	4.692	4
Schauenburg-2015-858-271	271	Fleiß	diligence			noun	6.25	4.444	6.481	5.042	4.333
Schauenburg-2015-858-272	272	fleißig	diligent	2077	DILIGENT	adjective	6.667	5.333	6	4.958	4.208
Schauenburg-2015-858-273	273	flexibel	flexible	1691	FLEXIBLE	adjective	6.75	4.719	5.844	3.5	4.364
Schauenburg-2015-858-274	274	folgsam	funeral			adjective	4.314	4.143	3.657	7.125	5.292
Schauenburg-2015-858-275	275	Freund	friend	1325	FRIEND	noun	7.897	3.282	7.205	2.7	6.85
Schauenburg-2015-858-276	276	Freundeskreis	circle of friends			noun	7.464	4.643	6.429	3.353	7.765
Schauenburg-2015-858-277	277	Freundin	girlfriend			noun	7.952	3.143	6.286	3.533	5.8
Schauenburg-2015-858-278	278	Freundschaft	friendship	3954	FRIENDSHIP	noun	8.593	2.963	7.593	2	7.462
Schauenburg-2015-858-279	279	freundschaftlich	friendly			adjective	7.718	2.872	6.5	3.167	7.667
Schauenburg-2015-858-280	280	Frühschoppen	sunday morning pint			noun	4.889	5.519	4.333	4.632	6.158
Schauenburg-2015-858-281	281	frustriert	frustrated			adjective	2.791	6.256	5.047	5.682	3.455
Schauenburg-2015-858-282	282	führen	to lead	43	LEAD (GUIDE)	verb	5.29	5.7	7.032	6.813	5
Schauenburg-2015-858-283	283	Führer	leader			noun	2.107	7.593	7.593	7.813	4.188
Schauenburg-2015-858-284	284	Führung	leadership			noun	4.585	5.488	7.317	7.455	4.909
Schauenburg-2015-858-285	285	Führungsfigur	leading figure			noun	4.7	6.128	7.175	7.778	3.556
Schauenburg-2015-858-286	286	Führungsmacht	leading power			noun	3.279	6.767	7.535	8.636	3.636
Schauenburg-2015-858-287	287	fürchten	to fear	1419	FEAR (BE AFRAID)	verb	2.765	7.182	5.727	6.182	4.182
Schauenburg-2015-858-288	288	Fußballer	football player			noun	4.743	5.629	4.886	4.667	6
Schauenburg-2015-858-289	289	Fußballspieler	football player			noun	4.8	5.95	5.5	5.2	5.467
Schauenburg-2015-858-290	290	Fußballstadion	football stadium			noun	4.167	6.935	5.896	4.923	7.462
Schauenburg-2015-858-291	291	Gangmitglied	gang member			noun	2.774	7.129	5.548	6.4	6
Schauenburg-2015-858-292	292	Gangster	gangster			noun	3.025	6.744	6	6.824	3
Schauenburg-2015-858-293	293	Gastarbeiter	guest worker			noun	4.421	5.243	3.946	5.813	5.125
Schauenburg-2015-858-294	294	Gastgeber	host	1545	HOST	noun	6.711	4.356	5.778	4.65	6.45
Schauenburg-2015-858-295	295	Gauner	crook			noun	3.375	6.594	5.406	5.565	3.13
Schauenburg-2015-858-296	296	Gebet	prayer			noun	5.229	3.629	5.343	5.208	5.417
Schauenburg-2015-858-297	297	Geburtstagsfest	birthday party			noun	6.583	6.167	5.139	4.4	5.8
Schauenburg-2015-858-298	298	gedemütigt	humiliated			adjective	1.897	6.828	4.138	6.636	3.091
Schauenburg-2015-858-299	299	Geduld	patience			noun	6.848	2.879	5.303	3.696	5.087
Schauenburg-2015-858-300	300	geduldig	patient	3884	PATIENT	adjective	6.833	2.905	5.5	3.783	4.826
Schauenburg-2015-858-301	301	geeignet	suitable			adjective	6.343	4.059	5.353	5.778	4.5
Schauenburg-2015-858-302	302	Gefährte	companion			noun	7.632	2.947	6.378	3	6.4
Schauenburg-2015-858-303	303	Gefängnis	prison	1281	PRISON	noun	2.417	6.972	6.806	7.833	5.556
Schauenburg-2015-858-304	304	gehässig	mean			adjective	2.314	7.286	5.257	6.273	3.909
Schauenburg-2015-858-305	305	gehemmt	inhibited			adjective	3.059	5.412	3.853	5.455	3.727
Schauenburg-2015-858-306	306	gehorchen	to obey	1635	OBEY	verb	3.256	5.436	4.487	7.786	5.929
Schauenburg-2015-858-307	307	gehorsam	obedient			adjective	3.902	5	4.659	8.077	5
Schauenburg-2015-858-308	308	Geiz	avarice			noun	2.795	6.128	5	6.217	2.652
Schauenburg-2015-858-309	309	geizig	stingy	1774	STINGY	adjective	2.645	6.161	4.355	5.739	2.478
Schauenburg-2015-858-310	310	Geld	money	1559	MONEY	noun	6	4.681	6.804	6.522	4.478
Schauenburg-2015-858-311	311	Geldgier	greed for money			noun	2.188	6.875	6.156	6.261	2.304
Schauenburg-2015-858-312	312	Geliebte	lover (female)			noun	6.629	5.914	5.771	5	3.25
Schauenburg-2015-858-313	313	Gemeinde	community			noun	5.813	4.156	5.531	4.632	7.368
Schauenburg-2015-858-314	314	gemeinsam	collectively	2482	TOGETHER	adjective	7.867	3.567	7.103	2.667	8.333
Schauenburg-2015-858-315	315	Gemeinschaft	community			noun	7.103	3.379	7.069	3.154	8.154
Schauenburg-2015-858-316	316	General	general (military)			noun	3.758	6.152	7.152	8.261	4.13
Schauenburg-2015-858-317	317	Genie	genius			noun	6.167	5.972	6.472	4.905	1.714
Schauenburg-2015-858-318	318	gerecht	fair			adjective	7.839	3.9	6.452	2.545	7.273
Schauenburg-2015-858-319	319	Gerechtigkeit	justice	4049	JUSTICE	noun	7.844	3.364	6.909	2.909	7.409
Schauenburg-2015-858-320	320	Gesamtschule	comprehensive school			noun	4.475	5.3	4.975	3.769	6.308
Schauenburg-2015-858-321	321	Geschäftsführer	CEO			noun	4.762	5.381	6.775	7.214	3.286
Schauenburg-2015-858-322	322	Geschichtenerzähler	storyteller			noun	7.139	3.583	5.25	4.154	5.846
Schauenburg-2015-858-323	323	Geschwister	sib	1640	SIBLING	noun	6.587	4.739	5.911	3.789	6.421
Schauenburg-2015-858-324	324	Geselle	journeyman			noun	5.472	5.171	4.714	5.556	5.778
Schauenburg-2015-858-325	325	Gesellschaft	society	3958	SOCIETY	noun	5.842	5.421	6.526	5	6.438
Schauenburg-2015-858-326	326	Gesindel	ragtag			noun	3.636	6.419	4.395	6.136	6.182
Schauenburg-2015-858-327	327	Gespräch	conversation	2933	CONVERSATION	noun	6.929	4.286	6.214	4	7
Schauenburg-2015-858-328	328	gestehen	to confess	2022	ADMIT	verb	4.706	5.059	5.121	4.87	4.783
Schauenburg-2015-858-329	329	gestresst	stressed			adjective	2.395	7.279	5.714	5.5	3.125
Schauenburg-2015-858-330	330	Gewalt	violence	2976	VIOLENCE	noun	1.917	8.083	7.5	6.786	5.286
Schauenburg-2015-858-331	331	Gewerkschaft	union			noun	5.231	5.308	5.974	3.909	7.273
Schauenburg-2015-858-332	332	gewinnen	to win	866	WIN	verb	7.35	6.615	6.763	5.696	3.609
Schauenburg-2015-858-333	333	Gewinner	winner			noun	6.6	6.12	6.36	5.625	2.875
Schauenburg-2015-858-334	334	Gewissen	conscience			noun	5.979	4.489	7.021	4.478	5.217
Schauenburg-2015-858-335	335	gewürdigt	appreciated			adjective	6.667	3.741	6	5.571	4
Schauenburg-2015-858-336	336	Gier	greed			noun	2.385	6.973	5.974	6.435	2.652
Schauenburg-2015-858-337	337	gierig	greedy	2018	GREEDY	adjective	2.605	6.658	5.974	6.318	3.045
Schauenburg-2015-858-338	338	glauben	to believe	1890	BELIEVE	verb	5.586	3.862	6.276	5.435	5.826
Schauenburg-2015-858-339	339	gläubig	faithful	100	FAITHFUL	adjective	4.821	4.846	5.607	5.538	6
Schauenburg-2015-858-340	340	gleichberechtigt	equal	1570	EQUAL	adjective	7.481	4.037	6.481	1.87	7.348
Schauenburg-2015-858-341	341	Gleichheit	equity			noun	6.371	4.086	5.743	2.25	7.875
Schauenburg-2015-858-342	342	Gleichstellung	equality			noun	6.563	4.594	5.688	2.833	6.083
Schauenburg-2015-858-343	343	Gottesdienst	mass			noun	4.618	4.559	5.206	6.2	7.067
Schauenburg-2015-858-344	344	Gourmet	gourmet			noun	6.756	4.125	5.171	5.4	3.133
Schauenburg-2015-858-345	345	Graphiker	graphic designer			noun	5.718	4.919	4.923	5.045	3.864
Schauenburg-2015-858-346	346	Grillabend	barbeque			noun	6.294	4.588	4.882	3.238	8.095
Schauenburg-2015-858-347	347	Großeltern	grandparents	305	GRANDPARENTS	noun	6.884	3.372	5.767	4.667	7.111
Schauenburg-2015-858-348	348	Großvater	grandfather	1383	GRANDFATHER	noun	6.833	3.69	5.69	6.385	5.692
Schauenburg-2015-858-349	349	Grundschüler	primary pupils			noun	5.593	5.481	3.481	5.462	5.308
Schauenburg-2015-858-350	350	Grundüberzeugung	fundamental conviction			noun	5.912	4.353	6.324	5.095	2.81
Schauenburg-2015-858-351	351	Gruppe	group			noun	5.577	4.96	6.154	3.933	7.667
Schauenburg-2015-858-352	352	Gruppenleiter	group leader			noun	5.419	5	5.767	5.5	6.667
Schauenburg-2015-858-353	353	gutmütig	good-natured	3299	KIND	adjective	6.818	3.152	5	3.739	5.391
Schauenburg-2015-858-354	354	Gymnasium	high school			noun	6.097	4.871	5.903	5.7	4.4
Schauenburg-2015-858-355	355	Habgier	greed			noun	2.241	6.69	5.621	6.609	3.087
Schauenburg-2015-858-356	356	habgierig	greedy			adjective	2.675	6.725	5.35	6.348	2.913
Schauenburg-2015-858-357	357	Haftanstalt	detention facility			noun	2.914	6.4	6.229	7.867	5.333
Schauenburg-2015-858-358	358	Händler	trader			noun	4.815	5.115	4.593	5.154	3.923
Schauenburg-2015-858-359	359	Handwerker	handyman			noun	5.355	5	4.774	5.278	5.444
Schauenburg-2015-858-360	360	Harmonie	harmony			noun	7.783	2.152	5.5	3.458	7.208
Schauenburg-2015-858-361	361	Hauptstadt	capital			noun	6.4	6.4	6.886	4.364	5.455
Schauenburg-2015-858-362	362	Hausgemeinschaft	house community			noun	5.923	4.564	5.359	4.1	6.7
Schauenburg-2015-858-363	363	Hausmeister	janitor			noun	5.355	4.387	4.677	6.267	5.8
Schauenburg-2015-858-364	364	Heilpraktiker	alternative practitioner			noun	5.45	4.4	4.821	3.714	3.786
Schauenburg-2015-858-365	365	Heimat	home			noun	6.738	2.78	6.146	4.857	7.071
Schauenburg-2015-858-366	366	Heirat	marriage	2432	MARRIAGE	noun	5.357	5.5	5.964	4.696	6.696
Schauenburg-2015-858-367	367	helfen	to help	1897	HELP	verb	7.364	3.909	6.212	3.263	7.053
Schauenburg-2015-858-368	368	Herausforderer	challenger			noun	4.784	7.027	6.351	6.267	3.8
Schauenburg-2015-858-369	369	Herausforderung	challenge			noun	6.378	7.194	7.162	5	4.318
Schauenburg-2015-858-370	370	Herkunft	origin			noun	5.69	4.586	5.724	5.364	5.5
Schauenburg-2015-858-371	371	heroisch	heroic			adjective	5.615	6.103	7.077	6.174	3.652
Schauenburg-2015-858-372	372	Herrin	mistress			noun	4.08	6.44	7.08	8.304	3
Schauenburg-2015-858-373	373	herrisch	bossy			adjective	2.771	7.257	6.618	8	3.609
Schauenburg-2015-858-374	374	Herrschaft	sovereignty			noun	3.583	6.333	7.208	7.857	4.857
Schauenburg-2015-858-375	375	herrschen	to rule	1846	RULE	verb	3	7	7.133	8.478	4.565
Schauenburg-2015-858-376	376	Herrscher	ruler	3405	RULER	noun	3.05	6.975	7.4	8.458	3.292
Schauenburg-2015-858-377	377	heucheln	to pretend	3631	PRETEND	verb	2.132	6.676	5.026	5.696	3.913
Schauenburg-2015-858-378	378	Hierarchie	hierarchy			noun	3.351	5.944	7.083	7.75	4.563
Schauenburg-2015-858-379	379	Hilfe	help	3467	HELP (ASSISTANCE)	noun	6.743	3.265	5.857	3.818	6.182
Schauenburg-2015-858-380	380	hilfesuchend	help-seeking			adjective	4.448	5.793	3.69	4.875	5.438
Schauenburg-2015-858-381	381	hilflos	helpless			adjective	2.949	6.205	2.872	5.042	4.208
Schauenburg-2015-858-382	382	hilfsbedürftig	needy			adjective	4.333	5.364	3.636	5.5	5.4
Schauenburg-2015-858-383	383	Hilfskraft	assistant			noun	4.96	4.417	4.72	5.25	5.688
Schauenburg-2015-858-384	384	Hingabe	passion			noun	7.414	5.241	6.241	4.611	3.833
Schauenburg-2015-858-385	385	Hochmut	pride			noun	2.697	6.636	5.788	6.783	2.957
Schauenburg-2015-858-386	386	hochmütig	haughty			adjective	3.394	6.182	5.152	6.609	3.391
Schauenburg-2015-858-387	387	hochnäsig	conceited			adjective	2.484	6.3	4.774	6.25	3.25
Schauenburg-2015-858-388	388	hochqualifiziert	highly skilled			adjective	6.756	4.561	7.073	5.7	3.2
Schauenburg-2015-858-389	389	Hoffnung	hope	3211	HOPE (FAITH)	noun	7.788	3.061	6.879	3.696	5.174
Schauenburg-2015-858-390	390	höflich sein	to be polite	3300	POLITE	verb	7.243	3.054	4.917	4.13	5.652
Schauenburg-2015-858-391	391	höhnisch	scornful			adjective	2.897	6.846	5.513	6.304	3.957
Schauenburg-2015-858-392	392	hörig	under sb.'s spell			adjective	2.795	6.128	4.128	7.217	5.13
Schauenburg-2015-858-393	393	Hörigkeit	bondage			noun	3.028	5.778	4.686	7.909	5.091
Schauenburg-2015-858-394	394	Hunger	hunger	1864	HUNGER	noun	3.043	6.783	6.63	5.348	4.826
Schauenburg-2015-858-395	395	Ideologie	ideology			noun	4.206	6.485	6.758	7.25	6.188
Schauenburg-2015-858-396	396	Idol	idol	1945	IDOL	noun	5.567	5.167	6.1	6.389	3.278
Schauenburg-2015-858-397	397	Imperium	empire			noun	3.735	6.206	8.176	8.542	5.417
Schauenburg-2015-858-398	398	Individualist	individualist			noun	6.657	5.382	6.676	4.643	1.786
Schauenburg-2015-858-399	399	Individualität	individuality			noun	6.921	4.865	6.553	5	2.2
Schauenburg-2015-858-400	400	individuell	individual			adjective	7	5.2	6.275	5.077	2.692
Schauenburg-2015-858-401	401	Individuum	individual			noun	6.571	4.571	6.393	4.364	2.273
Schauenburg-2015-858-402	402	Ingenieur	engineer			noun	6.194	4.7	5.871	5.625	4.563
Schauenburg-2015-858-403	403	Insider	insider			noun	5	5.378	5.973	5.588	4.294
Schauenburg-2015-858-404	404	integrieren	to integrate			verb	6.121	4.97	5.394	4.048	6.714
Schauenburg-2015-858-405	405	intellektuell	intellectual	2530	SMART	adjective	7.071	4.429	6.738	4.556	2.556
Schauenburg-2015-858-406	406	Interessent	prospect			noun	5.5	5.25	5.167	4.615	3.615
Schauenburg-2015-858-407	407	Internat	boarding school			noun	4.325	5.487	5.41	6.889	5.889
Schauenburg-2015-858-408	408	intrigant	intruiging			adjective	2.086	7.4	6.886	6.261	3.435
Schauenburg-2015-858-409	409	ironisch	ironic			adjective	6.136	5.841	6.182	4.727	3.909
Schauenburg-2015-858-410	410	jmd erniedrigen*	to humiliate sb.			verb	1.944	6.972	5.222	8.174	4.087
Schauenburg-2015-858-411	411	jmd opfern*	to sacrifice sb.			verb	2.242	7.121	5.212	7.731	4.308
Schauenburg-2015-858-412	412	jmd vergeben*	to forgive sb.			verb	7.344	3.719	5.969	4.4	4.88
Schauenburg-2015-858-413	413	jmd verhaften*	to arrest sb.			verb	2.865	7.486	6.568	7.923	4.154
Schauenburg-2015-858-414	414	jmd vertreten*	to advocate sb.			verb	5.421	5.553	5.605	4.556	5.167
Schauenburg-2015-858-415	415	jmd warnen*	to caution sb.			verb	4.875	6.208	6.333	4.739	6.304
Schauenburg-2015-858-416	416	Journalist	journalist			noun	5.5	5.733	6.067	4.278	4.167
Schauenburg-2015-858-417	417	Jugendarbeiter	youth worker			noun	5.364	5.182	5.094	4.762	6.857
Schauenburg-2015-858-418	418	Jugendszene	youth scene			noun	4.825	6.275	5.65	4.214	5.714
Schauenburg-2015-858-419	419	Jury	jury			noun	4.114	5.636	6.386	5.538	5.385
Schauenburg-2015-858-420	420	Käfig	cage	3283	CAGE	noun	2.415	6.512	5.951	7.72	4.6
Schauenburg-2015-858-421	421	Kamerad	companion	3978	COMPANION	noun	6.393	4.148	6.423	4.294	6.706
Schauenburg-2015-858-422	422	Kampf	fight	3880	FIGHT (COMBAT)	noun	3.103	7.872	7.128	5.783	5.739
Schauenburg-2015-858-423	423	kämpfen	to fight	1423	FIGHT	verb	4.4	7.133	7.467	6.167	5.625
Schauenburg-2015-858-424	424	kampflos	without a fight			adjective	3.8	5.367	3.9	5	4.739
Schauenburg-2015-858-425	425	Kanzlei	chancellery			noun	4.556	4.829	5.829	6.133	5.4
Schauenburg-2015-858-426	426	Karriere	career			noun	5.633	6.345	6.621	6.714	1.5
Schauenburg-2015-858-427	427	Kerl	guy			noun	4.571	5.881	5.69	5.632	4.737
Schauenburg-2015-858-428	428	KFZ Mechaniker*	car mechanic			noun	4.972	4.889	5.083	5.5	4.25
Schauenburg-2015-858-429	429	Kinder	children	2099	CHILD	noun	7	6.032	4.806	4.5	6.227
Schauenburg-2015-858-430	430	Kindergarten	kindergarten			noun	6.25	5.2	4.639	4.545	6.455
Schauenburg-2015-858-431	431	Kindergärtnerin	kindergarden teacher (female)			noun	5.529	4.294	4.471	4.875	6.75
Schauenburg-2015-858-432	432	kinderlos	childless			adjective	4.657	4.686	5.057	5.769	2.692
Schauenburg-2015-858-433	433	Kirche	church	1349	CHURCH	noun	3.882	4.794	5.382	7.556	7.111
Schauenburg-2015-858-434	434	Klassenfahrt	school trip			noun	5.813	6.281	5.219	5.313	7.625
Schauenburg-2015-858-435	435	klauen	to steal	713	STEAL	verb	2.714	7.171	5.4	5.08	3.2
Schauenburg-2015-858-436	436	Kleinfamilie	nuclear familiy			noun	5.636	4.344	4.909	4.727	6.364
Schauenburg-2015-858-437	437	Kleingruppe	small group			noun	5.459	4.622	4.861	4.25	6.05
Schauenburg-2015-858-438	438	kleinlaut	subdued			adjective	3.541	4.757	2.703	5.043	4.217
Schauenburg-2015-858-439	439	Kneipe	pub			noun	5.5	5.722	4.806	3.067	7.267
Schauenburg-2015-858-440	440	Koch	cook	2315	COOK (PERSON)	noun	6.182	4.909	5.152	5.563	4.688
Schauenburg-2015-858-441	441	Kollege	colleague			noun	5.78	4.78	5.341	3.462	6.077
Schauenburg-2015-858-442	442	Kollegin	colleague			noun	5.822	4.791	5.186	3.611	6.556
Schauenburg-2015-858-443	443	Kollegium	faculty (staff)			noun	5.486	4.914	5.735	4.824	6.176
Schauenburg-2015-858-444	444	Kollektiv	collective			noun	5.395	4.676	6.079	4	8.333
Schauenburg-2015-858-445	445	Kommandeur	commander			noun	3.028	6.743	6.171	8.563	4.813
Schauenburg-2015-858-446	446	Kommissar	detective			noun	5.044	5.568	6.295	6.643	4.929
Schauenburg-2015-858-447	447	Kompagnon	companion			noun	6.407	4	5.296	3.5	6.8
Schauenburg-2015-858-448	448	kompetent	competent			adjective	7.176	3.879	6.735	5.636	3.818
Schauenburg-2015-858-449	449	Komplize	accomplice			noun	4.3	5.833	5.5	5.15	5.55
Schauenburg-2015-858-450	450	Konflikt	conflict			noun	3.576	6.667	6.485	6.267	5.467
Schauenburg-2015-858-451	451	König	king	1508	KING	noun	4.8	5.3	7.2	7.647	4.235
Schauenburg-2015-858-452	452	Konkurrent	competitor			noun	3.297	6.676	6.27	5.688	2.813
Schauenburg-2015-858-453	453	Konsens	consensus			noun	6.575	3.6	5.575	2.722	7.889
Schauenburg-2015-858-454	454	Kontrolle	control			noun	4.026	5.579	6.895	8.136	5.5
Schauenburg-2015-858-455	455	korrekt	correct	1725	CORRECT (RIGHT)	adjective	6.25	3.844	5.844	5.727	5.182
Schauenburg-2015-858-456	456	korrupt	corrupt			adjective	2.206	7.147	6.121	6.565	3.826
Schauenburg-2015-858-457	457	Kraft	strength	202	STRENGTH	adjective	6.865	5.432	7.297	5.478	5.043
Schauenburg-2015-858-458	458	kraftlos	powerless			adjective	3	5.349	3.326	4.833	4.458
Schauenburg-2015-858-459	459	kraftvoll	vigorous	3188	MIGHTY OR POWERFUL OR STRONG	adjective	6.878	5.463	7.15	5.88	4.6
Schauenburg-2015-858-460	460	Kranker	invalid	3375	PATIENT (SICK PERSON)	noun	3.441	5.882	3.735	5.071	4.357
Schauenburg-2015-858-461	461	kreativ	creative			adjective	7.757	6.162	6.778	3.846	2.923
Schauenburg-2015-858-462	462	Krise	crisis			noun	2.583	7.583	5.958	4.917	5.167
Schauenburg-2015-858-463	463	Kritiker	critic			noun	4.55	6.375	6.6	5.375	3.375
Schauenburg-2015-858-464	464	kritisch	critical			adjective	5	5.925	6.425	5.087	3.652
Schauenburg-2015-858-465	465	kümmern	to care	253	CARE FOR	verb	7.28	2.84	5.72	4.615	6.769
Schauenburg-2015-858-466	466	Kumpel	pal			noun	6.774	3.677	5.806	2.714	7.714
Schauenburg-2015-858-467	467	kündigen	to quit			verb	3.886	6.971	6.714	5.917	3.5
Schauenburg-2015-858-468	468	Kundschaft	customers			noun	5.161	5.065	4.71	5.3	5.1
Schauenburg-2015-858-469	469	Kunstkenner	art connoisseur			noun	5.81	4.333	4.905	5.538	3
Schauenburg-2015-858-470	470	Künstler	artist			noun	6.583	5.444	5.528	3.944	2.167
Schauenburg-2015-858-471	471	Lähmung	paralysis			noun	1.929	6.19	4.976	5.609	4.174
Schauenburg-2015-858-472	472	Landsmann	fellow-countrymen			noun	5.625	4.387	5.25	5.043	6.217
Schauenburg-2015-858-473	473	lässig	casual			adjective	6.7	3.675	5.05	3.75	3.917
Schauenburg-2015-858-474	474	launisch	moody			adjective	3.524	6.548	4.881	5.522	3.13
Schauenburg-2015-858-475	475	Lebensgefährte	companion			noun	7.14	4.171	5.929	4.188	5.688
Schauenburg-2015-858-476	476	Lebensgemeinschaft	cohabitation			noun	6.694	4.056	5.917	3	7.071
Schauenburg-2015-858-477	477	ledig	unmarried			adjective	5.125	4.725	4.897	4.826	3.174
Schauenburg-2015-858-478	478	Lehrling	apprentice			noun	5.156	4.956	3.822	4.6	5.2
Schauenburg-2015-858-479	479	Lehrmeister	mentor			noun	5.028	5.111	6.333	7.118	4.647
Schauenburg-2015-858-480	480	Lehrstelle	apprenticeship			noun	5.634	5.171	5.317	5.429	5.5
Schauenburg-2015-858-481	481	Leiharbeiter	agency worker			noun	3.813	5.5	3.5	6.111	4
Schauenburg-2015-858-482	482	Leistung	achievement			noun	5.921	5.842	6.842	6.111	3.222
Schauenburg-2015-858-483	483	Liebe	love	3834	LOVE (AFFECTION)	noun	8.414	5.724	8	3.667	5
Schauenburg-2015-858-484	484	Liebhaber	lover (male)			noun	6	6.605	6.07	4.222	3.333
Schauenburg-2015-858-485	485	links	left	244	LEFT	adjective	5.636	5.212	4.879	3.652	6.435
Schauenburg-2015-858-486	486	Lob	praise	1687	PRAISE	noun	7.769	4.077	6.154	5.174	5.391
Schauenburg-2015-858-487	487	locker	casual			adjective	6.854	3.561	4.439	3.5	5.429
Schauenburg-2015-858-488	488	loyal	loyal			adjective	7.405	2.722	6.541	4.611	6.5
Schauenburg-2015-858-489	489	Lüge	lie	2826	LIE (FALSEHOOD)	noun	2.611	7.194	5.944	5.591	3.636
Schauenburg-2015-858-490	490	lügen	to lie	601	LIE (MISLEAD)	verb	2.535	7.093	5.279	5.565	3.522
Schauenburg-2015-858-491	491	lüstern	lecherous			adjective	4.439	6.45	5.975	5.13	3.696
Schauenburg-2015-858-492	492	Macht	power	2526	POWER	noun	3.684	6.789	7.553	7.154	4.692
Schauenburg-2015-858-493	493	mächtig	powerful	3001	POWERFUL	adjective	4.424	6.03	7.212	7.857	3.929
Schauenburg-2015-858-494	494	Mainstream	mainstream			noun	4.125	4.71	5.774	5.231	6.462
Schauenburg-2015-858-495	495	Maler	painter			noun	5.925	4.475	4.825	4.667	2.917
Schauenburg-2015-858-496	496	Managerin	manageress			noun	5.333	5.514	6.361	6.792	3.333
Schauenburg-2015-858-497	497	Mandant	client			noun	4.949	5.103	4.949	4.818	4.455
Schauenburg-2015-858-498	498	manipulieren	to manipulate			verb	2.719	7.188	6.438	7.615	3.692
Schauenburg-2015-858-499	499	männlich	manly			adjective	5.941	5.794	5.97	6.214	4.5
Schauenburg-2015-858-500	500	Mannschaft	team			noun	6.222	4.889	6.511	4.211	8.053
Schauenburg-2015-858-501	501	maskulin	masculine			adjective	5.694	5.639	6.306	6.417	4.125
Schauenburg-2015-858-502	502	mein	my	2090	MY	adjective	6.487	3.974	6.487	5.875	1.583
Schauenburg-2015-858-503	503	Meinung	opinion			noun	6.571	5.143	6.75	4.391	3.217
Schauenburg-2015-858-504	504	menschenunwürdig	inhumane			adjective	2.095	7.452	6.071	6.615	5.538
Schauenburg-2015-858-505	505	Mentor	mentor			noun	6.323	4.097	6	5.4	5.467
Schauenburg-2015-858-506	506	meutern	to mutiny			verb	4.406	7.156	5.438	4.792	6.708
Schauenburg-2015-858-507	507	Migrant	migrant			noun	5.042	5.688	4.417	5.444	5.278
Schauenburg-2015-858-508	508	Milieu	milieu			noun	4.207	5.793	5.759	4.4	6
Schauenburg-2015-858-509	509	militant	militant			adjective	2.519	7.444	6.667	6.5	4.722
Schauenburg-2015-858-510	510	Millionär	millionaire			noun	5.621	5.345	6.379	6.043	2.261
Schauenburg-2015-858-511	511	Minderheit	minority			noun	4.488	5.341	3.805	5	6.625
Schauenburg-2015-858-512	512	minderjährig	underage			adjective	4.909	4.879	3.667	5	4.769
Schauenburg-2015-858-513	513	minderwertig	inferior			adjective	2.114	6.171	3.857	6.625	4.375
Schauenburg-2015-858-514	514	Minister	minister	486	MINISTER	noun	4.528	5.167	5.833	7	4.389
Schauenburg-2015-858-515	515	Mitarbeiter	colleague			noun	5.026	5	4.789	4.529	5.765
Schauenburg-2015-858-516	516	Mitbewohner	roommate			noun	5.727	5.186	5.233	2.7	6.85
Schauenburg-2015-858-517	517	Miteinander	intimacy			noun	7.464	4.214	6.893	2.2	8.667
Schauenburg-2015-858-518	518	Mitgefühl	empathy			noun	7.529	3.176	6	2.778	6.889
Schauenburg-2015-858-519	519	Mitgliedschaft	membership			noun	5.966	4.483	5.172	4.45	6.6
Schauenburg-2015-858-520	520	Mitläufer	follower			noun	2.8	5.667	3.633	6	6.722
Schauenburg-2015-858-521	521	Mitleid	empathy			noun	4.85	4.3	5.075	3.6	5.64
Schauenburg-2015-858-522	522	mitleiden	to suffer with sb.			verb	4.578	5.489	4.711	2.87	6.13
Schauenburg-2015-858-523	523	mitreden	to have a say			verb	6.351	5.278	5.971	3.063	7
Schauenburg-2015-858-524	524	Mitschüler	classmate			noun	5.366	5.049	5	3.933	6.8
Schauenburg-2015-858-525	525	mittellos	penniless	1674	POOR	adjective	2.622	6.919	3.595	5.174	4.391
Schauenburg-2015-858-526	526	Mittelschicht	middle class			noun	4.88	4.24	5.24	5.5	5.786
Schauenburg-2015-858-527	527	Monarchie	monarchy			noun	4.633	4.467	5.633	6.667	4.556
Schauenburg-2015-858-528	528	moralisch	moral			adjective	5.5	4.6	6.267	4.864	6.727
Schauenburg-2015-858-529	529	Moralist	moralist			noun	4.133	5.6	5.273	5.217	4.913
Schauenburg-2015-858-530	530	Moschee	mosque	1603	MOSQUE	noun	4.677	5.097	5.613	5.5	7.55
Schauenburg-2015-858-531	531	Moslem	muslim			noun	4.789	5.421	5.237	5	6.308
Schauenburg-2015-858-532	532	motivieren	to motivate			verb	7.452	5.595	6.659	5.286	5.643
Schauenburg-2015-858-533	533	mutlos	despondent			adjective	3	5.419	3.194	5.217	3.478
Schauenburg-2015-858-534	534	Mutprobe	dare			noun	4.021	7.208	6.125	6.143	4.857
Schauenburg-2015-858-535	535	Nachbar	neighbor	1332	NEIGHBOUR	noun	5.788	4.606	4.97	4.25	6.167
Schauenburg-2015-858-536	536	Nachbarschaft	neighborhood			noun	6.025	4.475	5.359	4	6.647
Schauenburg-2015-858-537	537	Nachhilfelehrer	tutor			noun	5.105	4.632	4.921	5.235	4.412
