ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH
Blum-2024-501-457	457	1895	CLOTHES	clothes	ropa
Blum-2024-501-458	458	1897	HELP	help	ayudar
Blum-2024-501-459	459	1906	SOUR	sour	ácido, agrio
Blum-2024-501-460	460	1909	SHAKE	shake	sacudir
Blum-2024-501-461	461	1913	PRESS	press	presionar
Blum-2024-501-462	462	1917	TIE	tie	anudar
Blum-2024-501-463	463	1920	DREAM (SOMETHING)	dream (something)	soñar
Blum-2024-501-464	464	1923	ROUGH	rough	áspero
Blum-2024-501-465	465	1936	DEER	deer	venado, matacán
Blum-2024-501-466	466	1937	THERE	there	allí
Blum-2024-501-467	467	1942	NEAR	near	cerca
Blum-2024-501-468	468	1958	UNRIPE	unripe	inmaduro, no maduro, verde
Blum-2024-501-469	469	1959	RAW	raw	crudo
Blum-2024-501-470	470	1961	NECKLACE	necklace	collar
Blum-2024-501-471	471	1970	CANOE	canoe	canoa, curiara
Blum-2024-501-472	472	1973	DEMON	demon	demonio
Blum-2024-501-473	473	1977	DEW	dew	rocío
Blum-2024-501-474	474	1983	SNORE	snore	roncar
Blum-2024-501-475	475	1996	GET TIRED	get tired	cansarse
Blum-2024-501-476	476	2003	FLOW	flow	fluir, correr
Blum-2024-501-477	477	2004	BEND	bend	doblar, encorvar
Blum-2024-501-478	478	2009	DOG	dog	perro
Blum-2024-501-479	479	2014	GO DOWN (DESCEND)	go down (descend)	descender
Blum-2024-501-480	480	2017	MIX	mix	mezclar, mixturar
Blum-2024-501-481	481	2019	HAMMOCK	hammock	hamaca, chinchorro
Blum-2024-501-482	482	2070	COMB (VERB)	comb (verb)	peinar
Blum-2024-501-483	483	2144	SPRING OR WELL	spring or well	pozo, manantial
Blum-2024-501-484	484	2215	BECOME ANGRY	become angry	enojarse
Blum-2024-501-485	485	2252	PATH	path	trocha
Blum-2024-501-486	486	2341	CLOUDY	cloudy	nublado
Blum-2024-501-487	487	2472	SUCKLE (BREASTFEED, NURSE)	suckle (breastfeed, nurse)	mamar
Blum-2024-501-488	488	2492	BOIL (SOMETHING)	boil (something)	hervir, cocer
Blum-2024-501-489	489	2648	HAIR (HEAD)	hair (head)	cabello
Blum-2024-501-490	490	2790	HIGH OR TALL	high or tall	alto
Blum-2024-501-491	491	2827	MENSTRUATE	menstruate	menstruar
Blum-2024-501-492	492	3174	WAKE UP (SOMEONE)	wake up (someone)	despertar
Blum-2024-501-493	493	3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	fuerte, poderoso
Blum-2024-501-494	494	3208	CENTER OR MIDDLE	center or middle	medio, centro
Blum-2024-501-495	495	3287	BLOOM	bloom	florecer
Blum-2024-501-496	496	3456	CRAWL OR CREEP	crawl or creep	gatear
Blum-2024-501-497	497	3609	TOWN OR VILLAGE	town or village	pueblo, ciudad
Blum-2024-501-498	498	3653	COOKING POT	cooking pot	olla, paila
Blum-2024-501-499	499	978	WAVE	wave	ola
Blum-2024-501-500	500	241	TREE STUMP	tree stump	tocón
Blum-2024-501-501	501	1065	SPIDER WEB	spider web	telaraña
