ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	WOLD_ID	URL	IDS_ID	DESCRIPTION	CONTEXT	PART_OF_SPEECH	SEMANTIC_FIELD	AGE_SCORE	BORROWING_SCORE	SIMPLICITY_SCORE	REPRESENTATION	RANK
Haspelmath-2009-1460-107	1496	GRANDMOTHER	107	the grandmother	2-47	http://wold.clld.org/meaning/2-47	2.47	-	My grandmother is 70 years old.	Noun	2	0.8409240924	0.2714521452	0.8242574257	59	445
Haspelmath-2009-1460-108	907	OLD WOMAN	108	the old woman	2-471	http://wold.clld.org/meaning/2-471	2.471	-	That old woman looks like my grandmother.	Noun	2	0.7828947368	0.1315789474	0.6929824561	45	1239
Haspelmath-2009-1460-109	1618	GRANDSON	109	the grandson	2-48	http://wold.clld.org/meaning/2-48	2.48	-	My grandson is 5 years older than my granddaughter.	Noun	2	0.8483947681	0.0951248514	0.7488109394	45	352
Haspelmath-2009-1460-110	1619	GRANDDAUGHTER	110	the granddaughter	2-49	http://wold.clld.org/meaning/2-49	2.49	-	My grandson is 5 years older than my granddaughter.	Noun	2	0.8282883875	0.1045679692	0.7303247111	46	636
Haspelmath-2009-1460-111	1327	UNCLE	111	the uncle	2-51	http://wold.clld.org/meaning/2-51	2.51	-	I have two uncles, one on my father's side and one on my mother's side.	Noun	2	0.8684884714	0.303871335	0.9369010343	41	160
Haspelmath-2009-1460-112	1984	MOTHER'S BROTHER	112	the mother's brother	2-511	http://wold.clld.org/meaning/2-511	2.511	-	-	Noun	2	0.782216933	0.2112376743	0.9107446447	40	1245
Haspelmath-2009-1460-113	1985	FATHER'S BROTHER	113	the father's brother	2-512	http://wold.clld.org/meaning/2-512	2.512	-	-	Noun	2	0.8085123501	0.2154236061	0.7888003862	43	929
Haspelmath-2009-1460-114	1272	AUNT	114	the aunt	2-52	http://wold.clld.org/meaning/2-52	2.52	-	-	Noun	2	0.8428679119	0.2374570735	0.8651478348	45	424
Haspelmath-2009-1460-115	171	MOTHER'S SISTER	115	the mother's sister	2-521	http://wold.clld.org/meaning/2-521	2.521	-	-	Noun	2	0.789017341	0.2167630058	0.823699422	42	1178
Haspelmath-2009-1460-116	170	FATHER'S SISTER	116	the father's sister	2-522	http://wold.clld.org/meaning/2-522	2.522	-	-	Noun	2	0.8416207846	0.2770130764	0.9066586373	42	438
Haspelmath-2009-1460-117	1063	NEPHEW	117	the nephew	2-53	http://wold.clld.org/meaning/2-53	2.53	‘sibling’s son’	-	Noun	2	0.8360609481	0.1890519187	0.7347629797	47	515
Haspelmath-2009-1460-118	1642	NIECE	118	the niece	2-54	http://wold.clld.org/meaning/2-54	2.54	‘sibling’s daughter’	-	Noun	2	0.8249872253	0.145631068	0.6780786919	48	680
Haspelmath-2009-1460-119	1643	COUSIN	119	the cousin	2-55	http://wold.clld.org/meaning/2-55	2.55	-	-	Noun	2	0.8009289746	0.1241768579	0.6960253998	76	1042
Haspelmath-2009-1460-120	1669	ANCESTORS	120	the ancestors	2-56	http://wold.clld.org/meaning/2-56	2.56	-	-	Noun	2	0.7962025316	0.2784810127	0.6962025316	43	1101
Haspelmath-2009-1460-121	490	DESCENDANTS	121	the descendants	2-57	http://wold.clld.org/meaning/2-57	2.57	-	-	Noun	2	0.8242424242	0.3454545455	0.703030303	45	691
Haspelmath-2009-1460-122	2255	FATHER-IN-LAW (OF MAN)	122	the father-in-law (of a man)	2-61	http://wold.clld.org/meaning/2-61	2.61	-	-	Noun	2	0.8313326848	0.1254863813	0.7344357977	43	596
Haspelmath-2009-1460-123	2254	FATHER-IN-LAW (OF WOMAN)	123	the father-in-law (of a woman)	2-611	http://wold.clld.org/meaning/2-611	2.611	-	-	Noun	2	0.7921620478	0.1697694098	0.7556589803	42	1146
Haspelmath-2009-1460-124	2256	MOTHER-IN-LAW (OF WOMAN)	124	the mother-in-law (of a man)	2-62	http://wold.clld.org/meaning/2-62	2.62	-	-	Noun	2	0.8023551878	0.1217377467	0.7183322724	44	1023
Haspelmath-2009-1460-125	2257	MOTHER-IN-LAW (OF MAN)	125	the mother-in-law (of a woman)	2-621	http://wold.clld.org/meaning/2-621	2.621	-	-	Noun	2	0.8295157068	0.1889725131	0.7529450262	43	622
