"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"RonaTas-2011-512-220"	220	"thimble"		
"RonaTas-2011-512-221"	221	"boat, ship"	1844	"BOAT"
"RonaTas-2011-512-222"	222	"bell"	2246	"BELL"
"RonaTas-2011-512-223"	223	"hawk"	307	"HAWK"
"RonaTas-2011-512-224"	224	"sand"	671	"SAND"
"RonaTas-2011-512-225"	225	"noose, loop, snare"	2604	"NOOSE"
"RonaTas-2011-512-226"	226	"time, weather"	892	"TIME"
"RonaTas-2011-512-227"	227	"word, biblical word, verb"	1599	"WORD"
"RonaTas-2011-512-228"	228	"yes; affirmative particle, very"	1268	"YES"
"RonaTas-2011-512-229"	229	"to be frightened, to take fright"		
"RonaTas-2011-512-230"	230	"to be frightened, to take fright"		
"RonaTas-2011-512-231"	231	"twin"	1005	"TWINS"
"RonaTas-2011-512-232"	232	"proper behaviour"		
"RonaTas-2011-512-233"	233	"to suit something, to be proper, to fit into"		
"RonaTas-2011-512-234"	234	"to adore, worship"	257	"WORSHIP"
"RonaTas-2011-512-235"	235	"shirt"	1622	"SHIRT"
"RonaTas-2011-512-236"	236	"to write"	1672	"WRITE"
"RonaTas-2011-512-237"	237	"buttermilk"		
"RonaTas-2011-512-238"	238	"to glow, be hot"	1286	"HOT"
"RonaTas-2011-512-239"	239	"name of an ethnic group of Iranian origin in Hungary"		
"RonaTas-2011-512-240"	240	"do-less, do-little"		
"RonaTas-2011-512-241"	241	"bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)"		
"RonaTas-2011-512-242"	242	"guide, pilot; conductor, ticket inspector"	43	"LEAD (GUIDE)"
"RonaTas-2011-512-243"	243	"guide, pilot; conductor, ticket inspector"	43	"LEAD (GUIDE)"
"RonaTas-2011-512-244"	244	"an ethnic group of Muslim faith in Mediaeval Hungary"		
"RonaTas-2011-512-245"	245	"a water plant, Stratiotes aloides"		
"RonaTas-2011-512-246"	246	"a water plant, Stratiotes aloides"		
"RonaTas-2011-512-247"	247	"a water plant, Stratiotes aloides"		
"RonaTas-2011-512-248"	248	"whip, lash"	2630	"WHIP"
"RonaTas-2011-512-249"	249	"whip, lash"	2630	"WHIP"
"RonaTas-2011-512-250"	250	"whip, lash"	2630	"WHIP"
"RonaTas-2011-512-251"	251	"saddle strap"		
"RonaTas-2011-512-252"	252	"saddle strap"		
"RonaTas-2011-512-253"	253	"bridle, reins"		
"RonaTas-2011-512-254"	254	"measles"	3389	"MEASLES"
"RonaTas-2011-512-255"	255	"trap, snare"	1075	"TRAP (PITFALL)"
"RonaTas-2011-512-256"	256	"gate"	2940	"GATE"
"RonaTas-2011-512-257"	257	"arm"	1673	"ARM"
"RonaTas-2011-512-258"	258	"damage, loss"	2947	"DAMAGE (INJURY)"
