ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	LEXIBANK_GLOSS
Marrison-1967-917-441	441	liver	1224	LIVER	liver
Marrison-1967-917-442	442	lizard	632	LIZARD	lizard
Marrison-1967-917-443	443	locust	810	LOCUST	locust
Marrison-1967-917-444	444	loincloth	1965	LOINCLOTH	loincloth
Marrison-1967-917-445	445	long	1203	LONG	long
Marrison-1967-917-446	446	to look at	1819	LOOK	look at//to look at
Marrison-1967-917-447	447	to look for	1468	LOOK FOR	look for//to look for
Marrison-1967-917-448	448	loom	1787	LOOM	loom
Marrison-1967-917-449	449	lord	3153	LORD	lord
Marrison-1967-917-450	450	to lose	1660	LOSE	lose//to lose
Marrison-1967-917-451	451	louse	1392	LOUSE	louse
Marrison-1967-917-452	452	to love	923	LOVE	love//to love
Marrison-1967-917-453	453	low	3348	LOW (POSITION OR HEIGHT)	low
Marrison-1967-917-454	454	lungs	688	LUNG	lungs
Marrison-1967-917-455	455	mad	1899	MAD	mad (insane)//mad
Marrison-1967-917-456	456	maize	506	MAIZE	maize
Marrison-1967-917-457	457	to make	734	MAKE	make//to make
Marrison-1967-917-458	458	man (male)	2106	MALE PERSON	man (male)
Marrison-1967-917-459	459	man (mankind)	683	PERSON	man (mankind)
Marrison-1967-917-460	460	mango	2398	MANGO	mango
Marrison-1967-917-461	461	many	3453	MANY PIECES	many
Marrison-1967-917-462	462	market	633	MARKET	market
Marrison-1967-917-463	463	married			married
Marrison-1967-917-464	464	mat	195	MAT	mat
Marrison-1967-917-465	465	meat	634	MEAT	meat
Marrison-1967-917-466	466	meet	1831	MEET	meet//to meet
Marrison-1967-917-467	467	to mend	2243	REPAIR	mend//to mend
Marrison-1967-917-468	468	middle	1093	MIDDLE	middle
Marrison-1967-917-469	469	milk	635	MILK	milk
Marrison-1967-917-470	470	millet	931	MILLET	millet
Marrison-1967-917-471	471	the mind	1562	MIND	mind//the mind
Marrison-1967-917-472	472	mist	249	FOG	mist
Marrison-1967-917-473	473	mistake	1293	MISTAKE	mistake
Marrison-1967-917-474	474	mithan (gayal, bos fontalis)			mithan (gayal, bos fontalis)
Marrison-1967-917-475	475	money	1559	MONEY	money
Marrison-1967-917-476	476	monkey (generic)	1350	MONKEY	monkey (generic)
Marrison-1967-917-477	477	monkey (huluk)			monkey (huluk)
Marrison-1967-917-478	478	monkey (langur)			monkey (langur)
Marrison-1967-917-479	479	monkey (macaque)			monkey (macaque)
Marrison-1967-917-480	480	moon	1313	MOON	moon
Marrison-1967-917-481	481	morning	1339	MORNING	morning
Marrison-1967-917-482	482	morung (men's dormitory)			morung (men's dormitory)
Marrison-1967-917-483	483	mosquito	1509	MOSQUITO	mosquito
Marrison-1967-917-484	484	moth	2828	MOTH	moth
Marrison-1967-917-485	485	mother	1216	MOTHER	mother
Marrison-1967-917-486	486	mountain	639	MOUNTAIN	mountain
Marrison-1967-917-487	487	mouse	1491	MOUSE	mouse
Marrison-1967-917-488	488	mouth	674	MOUTH	mouth
Marrison-1967-917-489	489	to move	765	MOVE	move//to move
Marrison-1967-917-490	490	much	3452	MUCH	much
Marrison-1967-917-491	491	mud	640	MUD	mud
Marrison-1967-917-492	492	must	971	MUST	must
Marrison-1967-917-493	493	mustard	3181	MUSTARD	mustard
Marrison-1967-917-494	494	naked	590	NAKED	naked
Marrison-1967-917-495	495	name	1405	NAME	name
Marrison-1967-917-496	496	narrow	1267	NARROW	narrow
Marrison-1967-917-497	497	navel	1838	NAVEL	navel
Marrison-1967-917-498	498	near	1942	NEAR	near
Marrison-1967-917-499	499	necessary	1030	NECESSARY	necessary
Marrison-1967-917-500	500	neck	1333	NECK	neck
Marrison-1967-917-501	501	necklace	1961	NECKLACE	necklace
Marrison-1967-917-502	502	needle	1382	NEEDLE (FOR SEWING)	needle
Marrison-1967-917-503	503	neighbour	1332	NEIGHBOUR	neighbor//neighbour
Marrison-1967-917-504	504	nest	539	NEST	nest
Marrison-1967-917-505	505	net	2963	NET	net
Marrison-1967-917-506	506	never	1656	NEVER	never
Marrison-1967-917-507	507	new	1231	NEW	new
Marrison-1967-917-508	508	news	2964	NEWS	news
Marrison-1967-917-509	509	night	1233	NIGHT	night
Marrison-1967-917-510	510	nine	1483	NINE	nine
Marrison-1967-917-511	511	nineteen	1714	NINETEEN	nineteen
Marrison-1967-917-512	512	ninety	1724	NINETY	ninety
Marrison-1967-917-513	513	no	1269	NO	no
Marrison-1967-917-514	514	noise	1182	NOISE	noise
Marrison-1967-917-515	515	noon	12	MIDDAY	noon
Marrison-1967-917-516	516	north	1598	NORTH	north
Marrison-1967-917-517	517	nose	1221	NOSE	nose
Marrison-1967-917-518	518	not	1240	NOT	not
Marrison-1967-917-519	519	now	1376	NOW	now
Marrison-1967-917-520	520	oath	1712	OATH	oath
Marrison-1967-917-521	521	to obey	1635	OBEY	obey//to obey
Marrison-1967-917-522	522	oil	2556	OIL (HYDROPHOBIC LIQUID)	oil
Marrison-1967-917-523	523	old (of things)	2113	OLD (USED)	old (of things)
Marrison-1967-917-524	524	old (of persons)	2112	OLD (AGED)	old (of persons)
Marrison-1967-917-525	525	old man	406	OLD MAN	old man
Marrison-1967-917-526	526	old woman	907	OLD WOMAN	old woman
Marrison-1967-917-527	527	on			on
Marrison-1967-917-528	528	one	1493	ONE	one
Marrison-1967-917-529	529	onion	2366	ONION	onion
Marrison-1967-917-530	530	only	1580	ONLY	only
Marrison-1967-917-531	531	to open	1156	OPEN	open//to open
Marrison-1967-917-532	532	an orange	2627	ORANGE (FRUIT)	orange//an orange
Marrison-1967-917-533	533	to order	1128	ORDER	order//to order
Marrison-1967-917-534	534	orphan	1149	ORPHAN	orphan
Marrison-1967-917-535	535	other	197	OTHER	other
Marrison-1967-917-536	536	otter	15	OTTER	otter
Marrison-1967-917-537	537	outside	762	OUTSIDE	outside
Marrison-1967-917-538	538	owl	735	OWL	owl
Marrison-1967-917-539	539	owner	1036	OWNER	owner
Marrison-1967-917-540	540	pain	1783	PAIN	pain
Marrison-1967-917-541	541	palm (of hand)	1183	PALM OF HAND	palm (hand)
Marrison-1967-917-542	542	panji (bamboo stake)			panji (bamboo stake)
Marrison-1967-917-543	543	to pass by	558	PASS BY	pass by//to pass by
Marrison-1967-917-544	544	to pay	718	PAY	pay//to pay
Marrison-1967-917-545	545	peace	1338	PEACE	peace
Marrison-1967-917-546	546	peacock	3382	PEACOCK	peacock
Marrison-1967-917-547	547	pearl	3325	PEARL	pearl
Marrison-1967-917-548	548	pen	794	PEN	pen
Marrison-1967-917-549	549	people	789	PEOPLE	people
Marrison-1967-917-550	550	person	683	PERSON	person
Marrison-1967-917-551	551	to pierce	398	PIERCE	pierce//to pierce
Marrison-1967-917-552	552	pig (domestic)	1337	PIG	pig (domestic)
Marrison-1967-917-553	553	pig (wild)	3154	WILD BOAR	pig (wild)//pig(wild)
Marrison-1967-917-554	554	pigeon			pigeon
Marrison-1967-917-555	555	pillow	1044	PILLOW	pillow
Marrison-1967-917-556	556	pipe (tobacco)	1124	PIPE	pipe (tobacco)
Marrison-1967-917-557	557	a place	723	PLACE (POSITION)	place//a place
Marrison-1967-917-558	558	the plains	652	PLAIN	plains//the plains
Marrison-1967-917-559	559	plate	480	PLATE	plate
Marrison-1967-917-560	560	to play (a game)	3125	PLAY (GAME)	play (a game)//to play (a game)
Marrison-1967-917-561	561	to play (music)	3124	PLAY (INSTRUMENT)	play (music)//to play (music)
Marrison-1967-917-562	562	poison	655	POISON	poison
Marrison-1967-917-563	563	pool			pool
Marrison-1967-917-564	564	poor	1674	POOR	poor
Marrison-1967-917-565	565	porcupine	2510	PORCUPINE	porcupine
Marrison-1967-917-566	566	post (of house)	281	POST	post (of house)
Marrison-1967-917-567	567	pot	1462	POT	pot
Marrison-1967-917-568	568	power	2526	POWER	power
Marrison-1967-917-569	569	to praise	3455	COMMEND	praise//to praise
Marrison-1967-917-570	570	to pray	24	PRAY	pray//to pray
Marrison-1967-917-571	571	pregnant	1123	PREGNANT	pregnant
Marrison-1967-917-572	572	to prepare	2909	PREPARE	prepare//to prepare
Marrison-1967-917-573	573	to press	1913	PRESS	press//to press
Marrison-1967-917-574	574	price	657	PRICE	price
Marrison-1967-917-575	575	priest	852	PRIEST	priest
Marrison-1967-917-576	576	prison	1281	PRISON	prison
Marrison-1967-917-577	577	proud	174	PROUD	proud
Marrison-1967-917-578	578	to pull	1455	PULL	pull//to pull
Marrison-1967-917-579	579	pumpkin	864	PUMPKIN	pumpkin
Marrison-1967-917-580	580	to push	1452	PUSH	push//to push
Marrison-1967-917-581	581	to put	998	PUT	put//to put
Marrison-1967-917-582	582	to quarrel	1848	QUARREL	quarrel//to quarrel
Marrison-1967-917-583	583	a question			question//a question
Marrison-1967-917-584	584	quiet	1314	QUIET	quiet
Marrison-1967-917-585	585	the rain	658	RAIN (PRECIPITATION)	rain//the rain
Marrison-1967-917-586	586	rainbow	1733	RAINBOW	rainbow
Marrison-1967-917-587	587	to raise	501	LIFT	raise//to raise
Marrison-1967-917-588	588	rake	338	RAKE	rake
Marrison-1967-917-589	589	rat	1490	RAT	rat
Marrison-1967-917-590	590	raw (unripe)	1959	RAW	raw (unripe)
Marrison-1967-917-591	591	to read	724	READ	read//to read
Marrison-1967-917-592	592	to reap	190	MOW	reap//to reap
Marrison-1967-917-593	593	to receive	694	GET	receive//to receive
Marrison-1967-917-594	594	red	156	RED	red
Marrison-1967-917-595	595	reed	659	REED	reed
Marrison-1967-917-596	596	to remain	987	REMAIN	remain//to remain
Marrison-1967-917-597	597	to return (come back)	581	COME BACK	return (come back)//to return (come back)
Marrison-1967-917-598	598	rhinoceros	2591	RHINOCEROS	rhinoceros
Marrison-1967-917-599	599	rib	801	RIB	rib
Marrison-1967-917-600	600	rice (paddy)	2026	RICE PLANT	rice (paddy)//rice (paddy
Marrison-1967-917-601	601	rice (uncooked)	3289	UNCOOKED RICE	rice (uncooked)
Marrison-1967-917-602	602	rice (cooked)	1191	COOKED RICE	rice (cooked)
Marrison-1967-917-603	603	rice-beer			rice-beer
Marrison-1967-917-604	604	rich	712	RICH	rich
Marrison-1967-917-605	605	right	1725	CORRECT (RIGHT)	right (correct)
Marrison-1967-917-606	606	Right-hand	2183	RIGHT HAND	right-hand
Marrison-1967-917-607	607	a ring (finger ring)	1374	RING	ring (finger ring)//a ring (finger ring)
Marrison-1967-917-608	608	ripe	178	RIPE	ripe
Marrison-1967-917-609	609	to rise	3207	GO UP OR RISE (ONESELF)	rise//to rise
Marrison-1967-917-610	610	river	666	RIVER	river
Marrison-1967-917-611	611	road	2457	PATH OR ROAD	road
Marrison-1967-917-612	612	roof	769	ROOF	roof
Marrison-1967-917-613	613	room	1450	ROOM	room
Marrison-1967-917-614	614	root	670	ROOT	root
Marrison-1967-917-615	615	rope	1218	ROPE	rope, cord
Marrison-1967-917-616	616	rotten	1728	ROTTEN	rotten
Marrison-1967-917-617	617	rough	1923	ROUGH	rough
Marrison-1967-917-618	618	round (adj)	1395	ROUND	round//round (adj)
Marrison-1967-917-619	619	to rub	1449	RUB	rub//to rub
Marrison-1967-917-620	620	to run	1519	RUN	run//to run
Marrison-1967-917-621	621	rust	3064	RUST	rust
Marrison-1967-917-622	622	sacrifice	1103	SACRIFICE	sacrifice
Marrison-1967-917-623	623	sad	699	SAD	sad
Marrison-1967-917-624	624	salary	1122	WAGES	salary
Marrison-1967-917-625	625	salt	1274	SALT	salt
Marrison-1967-917-626	626	sand	671	SAND	sand
Marrison-1967-917-627	627	to save	1997	PRESERVE	save//to save
Marrison-1967-917-628	628	a saw	1948	SAW	saw//a saw
Marrison-1967-917-629	629	to say	1458	SAY	say//to say
Marrison-1967-917-630	630	scales (balance)	2783	SCALES (MEASURE INSTRUMENT)	scales (balance)
Marrison-1967-917-631	631	scissors	356	SHEARS	scissors
Marrison-1967-917-632	632	scorpion	1538	SCORPION	scorpion
Marrison-1967-917-633	633	to scratch	1436	SCRATCH	scratch//to scratch//scratch the soil for grain (birds)
Marrison-1967-917-634	634	sea	1474	SEA	sea
Marrison-1967-917-635	635	second (adj)	1384	SECOND	second//second (adj)
Marrison-1967-917-636	636	to see	1409	SEE	see//to see
Marrison-1967-917-637	637	seed	714	SEED	seed
Marrison-1967-917-638	638	to seek	1468	LOOK FOR	seek//to seek
Marrison-1967-917-639	639	to seize	855	SEIZE	seize//to seize
Marrison-1967-917-640	640	self	1993	SELF	self
Marrison-1967-917-641	641	to sell	1571	SELL	sell//to sell
Marrison-1967-917-642	642	to send	1127	SEND	send//to send
Marrison-1967-917-643	643	serow	3270	SEROW	serow
Marrison-1967-917-644	644	servant	255	SERVANT	servant
Marrison-1967-917-645	645	to serve	3648	SERVE (SOMEONE)	serve//to serve
Marrison-1967-917-646	646	seven	1704	SEVEN	seven
Marrison-1967-917-647	647	seventeen	2453	SEVENTEEN	seventeen
Marrison-1967-917-648	648	seventy	1721	SEVENTY	seventy
Marrison-1967-917-649	649	to sew	1457	SEW	sew//to sew
Marrison-1967-917-650	650	shadow	1388	SHADE	shadow
Marrison-1967-917-651	651	to shake	1909	SHAKE	shake//to shake
Marrison-1967-917-652	652	shallow	193	SHALLOW	shallow
Marrison-1967-917-653	653	shame	1776	SHAME	shame
Marrison-1967-917-654	654	sharp	1396	SHARP	sharp
Marrison-1967-917-655	655	sheep	1331	SHEEP	sheep
Marrison-1967-917-656	656	shell	598	SHELL	shell
Marrison-1967-917-657	657	shield	1064	SHIELD	shield
Marrison-1967-917-658	658	to shine	708	SHINE	shine//to shine
Marrison-1967-917-659	659	shoe	1381	SHOE	shoe
Marrison-1967-917-660	660	to shoot	1172	SHOOT	shoot//to shoot
Marrison-1967-917-661	661	short	1645	SHORT	short
Marrison-1967-917-662	662	shoulder	1482	SHOULDER	shoulder
Marrison-1967-917-663	663	to shout	715	SHOUT	shout//to shout
Marrison-1967-917-664	664	shut	1046	SHUT	shut
Marrison-1967-917-665	665	shuttle	543	SHUTTLE	shuttle
Marrison-1967-917-666	666	sick	1847	SICK	sick
Marrison-1967-917-667	667	sickle	341	SICKLE	sickle
Marrison-1967-917-668	668	side (of body)	3344	SIDE (BODY)	side (of body)
Marrison-1967-917-669	669	silver	759	SILVER	silver
Marrison-1967-917-670	670	sin	2971	SIN	sin
Marrison-1967-917-671	671	to sing	1261	SING	sing//to sing
Marrison-1967-917-672	672	to sink	1088	SINK (DESCEND)	sink//to sink
Marrison-1967-917-673	673	sister (elder)	1758	OLDER SISTER	sister (elder)
Marrison-1967-917-674	674	sister (younger)	1761	YOUNGER SISTER	sister (younger)
Marrison-1967-917-675	675	to sit	1416	SIT	sit//to sit
Marrison-1967-917-676	676	six	1703	SIX	six
Marrison-1967-917-677	677	sixteen	2454	SIXTEEN	sixteen
Marrison-1967-917-678	678	sixty	1718	SIXTY	sixty
Marrison-1967-917-679	679	skin	763	SKIN	skin
Marrison-1967-917-680	680	skirt	1600	SKIRT	skirt
Marrison-1967-917-681	681	skull	1605	SKULL	skull
Marrison-1967-917-682	682	sky	1732	SKY	sky
Marrison-1967-917-683	683	slave	812	SLAVE	slave
Marrison-1967-917-684	684	to sleep	1585	SLEEP	sleep//to sleep
Marrison-1967-917-685	685	to slip	1324	SLIP	slip//to slip
Marrison-1967-917-686	686	slow	701	SLOW	slow
Marrison-1967-917-687	687	small	1246	SMALL	small
Marrison-1967-917-688	688	to smell	2124	SMELL	smell//to smell
Marrison-1967-917-689	689	to smile	1451	SMILE	smile//to smile
Marrison-1967-917-690	690	smoke	1689	SMOKE (INHALE)	smoke
Marrison-1967-917-691	691	smooth	1234	SMOOTH	smooth
Marrison-1967-917-692	692	snail	1543	SNAIL	snail
Marrison-1967-917-693	693	snake	730	SNAKE	snake
Marrison-1967-917-694	694	to sneeze	1621	SNEEZE	sneeze//to sneeze//sneaze
Marrison-1967-917-695	695	snow	784	SNOW	snow
Marrison-1967-917-696	696	to snore	1983	SNORE	snore//to snore
Marrison-1967-917-697	697	so (like that)	2336	OF THIS KIND (SUCH)	so (like that)
Marrison-1967-917-698	698	soft	1856	SOFT	soft
Marrison-1967-917-699	699	some	1241	SOME	some
Marrison-1967-917-700	700	son	1620	SON	son
Marrison-1967-917-701	701	song	1096	SONG	song
Marrison-1967-917-702	702	sorry	1875	REGRET	sorry
Marrison-1967-917-703	703	soul	811	SOUL	soul
Marrison-1967-917-704	704	sour	1906	SOUR	sour
Marrison-1967-917-705	705	south	1595	SOUTH	south
Marrison-1967-917-706	706	to sow	748	SOW SEEDS	sow//to sow
Marrison-1967-917-707	707	sparrow	1854	SPARROW	sparrow
Marrison-1967-917-708	708	to speak	1623	SPEAK	speak//to speak
Marrison-1967-917-709	709	spear	945	SPEAR	spear
Marrison-1967-917-710	710	speech	1115	SPEECH	speech
Marrison-1967-917-711	711	spider	843	SPIDER	spider
Marrison-1967-917-712	712	to spin (cotton)	121	SPIN	spin (cotton)//to spin (cotton)
Marrison-1967-917-713	713	spindle (cotton)	277	SPINDLE	spindle (cotton)
Marrison-1967-917-714	714	spirit	3231	DEITY	spirit
Marrison-1967-917-715	715	to spit	1440	SPIT	spit//to spit
Marrison-1967-917-716	716	to split	1437	SPLIT	split//to split
Marrison-1967-917-717	717	spoon	1378	SPOON	spoon
Marrison-1967-917-718	718	square	850	SQUARE	square
Marrison-1967-917-719	719	to squeeze	1414	SQUEEZE	squeeze//to squeeze
Marrison-1967-917-720	720	to squirrel	1628	SQUIRREL	squirrel
Marrison-1967-917-721	721	to stand	1442	STAND	stand//to stand
Marrison-1967-917-722	722	star	1430	STAR	star
Marrison-1967-917-723	723	to steal	713	STEAL	steal//to steal
Marrison-1967-917-724	724	a stick	1295	STICK	stick//a stick
Marrison-1967-917-725	725	to sting	571	STING	sting//to sting
Marrison-1967-917-726	726	to stink	42	STINKING	stink//to stink
Marrison-1967-917-727	727	stone	857	STONE	stone
Marrison-1967-917-728	728	storm	858	STORM	storm
Marrison-1967-917-729	729	straight	1404	STRAIGHT	straight
Marrison-1967-917-730	730	straw	2299	STRAW	straw
Marrison-1967-917-731	731	strong	785	STRONG	strong
Marrison-1967-917-732	732	to suck	1421	SUCK	suck//to suck
Marrison-1967-917-733	733	suddenly	2920	SUDDENLY	suddenly
Marrison-1967-917-734	734	to suffer	1101	SUFFER	suffer//to suffer
Marrison-1967-917-735	735	sugar	862	SUGAR	sugar
Marrison-1967-917-736	736	sugar-cane	146	SUGAR CANE	sugar-cane
Marrison-1967-917-737	737	sulphur (brimstone)			sulphur (brimstone)
Marrison-1967-917-738	738	summer	1342	SUMMER	summer
Marrison-1967-917-739	739	sun	1343	SUN	sun
Marrison-1967-917-740	740	to swallow	897	SWALLOW	swallow//to swallow
Marrison-1967-917-741	741	to swear	1939	SWEAR	swear//to swear
Marrison-1967-917-742	742	sweat	125	SWEAT (SUBSTANCE)	sweat
Marrison-1967-917-743	743	to sweep	230	SWEEP	sweep//to sweep
Marrison-1967-917-744	744	sweet	717	SWEET	sweet
Marrison-1967-917-745	745	to swim	1439	SWIM	swim//to swim
Marrison-1967-917-746	746	sword	1535	SWORD	sword
Marrison-1967-917-747	747	sword (weaving)			sword (weaving)
Marrison-1967-917-748	748	table	1775	TABLE	table
Marrison-1967-917-749	749	tail	1220	TAIL	tail
Marrison-1967-917-750	750	to take	1749	TAKE	take//to take
Marrison-1967-917-751	751	to talk	2708	TALK	talk//to talk
Marrison-1967-917-752	752	tall	711	TALL	tall
Marrison-1967-917-753	753	taro	351	TARO	taro
Marrison-1967-917-754	754	to taste	21	TASTE (SOMETHING)	taste//to taste
Marrison-1967-917-755	755	tax	873	TAX	tax
Marrison-1967-917-756	756	tea	1373	TEA	tea
Marrison-1967-917-757	757	to teach	709	TEACH	teach//to teach
Marrison-1967-917-758	758	teacher	1038	TEACHER	teacher
Marrison-1967-917-759	759	to tear	1735	TEAR (SHRED)	tear//to tear
Marrison-1967-917-760	760	tears (weeping)	1651	TEAR (OF EYE)	tears (weeping)
Marrison-1967-917-761	761	ten	1515	TEN	ten
Marrison-1967-917-762	762	to thank	2412	THANK (SOMBEODY)	thank//to thank
Marrison-1967-917-763	763	that (adj.)	78	THAT	that//that (adj.)
Marrison-1967-917-764	764	to thatch			thatch//to thatch
Marrison-1967-917-765	765	then	2921	THEN	then
Marrison-1967-917-766	766	there	1937	THERE	there
Marrison-1967-917-767	767	they	817	THEY	they
Marrison-1967-917-768	768	they two	2635	THEY TWO	they two
Marrison-1967-917-769	769	thick	1244	THICK	thick
Marrison-1967-917-770	770	thief	1160	THIEF	thief
Marrison-1967-917-771	771	thigh	471	UPPER LEG (THIGH)	thigh
Marrison-1967-917-772	772	thin	2308	THIN	thin
Marrison-1967-917-773	773	thing	738	THING	thing
Marrison-1967-917-774	774	to think	2271	THINK	think//to think
Marrison-1967-917-775	775	third	1859	THIRD	third
Marrison-1967-917-776	776	thirsty	847	THIRSTY	thirsty
Marrison-1967-917-777	777	thirteen	1708	THIRTEEN	thirteen
Marrison-1967-917-778	778	thirty	1715	THIRTY	thirty
Marrison-1967-917-779	779	this (adj.)	1214	THIS	this//this (adj.)
Marrison-1967-917-780	780	thorn	124	THORN	thorn
Marrison-1967-917-781	781	thou	1215	THOU	thou
Marrison-1967-917-782	782	thousand	1843	THOUSAND	thousand
Marrison-1967-917-783	783	thread	1161	THREAD	thread
Marrison-1967-917-784	784	three	492	THREE	three
Marrison-1967-917-785	785	throat	1346	THROAT	throat
Marrison-1967-917-786	786	to throw	1456	THROW	throw//to throw
Marrison-1967-917-787	787	thumb	1781	THUMB	thumb
Marrison-1967-917-788	788	thunder	1150	THUNDER	thunder
Marrison-1967-917-789	789	to tie	1917	TIE	tie//to tie
Marrison-1967-917-790	790	tiger	846	TIGER	tiger
Marrison-1967-917-791	791	tight	3053	TIGHT	tight
Marrison-1967-917-792	792	time	892	TIME	time
Marrison-1967-917-793	793	tired	1757	TIRED	tired
Marrison-1967-917-794	794	to	2754	TOWARDS	to
Marrison-1967-917-795	795	tobacco	974	TOBACCO	tobacco
Marrison-1967-917-796	796	today	1283	TODAY	today
Marrison-1967-917-797	797	toe	1389	TOE	toe
Marrison-1967-917-798	798	together	2482	TOGETHER	together
Marrison-1967-917-799	799	tomorrow	1329	TOMORROW	tomorrow
Marrison-1967-917-800	800	tongue	1205	TONGUE	tongue
Marrison-1967-917-801	801	tonight			tonight
Marrison-1967-917-802	802	tooth	1380	TOOTH	tooth
Marrison-1967-917-803	803	top (highest point)	1753	TOP	top (i.e. highest point)//top (highest point)
Marrison-1967-917-804	804	torch	1919	TORCH	torch
Marrison-1967-917-805	805	to touch	1892	TOUCH	touch//to touch
Marrison-1967-917-806	806	towards	2754	TOWARDS	towards
Marrison-1967-917-807	807	tower	1671	TOWER	tower
Marrison-1967-917-808	808	town	1391	TOWN	town
Marrison-1967-917-809	809	a trap	1075	TRAP (PITFALL)	trap//a trap
Marrison-1967-917-810	810	tree	906	TREE	tree
Marrison-1967-917-811	811	to tremble	52	SHIVER	tremble//to tremble
Marrison-1967-917-812	812	tribe	1549	TRIBE	tribe
Marrison-1967-917-813	813	true	1657	TRUE	true
Marrison-1967-917-814	814	trumpet	775	TRUMPET	trumpet
Marrison-1967-917-815	815	turmeric	2842	TURMERIC	turmeric
Marrison-1967-917-816	816	to turn (int.)	1444	TURN AROUND	turn//to turn (int.)
Marrison-1967-917-817	817	twelve	1707	TWELVE	twelve
Marrison-1967-917-818	818	twenty	1710	TWENTY	twenty
Marrison-1967-917-819	819	two	1498	TWO	two
Marrison-1967-917-820	820	ugly	1548	UGLY	ugly
Marrison-1967-917-821	821	umbrella	3105	UMBRELLA	umbrella
Marrison-1967-917-822	822	uncle	1327	UNCLE	uncle
Marrison-1967-917-823	823	under	1485	BELOW OR UNDER	under
Marrison-1967-917-824	824	to understand	1536	UNDERSTAND	understand//to understand
Marrison-1967-917-825	825	to untie	352	UNTIE	untie//to untie
Marrison-1967-917-826	826	until	2753	UNTIL	until
Marrison-1967-917-827	827	up	1591	UP	up
Marrison-1967-917-828	828	urine	1142	URINE	urine
Marrison-1967-917-829	829	to use	2072	USE (VERB)	use//to use
Marrison-1967-917-830	830	valley	921	VALLEY	valley//valey
Marrison-1967-917-831	831	vegetable	924	VEGETABLES	vegetable
Marrison-1967-917-832	832	very	1311	VERY	very
Marrison-1967-917-833	833	village	930	VILLAGE	village
Marrison-1967-917-834	834	voice	1363	VOICE	voice
Marrison-1967-917-835	835	to vomit	1278	VOMIT	vomit//to vomit
Marrison-1967-917-836	836	waist	1681	WAIST	waist
Marrison-1967-917-837	837	to wait	1590	WAIT (FOR)	wait//to wait
Marrison-1967-917-838	838	to walk	1443	WALK	walk//to walk
Marrison-1967-917-839	839	wall	933	WALL (OF HOUSE)	wall
Marrison-1967-917-840	840	to want	1784	WANT	want//to want
Marrison-1967-917-841	841	war	935	WAR	war
Marrison-1967-917-842	842	to warn			warn//to warn
Marrison-1967-917-843	843	warp (loom)			warp (loom)
Marrison-1967-917-844	844	to wash (generic)	1453	WASH	wash (generic)//to wash (generic)
Marrison-1967-917-845	845	to wash (self)	3371	WASH (ONESELF)	wash (self)//to wash (self)
Marrison-1967-917-846	846	to wash (face)			wash (face)//to wash (face)
Marrison-1967-917-847	847	to wash (clothes)	2503	LAUNDER (WASH CLOTHES)	wash (clothes)//to wash (clothes)
Marrison-1967-917-848	848	to wash (pots)			wash (pots)//to wash (pots)
Marrison-1967-917-849	849	water	948	WATER	water
Marrison-1967-917-850	850	wax	1931	BEESWAX	wax
Marrison-1967-917-851	851	we (inclusive)	1131	WE (INCLUSIVE)	we (incl.)//we (inclusive)
Marrison-1967-917-852	852	we (exclusive)	1130	WE (EXCLUSIVE)	we (excl.)//we (exclusive)
Marrison-1967-917-853	853	we two	2634	WE TWO	we two
Marrison-1967-917-854	854	weak	1601	WEAK	weak
Marrison-1967-917-855	855	to wear	976	WEAR	wear//to wear
Marrison-1967-917-856	856	to weave	133	WEAVE	weave//to weave
Marrison-1967-917-857	857	weft			weft
Marrison-1967-917-858	858	a well	954	WELL	well//a well
Marrison-1967-917-859	859	well(adv.)			well (adv)//well(adv.)
Marrison-1967-917-860	860	west	1817	WEST	west
Marrison-1967-917-861	861	wet	1726	WET	wet
Marrison-1967-917-862	862	what?	1236	WHAT	what?
Marrison-1967-917-863	863	when?	1238	WHEN	when?
Marrison-1967-917-864	864	where?	1237	WHERE	where?
Marrison-1967-917-865	865	to whisper	55	WHISPER	whisper//to whisper
Marrison-1967-917-866	866	white	1335	WHITE	white
Marrison-1967-917-867	867	who?	1235	WHO	who?
Marrison-1967-917-868	868	whole	2277	WHOLE	whole
Marrison-1967-917-869	869	why?	1270	WHY	why?
Marrison-1967-917-870	870	wicked	45	EVIL	wicked
Marrison-1967-917-871	871	wide	1243	WIDE	wide
Marrison-1967-917-872	872	widow	1756	WIDOW	widow
Marrison-1967-917-873	873	widower	1981	WIDOWER	widower
Marrison-1967-917-874	874	wife	1199	WIFE	wife
Marrison-1967-917-875	875	the wind	960	WIND	wind//the wind
Marrison-1967-917-876	876	window	1375	WINDOW	window
Marrison-1967-917-877	877	wing	1257	WING	wing
Marrison-1967-917-878	878	winter	1471	WINTER	winter
Marrison-1967-917-879	879	to wipe	1454	WIPE	wipe//to wipe
Marrison-1967-917-880	880	wise	698	WISE	wise
Marrison-1967-917-881	881	to wish	2117	DESIRE	wish//to wish
Marrison-1967-917-882	882	with (cum)	1340	WITH	with (accompaniment)//with (cum)
Marrison-1967-917-883	883	within	1460	IN	within
Marrison-1967-917-884	884	without (sine)	1478	WITHOUT	without//without (sine)
Marrison-1967-917-885	885	witness	1144	WITNESS	witness
Marrison-1967-917-886	886	wolf	522	WOLF	wolf
Marrison-1967-917-887	887	woman	962	WOMAN	woman
