ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY
BirketSmith-1928-510-240	240	Trousers, woman's			Dress
BirketSmith-1928-510-241	241	Arrow	977	ARROW	Hunting
BirketSmith-1928-510-242	242	Arrow head			Hunting
BirketSmith-1928-510-243	243	Arrow feathering			Hunting
BirketSmith-1928-510-244	244	Bird dart			Hunting
BirketSmith-1928-510-245	245	Bladder dart			Hunting
BirketSmith-1928-510-246	246	Bow	994	BOW	Hunting
BirketSmith-1928-510-247	247	Breething hole of seal			Hunting
BirketSmith-1928-510-248	248	Caribou fence			Hunting
BirketSmith-1928-510-249	249	Caribou spear			Hunting
BirketSmith-1928-510-250	250	Fish hook	1074	FISHHOOK	Hunting
BirketSmith-1928-510-251	251	Fish decoy			Hunting
BirketSmith-1928-510-252	252	Harpoon for breathing holes			Hunting
BirketSmith-1928-510-253	253	Harpoon for kayak			Hunting
BirketSmith-1928-510-254	254	Harpoon head			Hunting
BirketSmith-1928-510-255	255	Harpoon foreshaft			Hunting
BirketSmith-1928-510-256	256	Harpoon line			Hunting
BirketSmith-1928-510-257	257	Harpoon float			Hunting
BirketSmith-1928-510-258	258	Hunting knife			Hunting
BirketSmith-1928-510-259	259	Ice scoop			Hunting
BirketSmith-1928-510-260	260	Lance			Hunting
BirketSmith-1928-510-261	261	Quiver	995	QUIVER (FOR ARROWS)	Hunting
BirketSmith-1928-510-262	262	Sling	387	SLING	Hunting
BirketSmith-1928-510-263	263	Snare	3320	SNARE (TRAP)	Hunting
BirketSmith-1928-510-264	264	Throwing board			Hunting
BirketSmith-1928-510-265	265	Trap			Hunting
BirketSmith-1928-510-266	266	Trap tower			Hunting
BirketSmith-1928-510-267	267	Trout spear			Hunting
BirketSmith-1928-510-268	268	Trout weir			Hunting
BirketSmith-1928-510-269	269	Wound plug			Hunting
BirketSmith-1928-510-270	270	Dog harness			Boats and Sledge
BirketSmith-1928-510-271	271	Dog trace			Boats and Sledge
BirketSmith-1928-510-272	272	Kayak			Boats and Sledge
BirketSmith-1928-510-273	273	Kayak ring			Boats and Sledge
BirketSmith-1928-510-274	274	Kayak keelson			Boats and Sledge
