ID	NUMBER	CHINESE	PINYIN	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PEN_STROKES	ICONICITY	PICTURABILITY	CURRICULUM_ORDER	FREQ_PER_MILLION
Xiao-2012-213-176	176	羊	yang2	sheep	SHEEP	1331	6	0.45	6.39	43	118.9
Xiao-2012-213-177	177	夹	jia1	to press from both sides			6	0.45	3.16	202.5	180.7
Xiao-2012-213-178	178	州	zhou1	state; an administrative division	STATE (POLITICS)	2955	6	0.45	2.23	192	155.7
Xiao-2012-213-179	179	西	xi1	west	WEST	1817	6	0.45	4.1	152	922.4
Xiao-2012-213-180	180	亚	ya4	inferior			6	0.45	1.74	118.5	452.4
Xiao-2012-213-181	181	米	mi3	rice	RICE	926	6	0.5	5.81	53.5	1274.3
Xiao-2012-213-182	182	衣	yi1	clothes	CLOTHES	1895	6	0.55	5.9	32	85.4
Xiao-2012-213-183	183	产	chan3	to produce	PRODUCE	2886	6	0.55	1.74	168	4319.4
Xiao-2012-213-184	184	舟	zhou1	boat	BOAT	1844	6	0.55	6.65	32	5.8
Xiao-2012-213-185	185	自	zi4	from	FROM	693	6	0.6	1.65	133	2446.9
Xiao-2012-213-186	186	而	er3	and then			6	0.6	1.39	173.5	2533.1
Xiao-2012-213-187	187	肉	rou4	meat	MEAT	634	6	0.7	5.19	136	86.5
Xiao-2012-213-188	188	耳	er3	ear	EAR	1247	6	0.85	6.65	48.5	83.5
Xiao-2012-213-189	189	来	lai2	to come to			7	0.3	1.68	61	3750.5
Xiao-2012-213-190	190	严	yan2	strict			7	0.4	1.9	152	409.6
Xiao-2012-213-191	191	身	shen1	body	BODY	1480	7	0.4	4.94	85	496.8
Xiao-2012-213-192	192	弟	di4	younger brother	YOUNGER BROTHER	1760	7	0.45	3.1	21.5	86.5
Xiao-2012-213-193	193	我	wo3	I, me	I	1209	7	0.45	2.87	67	4114
Xiao-2012-213-194	194	束	shu4	bundle	BUNDLE	2943	7	0.5	3.68	140.5	163.3
Xiao-2012-213-195	195	里	li3	inside	INSIDE	1606	7	0.55	3.32	9	1791.2
Xiao-2012-213-196	196	更	geng1	to change	CHANGE	1264	7	0.6	2.23	140.5	876.4
Xiao-2012-213-197	197	言	yan2	speech	SPEECH	1115	7	0.7	3	140.5	314.8
Xiao-2012-213-198	198	求	qiu2	to beg	BEG	3534	7	0.7	3.45	156.5	685.6
Xiao-2012-213-199	199	串	chuan4	string			7	0.75	5.4	146	58.5
Xiao-2012-213-200	200	两	liang3	couple			7	0.8	5	93	1719.1
Xiao-2012-213-201	201	垂	chui2	to droop			8	0.1	2.61	169.5	125.7
Xiao-2012-213-202	202	肃	su4	solemn			8	0.3	1.87	197.5	58.1
Xiao-2012-213-203	203	首	shou3	leader	LEADER	4097	8	0.3	3.42	118.5	347.9
Xiao-2012-213-204	204	果	guo3	fruit	FRUIT	1507	8	0.45	5.71	77.5	1390.4
Xiao-2012-213-205	205	事	shi4	business matter			8	0.55	1.9	133	1689
Xiao-2012-213-206	206	雨	yu3	rain	RAIN (RAINING)	1253	8	0.85	6.26	37.5	295.1
Xiao-2012-213-207	207	面	mian4	face	FACE	1560	9	0.35	6.19	126	2801.4
Xiao-2012-213-208	208	重	zhong4	heavy	HEAVY	1210	9	0.5	2.73	156.5	1605.4
Xiao-2012-213-209	209	革	ge2	leather	LEATHER	629	9	0.5	3.65	152	2552.5
Xiao-2012-213-210	210	鬼	gui3	ghost	GHOST	1175	9	0.55	5.74	196	47.1
Xiao-2012-213-211	211	象	xiang4	elephant	ELEPHANT	1290	9	0.7	6.71	159	844
Xiao-2012-213-212	212	承	cheng2	to inherit	INHERIT	3664	11	0.55	1.9	133	347
Xiao-2012-213-213	213	鼠	shu3	mouse	MOUSE	1491	12	0.5	6.81	184	132.5
