ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PERSIAN	PERSIAN_PHONOLOGICAL	MAIN_SEMANTIC_CATEGORY	SEMANTIC_CATEGORY	SUB_SEMANTIC_CATEGORY
Anonby-2018-1500-368	368	2022	ADMIT	admit (to a wrong)	اقرار کردن	eġrār kardan	Personal interaction	Speech, language	Strife and praise
Anonby-2018-1500-369	369	3643	AGREE	agree	موافق بودن، موافقت کردن	moʋāfeġ budan, moʋāfeġat kardan	Personal interaction	Speech, language	Strife and praise
Anonby-2018-1500-370	370	3644	AGREEMENT	agreement	موافقت، توافق	moʋāfeġat, taʋāfoġ	Personal interaction	Speech, language	Strife and praise
Anonby-2018-1500-371	371	3645	PERSUADE	persuade	وادار کردن، قانع کردن	ʋādār kardan, ġāne’ kardan	Personal interaction	Speech, language	Strife and praise
Anonby-2018-1500-372	372	1687	PRAISE	praise (n.)	تحسین، ستایش	tahsin, setāyeš	Personal interaction	Speech, language	Strife and praise
Anonby-2018-1500-373	373			congratulate	تبریک گفتن	tabrik goftan	Personal interaction	Speech, language	Strife and praise
Anonby-2018-1500-374	374	101	BOAST	boast, brag	لاف زدن، بلوف زدن	lāf zadan, bolof zadan	Personal interaction	Speech, language	Strife and praise
Anonby-2018-1500-375	375	1711	TELL	tell, recount (story)	بازگفتن، تعریف کردن	bāzgoftan, ta’rif kardan	Personal interaction	Speech, language	Discourse genres
Anonby-2018-1500-376	376	2060	STORY	story (tale)	داستان، قصه	dāstān, ġese	Personal interaction	Speech, language	Discourse genres
Anonby-2018-1500-377	377	3646	PROVERB	proverb	مثل، ضرب المثل	masal, zarbolmasal	Personal interaction	Speech, language	Discourse genres
Anonby-2018-1500-378	378	1115	SPEECH	speech, discourse	سخنرانی، سخن، گفتار	soxanrāni,  soxan, goftār	Personal interaction	Speech, language	Discourse genres
Anonby-2018-1500-379	379			account (report) (n.)	گزارش، شرح	gozāreš, šarh	Personal interaction	Speech, language	Discourse genres
Anonby-2018-1500-380	380	928	EMBRACE	embrace, hug (v.)	بغل کردن، در آغوش گرفتن	baġal kardan, dar āġuš gereftan	Personal interaction	Interpersonal contact	
Anonby-2018-1500-381	381			caress (v.)	نوازش کردن	naʋāzeš kardan	Personal interaction	Interpersonal contact	
Anonby-2018-1500-382	382	578	KISS	kiss (v.)	بوسیدن	busidan	Personal interaction	Interpersonal contact	
Anonby-2018-1500-383	383	2472	SUCKLE (BREASTFEED, NURSE)	nurse, suckle (baby) (tr.)	شیر دادن	šir dādan	Personal interaction	Interpersonal contact	
Anonby-2018-1500-384	384	3647	TICKLE (SOMEBODY)	tickle (v.)	قلقلک دادن	ġelġelak dādan	Personal interaction	Interpersonal contact	
Anonby-2018-1500-385	385	1897	HELP	help  (v.) 	کمک کردن	komak kardan	Personal interaction	Help and care	
Anonby-2018-1500-386	386	2900	PROTECT	protect, defend	حمایت کردن، دفاع کردن، محافظت کردن 	hemāyat kardan, defā’ kardan, mohāfezat kardan	Personal interaction	Help and care	
Anonby-2018-1500-387	387	253	CARE FOR	look after	مراقبت کردن، مواظبت کردن	morāġebat kardan, moʋāzebat kardan	Personal interaction	Help and care	
Anonby-2018-1500-388	388	2134	RAISE (BRING UP)	bring up (a child)	بزرگ کردن	bozorg kardan	Personal interaction	Help and care	
Anonby-2018-1500-389	389	1846	RULE	rule over, dominate	حکومت کردن	hokumat kardan	Personal interaction	Dominion and control	
Anonby-2018-1500-390	390	1128	ORDER	order (someone to do something)	دستور دادن، فرمان دادن، امر کردن	dastur dādan, farmān dādan, amr kardan	Personal interaction	Dominion and control	
Anonby-2018-1500-391	391			command (n.)	دستور، امر، فرمان	dastur, amr, farmān	Personal interaction	Dominion and control	
Anonby-2018-1500-392	392	3471	OBLIGATION (DUTY)	duty, obligation	وظیفه	ʋazife	Personal interaction	Dominion and control	
Anonby-2018-1500-393	393			send (someone to do something)	فرستادن، روانه کردن	ferestādan, raʋāne kardan	Personal interaction	Dominion and control	
Anonby-2018-1500-394	394	3648	SERVE (SOMEONE)	serve	خدمت کردن (به)	xedmat kardan (be)	Personal interaction	Dominion and control	
Anonby-2018-1500-395	395	43	LEAD (GUIDE)	lead, guide (v.)	هدایت کردن	hedāyat kardan	Personal interaction	Dominion and control	
Anonby-2018-1500-396	396	1085	FOLLOW	follow	پیروی کردن (از)	payraʋi kardan (az)	Personal interaction	Dominion and control	
Anonby-2018-1500-397	397	1635	OBEY	obey	اطاعت کردن (از)	etā’at kardan (az)	Personal interaction	Dominion and control	
Anonby-2018-1500-398	398	1271	DELIGHT	please, satisfy	خشنود کردن، راضی کردن	xošnud kardan, rāzi kardan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-399	399	2883	DISTURB	disturb	مزاحم شدن	mozāhem šodan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-400	400	3230	DECEIVE	deceive	گول زدن، فریب دادن	gul zadan, farib dādan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-401	401	3302	QUARREL (VERB)	quarrel (v.)	دعوا کردن	da’ʋā kardan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-402	402	1423	FIGHT	fight (v.)	جنگیدن، دعوا کردن	jangidan, da’ʋā kardan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-403	403	1434	STAB	stab	چاقو زدن	čāġu zadan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-404	404	1417	KILL	kill, murder	به قتل رساندن، کشتن	be ġatl resāndan, koštan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-405	405	495	REVENGE	take revenge	انتقام گرفتن	enteġām gereftan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-406	406			resolve, settle (dispute)	حل کردن، حل و فصل کردن  	hall kardan, hall o fasl kardan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-407	407			intercede, mediate	وساطت کردن	ʋesātat kardan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-408	408			appease, pacify	آرام کردن	ārām kardan	Personal interaction	Conflict and resolution	
Anonby-2018-1500-409	409	713	STEAL	steal	دزدیدن	dozdidan	Personal interaction	Crime and justice	
Anonby-2018-1500-410	410	1818	ADJUDICATE	judge (v.)	داوری کردن، قضاوت کردن	dāʋari kardan, ġezāʋat kardan	Personal interaction	Crime and justice	
Anonby-2018-1500-411	411	1062	LAW	law	قانون	ġānun	Personal interaction	Crime and justice	
Anonby-2018-1500-412	412			justice	انصاف، عدل، عدالت	ensāf, adl, edālat	Personal interaction	Crime and justice	
Anonby-2018-1500-413	413	1682	GUILTY	guilty	گناهکار، تقصیرکار، مقصر	gonāhkār, taġsirkār, moġaser	Personal interaction	Crime and justice	
Anonby-2018-1500-414	414	90	INNOCENT	innocent	بیگناه	bigonāh	Personal interaction	Crime and justice	
Anonby-2018-1500-415	415	3649	PUNISH	punish	تنبیه کردن	tambih kardan	Personal interaction	Crime and justice	
Anonby-2018-1500-416	416	390	PUNISHMENT	penalty, punishment	جریمه، تنبیه	jarime, tambih	Personal interaction	Crime and justice	
Anonby-2018-1500-417	417	2630	WHIP	whip (n.)	شلاق	šallāġ 	Personal interaction	Crime and justice	
Anonby-2018-1500-418	418	363	DWELL (LIVE, RESIDE)	dwell, inhabit	ساکن شدن	sāken šodan	Human civilisation	Settlement	
Anonby-2018-1500-419	419			inhabitant, resident	ساکن، اهل	sāken, ahl	Human civilisation	Settlement	
Anonby-2018-1500-420	420	229	MOVE AWAY	move away, migrate	مهاجرت کردن	mohājerat kardan	Human civilisation	Settlement	
Anonby-2018-1500-421	421	1300	COUNTRY	country, ethnic area	مملکت، وطن، کشور، ولایت	mamlekat, ʋatan, kešʋar, ʋelāyat	Human civilisation	Settlement	
Anonby-2018-1500-422	422	2546	BORDER	frontier (of ethnic area)	مرز	marz	Human civilisation	Settlement	
Anonby-2018-1500-423	423	1391	TOWN	town, city	شهر	šahr	Human civilisation	Settlement	
Anonby-2018-1500-424	424	930	VILLAGE	village	ده، روستا	deh, rustā	Human civilisation	Settlement	
Anonby-2018-1500-425	425	1105	CAMP	camp, encampment	اردوگاه	ordugāh	Human civilisation	Settlement	
Anonby-2018-1500-426	426	633	MARKET	market (n.)	بازار	bāzār	Human civilisation	Settlement	
Anonby-2018-1500-427	427	1895	CLOTHES	article of clothing, clothes	لباس	lebās	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-428	428	976	WEAR	wear clothes	لباس پوشیدن	lebās pušidan	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-429	429	814	DRESS UP	dress (v.), get dressed	لباس پوشیدن	lebās pušidan	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-430	430	1755	UNDRESS	undress	لباس کندن، لباس (از تن) درآوردن	lebās kandan, lebās (az tan) darāʋordan	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-431	431	590	NAKED	naked	لخت، برهنه	loxt, berahne	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-432	432	771	HAT	hat	کلاه	kolāh	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-433	433	1622	SHIRT	shirt	پیراهن، پیرهن	pirāhan / pirhan	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-434	434	809	TROUSERS	trousers	شلوار	šalʋār	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-435	435			robe (man’s gown)	ردا، قبا	radā, ġabā	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-436	436	474	DRESS	dress (woman’s gown)	پیراهن، پیرهن	pirāhan / pirhan	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-437	437			woman’s head covering	روسری، حجاب 	rusari, hejāb 	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-438	438	1381	SHOE	shoe, sandal	کفش	kafš	Human civilisation	Clothing and adornment of body	Clothing
Anonby-2018-1500-439	439	1860	BEAD	bead	دانه‌ی تسبیح	dāne-ye tasbih, mohre	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-440	440			string, thread (beads) (v.)	بند کردن، نخ کردن	band kardan, nax kardan	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-441	441	1754	BRACELET	bracelet	دستبند، النگو	dastband, alangu	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-442	442	1961	NECKLACE	necklace	گردنبند	gardanband 	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-443	443			ankle ring, bangle	خلخال	xalxāl	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-444	444	1374	RING	ring (finger)	حلقه	halġe	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-445	445	770	EARRING	earring	گوشواره	gušʋāre	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-446	446			pierce (ears)	سوراخ کردن گوش	surāx kardan-e guš	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-447	447	3295	BRAID (VERB)	plait, braid (hair)	بافتن (مو)	bāftan (-e mu)	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-448	448	68	TATTOO	tattoo(s)	خال کوبی	xālkubi	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-449	449	1296	WALKING STICK	cane, walking stick	چوب دستی، عصا	čubdasti, asā	Human civilisation	Clothing and adornment of body	Adornment and accessories
Anonby-2018-1500-450	450	138	BATHE	bathe, wash oneself	حمام کردن، دوش گرفتن	hamām kardan, duš gereftan	Human civilisation	Clothing and adornment of body	Care for body
Anonby-2018-1500-451	451	3650	APPLY (OINTMENT)	apply (ointment), besmear	مالیدن، زدن (پماد)	mālidan, zadan (-e pomād)	Human civilisation	Clothing and adornment of body	Care for body
Anonby-2018-1500-452	452	2155	CUT (WITH SCISSORS)	cut (hair)	کوتاه کردنِ مو	kutāh kardan-e mu	Human civilisation	Clothing and adornment of body	Care for body
Anonby-2018-1500-453	453	231	SHAVE	shave (v.)	تراشیدن	tarāšidan	Human civilisation	Clothing and adornment of body	Care for body
Anonby-2018-1500-454	454	151	RAZOR	razor	تیغِ صورت تراشی	tiġ-e surattarāši	Human civilisation	Clothing and adornment of body	Care for body
Anonby-2018-1500-455	455	1475	COMB	comb (n.)	شانه	šāne	Human civilisation	Clothing and adornment of body	Care for body
Anonby-2018-1500-456	456	2579	TOOTHBRUSH	tooth stick, toothbrush	مسواک	mesʋāk	Human civilisation	Clothing and adornment of body	Care for body
Anonby-2018-1500-457	457	256	FOOD	food	غذا، خوراک	ġazā, xorāk	Human civilisation	Food and drink	
Anonby-2018-1500-458	458	634	MEAT	meat	گوشت	gušt	Human civilisation	Food and drink	
Anonby-2018-1500-459	459	323	FAT (ORGANIC SUBSTANCE)	fat	چربی	čarbi	Human civilisation	Food and drink	
Anonby-2018-1500-460	460	1484	OIL (ORGANIC SUBSTANCE)	oil	روغن	raʋġan	Human civilisation	Food and drink	
Anonby-2018-1500-461	461	1547	SOUP	soup, broth	سوپ، آش	sup, āš	Human civilisation	Food and drink	
Anonby-2018-1500-462	462	1368	BREAD	bread	نان	nān	Human civilisation	Food and drink	
Anonby-2018-1500-463	463	1594	FLOUR	flour	آرد	ārd	Human civilisation	Food and drink	
Anonby-2018-1500-464	464	1274	SALT	salt	نمک	namak	Human civilisation	Food and drink	
Anonby-2018-1500-465	465	1322	BREAKFAST	breakfast	صبحانه	sobhāne	Human civilisation	Food and drink	
Anonby-2018-1500-466	466	1833	DINNER (SUPPER)	evening meal	شام	šām	Human civilisation	Food and drink	
Anonby-2018-1500-467	467			feast	مهمانی	mehmāni	Human civilisation	Food and drink	
Anonby-2018-1500-468	468			leftovers	غذای اضافه	ġazā-ye ezāfe	Human civilisation	Food and drink	
Anonby-2018-1500-469	469	569	SPOIL (BECOME SPOILED)	spoil (food) (intr.)	فاسد شدن	fāsed šodan	Human civilisation	Food and drink	
Anonby-2018-1500-470	470	3251	MOLD (GET ROTTEN)	mould (n.)	کپک	kapak	Human civilisation	Food and drink	
Anonby-2018-1500-471	471	635	MILK	milk (n.)	شیر	šir	Human civilisation	Food and drink	Drink
Anonby-2018-1500-472	472			buttermilk	دوغ	duġ	Human civilisation	Food and drink	Drink
Anonby-2018-1500-473	473	404	ALCOHOL (FERMENTED DRINK)	alcohol (general)	الکل	alkol	Human civilisation	Food and drink	Drink
Anonby-2018-1500-474	474	1639	BEER	beer	آبجو	ābjo	Human civilisation	Food and drink	Drink
Anonby-2018-1500-475	475	1524	WINE	wine	شراب	šarāb	Human civilisation	Food and drink	Drink
Anonby-2018-1500-476	476	2909	PREPARE	prepare (food to cook)	آماده کردن، درست کردن	āmāde kardan, dorost kardan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-477	477	1432	CUT	cut (tr.)	بریدن	boridan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-478	478	3080	SPLIT OPEN	cut open	شکافتن	šekāftan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-479	479	2156	CUT (WITH KNIFE)	slice (v.)	قاچ کردن	ġāč kardan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-480	480	275	PEEL	peel (v.)	پوست کندن	pust kandan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-481	481	2017	MIX	mix (v.)	مخلوط کردن	maxlut kardan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-482	482	696	STIR	stir	به هم زدن	be ham zadan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-483	483	940	STRAIN	strain (food) (v.)	آبکش کردن	ābkeš kardan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-484	484	3768	POUND (FOOD)	pound	کوبیدن	kubidan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-485	485	1033	GRIND	grind	آسیاب کردن	āsiyāb kardan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-486	486	274	KNEAD	knead	خمیر کردن	xamir kardan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-487	487			pluck (chicken)	پر کندن	par kandan	Human civilisation	Food preparation	Kitchen preparation
Anonby-2018-1500-488	488	1100	COOK (SOMETHING)	cook (v.)	پختن	poxtan	Human civilisation	Food preparation	Cooking
Anonby-2018-1500-489	489	1962	ROAST (SOMETHING)	roast	بریان کردن	beriyān kardan	Human civilisation	Food preparation	Cooking
Anonby-2018-1500-490	490	991	FRY	fry	سرخ کردن	sorx kardan	Human civilisation	Food preparation	Cooking
Anonby-2018-1500-491	491	183	BAKE	bake (in oven or ashes)	تنوری کردن	tanuri kardan	Human civilisation	Food preparation	Cooking
Anonby-2018-1500-492	492			smoked	دودی	dudi	Human civilisation	Food preparation	Cooking
Anonby-2018-1500-493	493	792	BOIL (OF LIQUID)	boil (water), bubble up	جوش آمدن	juš āmadan	Human civilisation	Food preparation	Cooking
Anonby-2018-1500-494	494	3653	COOKING POT	cooking pot (earthenware)	ظروفِ گلی، دیگ، قابلمه	zoruf-e geli, dig, ġāblame	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-495	495			metal pot	قابلمه‌ی فلزی	ġāblame-ye felezi	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-496	496	1462	POT	pot (for water)	قابلمه	ġāblame / ġābleme	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-497	497	2657	LADLE	ladle	ملاقه	malāġe	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-498	498	2459	GRINDSTONE	grinding stone	سنگِ آسیاب	sang-e āsiyāb	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-499	499	3022	TOP GRINDSTONE	upper grinding stone	سنگِ بالایی	sang-e bālāyi 	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-500	500	3023	BOTTOM GRINDSTONE	lower grinding stone	سنگِ پاینی	sang-e pāyini	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-501	501	225	PESTLE	pestle, pounding stick	دسته‌ی هاون	daste-ye hāʋan	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-502	502	224	MORTAR	mortar, pounding pot	هاون	hāʋan	Human civilisation	Domestic utensils and containment	Kitchen utensils
Anonby-2018-1500-503	503	480	PLATE	plate	بشقاب	bošġāb	Human civilisation	Domestic utensils and containment	Eating utensils
Anonby-2018-1500-504	504	1530	BOWL	bowl	کاسه	kāse	Human civilisation	Domestic utensils and containment	Eating utensils
Anonby-2018-1500-505	505	476	CUP	cup	فنجان	fenjān	Human civilisation	Domestic utensils and containment	Eating utensils
Anonby-2018-1500-506	506	1378	SPOON	spoon	قاشق	ġāšoġ	Human civilisation	Domestic utensils and containment	Eating utensils
Anonby-2018-1500-507	507	2468	BAG	bag	ساک، کیف	sāk, kif	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-508	508	1465	BOX	box	جعبه، صندوق	ja’be, sanduġ	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-509	509	1539	BASKET	basket	سبد	sabad	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-510	510	2052	BUCKET	bucket, pail	سطل	satl	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-511	511			goatskin	پوست	mašk	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-512	512	1321	BOTTLE	bottle	بطری، شیشه	botri, šiše	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-513	513	1254	HANDLE	handle	دسته	daste	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-514	514	1487	POUR	pour	ریختن	rixtan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-515	515	3130	SPILL (SOMETHING)	spill	ریختن	rixtan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-516	516	3654	TAKE OUT	take out (from container)	بیرون آوردن	birun āʋordan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-517	517	2006	FILL	fill	پر کردن	por kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-518	518	1429	FULL	full	پر	por	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-519	519	1624	EMPTY	empty	خالی	xāli	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-520	520	3235	OPEN (STATE)	open  (adj.)	باز 	bāz	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-521	521	1156	OPEN	open (tr.)	باز کردن	bāz kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-522	522	1046	SHUT	close, shut (tr.)	بستن	bastan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-523	523			stop up, plug (v.)	بند آوردن	band āʋordan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-524	524	761	COVER	cover (v.)	پوشاندن	pušāndan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-525	525	3655	STORE UP	store (up)	انبار کردن	ambār kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-526	526	2943	BUNDLE	bundle (n.)	دسته، بسته	daste, baste	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-527	527	2984	HEAP	heap (n.)	کپه	kope	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-528	528	1576	PILE UP	heap up	توده کردن	tude kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-529	529	1113	WRAP	wrap up	پیچیدن	pičidan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-530	530			unwrap	باز کردنِ بسته	bāz kardan-e baste	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-531	531	3656	PACK	pack (v.)	بسته بندی کردن‌	bastebandi kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-532	532	2973	STRAP	strap (n.)	تسمه، بندِ چرمی	tasme, band-e čarmi	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-533	533	362	STRING	string (n.)	نخ	nax	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-534	534	1218	ROPE	rope	طناب	tanāb	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-535	535	760	KNOT	knot	گره	gere	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-536	536	1917	TIE	tie (knot)	گره زدن	gere zadan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-537	537	1094	FASTEN	tie, fasten, bind (load)	بستن	bastan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-538	538	352	UNTIE	untie	باز کردن	bāz kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-539	539			tighten (tr.)	محکم کردن	mohkam kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-540	540	3053	TIGHT	tight	محکم	mohkam	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-541	541	1933	LOOSEN	loosen	شل کردن	šol kardan	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-542	542	2506	LOOSE	loose, slack	شل	šol	Human civilisation	Domestic utensils and containment	Containers and containment
Anonby-2018-1500-543	543	1252	HOUSE	house	خانه	xāne	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-544	544			inner part of house	اندرون	andarun	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-545	545	3830	WALL	wall	دیوار	diʋār	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-546	546	1567	DOOR	door	در	dar 	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-547	547			doorway	راهرو	rāhro	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-548	548	1375	WINDOW	window	پنجره	panjere	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-549	549	769	ROOF	roof	سقف	saġf	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-550	550	1132	BEAM	beam, rafter	تیرِ سقف	tir-e saġf	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-551	551	1632	FLOOR	floor	کفِ زمین	kaf-e zamin	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-552	552	1450	ROOM	room	اتاق	otāġ	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-553	553	1365	KITCHEN	kitchen	آشپزخانه	āšpazxāne	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-554	554	745	SHELF	shelf, niche, alcove	طاقچه	tāġče	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-555	555	4	COURTYARD	courtyard	حیاط	hayāt	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-556	556	1690	FENCE	fence (n.)	حصار	hesār	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-557	557			fence in (v.)	حصار کشیدن	hesār kešidan	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-558	558			storeroom	انبار	ambār	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-559	559	954	WELL	well (n.)	چاه	čāh	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-560	560			bathing place	حمام	hamām	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-561	561	219	TOILET	latrine, toilet	توالت، دستشویی	tuʋālet, dastšuyi	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-562	562			garbage dump	زباله دانی	zobāledāni	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-563	563	586	GARDEN	garden	باغچه	bāġče	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-564	564	1678	HUT	shelter (n.)	سرپناه	sarpanāh	Human civilisation	Habitation	Parts of a house
Anonby-2018-1500-565	565	1840	BUILD	build	ساختن	sāxtan	Human civilisation	Habitation	Construction
Anonby-2018-1500-566	566			mark out, peg out (ground)	علامت گذاری کردن (زمین)	alāmatgozāri kardan (-e zamin)	Human civilisation	Habitation	Construction
Anonby-2018-1500-567	567			mud block, mud brick	آجر، خشت	ājor, xešt	Human civilisation	Habitation	Construction
Anonby-2018-1500-568	568			mud with chaff	کاهگل	kāhgel	Human civilisation	Habitation	Construction
Anonby-2018-1500-569	569			plaster (n.)	گچ	gač	Human civilisation	Habitation	Construction
Anonby-2018-1500-570	570	2540	LIME (MATERIAL)	lime, whitewash	آهک	āhak	Human civilisation	Habitation	Construction
Anonby-2018-1500-571	571	647	PAINT (PIGMENTS)	paint (n.)	رنگ	rang	Human civilisation	Habitation	Construction
Anonby-2018-1500-572	572	1464	LADDER	ladder	نردبان	nardebān	Human civilisation	Habitation	Construction
Anonby-2018-1500-573	573	1476	CHAIR	chair	صندلی	sandali	Human civilisation	Habitation	Furniture
Anonby-2018-1500-574	574	2058	STOOL	stool	چارپایه	čārpāye	Human civilisation	Habitation	Furniture
Anonby-2018-1500-575	575			wickerwork	حصیر سازی	hasirsāzi	Human civilisation	Habitation	Furniture
Anonby-2018-1500-576	576	1663	BED	bed	تخت خواب	taxt-e xāb	Human civilisation	Habitation	Furniture
Anonby-2018-1500-577	577	195	MAT	mat	پادری	pādari	Human civilisation	Habitation	Furniture
Anonby-2018-1500-578	578	2131	TORCH OR LAMP	lamp, torch	چراغ دستی	čerāġdasti	Human civilisation	Habitation	Furniture
Anonby-2018-1500-579	579	1971	FAN (OBJECT)	fan (n.)	پنکه، بادبزن	panke, badbezan	Human civilisation	Habitation	Furniture
