ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALENCE_MEAN	AROUSAL_MEAN	FAMILIARITY_MEAN	CONCRETENESS_MEAN	FREQUENCY_LEXESP	SEMANTIC_CATEGORY
Ferre-2012-380-222	222	Psiquiatra			5.79	5.55	5.04	7.56	11.96	people
Ferre-2012-380-223	223	Rico	3661	RICH PERSON	5.92	5.42	7.40	4.80	30.89	people
Ferre-2012-380-224	224	Sacerdote	852	PRIEST	3.05	3.84	3.48	6.40	22.68	people
Ferre-2012-380-225	225	Sádico			1.68	6.42	4.08	4.92	1.96	people
Ferre-2012-380-226	226	Sastre	881	TAILOR	5.16	3.92	3.28	7.16	3.93	people
Ferre-2012-380-227	227	Secuestrador			1.45	7.87	3.80	6.40	0.89	people
Ferre-2012-380-228	228	Sepulturero			2.79	4.79	1.80	7.04	0.89	people
Ferre-2012-380-229	229	Soldado	1941	SOLDIER	3.37	5.97	5.24	6.16	23.93	people
Ferre-2012-380-230	230	Soltero			5.61	4.53	6.92	5.56	5.36	people
Ferre-2012-380-231	231	Submarinista			5.47	4.84	4.42	7.60	0.36	people
Ferre-2012-380-232	232	Suegra	1050	MOTHER-IN-LAW	4.82	5.66	6.20	7.60	5.18	people
Ferre-2012-380-233	233	Superdotado			5.84	4.50	5.20	6.60	2.50	people
Ferre-2012-380-234	234	Tirano			1.95	6.39	2.48	5.84	4.64	people
Ferre-2012-380-235	235	Torero			2.66	5.53	3.88	7.32	5.36	people
Ferre-2012-380-236	236	Torturador			1.21	7.29	3.04	5.60	1.25	people
Ferre-2012-380-237	237	Triunfador			7.03	6.21	4.48	4.21	2.50	people
Ferre-2012-380-238	238	Vago			2.87	4.21	6.56	4.76	10.00	people
Ferre-2012-380-239	239	Verdugo			1.92	5.58	2.76	6.08	5.36	people
Ferre-2012-380-240	240	Veterano			5.47	3.95	4.80	5.20	9.82	people
Ferre-2012-380-241	241	Veterinario			5.55	4.53	4.96	7.36	4.46	people
Ferre-2012-380-242	242	Violador			1.24	8.21	4.44	6.80	4.11	people
Ferre-2012-380-243	243	Viudo	1981	WIDOWER	2.08	4.32	3.88	7.60	5.00	people
Ferre-2012-380-244	244	Alambrada			2.79	5.39	2.38	6.68	0.36	object
Ferre-2012-380-245	245	Alambre			3.26	4.03	3.64	7.40	4.64	object
Ferre-2012-380-246	246	Alfombra	292	RUG	5.03	2.92	4.84	7.44	16.07	object
Ferre-2012-380-247	247	Alicates	4003	PLIERS	4.08	4.05	4.16	7.44	0.00	object
Ferre-2012-380-248	248	Ametralladora			1.45	7.32	3.60	6.84	0.08	object
Ferre-2012-380-249	249	Anillo	1374	RING	5.61	4.82	6.80	5.76	14.82	object
Ferre-2012-380-250	250	Antena			4.29	3.84	6.84	6.08	31.79	object
Ferre-2012-380-251	251	Archivador			4.66	4.05	5.80	7.16	0.71	object
Ferre-2012-380-252	252	Arco	994	BOW	4.84	4.05	4.08	6.20	22.86	object
Ferre-2012-380-253	253	Azada	284	HOE	4.00	4.89	1.92	7.32	0.71	object
Ferre-2012-380-254	254	Balancín			6.05	4.39	2.76	6.88	0.36	object
Ferre-2012-380-255	255	Bayoneta			2.89	5.97	1.84	5.71	1.07	object
Ferre-2012-380-256	256	Bengala			4.66	6.13	3.16	7.08	1.07	object
Ferre-2012-380-257	257	Bicicleta	747	BICYCLE	6.66	5.55	6.56	7.88	11.96	object
Ferre-2012-380-258	258	Billete			6.92	5.84	7.80	6.36	8.04	object
Ferre-2012-380-259	259	Bisturí			3.26	6.53	4.04	7.84	6.07	object
Ferre-2012-380-260	260	Bolígrafo	794	PEN	4.87	3.34	8.08	8.08	5.54	object
Ferre-2012-380-261	261	Bolsa	2468	BAG	4.53	3.79	7.88	5.40	40.36	object
Ferre-2012-380-262	262	Bota	585	BOOT	5.29	3.66	5.48	7.32	5.18	object
Ferre-2012-380-263	263	Brazalete	1754	BRACELET	5.84	3.55	5.20	7.52	2.86	object
Ferre-2012-380-264	264	Brújula	2606	COMPASS	5.11	4.00	3.84	7.84	2.50	object
Ferre-2012-380-265	265	Cadena	1627	CHAIN	4.03	4.21	6.64	6.56	58.39	object
Ferre-2012-380-266	266	Calcetín	1522	SOCK	4.61	3.61	7.40	8.52	1.43	object
Ferre-2012-380-267	267	Calculadora	4177	CALCULATOR	4.50	3.92	5.52	8.56	2.14	object
Ferre-2012-380-268	268	Calzoncillos			5.21	4.58	7.44	8.00	8.21	object
Ferre-2012-380-269	269	Camisa	1622	SHIRT	5.61	4.08	7.08	7.24	30.54	object
Ferre-2012-380-270	270	Camiseta			5.89	4.16	8.20	7.44	10.18	object
Ferre-2012-380-271	271	Cantimplora			5.66	4.24	3.56	8.24	1.61	object
Ferre-2012-380-272	272	Carpeta			4.42	3.84	8.48	6.88	6.79	object
Ferre-2012-380-273	273	Cartera			5.47	3.82	7.60	6.33	19.11	object
Ferre-2012-380-274	274	Cepillo	1821	BRUSH	4.89	3.24	7.56	5.32	5.18	object
Ferre-2012-380-275	275	Cerilla	1133	MATCH	4.63	4.18	5.72	7.67	3.57	object
Ferre-2012-380-276	276	Chaqueta	2770	JACKET	5.79	4.50	7.64	7.76	27.14	object
Ferre-2012-380-277	277	Cheque			6.21	5.68	4.84	6.84	4.11	object
Ferre-2012-380-278	278	Chincheta			3.92	4.89	4.56	8.28	0.18	object
Ferre-2012-380-279	279	Collar	1961	NECKLACE	5.89	4.66	6.40	6.92	6.25	object
Ferre-2012-380-280	280	Columpio	3101	SWING	6.76	5.39	5.04	7.44	1.79	object
Ferre-2012-380-281	281	Cometa	4032	KITE (TOY)	6.32	5.18	4.88	7.24	7.50	object
Ferre-2012-380-282	282	Contenedor			3.05	3.97	6.04	6.28	2.32	object
Ferre-2012-380-283	283	Corbata	3711	TIE (NOUN)	5.16	4.03	5.33	8.40	17.14	object
Ferre-2012-380-284	284	Cuadro	2624	FRAME	6.45	4.50	7.04	5.52	60.36	object
