ID	NUMBER	SOURCE_ID	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUNGARIAN	LATIN	POLISH	DEFINITION
Kornai-2018-1400-164	164	1312	begin	V	1806	BEGIN	kezd	incipio	zaczynać	after(=PAT)
Kornai-2018-1400-165	165	2638	behave	U			viselkedik	me gero	zachowywać	do
Kornai-2018-1400-166	166	1584	behaviour	N			magatartás	mores	zachowanie	animal DO
Kornai-2018-1400-167	167	1711	behind	D	1686	BEHIND	mögött	post	za	direction, back/2639, visible[lack]
Kornai-2018-1400-168	168	1063	belief	N			hit	opinio	wiara	believe
Kornai-2018-1400-169	169	1062	believe	V	1890	BELIEVE	hisz	credo	wierzyć	=AGT THINK[=PAT[true,real]]
Kornai-2018-1400-170	170	2654	belong	U			vkihez tartozik	sum alcis	naleźeć	=PAT[member], =TO HAS =PAT
Kornai-2018-1400-171	171	1534	below	A	1485	BELOW OR UNDER	lent	infra	poniźej	under
Kornai-2018-1400-172	172	974	bend	V	2224	BEND (SOMETHING)	hajlít	flecto	zginać	bend/975
Kornai-2018-1400-173	173	975	bend	U	2004	BEND	hajlik	flecto	zginać sié	=PAT HAS form[change], =PAT[straight/563[lack, after]]
Kornai-2018-1400-174	174	1112	bend	N			ív	curvatura	łuk	lack(straight/563)
Kornai-2018-1400-175	175	1409	between	G	689	BETWEEN	közé	in/inter	miédzy	AT/2744 space/2327, space/2327 SEPARATE =REL
Kornai-2018-1400-176	176	292	bicycle	N	747	BICYCLE	bicikli	birota	rower	vehicle, HAS frame, HAS [two(wheel)]
Kornai-2018-1400-177	177	1744	big	A	1202	BIG	nagy	magnus	duźy	ER'
Kornai-2018-1400-178	178		billiards	N			billiards			game, ball PART_OF, two(person) PART_OF, table PART_OF
Kornai-2018-1400-179	179	1576	bird	N	937	BIRD	madár	avis	ptak	vertebrate, MAKE egg, HAS feather, HAS two(wing)
Kornai-2018-1400-180	180	722	bite	N			falat	frustum	kawałek	
Kornai-2018-1400-181	181	1001	bite	V	1403	BITE	harap	mordeo	gryźć	cut, INSTRUMENT <tooth>
Kornai-2018-1400-182	182	1306	bitter	A	887	BITTER	keserű	amarus	goźki	taste, sharp, coffee IS_A, poison IS_A
Kornai-2018-1400-183	183	761	black	A	163	BLACK	fekete	niger	czarny	colour, dark, death
Kornai-2018-1400-184	184	1954	blade	N	869	BLADE	penge	lamina	ostrze	cut, HAS edge, flat, <sword> HAS
Kornai-2018-1400-185	185	1052	blame	V	2716	BLAME (SOMEBODY)	hibáztat	incuso	winić	think[=AGT[ responsible ]]
Kornai-2018-1400-186	186	129	block	V			akadályoz	obstruo	blokować	=AGT CAUSE =PAT[lack(progress), lack(happen)]
Kornai-2018-1400-187	187	2408	block	N			tömb	moles	blok	
Kornai-2018-1400-188	188	2599	blood	N	946	BLOOD	vér	sanguis	krew	fluid, IN/2758 body, red
Kornai-2018-1400-189	189	2714	blow	V			csapás	ictus	cios	hit, sudden, hard, =AGT[animal]
Kornai-2018-1400-190	190	864	blow	V	175	BLOW (OF WIND)	fúj	flo	dmuchać	move, =AGT[<wind>], =PAT[<air>]
Kornai-2018-1400-191	191	456	board	N	1227	BOARD	deszka	axis	deska	artefact, long, flat
Kornai-2018-1400-192	192	976	boat	N	1844	BOAT	hajó	navis	łódź	ship, small, open/1814
Kornai-2018-1400-193	193	2370	body	N	1480	BODY	test	corpus	ciało	object, animal HAS
Kornai-2018-1400-194	194	861	boil	U	2493	BOIL	forr	fervo	gotować sié	liquid, hot, <'COOK/825>, gas IN/2758
Kornai-2018-1400-195	195	431	bone	N	1394	BONE	csont	os	kość	rigid, tissue, frame, PART_OF body
Kornai-2018-1400-196	196	1384	book	N	963	BOOK	könyv	liber	ksiáźka	artefact, text IN/2758, HAS more(page), HAS cover, ' READ
Kornai-2018-1400-197	197	865	bore	V	1501	BORE	fúr	perforo	wiercić	=AGT CAUSE[hole IN/2758 =PAT], INSTRUMENT roll
Kornai-2018-1400-198	198	2697	bore	V			untat			=AGT CAUSE =PAT[weary/713], dull
Kornai-2018-1400-199	199	1697	both	A			mindkét	uterque	oboje	two, all
Kornai-2018-1400-200	200	787	bottom	N	690	BOTTOM	fenék	fundus	dno	part, position, vertical(=POSS ER)
Kornai-2018-1400-201	201	3418	bound	N			kötve		skok	
Kornai-2018-1400-202	202	2698	bow	V			hajol	flecto		greet, INSTRUMENT bend/975(body), =AGT HAS body
