ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	NUMBER_IN_SOURCE	PAGENUMBER	ENGLISH	CHINESE
SatterthwaitePhillips-2011-423-329	763	SKIN	329	346	223	skin	皮肤
SatterthwaitePhillips-2011-423-330	1732	SKY	330	72	224	sky	天空
SatterthwaitePhillips-2011-423-331	1585	SLEEP	331	316	224	sleep	睡觉
SatterthwaitePhillips-2011-423-332	701	SLOW	332	193	224	slow	慢
SatterthwaitePhillips-2011-423-333	1246	SMALL	333	408	224	small	小
SatterthwaitePhillips-2011-423-334	1586	SMELL (PERCEIVE)	334	261	224	smell, to (vt.)	闻
SatterthwaitePhillips-2011-423-335	1451	SMILE	335	281	224	smile	微笑
SatterthwaitePhillips-2011-423-336	778	SMOKE (EXHAUST)	336	151	224	smoke	烟
SatterthwaitePhillips-2011-423-337	1234	SMOOTH	337	276	225	smooth (of surface)	光滑
SatterthwaitePhillips-2011-423-338	730	SNAKE	338	34	225	snake	蛇
SatterthwaitePhillips-2011-423-339	1621	SNEEZE	339	244	225	sneeze	打喷嚏
SatterthwaitePhillips-2011-423-340	208	NASAL MUCUS (SNOT)	340	132	225	snot	鼻涕
SatterthwaitePhillips-2011-423-341	1856	SOFT	341	239	225	soft	软
SatterthwaitePhillips-2011-423-342	1620	SON	342	183	225	son	儿子
SatterthwaitePhillips-2011-423-343	1056	SON-IN-LAW	343	269	226	son-in-law	女婿
SatterthwaitePhillips-2011-423-344	1096	SONG	344	?	226	song	歌
SatterthwaitePhillips-2011-423-345	1906	SOUR	345	207	226	sour	酸
SatterthwaitePhillips-2011-423-346	1623	SPEAK	346	391	226	speak	说话 [B = 说]
SatterthwaitePhillips-2011-423-347	544	SPICY	347	398	226	spicy	辣
SatterthwaitePhillips-2011-423-348	843	SPIDER	348	31	226	spider	蜘蛛
SatterthwaitePhillips-2011-423-349	1440	SPIT	349	279	226	spit, to	呕吐
SatterthwaitePhillips-2011-423-350	1503	SALIVA	350	133	227	saliva	口水
SatterthwaitePhillips-2011-423-351	1414	SQUEEZE	351	347	227	squeeze	压榨
SatterthwaitePhillips-2011-423-352	570	STAND UP	352	327	227	stand up	站
SatterthwaitePhillips-2011-423-353	1430	STAR	353	77	227	star	星星
SatterthwaitePhillips-2011-423-354	713	STEAL	354	322	227	steal	偷
SatterthwaitePhillips-2011-423-355	1587	SMELL (STINK)	355	204	228	stink	臭
SatterthwaitePhillips-2011-423-356	819	STOMACH	356	122	228	stomach	胃
SatterthwaitePhillips-2011-423-357	857	STONE	357	89	228	stone	石头
SatterthwaitePhillips-2011-423-358	1404	STRAIGHT	358	396	228	straight	直
SatterthwaitePhillips-2011-423-359	785	STRONG	359	286	228	strong	强壮
SatterthwaitePhillips-2011-423-360	1342	SUMMER	360	229	229	summer	夏天 ［夏］
SatterthwaitePhillips-2011-423-361	1343	SUN	361	75	229	sun	太阳
SatterthwaitePhillips-2011-423-362	897	SWALLOW	362	420	229	swallow	吞
SatterthwaitePhillips-2011-423-363	2509	EXCHANGE	363	359	229	swap	交换
SatterthwaitePhillips-2011-423-364	2458	PERSPIRE OR SWEAT	364	130	229	sweat	汗水 [B = 汗]
SatterthwaitePhillips-2011-423-365	717	SWEET	365	235	229	sweet	甜
SatterthwaitePhillips-2011-423-366	1573	SWELL	366	210	230	swell	肿
SatterthwaitePhillips-2011-423-367	1439	SWIM	367	338	230	swim	游泳
SatterthwaitePhillips-2011-423-368	1220	TAIL	368	41	230	tail	尾巴
SatterthwaitePhillips-2011-423-369	711	TALL	369	417	230	tall (of stature)	高
SatterthwaitePhillips-2011-423-370	21	TASTE (SOMETHING)	370	374	230	taste	尝
SatterthwaitePhillips-2011-423-371	1515	TEN	371	10	230	ten	十
SatterthwaitePhillips-2011-423-372	78	THAT	372	185	230	that	那
SatterthwaitePhillips-2011-423-373	1937	THERE	373	393	231	there	那里
SatterthwaitePhillips-2011-423-374	1244	THICK	374	273	231	thick	厚
SatterthwaitePhillips-2011-423-375	2306	THIN (OF LEAF AND CLOTH)	375	275	231	thin [object]	薄
SatterthwaitePhillips-2011-423-376	1400	THIN (SLIM)	376	184	231	thin [person]	瘦
SatterthwaitePhillips-2011-423-377	847	THIRSTY	377	179	231	thirsty	渴
SatterthwaitePhillips-2011-423-378	1214	THIS	378	189	231	this	这
SatterthwaitePhillips-2011-423-379	124	THORN	379	64	232	thorn	刺
SatterthwaitePhillips-2011-423-380	1161	THREAD	380	161	232	thread	线
SatterthwaitePhillips-2011-423-381	492	THREE	381	3	232	three	三
SatterthwaitePhillips-2011-423-382	1456	THROW	382	344	232	throw	抛
SatterthwaitePhillips-2011-423-383	1150	THUNDER	383	83	232	thunder	雷电
SatterthwaitePhillips-2011-423-384	1917	TIE	384	356	232	tie	结
SatterthwaitePhillips-2011-423-385	846	TIGER	385	40	233	tiger	老虎
SatterthwaitePhillips-2011-423-386	1205	TONGUE	386	100	233	tongue	舌头
SatterthwaitePhillips-2011-423-387	1380	TOOTH	387	99	233	tooth	牙齿
SatterthwaitePhillips-2011-423-388	906	TREE	388	52	233	tree	树
SatterthwaitePhillips-2011-423-389	112	TURTLE	389	36	233	turtle	乌龟
SatterthwaitePhillips-2011-423-390	1498	TWO	390	2	233	two	二
SatterthwaitePhillips-2011-423-391	1327	UNCLE	391	389	234	uncle (maternal)	舅（母亲的哥）
SatterthwaitePhillips-2011-423-392	1755	UNDRESS	392	313	234	undress	脱
SatterthwaitePhillips-2011-423-393	1836	VAGINA	393	118	234	vagina	阴道 [B = 女生殖器]
SatterthwaitePhillips-2011-423-394	921	VALLEY	394	87	234	valley	山谷
SatterthwaitePhillips-2011-423-395	930	VILLAGE	395	171	234	village	村子
SatterthwaitePhillips-2011-423-396	1363	VOICE	396	360	235	voice	（人的）声音
SatterthwaitePhillips-2011-423-397	1278	VOMIT	397	131	235	vomit (n)	呕吐物
SatterthwaitePhillips-2011-423-398	1590	WAIT (FOR)	398	339	235	wait	等 [B = denghou]
SatterthwaitePhillips-2011-423-399	1443	WALK	399	303	235	walk	走
SatterthwaitePhillips-2011-423-400	933	WALL (OF HOUSE)	400	158	235	wall	墙壁
SatterthwaitePhillips-2011-423-401	1232	WARM	401	233	235	warm	暖和
SatterthwaitePhillips-2011-423-402	1453	WASH	402	314	236	wash	洗
SatterthwaitePhillips-2011-423-403	948	WATER	403	140	236	water	水
SatterthwaitePhillips-2011-423-404			404	366	236	wax gourd	冬瓜
SatterthwaitePhillips-2011-423-405	1931	BEESWAX	405	30,2	236	wax	蜡
SatterthwaitePhillips-2011-423-406	133	WEAVE	406	342	236	weave	编织 [B = zhi (bu)]
SatterthwaitePhillips-2011-423-407	1065	SPIDER WEB	407	31,5	237	web	蜘蛛网
SatterthwaitePhillips-2011-423-408	1726	WET	408	333	237	wet	湿
SatterthwaitePhillips-2011-423-409	1236	WHAT	409	364	237	what	什么
SatterthwaitePhillips-2011-423-410	1335	WHITE	410	66	237	white	白
SatterthwaitePhillips-2011-423-411	1199	WIFE	411	373	237	wife	妻子
SatterthwaitePhillips-2011-423-412	960	WIND	412	84	238	wind	风
SatterthwaitePhillips-2011-423-413	1375	WINDOW	413	156	238	window	窗户
SatterthwaitePhillips-2011-423-414	1257	WING	414	21	238	wing	翅膀
SatterthwaitePhillips-2011-423-415	1471	WINTER	415	231	238	winter	冬天［冬］
SatterthwaitePhillips-2011-423-416	962	WOMAN	416	371	238	woman	女人
SatterthwaitePhillips-2011-423-417	1803	WOOD	417	245	239	wood	木头 [B = 木材]
SatterthwaitePhillips-2011-423-418	1219	WORM	418	32	239	worm	蚯蚓
SatterthwaitePhillips-2011-423-419	1028	YAWN	419	277	239	yawn	打哈欠
SatterthwaitePhillips-2011-423-420	1226	YEAR	420	250	239	year	年
SatterthwaitePhillips-2011-423-421	1424	YELLOW	421	68	239	yellow	黄
SatterthwaitePhillips-2011-423-422	1215	THOU	422	169,5	239	you	你
SatterthwaitePhillips-2011-423-423	1207	YOUNG	423	903	239	young	年轻
