ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Luangthongkum-2019-340-240	240	roast (by stuffing into fresh bamboo sections)	1962	ROAST (SOMETHING)
Luangthongkum-2019-340-241	241	root	670	ROOT
Luangthongkum-2019-340-242	242	rotten, bad smell		
Luangthongkum-2019-340-243	243	rub, clean, polish, scrub	2235	CLEAN (SOMETHING)
Luangthongkum-2019-340-244	244	salt	1274	SALT
Luangthongkum-2019-340-245	245	salty, sweet		
Luangthongkum-2019-340-246	246	sand	671	SAND
Luangthongkum-2019-340-247	247	scale (of fish)	266	SCALE
Luangthongkum-2019-340-248	248	sell	1571	SELL
Luangthongkum-2019-340-249	249	serow, mountain goat		
Luangthongkum-2019-340-250	250	seven	1704	SEVEN
Luangthongkum-2019-340-251	251	sew	1457	SEW
Luangthongkum-2019-340-252	252	sharp	1396	SHARP
Luangthongkum-2019-340-253	253	sheep	1331	SHEEP
Luangthongkum-2019-340-254	254	shivering	52	SHIVER
Luangthongkum-2019-340-255	255	shoot (v.)	1172	SHOOT
Luangthongkum-2019-340-256	256	short, low	2484	SMALL (NOT TALL)
Luangthongkum-2019-340-257	257	shoulder	1482	SHOULDER
Luangthongkum-2019-340-258	258	shove (with the foot)		
Luangthongkum-2019-340-259	259	six	1703	SIX
Luangthongkum-2019-340-260	260	skink		
Luangthongkum-2019-340-261	261	sleeping	1585	SLEEP
Luangthongkum-2019-340-262	262	slippery	3702	SLIPPERY
Luangthongkum-2019-340-263	263	smell (v.)	1586	SMELL (PERCEIVE)
Luangthongkum-2019-340-264	264	snail (land~)	1543	SNAIL
Luangthongkum-2019-340-265	265	snail (water~)		
Luangthongkum-2019-340-266	266	snake	730	SNAKE
Luangthongkum-2019-340-267	267	son-in-law	1056	SON-IN-LAW
Luangthongkum-2019-340-268	268	sour	1906	SOUR
Luangthongkum-2019-340-269	269	spider	843	SPIDER
Luangthongkum-2019-340-270	270	spit (v.)	1440	SPIT
Luangthongkum-2019-340-271	271	spleen	1744	SPLEEN
Luangthongkum-2019-340-272	272	split (bamboo strip)		
Luangthongkum-2019-340-273	273	spray (v.)		
Luangthongkum-2019-340-274	274	spread out (a mat)	38	SPREAD OUT
Luangthongkum-2019-340-275	275	squeeze, massage		
Luangthongkum-2019-340-276	276	squirrel	1628	SQUIRREL
Luangthongkum-2019-340-277	277	stand (v.)	1442	STAND
Luangthongkum-2019-340-278	278	star	1430	STAR
Luangthongkum-2019-340-279	279	steal (v.)	713	STEAL
Luangthongkum-2019-340-280	280	stingy	1774	STINGY
Luangthongkum-2019-340-281	281	stomach	819	STOMACH
Luangthongkum-2019-340-282	282	stone, rock	2125	STONE OR ROCK
Luangthongkum-2019-340-283	283	string, rope	1218	ROPE
Luangthongkum-2019-340-284	284	suck	1421	SUCK
Luangthongkum-2019-340-285	285	sun	1343	SUN
