ID	NUMBER	ENGLISH	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	DEFINITION
List-2015-250-240	240	to wipe	action	1163	1454	WIPE	To move an object or utensil over a surface or other object while maintaining contact, in order that a substance be removed from its surface.
List-2015-250-241	241	the wolf	animal	324	522	WOLF	A large wild canid (Canidae), closely related to the dog.
List-2015-250-242	242	the woman	human being	174	962	WOMAN	An adult human member of the sex that produces ova and bears young.
List-2015-250-243	243	the wood (material)	plant, substance	511	1803	WOOD	The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.
List-2015-250-244	244	the worm	animal	353	1219	WORM	A generally tubular invertebrate of the annelid phylum.
List-2015-250-245	245	the year	time	777	1226	YEAR	The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).
List-2015-250-246	246	yellow	characterisation, color	1008	1424	YELLOW	Having the colour of a yolk, a lemon or gold.
List-2015-250-247	247	yesterday	time	739	1174	YESTERDAY	The day before today.
List-2015-250-248	248	you [second person plural]	pronoun	933	1213	YOU	The group of persons addressed.
List-2015-250-249	249	young	characterisation, age	1059	1207	YOUNG	In the early part of growth or life.
List-2015-250-250	250	the shit	body, substance	151	676	SHIT	To excrete feces from one's body through the anus.
