ID	NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE_SIMPLIFIED
BeijingDaxue-1964-905-105	105	青蛙	53	noun	animals	四、動物	名 詞	frog	qīng wā	503	FROG	青蛙
BeijingDaxue-1964-905-106	106	癩蛤蟆	53	noun	animals	四、動物	名 詞	toad	lài há má	894	TOAD	癞蛤蟆
BeijingDaxue-1964-905-107	107	烏龜	54	noun	animals	四、動物	名 詞	turtle	wū guī	112	TURTLE	乌龟
BeijingDaxue-1964-905-108	108	蝸牛	54	noun	animals	四、動物	名 詞	snail	wō niú	1543	SNAIL	蜗牛
BeijingDaxue-1964-905-109	109	蚯蚓	55	noun	animals	四、動物	名 詞	earthworm	qiū yǐn	2350	EARTHWORM	蚯蚓
BeijingDaxue-1964-905-110	110	蠶	55	noun	animals	四、動物	名 詞	silkworms	cán	2351	SILKWORM	蚕
BeijingDaxue-1964-905-111	111	蜜蜂	56	noun	animals	四、動物	名 詞	bee	mì fēng	665	BEE	蜜蜂
BeijingDaxue-1964-905-112	112	蝴蝶	56	noun	animals	四、動物	名 詞	butterfly	hú dié	1791	BUTTERFLY	蝴蝶
BeijingDaxue-1964-905-113	113	蜻蜓	57	noun	animals	四、動物	名 詞	dragonfly	qīng tíng	2352	DRAGONFLY	蜻蜓
BeijingDaxue-1964-905-114	114	蟬	57	noun	animals	四、動物	名 詞	cicada	chán	2353	CICADA	蝉
BeijingDaxue-1964-905-115	115	螢火蟲	58	noun	animals	四、動物	名 詞	firefly	yíng huǒ chóng	206	FIREFLY	萤火虫
BeijingDaxue-1964-905-116	116	蟋蟀	58	noun	animals	四、動物	名 詞	cricket	xī shuài	2354	CRICKET	蟋蟀
BeijingDaxue-1964-905-117	117	螞蟻	59	noun	animals	四、動物	名 詞	ant	mǎ yǐ	587	ANT	蚂蚁
BeijingDaxue-1964-905-118	118	蒼蠅	59	noun	animals	四、動物	名 詞	housefly	cāng yíng	1504	FLY (INSECT)	苍蝇
BeijingDaxue-1964-905-119	119	蚊子	60	noun	animals	四、動物	名 詞	mosquito	wén zi	1509	MOSQUITO	蚊子
BeijingDaxue-1964-905-120	120	臭蟲	60	noun	animals	四、動物	名 詞	bedbug	chòu chóng	1949	BEDBUG	臭虫
BeijingDaxue-1964-905-121	121	蜘蛛	61	noun	animals	四、動物	名 詞	spider	zhī zhū	843	SPIDER	蜘蛛
BeijingDaxue-1964-905-122	122	蜈蚣	61	noun	animals	四、動物	名 詞	centipede	wú gōng	1974	CENTIPEDE	蜈蚣
BeijingDaxue-1964-905-123	123	蛇	62	noun	animals	四、動物	名 詞	snake	shé	730	SNAKE	蛇
BeijingDaxue-1964-905-124	124	壁虎	62	noun	animals	四、動物	名 詞	gecko	bì hǔ	2355	GECKO	壁虎
BeijingDaxue-1964-905-125	125	翅膀	63	noun	animals	四、動物	名 詞	wing	chì bǎng	1257	WING	翅膀
BeijingDaxue-1964-905-126	126	蹄子	63	noun	animals	四、動物	名 詞	hoof	tí zi	152	HOOF	蹄子
BeijingDaxue-1964-905-127	127	爪子	64	noun	animals	四、動物	名 詞	claw	zhǎo zi	72	CLAW	爪子
BeijingDaxue-1964-905-128	128	尾巴	64	noun	animals	四、動物	名 詞	tail	wěi bā	1220	TAIL	尾巴
BeijingDaxue-1964-905-129	129	鱗	65	noun	animals	四、動物	名 詞	fish scales	lín	266	SCALE	鳞
BeijingDaxue-1964-905-130	130	梅花	65	noun	plants	五、植物	名 詞	plum blossom	méi huā	2744	PLUM BLOSSOM	梅花
BeijingDaxue-1964-905-131	131	杏花	66	noun	plants	五、植物	名 詞	apricot blossom	xìng huā	2745	APRICOT BLOSSOM	杏花
BeijingDaxue-1964-905-132	132	桃花	66	noun	plants	五、植物	名 詞	peach blossom	táo huā	2746	PEACH BLOSSOM	桃花
BeijingDaxue-1964-905-133	133	荷花	67	noun	plants	五、植物	名 詞	lotus	hé huā	2359	LOTUS	荷花
BeijingDaxue-1964-905-134	134	桂花	67	noun	plants	五、植物	名 詞	cassia	guì huā	2748	SWEET OLIVE FLOWER	桂花
BeijingDaxue-1964-905-135	135	艾	68	noun	plants	五、植物	名 詞	mugwort	ài	2361	MUGWORT	艾
BeijingDaxue-1964-905-136	136	棉花	68	noun	plants	五、植物	名 詞	cotton (raw)	mián huā	1850	COTTON	棉花
BeijingDaxue-1964-905-137	137	稻子	69	noun	plants	五、植物	名 詞	rice plant	dào zi	2026	RICE PLANT	稻子
BeijingDaxue-1964-905-138	138	稻谷	69	noun	plants	五、植物	名 詞	rice crops	dào gǔ	2749	UNHUSKED RICE	稻谷
BeijingDaxue-1964-905-139	139	大米	70	noun	plants	五、植物	名 詞	rice	dà mǐ	926	RICE	大米
BeijingDaxue-1964-905-140	140	糯米	70	noun	plants	五、植物	名 詞	polished glutinous rice	nuò mǐ	2750	GLUTINOUS RICE	糯米
BeijingDaxue-1964-905-141	141	麥子	71	noun	plants	五、植物	名 詞	wheat	mài zi	1077	WHEAT	麦子
BeijingDaxue-1964-905-142	142	面粉	71	noun	plants	五、植物	名 詞	flour	miàn fěn	1594	FLOUR	面粉
BeijingDaxue-1964-905-143	143	谷子	72	noun	plants	五、植物	名 詞	millet (unhusked rice)	gǔ zi			谷子
BeijingDaxue-1964-905-144	144	小米	72	noun	plants	五、植物	名 詞	millet	xiǎo mǐ	931	MILLET	小米
BeijingDaxue-1964-905-145	145	麩子	73	noun	plants	五、植物	名 詞	bran	fū zi	2362	BRAN	麸子
BeijingDaxue-1964-905-146	146	糠	73	noun	plants	五、植物	名 詞	chaff (husks)	kāng	2363	CHAFF (HUSK)	糠
BeijingDaxue-1964-905-147	147	高粱	74	noun	plants	五、植物	名 詞	sorghum	gāo liáng	347	SORGHUM	高粱
BeijingDaxue-1964-905-148	148	玉米	74	noun	plants	五、植物	名 詞	maize	yù mǐ	506	MAIZE	玉米
BeijingDaxue-1964-905-149	149	花生	75	noun	plants	五、植物	名 詞	peanut	huā shēng	2364	PEANUT	花生
BeijingDaxue-1964-905-150	150	向日葵	75	noun	plants	五、植物	名 詞	sunflower	xiàng rì kuí	1956	SUNFLOWER	向日葵
