ID	NUMBER	ENGLISH	SUBLIST	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
SIL-2002-436-432	426	to bend		Question Words	2004	BEND
SIL-2002-436-433	427	to lift		Question Words	501	LIFT
SIL-2002-436-434	428	to do/make		Question Words	2575	DO OR MAKE
SIL-2002-436-435	429	don't do it		Question Words		
SIL-2002-436-436	430	half		Question Words	816	HALF
SIL-2002-436-437	431	disgusting		Question Words	2507	DISGUSTING
SIL-2002-436-438	432	warm		Question Words	1232	WARM
SIL-2002-436-439	433	cool		Question Words	2483	COLD (OF WEATHER)
SIL-2002-436-440	434	difficult		Question Words	584	DIFFICULT
SIL-2002-436-441	435	easy		Question Words	686	EASY
SIL-2002-436-442	436	loose		Question Words	2506	LOOSE
