NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
279	鍋鏟	140	noun	tools of daily use	九、器具、日常用具	名 詞	pancake turner	guō-chàn	0	???	8

280	菜刀	140	noun	tools of daily use	九、器具、日常用具	名 詞	kitchen knife	cài-dāo	???	???	8

281	筷子	141	noun	tools of daily use	九、器具、日常用具	名 詞	chopsticks	kuài-zǐ	0	???	8

282	調羹	141	noun	tools of daily use	九、器具、日常用具	名 詞	spoon	zhōu-gēng	0	???	8

283	缸	142	noun	tools of daily use	九、器具、日常用具	名 詞	earthen jug	gāng	0	???	8

284	水瓢	142	noun	tools of daily use	九、器具、日常用具	名 詞	baler	shuǐ-piáo	0	???	8

285	壇子	143	noun	tools of daily use	九、器具、日常用具	名 詞	earthern jug	tán-zǐ	0	???	8

286	罐子	143	noun	tools of daily use	九、器具、日常用具	名 詞	pot, jug	guàn-zǐ	0	???	8

287	瓶子	144	noun	tools of daily use	九、器具、日常用具	名 詞	bottle	píng-zǐ	0	???	8

288	木柴	144	noun	tools of daily use	九、器具、日常用具	名 詞	firewood	mù-chái	10	FIREWOOD (noun)	3

289	木炭	145	noun	tools of daily use	九、器具、日常用具	名 詞	wood charcoal	mù-tàn	???	???	8

290	火爐	145	noun	tools of daily use	九、器具、日常用具	名 詞	stove	huǒ-lú	0	???	8

291	熱水瓶	146	noun	tools of daily use	九、器具、日常用具	名 詞	thermos bottle	rè-shuǐ-píng	0	???	8

292	漿糊	146	noun	tools of daily use	九、器具、日常用具	名 詞	glue	jiāng-hú	0	???	8

293	針	147	noun	tools of daily use	九、器具、日常用具	名 詞	needle	zhēn	1382	NEEDLE (FOR SEWING) (noun)	3

294	頂針兒	147	noun	tools of daily use	九、器具、日常用具	名 詞	thimble	dǐng-zhēn-ní	0	???	8

295	綫	148	noun	tools of daily use	九、器具、日常用具	名 詞	thread, wire	xiàn	0	???	8

296	繩子	148	noun	tools of daily use	九、器具、日常用具	名 詞	rope	shéng-zǐ	1218	ROPE (noun)	3

297	鎖	149	noun	tools of daily use	九、器具、日常用具	名 詞	lock	suǒ	0	???	8

298	鑰匙	149	noun	tools of daily use	九、器具、日常用具	名 詞	key	yuè-chí	0	???	8

299	扇子	150	noun	tools of daily use	九、器具、日常用具	名 詞	fan	shàn-zǐ	0	???	8

300	傘	150	noun	tools of daily use	九、器具、日常用具	名 詞	umbrella	sǎn	0	???	8

301	拐杖	151	noun	tools of daily use	九、器具、日常用具	名 詞	walking staff	guǎi-zhàng	0	???	8

302	電筒	151	noun	tools of daily use	九、器具、日常用具	名 詞	flashlight	diàn-tǒng/tóng	0	???	8

303	蠟燭	152	noun	tools of daily use	九、器具、日常用具	名 詞	candle	là-zhú	0	???	8

304	火柴	152	noun	tools of daily use	九、器具、日常用具	名 詞	match	huǒ-chái	0	???	8

305	肥皂	153	noun	tools of daily use	九、器具、日常用具	名 詞	soap	féi-zào	0	???	8

306	牙刷	153	noun	tools of daily use	九、器具、日常用具	名 詞	toothbrush	yá-shuā	0	???	8

307	抹布	154	noun	tools of daily use	九、器具、日常用具	名 詞	dish towel	mò-bù	0	???	8

308	掃帚	154	noun	tools of daily use	九、器具、日常用具	名 詞	broom	sào-zhǒu	0	???	8

309	撣子	155	noun	tools of daily use	九、器具、日常用具	名 詞	duster	tán-zǐ	0	???	8

310	簸箕	155	noun	tools of daily use	九、器具、日常用具	名 詞	dustpan	bò-jī	0	???	8

311	痰盂	156	noun	tools of daily use	九、器具、日常用具	名 詞	spittoon	tán-yú	0	???	8

312	算盤	156	noun	instruments, material	十、工具、材料	名 詞	abacus	suàn-pán	0	???	8

313	秤	157	noun	instruments, material	十、工具、材料	名 詞	scale	chèng	0	???	8

314	戥子	157	noun	instruments, material	十、工具、材料	名 詞	steelyard (for weighing gold, medicine)	děng-zǐ	0	???	8

315	尺	158	noun	instruments, material	十、工具、材料	名 詞	foot (measure)	chǐ	1301	FOOT (noun)	3

316	剪子	158	noun	instruments, material	十、工具、材料	名 詞	scissors	jiǎn-zǐ	0	???	8

317	錘子	159	noun	instruments, material	十、工具、材料	名 詞	hammer	zhuì-zǐ	0	???	8

318	斧頭	159	noun	instruments, material	十、工具、材料	名 詞	axe	fǔ-tóu	0	???	8

319	鉗子	160	noun	instruments, material	十、工具、材料	名 詞	pincers	qián-zǐ	0	???	8

320	鑷子	160	noun	instruments, material	十、工具、材料	名 詞	tweezers	niè-zǐ	0	???	8

321	鑿子	161	noun	instruments, material	十、工具、材料	名 詞	chisel	záo-zǐ	0	???	8

322	鋸子	161	noun	instruments, material	十、工具、材料	名 詞	saw (tool)	jù-zǐ	0	???	8

323	銼刀	162	noun	instruments, material	十、工具、材料	名 詞	file (tool)	zú-dāo	0	???	8

324	鉆子	162	noun	instruments, material	十、工具、材料	名 詞	drill (tool)	tiē-zǐ	0	???	8

325	錐子	163	noun	instruments, material	十、工具、材料	名 詞	awl	zhuī-zǐ	0	???	8

326	鉋子	163	noun	instruments, material	十、工具、材料	名 詞	plane (tool)	bào-zǐ	0	???	8

327	小刀兒	164	noun	instruments, material	十、工具、材料	名 詞	small knife	xiǎo-dāo-ní	1352	KNIFE (noun)	5

328	鉤子	164	noun	instruments, material	十、工具、材料	名 詞	hook	gōu-zǐ	0	???	8

329	釘子	165	noun	instruments, material	十、工具、材料	名 詞	nail (tool)	dìng-zǐ	???	???	8

330	梯子	165	noun	instruments, material	十、工具、材料	名 詞	stairs, ladder	tī-zǐ	0	???	8

331	鋤頭	166	noun	instruments, material	十、工具、材料	名 詞	hoe (tool)	chú-tóu	0	???	8

332	鐮刀	166	noun	instruments, material	十、工具、材料	名 詞	sickle (tool)	lián-dāo	341	SICKLE (noun)	3

333	扁擔	167	noun	instruments, material	十、工具、材料	名 詞	shoulder-pole	biàn-dān	0	???	8

334	篩子	167	noun	instruments, material	十、工具、材料	名 詞	sieve (tool)	shī-zǐ	0	???	8

335	輪子	168	noun	instruments, material	十、工具、材料	名 詞	wheel	lún-zǐ	0	???	8

336	木頭	168	noun	instruments, material	十、工具、材料	名 詞	wood	mù-tóu	1803	WOOD (noun)	3

337	竹子	169	noun	instruments, material	十、工具、材料	名 詞	bamboo	zhú-zǐ	1927	BAMBOO (noun)	3

338	石灰	169	noun	instruments, material	十、工具、材料	名 詞	limestone	shí-huī	0	???	8

339	水泥	170	noun	instruments, material	十、工具、材料	名 詞	cement	shuǐ-nì	0	???	8

340	橡膠	170	noun	instruments, material	十、工具、材料	名 詞	rubber	xiàng-xiáo	0	???	8

341	漆	171	noun	instruments, material	十、工具、材料	名 詞	varnish, paint	qī	0	???	8

342	玻璃	171	noun	instruments, material	十、工具、材料	名 詞	glass	bō-li	0	???	8

343	錢	172	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	money	jiǎn	0	???	8

344	商店	172	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	store	shāng-diàn	0	???	8

345	飯館	173	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	restaurant	fàn-guàn	0	???	8

346	郵局	173	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	post office	yóu-jú	0	???	8

347	郵票	174	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	postage stamp	yóu-piāo	0	???	8

348	車站	174	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	stop, station	chē-zhàn	0	???	8

349	碼頭	175	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	pier, quay	mǎ-tóu	0	???	8

350	汽車	175	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	automobile	qì-chē	0	???	8

351	自行車	176	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	bicycle	zì-hàng-chē	0	???	8

352	人力車	176	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	rickshaw	rén-lì-chē	0	???	8

353	輪船	177	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	steamship	lún-chuán	0	???	8

354	汽船	177	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	steamship	qì-chuán	0	???	8

355	小船兒	178	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	boat (small ship)	xiǎo-chuán-ní	0	???	8

356	街道	178	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	street	jiā-dào	0	???	8

357	人行道	179	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	sidewalk (pavement)	rén-hàng-dào	0	???	8

358	巷	179	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	alley, lane	xiàng	0	???	8

359	橋	180	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	bridge	qiáo	0	???	8

360	學校	180	noun	culture, music	十二、文化、娛樂	名 詞	school (educational institution)	xué-jiào	0	???	8

361	書	181	noun	culture, music	十二、文化、娛樂	名 詞	book	shū	0	???	8

362	本子	181	noun	culture, music	十二、文化、娛樂	名 詞	notebook, booklet	tāo-zǐ	0	???	8

363	紙	182	noun	culture, music	十二、文化、娛樂	名 詞	paper	zhǐ	0	???	8

364	硯臺	182	noun	culture, music	十二、文化、娛樂	名 詞	inkstone	yàn-tái	0	???	8

365	毛筆	183	noun	culture, music	十二、文化、娛樂	名 詞	writing brush	máo-bǐ	0	???	8

366	鋼筆	183	noun	culture, music	十二、文化、娛樂	名 詞	fountain pen	gāng-bǐ	0	???	8

367	信	184	noun	culture, music	十二、文化、娛樂	名 詞	letter	xìn	0	???	8

368	信封兒	184	noun	culture, music	十二、文化、娛樂	名 詞	envelope	xìn-fēng-ní	0	???	8

369	信紙	185	noun	culture, music	十二、文化、娛樂	名 詞	letter paper	xìn-zhǐ	0	???	8

370	橡皮圈兒	185	noun	culture, music	十二、文化、娛樂	名 詞	rubber seal	xiàng-pí-juàn-ní	0	???	8

371	圖章	186	noun	culture, music	十二、文化、娛樂	名 詞	seal, stamp	tú-zhāng	0	???	8

372	徽章	186	noun	culture, music	十二、文化、娛樂	名 詞	badge, emblem	huī-zhāng	0	???	8

373	相片	187	noun	culture, music	十二、文化、娛樂	名 詞	foto (picture)	xiāng-piàn	0	???	8

374	電影	187	noun	culture, music	十二、文化、娛樂	名 詞	film (movie)	diàn-yǐng	0	???	8

375	故事	188	noun	culture, music	十二、文化、娛樂	名 詞	history, story	gù-zì	0	???	8

376	球	188	noun	culture, music	十二、文化、娛樂	名 詞	ball	qiú	0	???	8

377	秋千	189	noun	culture, music	十二、文化、娛樂	名 詞	swing	qiū-qiān	0	???	8

378	風箏	189	noun	culture, music	十二、文化、娛樂	名 詞	kite	fēng-zhēng	0	???	8

379	炮仗	190	noun	culture, music	十二、文化、娛樂	名 詞	firecracker	bāo-zhàng	0	???	8

380	哨子	190	noun	culture, music	十二、文化、娛樂	名 詞	whistle	qiào-zǐ	0	???	8

381	頭	191	noun	human body	十三、人體	名 詞	head	tóu	1256	HEAD (noun)	3

382	頭髮	191	noun	human body	十三、人體	名 詞	hair (of head)	tóu-fà	1040	HAIR (noun)	3

383	前額	192	noun	human body	十三、人體	名 詞	forehead	qián-é	0	???	8

384	眼睛	192	noun	human body	十三、人體	名 詞	eye	yǎn-qǐng	1248	EYE (noun)	3

385	鼻子	193	noun	human body	十三、人體	名 詞	nose	bí-zǐ	1221	NOSE (noun)	3

386	耳朵	193	noun	human body	十三、人體	名 詞	ear	ěr-duǒ	1247	EAR (noun)	3

387	嘴	194	noun	human body	十三、人體	名 詞	mouth	zuǐ	674	MOUTH (noun)	3

388	舌頭	194	noun	human body	十三、人體	名 詞	tongue	huá-tóu	1205	TONGUE (noun)	3

389	脖子	195	noun	human body	十三、人體	名 詞	neck	bó-zǐ	1333	NECK (noun)	3

390	夾肢窩	195	noun	human body	十三、人體	名 詞	armpit	gā-zhi-wō	1886	ARMPIT (noun)	3

391	胳膊	196	noun	human body	十三、人體	名 詞	arm	gē-bó	0	???	8

392	左手	196	noun	human body	十三、人體	名 詞	left hand, left side	zuò-shǒu	1277	HAND (noun)	5
392	左手	196	noun	human body	十三、人體	名 詞	left hand, left side	zuò-shǒu	???	???	8

393	右手	197	noun	human body	十三、人體	名 詞	right hand, right side	yòu-shǒu	1019	RIGHT (adjective)	5

394	手指頭	197	noun	human body	十三、人體	名 詞	fingertip	shǒu-zhǐ-tóu	0	???	8

395	大姆指	198	noun	human body	十三、人體	名 詞	thumb	dà-mào-zhǐ	0	???	8

396	小姆指	198	noun	human body	十三、人體	名 詞	little finger	xiǎo-mào-zhǐ	0	???	8

397	指甲	199	noun	human body	十三、人體	名 詞	fingernail	zhǐ-jia	0	???	8

398	屁股	199	noun	human body	十三、人體	名 詞	buttocks	pì-gǔ	0	???	8

399	大腿	200	noun	human body	十三、人體	名 詞	thigh (upper leg)	dà-tuǐ	800	THIGH (noun)	3

400	膝蓋	200	noun	human body	十三、人體	名 詞	knee	xī-gě	1371	KNEE (noun)	3

401	男人	201	noun	human character	十四、人品	名 詞	man	nán-rén	0	???	8

402	女人	201	noun	human character	十四、人品	名 詞	woman	nǜ-rén	962	WOMAN (noun)	3

403	老頭兒	202	noun	human character	十四、人品	名 詞	old man	lǎo-tóu-ní	???	???	8

404	老太婆	202	noun	human character	十四、人品	名 詞	old woman	lǎo-tài-pó	962	WOMAN (noun)	5

405	小夥子	203	noun	human character	十四、人品	名 詞	young fellow	xiǎo-huǒ/huò-zǐ	???	???	8

406	小孩兒	203	noun	human character	十四、人品	名 詞	child	xiǎo-hái-ní	1304	CHILD (YOUNG HUMAN) (noun)	3

407	男孩兒	204	noun	human character	十四、人品	名 詞	boy	nán-hái-ní	0	???	8

408	女孩兒	204	noun	human character	十四、人品	名 詞	girl	nǜ-hái-ní	0	???	8

409	聾子	205	noun	human character	十四、人品	名 詞	deaf person	lóng-zǐ	2106	MALE PERSON (noun)	5

410	瞎子	205	noun	human character	十四、人品	名 詞	blind person	xiā-zǐ	2106	MALE PERSON (noun)	5

411	啞吧	206	noun	human character	十四、人品	名 詞	mute person	yà-bā	2106	MALE PERSON (noun)	5

412	結巴	206	noun	human character	十四、人品	名 詞	stammerer	jié-bā	0	???	8

413	麻子	207	noun	human character	十四、人品	名 詞	person with a pockmarked face	má-zǐ	???	???	8

414	禿子	207	noun	human character	十四、人品	名 詞	baldhead	tū-zǐ	0	???	8

415	駝子	208	noun	human character	十四、人品	名 詞	person with a humpback	tuó-zǐ	???	???	8

416	跛子	208	noun	human character	十四、人品	名 詞	lame person	bǒ-zǐ	2106	MALE PERSON (noun)	5

417	瘋子	209	noun	human character	十四、人品	名 詞	mad person	fēng-zǐ	2106	MALE PERSON (noun)	5

418	單身漢	209	noun	human character	十四、人品	名 詞	bachelor	chán-shēn-hàn	0	???	8

419	寡婦	210	noun	human character	十四、人品	名 詞	widow	guǎ-fù	0	???	8

420	雙胞胎	210	noun	human character	十四、人品	名 詞	twins	shuāng-bāo-tāi	0	???	8

421	小偷	211	noun	human character	十四、人品	名 詞	thief	xiǎo-tōu	0	???	8

422	強盜	211	noun	human character	十四、人品	名 詞	robber	qiáng-dào	0	???	8

423	爺爺	212	noun	kinship terms	十五、親屬稱呼	名 詞	grandfather	yé-yé	0	???	8

424	奶奶	212	noun	kinship terms	十五、親屬稱呼	名 詞	grandmother	nǎi-nai	0	???	8

425	爸爸	213	noun	kinship terms	十五、親屬稱呼	名 詞	father (daddy)	bà-bà	1217	FATHER (noun)	3

426	媽媽	213	noun	kinship terms	十五、親屬稱呼	名 詞	mother (mommy)	mǔ-mǔ	1216	MOTHER (noun)	3

427	後母	214	noun	kinship terms	十五、親屬稱呼	名 詞	stepmother	hòu-mǔ	0	???	8

428	伯父	214	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (father's elder brother)	bó-fù	0	???	8

429	伯母	215	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (wife of fatherss elder brother)	bó-mǔ	0	???	8

430	叔父	215	noun	kinship terms	十五、親屬稱呼	名 詞	uncle	shū-fǔ	0	???	8

431	嬸母	216	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (wife of father's younger brother)	shěn-mǔ	0	???	8

432	姑父	216	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (husband of father's sister)	gū-fǔ	0	???	8

433	姑母	217	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (father's sister)	gū-mǔ	0	???	8

434	外公	217	noun	kinship terms	十五、親屬稱呼	名 詞	maternal grandfather	wài-gōng	0	???	8

435	外婆	218	noun	kinship terms	十五、親屬稱呼	名 詞	maternal grandmother	wài-pó	0	???	8

436	舅父	218	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (mother's brother)	jiù-fǔ	0	???	8

437	舅母	219	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (mother's sister)	jiù-mǔ	0	???	8

438	姨父	219	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (husband of one's maternal aunt)	yí-fǔ	0	???	8

439	姨母	220	noun	kinship terms	十五、親屬稱呼	名 詞	maternal aunt	yí-mǔ	0	???	8

440	丈人	220	noun	kinship terms	十五、親屬稱呼	名 詞	father-in-law (wife's father)	zhàng-rén	0	???	8

441	丈母	221	noun	kinship terms	十五、親屬稱呼	名 詞	mother-in-law (wife's mother)	zhàng-mǔ	0	???	8

442	公公	221	noun	kinship terms	十五、親屬稱呼	名 詞	father-in-law (husband's father)	gōng-gōng	0	???	8

443	婆婆	222	noun	kinship terms	十五、親屬稱呼	名 詞	mother-in-law (husband's mother)	pó-pó	0	???	8

444	丈夫	222	noun	kinship terms	十五、親屬稱呼	名 詞	husband	zhàng-fu	1200	HUSBAND (noun)	3

445	妻子	223	noun	kinship terms	十五、親屬稱呼	名 詞	wife	qì-zǐ	1199	WIFE (noun)	3

446	哥哥	223	noun	kinship terms	十五、親屬稱呼	名 詞	elder brother	gē-gē	0	???	8

447	嫂子	224	noun	kinship terms	十五、親屬稱呼	名 詞	sister-in-law (elder brother's wife)	sǎo-zǐ	0	???	8

448	弟弟	224	noun	kinship terms	十五、親屬稱呼	名 詞	younger brother	dì-dì	0	???	8

449	姐姐	225	noun	kinship terms	十五、親屬稱呼	名 詞	elder sister	jiě-jiě	0	???	8

450	姐夫	225	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (elder sister's husband)	jiě-fū	0	???	8

451	妹妹	226	noun	kinship terms	十五、親屬稱呼	名 詞	younger sister	mèi-mèi	0	???	8

452	妹夫	226	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (younger sister's husband)	mèi-fū	0	???	8

453	大伯子	227	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (husband's elder brother)	dà-bǎi-zi	0	???	8

454	小叔子	227	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (husband's younger brother)	xiǎo-shū-zǐ	0	???	8

455	大姑子	228	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (husband's elder brother)	dà-gū-zǐ	0	???	8

456	小姑子	228	noun	kinship terms	十五、親屬稱呼	名 詞	sister-in-law	xiǎo-gū-zǐ	0	???	8

457	兒子	229	noun	kinship terms	十五、親屬稱呼	名 詞	son	ní-zǐ	1620	SON (noun)	3

458	媳婦	229	noun	kinship terms	十五、親屬稱呼	名 詞	daughter-in-law (son's wife_	xí-fù	0	???	8

459	女兒	230	noun	kinship terms	十五、親屬稱呼	名 詞	daughter	nǜ-ní	1357	DAUGHTER (noun)	3

460	女婿	230	noun	kinship terms	十五、親屬稱呼	名 詞	son-in-law	nǜ-xù	0	???	8

461	侄兒	231	noun	kinship terms	十五、親屬稱呼	名 詞	nephew	zhì-ní	0	???	8

462	侄女	231	noun	kinship terms	十五、親屬稱呼	名 詞	niece	zhì-nǜ	0	???	8

463	外甥	232	noun	kinship terms	十五、親屬稱呼	名 詞	nephew (sister's son)	wài-shēng	0	???	8

464	孫子	232	noun	kinship terms	十五、親屬稱呼	名 詞	grandson	sūn-zǐ	0	???	8

465	孫女	233	noun	kinship terms	十五、親屬稱呼	名 詞	granddaughter	sūn-nǜ	0	???	8

466	外孫	233	noun	kinship terms	十五、親屬稱呼	名 詞	grandson (daughter's son)	wài-sūn	0	???	8

467	前面	234	noun	directions	十六、方位	名 詞	front, front side	qián-miàn	2194	FRONT (PART) (noun)	3
467	前面	234	noun	directions	十六、方位	名 詞	front, front side	qián-miàn	2194	FRONT (PART) (noun)	5

468	後面	234	noun	directions	十六、方位	名 詞	back, back side	hòu-miàn	0	???	8

469	裏面	235	noun	directions	十六、方位	名 詞	in, inside	lǐ-miàn	0	???	8
469	裏面	235	noun	directions	十六、方位	名 詞	in, inside	lǐ-miàn	1606	INSIDE	2

470	外面	235	noun	directions	十六、方位	名 詞	out, outside	wài-miàn	0	???	8
470	外面	235	noun	directions	十六、方位	名 詞	out, outside	wài-miàn	762	OUTSIDE	2

471	上面	236	noun	directions	十六、方位	名 詞	top, top side // top	shàng-miàn	0	???	8

472	下面	236	noun	directions	十六、方位	名 詞	under, below	xià-miàn	1485	BELOW OR UNDER	5
472	下面	236	noun	directions	十六、方位	名 詞	under, below	xià-miàn	???	???	8

473	中間	237	noun	directions	十六、方位	名 詞	centre, in the middle of	zhòng-jiàn	0	???	8
473	中間	237	noun	directions	十六、方位	名 詞	centre, in the middle of	zhòng-jiàn	1093	MIDDLE (noun)	5

474	旁邊	237	noun	directions	十六、方位	名 詞	side	páng-biān	0	???	8

475	隔壁	238	noun	directions	十六、方位	名 詞	next to	gé-bì	0	???	8

476	城裏	238	noun	directions	十六、方位	名 詞	downtown (inside the city)	chéng-lǐ	0	???	8

477	鄉下	239	noun	directions	十六、方位	名 詞	countryside	xiāng-xià	0	???	8

478	東西	239	noun	other	十七、其他	名 詞	thing	dōng-xī	0	???	8

479	粉	240	noun	other	十七、其他	名 詞	powder	fěn	0	???	8

480	末子	240	noun	other	十七、其他	名 詞	dust	mò-zǐ	2	DUST (noun)	3

481	泡沫	241	noun	other	十七、其他	名 詞	foam	pào-mò	0	???	8

482	口水	241	noun	other	十七、其他	名 詞	saliva, spit	kǒu-shuǐ	0	???	8
482	口水	241	noun	other	十七、其他	名 詞	saliva, spit	kǒu-shuǐ	1440	SPIT (verb)	3

483	垃圾	242	noun	other	十七、其他	名 詞	garbage, trash	lā-jī	0	???	8

484	角落	242	noun	other	十七、其他	名 詞	corner	lù-luò	0	???	8

485	窟窿	243	noun	other	十七、其他	名 詞	hole, cavity	kū-lóng	0	???	8

486	豬圈	243	noun	other	十七、其他	名 詞	pigsty	zhū-juàn	0	???	8

487	雞窩	244	noun	other	十七、其他	名 詞	chicken nest	jī-wō	0	???	8

488	墳	244	noun	other	十七、其他	名 詞	grave	fèn	0	???	8

489	棺材	245	noun	other	十七、其他	名 詞	coffin	guān-cái	0	???	8

490	事情	245	noun	other	十七、其他	名 詞	affair, matter	zì-qíng	0	???	8

491	刮風	246	verb	natural change	一、自然變化	動詞	blow (of wind)	guā-fēng	175	BLOW (OF WIND) (verb)	3

492	下雨	246	verb	natural change	一、自然變化	動詞	rain	xià-yù	658	RAIN (PRECIPATION) (noun)	3

493	打閃	247	verb	natural change	一、自然變化	動詞	flash (lightning)	dǐng-shàn	0	???	8

494	打雷	247	verb	natural change	一、自然變化	動詞	thunder	dǐng-léi	1150	THUNDER (noun)	3

495	結冰	248	verb	natural change	一、自然變化	動詞	freeze	jié-níng	0	???	8

496	化雪	248	verb	natural change	一、自然變化	動詞	melt snow	huà-xuě	784	SNOW (noun)	5

497	淋雨	249	verb	natural change	一、自然變化	動詞	get wet in the rain	lín-yù	658	RAIN (PRECIPATION) (noun)	5

498	退色	249	verb	natural change	一、自然變化	動詞	fade (loose color)	tuì-sè	0	???	8

499	掉(掉下來)	250	verb	natural change	一、自然變化	動詞	fall (down)	diào (-diào-xià-lái-)	0	???	8

500	看	250	verb	sense-related actions	二、五官動作	動詞	look, see	kàn	0	???	8
500	看	250	verb	sense-related actions	二、五官動作	動詞	look, see	kàn	1409	SEE (verb)	3

501	眨眼	251	verb	sense-related actions	二、五官動作	動詞	blink (with the eyes)	zhǎ-yǎn	0	???	8

502	瞪眼	251	verb	sense-related actions	二、五官動作	動詞	stare	dèng-yǎn	0	???	8

503	聽	252	verb	sense-related actions	二、五官動作	動詞	hear	tīng	1408	HEAR (verb)	3

504	聞	252	verb	sense-related actions	二、五官動作	動詞	smell (something)	wén	1586	SMELL (PERCEIVE) (verb)	3

505	吃	253	verb	sense-related actions	二、五官動作	動詞	eat	chī/jì	1336	EAT (verb)	3

506	喝	253	verb	sense-related actions	二、五官動作	動詞	drink	hē	1401	DRINK (verb)	3

507	吸	254	verb	sense-related actions	二、五官動作	動詞	inhale	xī	0	???	8

508	咬	254	verb	sense-related actions	二、五官動作	動詞	bite	yǎo	1403	BITE (verb)	3

509	嚙	255	verb	sense-related actions	二、五官動作	動詞	gnaw	niè	0	???	8

510	嚼	255	verb	sense-related actions	二、五官動作	動詞	chew	jiáo	321	CHEW (verb)	3

511	舔	256	verb	sense-related actions	二、五官動作	動詞	lick (with tongue)	tiǎn	319	LICK (verb)	3

512	呑	256	verb	sense-related actions	二、五官動作	動詞	swallow	tūn	0	???	8

513	含	257	verb	sense-related actions	二、五官動作	動詞	keep in the mouth	hán	674	MOUTH (noun)	5

514	噴	257	verb	sense-related actions	二、五官動作	動詞	splash	pèn	0	???	8

515	吹	258	verb	sense-related actions	二、五官動作	動詞	blow	chuì	175	BLOW (OF WIND) (verb)	3

516	嚐	258	verb	sense-related actions	二、五官動作	動詞	taste	cháng	0	???	8

517	拿	259	verb	body-part related actions	三、肢體動作	動詞	take, hold	ná	0	???	8
517	拿	259	verb	body-part related actions	三、肢體動作	動詞	take, hold	ná	1448	HOLD (verb)	3

518	捏	259	verb	body-part related actions	三、肢體動作	動詞	knead	niē	274	KNEAD (verb)	3

519	掐	260	verb	body-part related actions	三、肢體動作	動詞	tweak, twitch	qiā	0	???	8

520	摸	260	verb	body-part related actions	三、肢體動作	動詞	stroke (with hand)	mó	0	???	8

521	撈	261	verb	body-part related actions	三、肢體動作	動詞	catch (fish)	láo	0	???	8

522	找	261	verb	body-part related actions	三、肢體動作	動詞	search	zhǎo	0	???	8

523	摘	262	verb	body-part related actions	三、肢體動作	動詞	pluck, pick	zhāi	0	???	8

524	擦	262	verb	body-part related actions	三、肢體動作	動詞	wipe, rub	cā	1454	WIPE (verb)	3
524	擦	262	verb	body-part related actions	三、肢體動作	動詞	wipe, rub	cā	0	???	8

525	搓	263	verb	body-part related actions	三、肢體動作	動詞	to rub one's hands	cuō	0	???	8

526	提	263	verb	body-part related actions	三、肢體動作	動詞	hold (in hand), lift (in hand)	tí	1448	HOLD (verb)	3
526	提	263	verb	body-part related actions	三、肢體動作	動詞	hold (in hand), lift (in hand)	tí	0	???	8

527	舉	264	verb	body-part related actions	三、肢體動作	動詞	raise (something with hand)	yú	0	???	8

528	托	264	verb	body-part related actions	三、肢體動作	動詞	support, rely on	tuō	0	???	8

529	端	265	verb	body-part related actions	三、肢體動作	動詞	carry horizontally	duān	0	???	8

530	捧	265	verb	body-part related actions	三、肢體動作	動詞	hold in two hands	pěng	???	???	8

531	擡	266	verb	body-part related actions	三、肢體動作	動詞	lift, carry	tái	0	???	8

